Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,41.48,41.48,40.69,41.33,135200
2017-01-04,1483488000,41.58,42.92,41.53,42.87,158300
2017-01-05,1483574400,42.82,42.97,42.13,42.37,90500
2017-01-06,1483660800,42.42,42.42,41.63,41.68,111800
2017-01-09,1483920000,41.68,41.68,41.08,41.28,230600
2017-01-10,1484006400,41.23,41.73,40.98,41.28,210300
2017-01-11,1484092800,41.28,41.83,41.03,41.28,126300
2017-01-12,1484179200,41.23,41.23,39.99,40.74,128800
2017-01-13,1484265600,40.79,41.48,40.79,41.03,61100
2017-01-17,1484611200,41.08,41.23,40.34,40.44,95600
2017-01-18,1484697600,40.64,40.79,40.14,40.34,94800
2017-01-19,1484784000,40.34,40.79,40.19,40.39,78500
2017-01-20,1484870400,40.49,40.84,40.19,40.44,180400
2017-01-23,1485129600,40.24,40.79,39.99,40.09,129300
2017-01-24,1485216000,40.44,41.08,40.39,41.03,183000
2017-01-25,1485302400,41.18,42.42,41.18,41.98,204600
2017-01-26,1485388800,42.08,42.42,41.48,41.58,103300
2017-01-27,1485475200,41.68,41.68,40.89,41.48,83200
2017-01-30,1485734400,41.03,41.33,40.29,41.28,104700
2017-01-31,1485820800,41.23,41.23,40.09,40.59,143100
2017-02-01,1485907200,40.69,41.08,39.89,39.94,140700
2017-02-02,1485993600,39.94,40.84,39.69,40.54,102700
2017-02-03,1486080000,40.84,41.13,40.61,40.98,108600
2017-02-06,1486339200,40.79,40.89,40.29,40.54,109000
2017-02-07,1486425600,40.59,40.98,40.29,40.49,53000
2017-02-08,1486512000,40.29,40.59,39.79,40.14,81300
2017-02-09,1486598400,40.09,40.79,39.79,40.74,125900
2017-02-10,1486684800,40.89,41.48,40.59,41.18,100400
2017-02-13,1486944000,41.33,41.58,40.89,40.98,70600
2017-02-14,1487030400,40.79,40.98,40.29,40.79,53400
2017-02-15,1487116800,40.54,41.28,40.39,40.94,51900
2017-02-16,1487203200,40.98,41.23,40.54,40.98,53200
2017-02-17,1487289600,40.98,41.13,40.58,41.08,69200
2017-02-21,1487635200,41.03,41.33,40.54,40.64,144000
2017-02-22,1487721600,40.69,41.46,40.54,40.84,285600
2017-02-23,1487808000,40.94,41.18,39.94,40.44,194000
2017-02-24,1487894400,40.04,40.94,39.79,40.69,250500
2017-02-27,1488153600,41.98,46.44,41.48,45.55,823300
2017-02-28,1488240000,45.65,47.58,45.65,46.69,325800
2017-03-01,1488326400,47.24,49.62,47.24,49.07,295500
2017-03-02,1488412800,48.97,49.67,48.87,49.17,169200
2017-03-03,1488499200,48.97,49.62,48.82,49.27,163200
2017-03-06,1488758400,49.07,49.42,48.68,48.87,136300
2017-03-07,1488844800,48.82,49.32,48.38,48.53,139700
2017-03-08,1488931200,48.68,49.12,48.61,48.87,135300
2017-03-09,1489017600,48.82,49.22,48.28,48.73,138500
2017-03-10,1489104000,49.22,49.62,48.97,49.27,146700
2017-03-13,1489363200,49.42,49.87,48.82,49.57,185700
2017-03-14,1489449600,49.07,49.72,48.73,49.17,90400
2017-03-15,1489536000,49.47,50.81,49.47,50.56,204300
2017-03-16,1489622400,50.86,52.0,50.61,51.75,203500
2017-03-17,1489708800,52.2,52.2,50.91,52.05,436000
2017-03-20,1489968000,51.9,52.3,50.81,51.45,117400
2017-03-21,1490054400,51.6,52.1,49.97,50.02,131800
2017-03-22,1490140800,49.92,50.07,48.82,50.02,134800
2017-03-23,1490227200,50.07,51.51,49.97,51.36,146300
2017-03-24,1490313600,51.4,52.19,50.46,52.1,169500
2017-03-27,1490572800,51.45,51.45,50.16,51.31,174900
2017-03-28,1490659200,51.16,51.8,50.71,51.45,143500
2017-03-29,1490745600,51.36,51.8,50.96,51.65,64100
2017-03-30,1490832000,51.6,52.3,51.21,51.85,147600
2017-03-31,1490918400,51.7,52.6,51.7,52.35,132100
2017-04-03,1491177600,52.05,52.5,51.5,51.5,146700
2017-04-04,1491264000,51.4,52.35,51.21,51.45,90500
2017-04-05,1491350400,51.8,52.05,51.06,51.11,107000
2017-04-06,1491436800,51.31,51.75,51.06,51.26,78700
2017-04-07,1491523200,51.06,51.75,51.01,51.06,107300
2017-04-10,1491782400,51.01,51.43,50.51,50.86,84600
2017-04-11,1491868800,50.81,51.4,50.71,51.4,106300
2017-04-12,1491955200,51.06,51.45,50.86,51.06,74600
2017-04-13,1492041600,51.01,51.31,50.16,50.21,76900
2017-04-17,1492387200,50.61,51.4,50.21,51.36,103900
2017-04-18,1492473600,51.01,51.65,50.66,51.55,60500
2017-04-19,1492560000,51.85,52.1,51.4,51.6,104200
2017-04-20,1492646400,52.15,52.69,51.7,52.4,128600
2017-04-21,1492732800,52.25,53.19,52.0,53.04,104400
2017-04-24,1492992000,53.79,54.18,52.84,53.14,94500
2017-04-25,1493078400,53.59,53.79,52.79,53.04,99300
2017-04-26,1493164800,52.94,54.48,52.84,54.38,117400
2017-04-27,1493251200,54.63,55.03,53.94,53.98,160400
2017-04-28,1493337600,54.08,54.08,52.89,52.94,184800
2017-05-01,1493596800,53.24,53.84,53.14,53.49,78200
2017-05-02,1493683200,53.34,53.49,52.05,52.2,162600
2017-05-03,1493769600,51.6,52.6,51.11,51.45,177500
2017-05-04,1493856000,51.6,52.84,51.5,52.6,181000
2017-05-05,1493942400,51.9,54.23,50.56,51.8,209900
2017-05-08,1494201600,52.15,52.2,46.99,47.68,476700
2017-05-09,1494288000,47.73,47.73,46.29,47.63,247900
2017-05-10,1494374400,47.58,47.83,46.79,47.44,148300
2017-05-11,1494460800,47.19,47.44,46.59,47.39,85000
2017-05-12,1494547200,47.19,47.19,46.54,46.89,68500
2017-05-15,1494806400,47.14,48.08,46.94,47.98,149500
2017-05-16,1494892800,48.08,48.63,47.83,48.08,229800
2017-05-17,1494979200,48.08,48.08,46.89,46.89,191600
2017-05-18,1495065600,46.84,47.04,46.34,46.74,199300
2017-05-19,1495152000,46.79,48.23,46.64,48.13,225600
2017-05-22,1495411200,48.18,48.77,48.03,48.38,108300
2017-05-23,1495497600,48.43,48.77,48.08,48.13,96900
2017-05-24,1495584000,48.03,48.53,47.88,48.38,79600
2017-05-25,1495670400,48.68,48.77,48.33,48.58,92500
2017-05-26,1495756800,48.33,48.73,48.33,48.43,62900
2017-05-30,1496102400,48.38,48.82,47.88,48.77,105200
2017-05-31,1496188800,48.87,49.22,48.33,49.22,127300
2017-06-01,1496275200,49.37,50.11,49.17,50.11,131500
