Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,53.33,53.38,52.3,52.69,2595000
2017-01-04,1483488000,52.92,53.85,52.78,53.62,3074900
2017-01-05,1483574400,53.44,54.1,53.14,53.39,1636800
2017-01-06,1483660800,53.46,53.93,53.33,53.74,1490100
2017-01-09,1483920000,53.68,54.07,53.32,53.44,1472100
2017-01-10,1484006400,53.52,53.57,53.12,53.21,1646400
2017-01-11,1484092800,53.34,53.38,52.52,53.27,3852100
2017-01-12,1484179200,52.98,53.4,52.3,53.16,4289600
2017-01-13,1484265600,53.48,53.83,53.11,53.26,1963300
2017-01-17,1484611200,53.17,53.22,52.64,52.92,1998500
2017-01-18,1484697600,53.19,53.82,52.68,53.71,2072900
2017-01-19,1484784000,53.76,53.83,53.37,53.38,1887400
2017-01-20,1484870400,53.53,53.89,53.36,53.8,2001800
2017-01-23,1485129600,53.6,53.83,53.13,53.27,1545800
2017-01-24,1485216000,53.41,54.06,53.35,53.85,1701600
2017-01-25,1485302400,54.21,54.54,54.12,54.32,2531900
2017-01-26,1485388800,54.5,55.17,53.41,54.52,1927500
2017-01-27,1485475200,54.51,54.54,54.0,54.25,1309200
2017-01-30,1485734400,54.25,54.33,53.66,54.3,1309500
2017-01-31,1485820800,54.35,54.72,54.19,54.7,2458400
2017-02-01,1485907200,54.75,55.26,54.49,54.69,2952100
2017-02-02,1485993600,54.38,55.11,54.2,54.72,3733200
2017-02-03,1486080000,55.18,55.3,54.78,54.87,3092500
2017-02-06,1486339200,54.59,54.89,54.47,54.84,2879800
2017-02-07,1486425600,55.56,56.74,55.56,56.17,7162800
2017-02-08,1486512000,55.76,55.76,53.41,53.46,5603300
2017-02-09,1486598400,53.46,54.04,53.23,53.97,3657200
2017-02-10,1486684800,54.01,54.24,53.55,54.03,2975200
2017-02-13,1486944000,54.47,55.4,54.19,55.32,2558600
2017-02-14,1487030400,55.32,55.43,54.78,54.97,2914900
2017-02-15,1487116800,55.04,55.41,54.67,55.31,3396800
2017-02-16,1487203200,55.24,55.24,54.59,54.97,1809400
2017-02-17,1487289600,54.86,55.11,54.64,54.73,2962900
2017-02-21,1487635200,54.75,54.89,54.18,54.32,3150500
2017-02-22,1487721600,53.97,54.35,53.85,54.11,2784500
2017-02-23,1487808000,54.23,54.65,54.17,54.46,2973700
2017-02-24,1487894400,54.14,54.94,54.05,54.64,2026300
2017-02-27,1488153600,54.59,54.73,53.56,54.08,3092100
2017-02-28,1488240000,53.87,54.02,53.39,53.54,3392400
2017-03-01,1488326400,54.2,55.39,53.99,55.23,3869200
2017-03-02,1488412800,55.19,55.28,54.71,54.85,2981500
2017-03-03,1488499200,54.85,55.16,54.42,55.05,2992000
2017-03-06,1488758400,54.75,55.5,54.45,55.31,3646300
2017-03-07,1488844800,55.25,55.34,54.87,54.95,2656100
2017-03-08,1488931200,55.16,55.75,54.97,55.66,3465900
2017-03-09,1489017600,55.79,56.66,55.73,56.29,5102400
2017-03-10,1489104000,56.54,57.04,56.02,56.48,3584400
2017-03-13,1489363200,56.69,56.89,56.42,56.61,4264000
2017-03-14,1489449600,56.61,57.06,56.44,56.62,3413800
2017-03-15,1489536000,56.87,56.93,56.65,56.8,2791400
2017-03-16,1489622400,56.96,57.91,56.89,57.88,3933200
2017-03-17,1489708800,57.8,58.28,57.63,57.74,4871200
2017-03-20,1489968000,57.61,57.8,57.33,57.36,2321100
2017-03-21,1490054400,57.61,57.7,56.36,56.45,3332400
2017-03-22,1490140800,56.45,56.62,55.98,56.23,2120700
2017-03-23,1490227200,56.29,56.81,56.15,56.3,2433500
2017-03-24,1490313600,56.41,56.67,56.14,56.28,2536100
2017-03-27,1490572800,55.67,56.01,55.34,55.86,1922600
2017-03-28,1490659200,55.67,56.46,55.65,56.26,2076500
2017-03-29,1490745600,56.12,56.13,55.51,55.76,1890700
2017-03-30,1490832000,55.81,56.54,55.69,56.45,2029900
2017-03-31,1490918400,56.18,56.71,56.04,56.3,2099500
