Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,53.76,53.76,52.0,52.78,132600
2017-01-04,1483488000,53.03,54.49,53.03,53.51,122900
2017-01-05,1483574400,53.42,53.51,52.14,52.44,99600
2017-01-06,1483660800,52.39,52.83,51.56,51.91,80800
2017-01-09,1483920000,51.66,52.44,51.32,52.05,138700
2017-01-10,1484006400,52.49,54.05,52.49,53.8,249300
2017-01-11,1484092800,54.0,56.43,51.91,53.42,102800
2017-01-12,1484179200,53.27,53.61,52.73,52.93,70400
2017-01-13,1484265600,53.07,53.37,52.54,52.68,81400
2017-01-17,1484611200,52.49,53.51,52.1,52.44,151000
2017-01-18,1484697600,52.54,53.17,51.91,52.25,90400
2017-01-19,1484784000,52.15,52.18,51.18,51.71,86900
2017-01-20,1484870400,51.66,52.3,51.61,52.0,72400
2017-01-23,1485129600,51.95,52.1,51.56,51.71,37800
2017-01-24,1485216000,51.76,52.44,51.18,52.34,83100
2017-01-25,1485302400,52.59,52.78,51.61,51.76,116300
2017-01-26,1485388800,51.66,52.3,51.32,52.0,169100
2017-01-27,1485475200,52.15,52.25,51.47,51.81,53300
2017-01-30,1485734400,51.47,52.34,50.45,50.59,116100
2017-01-31,1485820800,50.64,51.03,50.45,50.64,96000
2017-02-01,1485907200,50.79,51.18,50.4,50.54,51800
2017-02-02,1485993600,50.49,50.54,49.57,50.2,124000
2017-02-03,1486080000,50.54,50.69,50.01,50.3,80900
2017-02-06,1486339200,50.1,51.03,50.01,50.15,151100
2017-02-07,1486425600,50.1,50.83,49.86,50.1,164800
2017-02-08,1486512000,50.06,50.54,49.18,49.28,128800
2017-02-09,1486598400,49.42,49.74,47.96,48.25,177900
2017-02-10,1486684800,48.16,49.23,48.16,49.08,120800
2017-02-13,1486944000,49.03,49.28,48.98,49.08,205800
2017-02-14,1487030400,49.08,50.06,48.89,49.81,232900
2017-02-15,1487116800,49.76,50.64,49.62,50.54,182200
2017-02-16,1487203200,50.4,51.58,50.35,51.52,78700
2017-02-17,1487289600,51.56,51.59,51.01,51.13,92900
2017-02-21,1487635200,51.22,51.71,50.74,50.98,73700
2017-02-22,1487721600,50.98,51.13,50.1,50.3,73700
2017-02-23,1487808000,50.45,50.74,49.91,50.25,108700
2017-02-24,1487894400,49.91,50.64,49.76,50.1,82200
2017-02-27,1488153600,50.06,50.2,49.37,50.01,172200
2017-02-28,1488240000,47.72,47.72,41.24,41.83,604700
2017-03-01,1488326400,42.02,43.82,40.66,41.39,269900
2017-03-02,1488412800,41.24,41.39,39.68,40.95,225200
2017-03-03,1488499200,41.05,41.39,39.81,40.02,171600
2017-03-06,1488758400,39.78,40.51,39.15,39.93,371500
2017-03-07,1488844800,39.83,41.53,39.34,41.0,220700
2017-03-08,1488931200,41.05,42.07,40.66,41.97,202400
2017-03-09,1489017600,41.88,41.97,41.22,41.49,238000
2017-03-10,1489104000,41.58,42.02,41.29,41.88,158700
2017-03-13,1489363200,41.73,41.92,41.0,41.0,61800
2017-03-14,1489449600,41.0,41.29,40.56,40.95,58600
2017-03-15,1489536000,41.14,41.63,40.85,41.05,124200
2017-03-16,1489622400,41.14,41.49,40.56,40.66,84700
2017-03-17,1489708800,40.46,41.0,39.78,40.95,128000
2017-03-20,1489968000,40.8,41.14,40.17,40.22,71600
2017-03-21,1490054400,40.32,40.38,39.34,39.54,89600
2017-03-22,1490140800,39.64,40.41,39.44,40.22,120800
2017-03-23,1490227200,40.12,40.27,39.15,39.78,129100
2017-03-24,1490313600,39.93,40.22,39.83,39.88,85100
2017-03-27,1490572800,39.44,40.02,39.25,39.88,135100
2017-03-28,1490659200,39.78,40.32,39.64,40.27,172500
2017-03-29,1490745600,40.07,40.12,39.73,39.83,123300
2017-03-30,1490832000,39.88,40.61,39.88,40.37,108900
2017-03-31,1490918400,40.17,40.71,40.12,40.22,135300
2017-04-03,1491177600,40.17,40.22,39.15,39.34,105400
2017-04-04,1491264000,39.39,40.41,39.34,40.27,185700
2017-04-05,1491350400,40.27,40.76,39.98,40.22,110600
2017-04-06,1491436800,40.27,40.61,40.17,40.61,63200
2017-04-07,1491523200,40.56,40.9,40.37,40.71,149600
2017-04-10,1491782400,40.8,41.24,40.66,40.76,70100
2017-04-11,1491868800,40.76,41.19,40.76,41.0,71700
