Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.77,2.77,2.65,2.69,32700
2017-01-04,1483488000,2.7,2.79,2.69,2.7,17200
2017-01-05,1483574400,2.74,2.8,2.72,2.79,27000
2017-01-06,1483660800,2.79,2.79,2.71,2.74,23500
2017-01-09,1483920000,2.77,2.79,2.7,2.77,33900
2017-01-10,1484006400,2.81,2.81,2.74,2.78,15600
2017-01-11,1484092800,2.73,2.79,2.7,2.79,12600
2017-01-12,1484179200,2.8,2.8,2.75,2.8,9700
2017-01-13,1484265600,2.8,3.1,2.74,3.1,307600
2017-01-17,1484611200,3.07,3.2,2.96,3.07,97700
2017-01-18,1484697600,3.01,3.08,2.94,3.08,30900
2017-01-19,1484784000,3.12,3.12,2.8,2.92,109300
2017-01-20,1484870400,2.91,2.92,2.75,2.88,35200
2017-01-23,1485129600,2.88,2.88,2.74,2.77,54400
2017-01-24,1485216000,2.78,2.95,2.78,2.93,26600
2017-01-25,1485302400,3.01,3.03,2.82,2.86,18800
2017-01-26,1485388800,2.87,2.96,2.87,2.89,22900
2017-01-27,1485475200,2.89,2.89,2.85,2.87,4700
2017-01-30,1485734400,2.85,2.85,2.75,2.77,15100
2017-01-31,1485820800,2.78,2.9,2.77,2.9,29300
2017-02-01,1485907200,2.88,2.92,2.78,2.82,7700
2017-02-02,1485993600,2.82,2.85,2.77,2.85,4300
2017-02-03,1486080000,2.85,2.88,2.8,2.83,16500
2017-02-06,1486339200,2.8,2.85,2.79,2.8,8700
2017-02-07,1486425600,2.78,2.81,2.78,2.8,17200
2017-02-08,1486512000,2.8,2.83,2.8,2.81,9700
2017-02-09,1486598400,2.84,2.84,2.75,2.81,41700
2017-02-10,1486684800,2.82,2.85,2.72,2.85,52700
2017-02-13,1486944000,2.85,2.87,2.73,2.75,61900
2017-02-14,1487030400,2.73,2.84,2.55,2.65,100300
2017-02-15,1487116800,2.6,2.7,2.56,2.67,19100
2017-02-16,1487203200,2.67,2.68,2.63,2.65,9900
2017-02-17,1487289600,2.67,2.8,2.67,2.8,13000
2017-02-21,1487635200,2.83,2.84,2.63,2.69,24100
2017-02-22,1487721600,2.69,2.79,2.6,2.6,24900
2017-02-23,1487808000,2.58,2.59,2.45,2.53,29900
2017-02-24,1487894400,2.51,2.7,2.51,2.58,17800
