Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,19.65,20.1,19.19,19.75,75000
2017-01-04,1483488000,19.95,20.35,19.7,20.3,69600
2017-01-05,1483574400,20.25,20.55,19.5,19.5,53700
2017-01-06,1483660800,19.6,19.6,18.75,19.0,61900
2017-01-09,1483920000,18.8,19.25,18.3,18.45,80800
2017-01-10,1484006400,18.55,19.35,18.45,19.2,65000
2017-01-11,1484092800,18.85,19.55,18.85,19.3,34000
2017-01-12,1484179200,19.2,19.2,18.51,18.8,27800
2017-01-13,1484265600,18.9,19.25,18.85,18.95,18900
2017-01-17,1484611200,19.05,19.05,18.2,18.3,33400
2017-01-18,1484697600,18.3,18.55,18.05,18.5,41300
2017-01-19,1484784000,18.55,18.7,18.48,18.5,30000
2017-01-20,1484870400,18.6,18.8,18.05,18.65,31700
2017-01-23,1485129600,18.55,18.95,18.3,18.9,29200
2017-01-24,1485216000,19.05,20.08,19.05,19.95,63700
2017-01-25,1485302400,20.3,20.8,20.2,20.65,56300
2017-01-26,1485388800,20.65,20.85,20.0,20.15,32500
2017-01-27,1485475200,20.4,20.4,19.75,19.85,26700
2017-01-30,1485734400,19.6,19.7,19.2,19.55,23800
2017-01-31,1485820800,19.2,19.6,19.05,19.5,27000
2017-02-01,1485907200,19.85,20.15,19.5,20.05,34500
2017-02-02,1485993600,20.1,20.35,19.2,19.3,27700
2017-02-03,1486080000,19.7,19.85,19.15,19.75,32100
2017-02-06,1486339200,19.75,19.8,19.29,19.6,31300
2017-02-07,1486425600,19.55,19.56,18.75,18.95,52200
2017-02-08,1486512000,18.95,18.95,18.45,18.6,48300
2017-02-09,1486598400,18.8,21.95,18.8,21.15,252700
2017-02-10,1486684800,21.45,21.52,20.7,20.95,82300
2017-02-13,1486944000,20.95,21.35,19.7,20.35,117700
2017-02-14,1487030400,20.3,20.85,19.7,20.5,60500
2017-02-15,1487116800,20.55,20.7,20.25,20.4,63800
2017-02-16,1487203200,20.19,20.5,19.7,20.2,62100
2017-02-17,1487289600,20.0,20.2,19.75,20.0,55400
2017-02-21,1487635200,20.35,20.68,19.85,20.15,63900
2017-02-22,1487721600,20.05,20.2,19.85,19.9,22700
2017-02-23,1487808000,20.0,20.0,18.95,19.35,94000
2017-02-24,1487894400,19.0,19.88,19.0,19.6,37700
2017-02-27,1488153600,19.5,19.65,19.25,19.35,31100
2017-02-28,1488240000,19.15,19.55,18.65,18.75,60400
2017-03-01,1488326400,19.25,20.25,19.25,19.95,75400
2017-03-02,1488412800,19.95,19.95,19.3,19.5,29100
2017-03-03,1488499200,19.35,19.75,19.1,19.25,49100
2017-03-06,1488758400,19.0,19.4,18.65,18.75,38400
