Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.3,15.6,15.1,15.2,1530
2017-01-04,1483488000,15.2,15.9,14.6,14.9,17010
2017-01-05,1483574400,14.5,14.7,14.0,14.4,13670
2017-01-06,1483660800,14.5,14.8,14.2,14.4,11700
2017-01-09,1483920000,14.5,14.5,13.1,13.8,18420
2017-01-10,1484006400,13.8,13.8,13.4,13.5,6040
2017-01-11,1484092800,13.4,14.1,13.4,13.7,6020
2017-01-12,1484179200,13.5,13.8,12.8,13.0,14840
2017-01-13,1484265600,13.4,13.4,12.7,13.0,11840
2017-01-17,1484611200,12.8,13.5,12.0,12.7,15490
2017-01-18,1484697600,12.2,12.4,11.3,11.8,39860
2017-01-19,1484784000,12.5,12.5,11.1,11.4,12550
2017-01-20,1484870400,11.3,11.9,11.3,11.7,6420
2017-01-23,1485129600,11.8,11.8,11.3,11.5,9850
2017-01-24,1485216000,11.4,11.8,11.3,11.6,2790
2017-01-25,1485302400,11.6,13.1,11.6,13.0,32980
2017-01-26,1485388800,12.9,15.0,12.4,13.1,19200
2017-01-27,1485475200,13.2,14.4,13.0,14.2,19580
2017-01-30,1485734400,13.5,14.1,13.0,13.3,11980
2017-01-31,1485820800,13.3,15.5,13.1,15.2,33000
2017-02-01,1485907200,14.9,14.9,13.1,14.7,26830
2017-02-02,1485993600,15.1,15.1,14.1,14.2,6630
2017-02-03,1486080000,14.1,14.3,13.5,13.8,5780
2017-02-06,1486339200,13.8,14.2,13.8,14.1,2110
2017-02-07,1486425600,14.0,14.0,13.3,13.3,5600
2017-02-08,1486512000,13.1,13.9,13.0,13.6,5970
2017-02-09,1486598400,13.7,14.2,13.6,14.1,4000
2017-02-10,1486684800,14.5,14.6,13.6,13.8,12090
2017-02-13,1486944000,14.1,14.7,13.6,14.2,3150
2017-02-14,1487030400,14.0,14.3,13.6,13.7,4070
2017-02-15,1487116800,13.9,14.0,13.5,13.7,3130
2017-02-16,1487203200,13.8,14.2,13.3,13.3,5830
2017-02-17,1487289600,13.2,13.9,13.1,13.5,19380
2017-02-21,1487635200,13.9,13.9,13.5,13.6,4060
2017-02-22,1487721600,13.9,13.9,13.0,13.1,3440
2017-02-23,1487808000,13.0,13.4,13.0,13.0,13360
2017-02-24,1487894400,13.0,13.5,12.9,12.9,8720
2017-02-27,1488153600,12.8,13.2,12.3,12.7,34130
2017-02-28,1488240000,12.6,13.0,12.5,12.8,6640
2017-03-01,1488326400,12.8,13.0,12.5,12.6,8620
2017-03-02,1488412800,12.3,12.9,12.3,12.8,8590
2017-03-03,1488499200,12.9,13.3,12.7,13.3,10400
2017-03-06,1488758400,13.1,13.9,12.9,13.7,15010
2017-03-07,1488844800,13.5,14.5,13.5,13.9,13130
2017-03-08,1488931200,13.9,13.9,13.0,13.5,12320
2017-03-09,1489017600,13.2,13.8,13.0,13.5,6630
2017-03-10,1489104000,13.5,14.1,12.5,13.3,32890
2017-03-13,1489363200,13.2,13.9,12.8,13.3,15760
2017-03-14,1489449600,13.3,13.6,13.0,13.1,6450
2017-03-15,1489536000,12.9,13.5,12.8,12.8,3380
2017-03-16,1489622400,12.7,14.0,12.7,13.0,16150
2017-03-17,1489708800,13.2,13.9,12.8,13.6,20440
2017-03-20,1489968000,13.9,13.9,12.8,13.1,7110
2017-03-21,1490054400,13.5,13.5,12.2,12.5,26820
2017-03-22,1490140800,14.0,14.9,12.6,12.7,61270
2017-03-23,1490227200,12.7,13.5,12.7,13.1,13100
2017-03-24,1490313600,13.5,14.0,13.2,13.6,25070
2017-03-27,1490572800,13.8,13.8,13.0,13.3,20140
2017-03-28,1490659200,13.3,13.8,13.2,13.7,14260
2017-03-29,1490745600,13.9,13.9,13.4,13.6,5630
2017-03-30,1490832000,13.5,13.5,12.6,13.0,14870
2017-03-31,1490918400,12.7,13.1,12.4,12.8,16880
2017-04-03,1491177600,13.0,13.0,12.5,12.5,16430
2017-04-04,1491264000,12.6,13.2,12.3,13.0,48030
2017-04-05,1491350400,13.2,13.2,11.7,11.8,49020
2017-04-06,1491436800,12.6,12.6,11.6,12.0,15210
2017-04-07,1491523200,11.9,12.2,11.1,11.7,11950
2017-04-10,1491782400,11.6,12.6,11.1,12.3,15440
2017-04-11,1491868800,12.6,12.6,12.0,12.4,6080
2017-04-12,1491955200,12.7,13.0,12.1,12.7,11800
2017-04-13,1492041600,13.1,13.9,12.6,13.9,16320
2017-04-17,1492387200,13.9,13.9,13.2,13.5,12230
