Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,13.97,14.61,13.97,14.59,71800
2017-01-04,1483488000,14.6,15.23,14.38,14.67,108300
2017-01-05,1483574400,14.53,14.78,14.37,14.44,40200
2017-01-06,1483660800,14.47,14.47,14.13,14.16,44400
2017-01-09,1483920000,14.12,14.3,14.02,14.03,33700
2017-01-10,1484006400,14.12,14.41,13.81,13.88,84700
2017-01-11,1484092800,13.82,14.83,13.69,14.55,98900
2017-01-12,1484179200,14.36,14.47,13.91,14.06,55500
2017-01-13,1484265600,14.17,14.39,13.96,14.01,36300
2017-01-17,1484611200,14.0,14.14,13.9,13.9,47800
2017-01-18,1484697600,13.98,14.05,13.62,13.83,45600
2017-01-19,1484784000,13.89,13.93,13.55,13.72,47100
2017-01-20,1484870400,13.73,13.93,13.72,13.84,22200
2017-01-23,1485129600,13.89,14.18,13.66,14.09,36500
2017-01-24,1485216000,14.17,14.4,13.96,14.13,30700
2017-01-25,1485302400,14.02,14.23,14.02,14.14,33800
2017-01-26,1485388800,13.96,14.23,13.88,13.94,42400
2017-01-27,1485475200,13.99,14.05,13.72,13.78,21700
2017-01-30,1485734400,13.75,13.8,13.7,13.79,50900
2017-01-31,1485820800,13.65,13.83,13.52,13.82,47900
2017-02-01,1485907200,13.94,14.11,13.79,13.88,64100
2017-02-02,1485993600,13.85,14.02,13.63,13.73,49200
2017-02-03,1486080000,13.75,14.14,13.74,14.03,29200
2017-02-06,1486339200,14.01,14.17,14.01,14.12,21900
2017-02-07,1486425600,14.12,14.47,14.07,14.37,40000
2017-02-08,1486512000,14.31,14.49,14.18,14.33,40200
2017-02-09,1486598400,14.2,14.56,14.18,14.25,18800
2017-02-10,1486684800,14.2,14.24,13.87,14.19,13600
2017-02-13,1486944000,14.26,14.26,13.94,14.04,29700
2017-02-14,1487030400,14.01,14.23,13.92,14.01,72600
2017-02-15,1487116800,13.95,14.3,13.8,13.94,75400
2017-02-16,1487203200,14.01,14.39,13.49,14.3,42500
2017-02-17,1487289600,14.41,14.41,13.7,14.23,58100
2017-02-21,1487635200,14.13,14.31,13.77,13.9,35200
2017-02-22,1487721600,13.97,14.3,13.67,14.03,118500
2017-02-23,1487808000,14.18,14.41,13.66,14.24,93100
2017-02-24,1487894400,14.5,14.5,13.52,13.96,88100
2017-02-27,1488153600,14.3,14.4,13.98,14.16,58900
2017-02-28,1488240000,14.1,14.2,13.81,13.9,130100
2017-03-01,1488326400,13.99,14.09,13.5,13.56,130500
2017-03-02,1488412800,13.53,13.66,13.4,13.51,52000
2017-03-03,1488499200,13.44,13.67,13.4,13.4,47700
2017-03-06,1488758400,13.41,13.48,13.28,13.33,40500
2017-03-07,1488844800,13.36,13.47,13.24,13.26,29400
2017-03-08,1488931200,13.25,13.33,13.05,13.1,56700
2017-03-09,1489017600,13.08,13.23,12.85,12.86,83500
2017-03-10,1489104000,12.95,13.09,12.6,12.64,67700
2017-03-13,1489363200,12.6,13.1,12.6,12.83,27600
2017-03-14,1489449600,12.81,12.81,12.6,12.63,58500
2017-03-15,1489536000,12.66,13.0,12.55,12.89,58800
2017-03-16,1489622400,12.91,13.05,12.66,12.87,36900
2017-03-17,1489708800,12.95,12.95,12.68,12.85,71300
2017-03-20,1489968000,12.89,13.1,12.65,12.87,53400
2017-03-21,1490054400,12.94,12.97,12.4,12.42,117800
2017-03-22,1490140800,12.43,12.51,12.04,12.18,71700
2017-03-23,1490227200,12.16,12.68,12.13,12.45,77600
2017-03-24,1490313600,12.51,12.72,12.17,12.21,23100
2017-03-27,1490572800,12.11,12.37,12.11,12.15,41900
2017-03-28,1490659200,12.14,12.75,12.14,12.6,60700
2017-03-29,1490745600,12.54,12.87,12.5,12.79,25100
2017-03-30,1490832000,12.75,12.96,12.51,12.51,29400
2017-03-31,1490918400,12.52,12.71,12.38,12.46,29800
2017-04-03,1491177600,12.47,12.72,12.3,12.38,34400
2017-04-04,1491264000,12.22,12.97,12.22,12.41,31100
2017-04-05,1491350400,12.51,12.74,12.49,12.55,46400
2017-04-06,1491436800,12.53,12.55,12.11,12.29,51400
2017-04-07,1491523200,12.33,12.33,12.2,12.25,66200
2017-04-10,1491782400,12.33,12.52,12.2,12.25,50200
2017-04-11,1491868800,12.25,12.54,12.22,12.48,53800
2017-04-12,1491955200,12.44,12.58,12.27,12.46,24500
2017-04-13,1492041600,12.35,12.55,12.27,12.36,37100
2017-04-17,1492387200,12.39,12.67,12.35,12.66,54600
2017-04-18,1492473600,12.65,12.82,12.65,12.77,26400
2017-04-19,1492560000,13.0,14.14,13.0,13.66,142300
2017-04-20,1492646400,13.7,14.16,13.61,14.13,61600
2017-04-21,1492732800,14.19,14.44,13.81,14.31,61500
2017-04-24,1492992000,14.47,14.47,13.76,13.85,82100
2017-04-25,1493078400,13.93,14.59,13.93,14.03,69700
2017-04-26,1493164800,14.13,14.46,14.06,14.4,51500
2017-04-27,1493251200,14.38,14.65,14.11,14.48,33900
2017-04-28,1493337600,14.57,14.57,14.07,14.3,30200
2017-05-01,1493596800,14.32,14.46,14.0,14.37,44900
2017-05-02,1493683200,14.65,15.56,14.49,15.33,122700
2017-05-03,1493769600,15.3,15.31,14.8,15.03,57500
2017-05-04,1493856000,15.0,15.0,14.5,14.79,35100
2017-05-05,1493942400,14.8,15.72,14.51,15.49,43800
2017-05-08,1494201600,15.49,15.73,15.2,15.68,60800
2017-05-09,1494288000,15.66,16.54,15.65,16.13,157300
2017-05-10,1494374400,16.12,17.4,15.62,17.06,228700
2017-05-11,1494460800,17.07,17.2,16.52,16.78,122400
2017-05-12,1494547200,16.63,16.99,16.34,16.86,42400
2017-05-15,1494806400,16.5,16.79,16.05,16.62,155200
2017-05-16,1494892800,16.57,16.68,16.2,16.47,90800
2017-05-17,1494979200,16.3,16.39,15.23,15.8,93000
2017-05-18,1495065600,15.81,16.0,15.48,15.48,81000
2017-05-19,1495152000,16.0,16.0,15.16,15.16,174300
2017-05-22,1495411200,15.25,15.77,14.94,15.71,80100
2017-05-23,1495497600,15.69,15.69,15.15,15.32,40600
2017-05-24,1495584000,15.4,15.4,15.05,15.13,55600
2017-05-25,1495670400,15.24,15.55,15.05,15.53,164800
2017-05-26,1495756800,15.65,15.85,15.48,15.84,239800
2017-05-30,1496102400,16.11,16.4,15.95,16.23,60500
2017-05-31,1496188800,16.35,16.45,15.85,16.43,42100
2017-06-01,1496275200,16.5,16.83,16.22,16.76,42500
2017-06-02,1496361600,16.77,16.77,16.37,16.41,87700
2017-06-05,1496620800,16.35,16.35,15.64,15.94,79600
2017-06-06,1496707200,15.84,16.26,15.6,16.23,41300
2017-06-07,1496793600,16.19,16.19,15.84,15.89,27200
2017-06-08,1496880000,15.95,16.25,15.82,16.2,27000
2017-06-09,1496966400,16.19,16.44,16.02,16.15,35400
2017-06-12,1497225600,16.0,16.36,15.6,15.71,52300
2017-06-13,1497312000,15.62,15.82,15.6,15.77,25000
2017-06-14,1497398400,15.77,15.77,15.42,15.49,54400
2017-06-15,1497484800,15.35,15.46,15.2,15.24,116400
2017-06-16,1497571200,15.2,15.65,15.12,15.14,123500
2017-06-19,1497830400,15.31,15.98,15.2,15.98,74100
2017-06-20,1497916800,15.82,15.97,15.52,15.7,17600
2017-06-21,1498003200,15.8,15.97,15.68,15.75,22500
2017-06-22,1498089600,15.83,16.07,15.61,15.67,17900
2017-06-23,1498176000,15.82,15.82,15.14,15.43,102000
2017-06-26,1498435200,15.43,15.81,15.3,15.51,35500
2017-06-27,1498521600,15.44,15.54,15.21,15.29,12500
2017-06-28,1498608000,15.24,15.47,15.14,15.21,43500
2017-06-29,1498694400,15.26,15.26,14.95,15.06,36900
2017-06-30,1498780800,15.08,15.47,15.0,15.13,26900
2017-07-03,1499040000,15.29,15.69,15.17,15.54,21000
2017-07-05,1499212800,15.43,15.43,15.03,15.25,21300
2017-07-06,1499299200,15.1,15.46,15.0,15.17,25500
2017-07-07,1499385600,15.25,15.39,15.08,15.25,12100
2017-07-10,1499644800,15.21,15.22,15.0,15.04,17000
2017-07-11,1499731200,15.14,15.46,15.0,15.38,36200
2017-07-12,1499817600,15.53,15.53,15.25,15.41,11800
2017-07-13,1499904000,15.38,15.44,15.12,15.27,9700
2017-07-14,1499990400,15.17,15.26,15.1,15.11,7600
2017-07-17,1500249600,15.11,15.27,15.0,15.05,19700
2017-07-18,1500336000,15.03,15.08,15.0,15.01,19200
2017-07-19,1500422400,15.0,15.25,14.81,14.93,14400
2017-07-20,1500508800,14.85,15.0,14.71,14.82,11800
2017-07-21,1500595200,15.0,15.0,14.6,14.76,29500
2017-07-24,1500854400,14.75,14.75,14.15,14.2,25300
2017-07-25,1500940800,14.16,14.96,14.16,14.32,24900
2017-07-26,1501027200,14.58,15.0,14.56,14.93,14200
2017-07-27,1501113600,14.93,14.97,14.61,14.61,7100
2017-07-28,1501200000,14.48,14.91,14.48,14.68,8800
2017-07-31,1501459200,14.35,15.0,14.3,14.71,15100
2017-08-01,1501545600,14.9,15.0,14.79,15.0,22100
2017-08-02,1501632000,14.9,14.9,14.56,14.67,11900
2017-08-03,1501718400,14.67,14.96,14.5,14.5,13000
2017-08-04,1501804800,14.5,14.74,14.5,14.74,12400
2017-08-07,1502064000,14.63,15.0,14.51,14.93,33700
2017-08-08,1502150400,14.99,15.5,14.95,15.5,38000
2017-08-09,1502236800,15.01,15.01,14.1,14.14,127100
2017-08-10,1502323200,14.02,14.1,13.43,13.44,103600
2017-08-11,1502409600,13.52,13.61,13.16,13.52,69400
2017-08-14,1502668800,13.44,13.88,13.44,13.8,20900
2017-08-15,1502755200,13.8,13.8,13.49,13.55,32100
2017-08-16,1502841600,13.47,13.98,13.47,13.91,50200
2017-08-17,1502928000,13.72,13.76,13.5,13.53,68900
2017-08-18,1503014400,13.37,13.63,13.37,13.62,41000
2017-08-21,1503273600,13.59,13.64,12.95,13.15,39900
2017-08-22,1503360000,13.3,13.59,13.22,13.38,64200
2017-08-23,1503446400,13.23,13.43,13.23,13.36,32400
2017-08-24,1503532800,13.36,13.57,13.36,13.43,24600
2017-08-25,1503619200,13.49,13.67,13.35,13.51,42700
2017-08-28,1503878400,13.25,13.77,13.25,13.76,31100
2017-08-29,1503964800,13.7,13.7,13.47,13.66,24800
2017-08-30,1504051200,13.46,13.78,13.46,13.72,25800
2017-08-31,1504137600,13.5,13.75,13.27,13.27,42400
2017-09-01,1504224000,13.31,13.31,13.01,13.17,49300
2017-09-05,1504569600,13.19,13.19,12.85,12.87,56500
2017-09-06,1504656000,13.0,13.02,12.9,12.9,54200
2017-09-07,1504742400,12.94,12.94,12.8,12.8,43500
2017-09-08,1504828800,12.71,12.89,12.7,12.75,48700
2017-09-11,1505088000,12.93,12.93,12.61,12.66,54000
2017-09-12,1505174400,12.64,12.64,12.21,12.3,52800
2017-09-13,1505260800,12.2,12.46,12.2,12.33,41600
2017-09-14,1505347200,12.37,12.5,12.34,12.35,58800
2017-09-15,1505433600,12.48,12.81,12.42,12.81,157500
2017-09-18,1505692800,12.7,13.02,12.6,12.83,41300
2017-09-19,1505779200,12.85,13.11,12.85,13.05,28200
2017-09-20,1505865600,12.93,13.08,12.79,12.83,25200
2017-09-21,1505952000,12.81,12.95,12.63,12.75,21300
2017-09-22,1506038400,12.75,12.75,12.54,12.67,21800
2017-09-25,1506297600,12.68,12.74,12.56,12.72,19500
2017-09-26,1506384000,12.69,13.12,12.65,13.08,23300
2017-09-27,1506470400,13.12,13.5,12.97,13.5,44700
2017-09-28,1506556800,13.5,13.5,13.28,13.38,21000
2017-09-29,1506643200,13.3,13.39,13.06,13.06,16900
2017-10-02,1506902400,13.2,13.48,13.15,13.41,26100
2017-10-03,1506988800,13.41,13.48,13.16,13.16,24500
2017-10-04,1507075200,13.1,13.38,13.07,13.19,18100
2017-10-05,1507161600,13.14,13.41,13.14,13.34,25500
2017-10-06,1507248000,13.29,13.3,13.04,13.13,28800
2017-10-09,1507507200,13.02,13.1,13.02,13.05,16100
2017-10-10,1507593600,13.1,13.25,13.02,13.24,17100
2017-10-11,1507680000,13.25,13.5,13.18,13.43,23200
2017-10-12,1507766400,13.3,13.39,13.03,13.03,27400
2017-10-13,1507852800,13.16,13.34,13.0,13.34,9400
2017-10-16,1508112000,13.42,13.52,13.21,13.46,19700
2017-10-17,1508198400,13.26,13.59,13.25,13.25,27300
2017-10-18,1508284800,13.47,13.74,13.3,13.7,45300
2017-10-19,1508371200,13.55,13.74,13.46,13.74,6800
2017-10-20,1508457600,13.81,13.85,13.38,13.81,15500
2017-10-23,1508716800,13.75,13.8,13.58,13.63,23900
2017-10-24,1508803200,13.64,13.65,13.54,13.55,9600
2017-10-25,1508889600,13.52,13.52,13.36,13.5,12500
2017-10-26,1508976000,13.44,13.57,13.31,13.43,15900
2017-10-27,1509062400,13.3,13.62,13.3,13.5,30200
2017-10-30,1509321600,13.27,13.28,13.04,13.1,33900
2017-10-31,1509408000,13.0,13.19,13.0,13.1,17900
2017-11-01,1509494400,13.19,13.24,13.0,13.19,13900
2017-11-02,1509580800,13.19,13.45,13.06,13.43,25900
2017-11-03,1509667200,13.37,13.37,13.02,13.07,14200
2017-11-06,1509926400,13.0,13.2,12.93,13.2,43400
2017-11-07,1510012800,13.2,13.44,12.71,12.98,46000
2017-11-08,1510099200,12.86,13.21,12.02,12.23,111600
2017-11-09,1510185600,12.0,12.39,11.51,11.52,222700
2017-11-10,1510272000,11.47,11.79,11.32,11.46,114400
2017-11-13,1510531200,11.42,11.42,10.85,10.94,101500
2017-11-14,1510617600,10.85,11.3,10.67,11.24,40700
2017-11-15,1510704000,11.12,11.42,10.89,10.89,41600
2017-11-16,1510790400,10.9,11.63,10.9,11.63,27000
2017-11-17,1510876800,11.41,11.82,11.25,11.73,40800
2017-11-20,1511136000,11.75,11.75,11.45,11.59,19800
2017-11-21,1511222400,11.57,11.91,11.48,11.87,35200
2017-11-22,1511308800,11.75,12.18,11.5,11.68,26200
2017-11-24,1511481600,11.76,12.12,11.76,12.12,13800
2017-11-27,1511740800,12.05,12.07,11.95,11.96,23700
2017-11-28,1511827200,11.97,12.14,11.84,12.03,51900
2017-11-29,1511913600,12.04,12.32,11.8,12.1,28800
2017-11-30,1512000000,12.11,12.35,11.73,11.74,58300
2017-12-01,1512086400,11.57,11.75,10.88,11.32,33400
2017-12-04,1512345600,11.44,11.68,11.0,11.35,27400
2017-12-05,1512432000,11.28,11.44,11.02,11.3,21500
2017-12-06,1512518400,10.9,11.38,10.77,11.28,51200
2017-12-07,1512604800,11.1,11.35,11.03,11.28,18900
2017-12-08,1512691200,11.41,11.41,11.0,11.07,18900
2017-12-11,1512950400,11.13,11.49,11.01,11.04,24400
2017-12-12,1513036800,11.14,11.5,11.06,11.25,24100
2017-12-13,1513123200,11.31,11.48,11.13,11.29,25200
2017-12-14,1513209600,11.2,11.5,11.01,11.1,27000
2017-12-15,1513296000,11.01,11.6,10.9,10.95,65900
2017-12-18,1513555200,10.9,10.98,10.47,10.55,97400
2017-12-19,1513641600,10.54,10.54,10.35,10.4,85100
2017-12-20,1513728000,10.41,10.45,10.0,10.03,90500
2017-12-21,1513814400,10.0,10.16,9.98,10.06,136200
2017-12-22,1513900800,10.15,10.3,9.98,9.99,88200
2017-12-26,1514246400,9.93,10.07,9.93,10.0,101400
2017-12-27,1514332800,9.92,10.25,9.92,9.99,75600
2017-12-28,1514419200,9.95,10.11,9.95,10.07,55800
2017-12-29,1514505600,10.1,10.22,9.99,10.16,51000
2018-01-02,1514851200,10.19,10.7,10.19,10.42,36300
2018-01-03,1514937600,10.47,11.38,10.47,11.21,50700
2018-01-04,1515024000,11.17,11.37,10.62,11.15,46900
2018-01-05,1515110400,11.12,11.12,10.54,10.59,24000
2018-01-08,1515369600,10.83,10.83,10.33,10.44,28400
2018-01-09,1515456000,10.4,10.5,10.15,10.2,11100
2018-01-10,1515542400,10.18,10.24,10.05,10.15,33600
2018-01-11,1515628800,10.12,10.64,10.07,10.56,31600
2018-01-12,1515715200,10.6,10.6,10.26,10.39,25900
2018-01-16,1516060800,10.39,10.48,10.18,10.24,38300
2018-01-17,1516147200,10.27,10.27,10.13,10.25,8300
2018-01-18,1516233600,10.17,10.24,10.11,10.15,19400
2018-01-19,1516320000,10.14,10.33,10.06,10.33,32900
2018-01-22,1516579200,10.27,10.54,10.27,10.38,19700
2018-01-23,1516665600,10.3,10.52,10.28,10.44,12100
2018-01-24,1516752000,10.4,10.44,10.1,10.11,26400
2018-01-25,1516838400,10.21,10.33,10.06,10.25,16800
2018-01-26,1516924800,10.25,10.25,10.06,10.2,8700
2018-01-29,1517184000,10.06,10.06,9.9,9.95,9400
2018-01-30,1517270400,9.95,10.19,9.77,9.86,33000
2018-01-31,1517356800,9.83,9.83,9.03,9.2,53400
2018-02-01,1517443200,9.14,9.38,8.77,8.85,40500
2018-02-02,1517529600,8.81,8.81,8.28,8.5,42300
2018-02-05,1517788800,8.46,8.72,8.32,8.54,39500
2018-02-06,1517875200,8.5,9.41,8.16,8.36,26700
2018-02-07,1517961600,8.32,8.41,8.2,8.31,13600
2018-02-08,1518048000,8.35,8.6,8.03,8.06,21900
2018-02-09,1518134400,7.97,8.27,7.84,8.0,26000
2018-02-12,1518393600,8.0,8.48,8.0,8.43,17000
2018-02-13,1518480000,8.31,8.49,8.31,8.44,9200
2018-02-14,1518566400,8.3,8.65,8.3,8.42,13100
2018-02-15,1518652800,8.55,8.73,8.42,8.65,15500
2018-02-16,1518739200,8.55,9.0,8.55,8.97,19800
2018-02-20,1519084800,8.85,9.04,8.79,8.79,20000
2018-02-21,1519171200,8.87,9.01,8.82,8.99,7000
2018-02-22,1519257600,8.92,8.95,8.61,8.71,17800
2018-02-23,1519344000,8.62,8.93,8.62,8.93,6600
2018-02-26,1519603200,9.0,9.22,9.0,9.18,12700
2018-02-27,1519689600,9.17,9.25,8.8,8.98,15100
2018-02-28,1519776000,8.9,9.11,8.9,8.9,17000
2018-03-01,1519862400,9.11,9.5,8.88,9.43,17400
2018-03-02,1519948800,9.28,9.4,9.25,9.4,9600
2018-03-05,1520208000,9.04,9.52,9.04,9.37,16800
2018-03-06,1520294400,9.44,9.91,9.18,9.71,47400
2018-03-07,1520380800,9.73,10.44,8.97,9.8,42100
2018-03-08,1520467200,9.83,9.83,9.19,9.38,13900
2018-03-09,1520553600,9.51,9.61,9.3,9.61,19000
2018-03-12,1520812800,9.73,9.73,9.41,9.6,15000
2018-03-13,1520899200,9.64,9.64,9.33,9.33,12900
2018-03-14,1520985600,9.38,9.38,9.21,9.28,17200
2018-03-15,1521072000,8.35,8.55,7.51,8.22,151800
2018-03-16,1521158400,8.06,8.1,7.94,7.94,187200
2018-03-19,1521417600,7.91,7.92,7.51,7.81,37700
2018-03-20,1521504000,7.85,7.96,7.78,7.78,74300
2018-03-21,1521590400,7.85,7.93,7.52,7.72,137000
2018-03-22,1521676800,7.75,7.84,7.45,7.52,54600
2018-03-23,1521763200,7.51,7.6,7.18,7.5,46500
2018-03-26,1522022400,7.56,7.81,7.46,7.81,24400
2018-03-27,1522108800,7.71,7.72,7.51,7.68,15000
2018-03-28,1522195200,7.73,7.79,7.42,7.49,37000
2018-03-29,1522281600,7.48,7.93,7.48,7.9,32200
2018-04-02,1522627200,7.83,8.04,7.41,7.64,24400
2018-04-03,1522713600,7.62,7.96,7.62,7.66,29100
2018-04-04,1522800000,7.68,8.14,7.68,8.06,16100
2018-04-05,1522886400,7.95,8.01,7.88,7.91,15100
2018-04-06,1522972800,7.88,8.02,7.86,7.89,8600
2018-04-09,1523232000,7.85,7.97,7.8,7.81,10700
2018-04-10,1523318400,7.55,8.54,7.51,8.48,34000
2018-04-11,1523404800,8.46,8.77,8.38,8.7,12400
2018-04-12,1523491200,8.51,9.01,8.5,8.91,24900
2018-04-13,1523577600,8.9,8.9,8.71,8.75,20500
2018-04-16,1523836800,8.79,8.84,8.51,8.61,11200
2018-04-17,1523923200,8.76,8.78,8.12,8.64,21900
2018-04-18,1524009600,8.49,8.9,8.49,8.77,11000
2018-04-19,1524096000,8.68,9.0,8.68,8.94,9900
2018-04-20,1524182400,8.78,8.88,8.74,8.74,10000
2018-04-23,1524441600,8.8,8.99,8.65,8.71,8700
2018-04-24,1524528000,8.81,8.9,8.73,8.8,22800
2018-04-25,1524614400,8.8,8.8,8.67,8.72,11100
2018-04-26,1524700800,8.8,8.99,8.78,8.88,8300
2018-04-27,1524787200,8.97,8.99,8.65,8.66,16700
2018-04-30,1525046400,8.78,8.8,8.5,8.56,16300
2018-05-01,1525132800,8.55,8.83,8.5,8.83,8900
2018-05-02,1525219200,8.66,8.96,8.54,8.94,10000
2018-05-03,1525305600,8.83,8.87,8.54,8.77,6600
2018-05-04,1525392000,8.5,8.91,8.5,8.77,10200
