Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.37,1.41,1.32,1.38,190500
2017-01-04,1483488000,1.4,1.48,1.4,1.42,381400
2017-01-05,1483574400,1.47,1.47,1.35,1.45,514400
2017-01-06,1483660800,1.45,1.57,1.43,1.46,779400
2017-01-09,1483920000,1.46,1.51,1.4,1.41,481600
2017-01-10,1484006400,1.41,1.45,1.4,1.41,394200
2017-01-11,1484092800,1.42,1.48,1.41,1.45,412400
2017-01-12,1484179200,1.46,1.47,1.41,1.44,426000
2017-01-13,1484265600,1.44,1.53,1.44,1.5,624800
2017-01-17,1484611200,1.53,1.7,1.49,1.66,1111200
2017-01-18,1484697600,1.71,1.81,1.65,1.72,2784600
2017-01-19,1484784000,1.66,1.67,1.54,1.55,811100
2017-01-20,1484870400,1.54,2.02,1.53,2.0,3076800
2017-01-23,1485129600,1.97,2.36,1.91,2.08,7303600
2017-01-24,1485216000,2.04,2.1,1.95,2.06,1659300
2017-01-25,1485302400,2.08,2.27,2.06,2.13,1766100
2017-01-26,1485388800,2.13,2.2,2.04,2.1,1109200
2017-01-27,1485475200,2.1,2.19,2.08,2.1,846500
2017-01-30,1485734400,2.08,2.15,2.0,2.0,891300
2017-01-31,1485820800,1.96,2.1,1.92,2.07,709100
2017-02-01,1485907200,2.05,2.55,2.05,2.51,4029900
2017-02-02,1485993600,2.54,2.7,2.28,2.28,2683900
2017-02-03,1486080000,2.3,2.34,2.2,2.3,853300
2017-02-06,1486339200,2.3,2.59,2.3,2.45,1197700
2017-02-07,1486425600,2.46,2.55,2.32,2.35,780800
2017-02-08,1486512000,2.42,2.43,2.25,2.33,773400
2017-02-09,1486598400,2.35,2.43,2.3,2.4,575800
2017-02-10,1486684800,2.46,2.54,2.4,2.45,861000
2017-02-13,1486944000,2.46,2.74,2.45,2.58,1682900
2017-02-14,1487030400,2.54,2.61,2.46,2.58,863800
2017-02-15,1487116800,2.58,2.64,2.47,2.59,712400
2017-02-16,1487203200,2.58,2.61,2.5,2.57,478900
2017-02-17,1487289600,2.54,2.56,2.31,2.44,1191900
2017-02-21,1487635200,2.39,2.48,2.35,2.42,506000
2017-02-22,1487721600,2.41,2.45,2.33,2.36,338500
2017-02-23,1487808000,2.35,2.35,2.2,2.28,661700
2017-02-24,1487894400,2.25,2.31,2.1,2.31,468700
2017-02-27,1488153600,2.25,2.48,2.25,2.45,560700
2017-02-28,1488240000,2.42,2.87,2.38,2.78,2327800
2017-03-01,1488326400,2.9,3.22,2.66,3.0,3408100
2017-03-02,1488412800,3.03,3.84,2.95,3.01,5260700
2017-03-03,1488499200,3.07,3.11,2.8,2.84,1149300
2017-03-06,1488758400,2.82,2.86,2.62,2.67,768700
2017-03-07,1488844800,2.64,2.92,2.6,2.8,757300
2017-03-08,1488931200,2.77,3.02,2.77,2.94,725400
2017-03-09,1489017600,2.96,3.03,2.82,2.87,451000
2017-03-10,1489104000,2.89,3.04,2.84,2.99,626700
2017-03-13,1489363200,3.0,3.06,2.9,2.91,812300
2017-03-14,1489449600,2.92,2.97,2.77,2.95,655500
2017-03-15,1489536000,2.72,3.24,2.71,3.1,1361700
2017-03-16,1489622400,3.12,3.38,3.05,3.25,794900
2017-03-17,1489708800,3.24,3.55,3.22,3.55,1852200
2017-03-20,1489968000,3.58,3.6,3.35,3.36,947900
2017-03-21,1490054400,3.41,3.44,3.1,3.16,1051600
2017-03-22,1490140800,3.16,3.21,3.01,3.06,553600
2017-03-23,1490227200,3.05,3.34,2.97,3.2,676000
2017-03-24,1490313600,3.24,3.4,3.2,3.3,687900
2017-03-27,1490572800,3.23,3.42,3.17,3.39,572400
2017-03-28,1490659200,3.39,3.43,3.31,3.37,382900
2017-03-29,1490745600,3.38,3.57,3.36,3.43,679900
2017-03-30,1490832000,3.47,3.49,3.27,3.34,523800
2017-03-31,1490918400,3.29,3.3,3.1,3.23,783000
2017-04-03,1491177600,3.52,3.6,3.19,3.2,803300
2017-04-04,1491264000,3.17,3.23,3.01,3.11,912800
2017-04-05,1491350400,3.14,3.14,2.65,2.8,1834600
2017-04-06,1491436800,2.77,2.78,2.53,2.57,1432200
2017-04-07,1491523200,2.52,2.59,2.35,2.42,1305000
2017-04-10,1491782400,2.41,2.52,2.18,2.21,2053100
2017-04-11,1491868800,2.2,2.23,2.01,2.1,1270100
2017-04-12,1491955200,2.1,2.1,1.93,1.94,1126700
2017-04-13,1492041600,1.95,1.99,1.83,1.84,2058200
2017-04-17,1492387200,1.85,2.2,1.85,2.19,3403100
2017-04-18,1492473600,2.15,2.15,2.0,2.0,1380400
2017-04-19,1492560000,2.0,2.03,1.94,1.95,597800
2017-04-20,1492646400,1.96,2.06,1.94,1.97,517700
2017-04-21,1492732800,1.95,2.01,1.88,1.92,683200
2017-04-24,1492992000,1.99,1.99,1.87,1.96,541600
2017-04-25,1493078400,1.98,2.08,1.93,2.07,629700
2017-04-26,1493164800,2.07,2.18,2.06,2.14,1113100
2017-04-27,1493251200,2.13,2.17,2.07,2.1,412900
2017-04-28,1493337600,2.12,2.25,2.07,2.15,1202200
2017-05-01,1493596800,2.16,2.24,1.99,2.02,985400
2017-05-02,1493683200,2.01,2.08,1.87,1.94,907300
2017-05-03,1493769600,1.94,1.97,1.84,1.91,476900
2017-05-04,1493856000,1.93,1.93,1.84,1.87,314900
2017-05-05,1493942400,1.86,1.88,1.78,1.84,354300
2017-05-08,1494201600,1.84,1.88,1.78,1.78,335400
2017-05-09,1494288000,1.8,1.86,1.76,1.84,390200
2017-05-10,1494374400,1.75,1.91,1.73,1.9,631700
2017-05-11,1494460800,1.88,1.91,1.78,1.81,282400
2017-05-12,1494547200,1.79,1.83,1.7,1.71,463900
2017-05-15,1494806400,1.74,1.82,1.7,1.74,436000
2017-05-16,1494892800,1.75,1.77,1.67,1.74,249400
2017-05-17,1494979200,1.7,1.75,1.68,1.7,297900
2017-05-18,1495065600,1.69,1.77,1.69,1.7,357700
2017-05-19,1495152000,1.74,1.83,1.69,1.78,696500
2017-05-22,1495411200,1.78,1.84,1.76,1.79,136000
2017-05-23,1495497600,1.8,1.84,1.77,1.81,169000
2017-05-24,1495584000,1.81,1.83,1.75,1.81,212100
2017-05-25,1495670400,1.83,1.84,1.72,1.74,275900
2017-05-26,1495756800,1.74,1.74,1.69,1.72,215200
2017-05-30,1496102400,1.75,1.75,1.7,1.71,194200
2017-05-31,1496188800,1.74,1.78,1.71,1.72,260500
2017-06-01,1496275200,1.74,1.89,1.69,1.86,252200
2017-06-02,1496361600,1.87,1.95,1.81,1.86,381800
2017-06-05,1496620800,1.85,1.88,1.73,1.76,172500
2017-06-06,1496707200,1.75,1.82,1.73,1.81,183600
2017-06-07,1496793600,1.8,1.85,1.74,1.8,226900
2017-06-08,1496880000,1.77,1.84,1.75,1.77,197400
2017-06-09,1496966400,1.78,1.8,1.74,1.78,171800
2017-06-12,1497225600,1.79,1.8,1.71,1.72,305500
2017-06-13,1497312000,1.72,1.78,1.71,1.73,175100
2017-06-14,1497398400,1.74,1.77,1.68,1.74,264000
2017-06-15,1497484800,1.71,1.75,1.69,1.71,185800
2017-06-16,1497571200,1.69,1.72,1.65,1.7,329600
2017-06-19,1497830400,1.69,1.95,1.68,1.93,710100
2017-06-20,1497916800,1.93,2.05,1.8,1.92,1141900
2017-06-21,1498003200,1.94,2.0,1.91,1.96,289700
2017-06-22,1498089600,1.98,2.15,1.88,2.01,593000
2017-06-23,1498176000,2.0,2.02,1.8,1.81,5366100
2017-06-26,1498435200,1.84,1.97,1.76,1.81,629200
2017-06-27,1498521600,1.8,1.83,1.7,1.7,538500
2017-06-28,1498608000,1.71,1.8,1.7,1.7,413800
2017-06-29,1498694400,1.7,1.74,1.6,1.64,463000
2017-06-30,1498780800,1.64,1.64,1.56,1.57,447200
2017-07-03,1499040000,1.6,1.63,1.56,1.62,258100
2017-07-05,1499212800,1.6,1.61,1.55,1.59,388900
2017-07-06,1499299200,1.58,1.61,1.55,1.56,300700
2017-07-07,1499385600,1.58,1.66,1.47,1.51,624900
2017-07-10,1499644800,1.51,1.51,1.3,1.3,682600
2017-07-11,1499731200,1.33,1.37,1.33,1.33,387700
2017-07-12,1499817600,1.34,1.42,1.31,1.41,429200
2017-07-13,1499904000,1.42,1.47,1.36,1.43,366900
2017-07-14,1499990400,1.44,1.44,1.36,1.38,154500
2017-07-17,1500249600,1.4,1.47,1.38,1.43,308700
2017-07-18,1500336000,1.43,1.44,1.39,1.39,166800
2017-07-19,1500422400,1.4,1.48,1.39,1.43,174800
2017-07-20,1500508800,1.44,1.52,1.38,1.41,576000
2017-07-21,1500595200,1.41,1.45,1.37,1.4,409300
2017-07-24,1500854400,1.4,1.43,1.37,1.43,225500
2017-07-25,1500940800,1.43,1.43,1.38,1.4,171600
2017-07-26,1501027200,1.41,1.43,1.39,1.41,167900
2017-07-27,1501113600,1.41,1.43,1.33,1.33,353500
2017-07-28,1501200000,1.3,1.45,1.3,1.44,323400
2017-07-31,1501459200,1.46,1.53,1.41,1.43,368200
2017-08-01,1501545600,1.49,1.49,1.33,1.36,488800
2017-08-02,1501632000,1.35,1.39,1.32,1.38,137500
2017-08-03,1501718400,1.37,1.42,1.34,1.36,196800
2017-08-04,1501804800,1.31,1.35,1.22,1.29,444200
2017-08-07,1502064000,1.4,1.4,1.31,1.35,382200
2017-08-08,1502150400,1.45,1.45,1.25,1.29,472900
2017-08-09,1502236800,1.26,1.3,1.18,1.19,541100
2017-08-10,1502323200,1.17,1.2,1.15,1.17,343300
2017-08-11,1502409600,1.17,1.3,1.13,1.14,627400
2017-08-14,1502668800,1.15,1.2,1.06,1.11,815000
2017-08-15,1502755200,1.12,1.14,1.08,1.08,606900
2017-08-16,1502841600,1.08,1.15,1.08,1.11,454800
2017-08-17,1502928000,1.1,1.13,1.08,1.09,223700
2017-08-18,1503014400,1.09,1.12,0.99,1.0,817000
2017-08-21,1503273600,1.0,1.07,0.93,0.95,535500
2017-08-22,1503360000,0.96,1.01,0.94,0.98,358800
2017-08-23,1503446400,0.98,1.0,0.95,0.96,298000
2017-08-24,1503532800,0.96,0.98,0.93,0.95,526400
2017-08-25,1503619200,0.96,0.97,0.94,0.95,342500
2017-08-28,1503878400,0.95,1.01,0.94,0.95,536400
2017-08-29,1503964800,0.94,0.96,0.93,0.94,315100
2017-08-30,1504051200,0.98,1.15,0.97,0.98,2437900
2017-08-31,1504137600,1.0,1.03,0.94,0.95,1061500
2017-09-01,1504224000,0.96,1.07,0.95,1.05,3425900
2017-09-05,1504569600,1.07,1.25,1.07,1.24,3315400
2017-09-06,1504656000,1.33,1.38,1.19,1.22,3110400
2017-09-07,1504742400,1.2,1.35,1.2,1.32,1840500
2017-09-08,1504828800,1.3,1.3,1.2,1.21,1045000
2017-09-11,1505088000,1.2,1.26,1.17,1.21,697900
2017-09-12,1505174400,1.21,1.23,1.16,1.2,395200
2017-09-13,1505260800,1.18,1.27,1.18,1.24,794600
2017-09-14,1505347200,1.22,1.25,1.2,1.21,349700
2017-09-15,1505433600,1.22,1.32,1.2,1.28,2377500
2017-09-18,1505692800,1.29,1.37,1.23,1.25,1564400
2017-09-19,1505779200,1.23,1.27,1.17,1.18,888800
2017-09-20,1505865600,1.19,1.23,1.13,1.16,781800
2017-09-21,1505952000,1.16,1.18,1.1,1.16,898800
2017-09-22,1506038400,1.17,1.18,1.1,1.14,335400
2017-09-25,1506297600,1.2,1.26,1.16,1.21,1474900
2017-09-26,1506384000,1.17,1.19,1.12,1.17,740100
2017-09-27,1506470400,1.17,1.2,1.13,1.17,525500
2017-09-28,1506556800,1.18,1.19,1.14,1.14,550300
2017-09-29,1506643200,1.14,1.36,1.14,1.33,3374000
2017-10-02,1506902400,1.35,1.37,1.2,1.22,1827400
2017-10-03,1506988800,1.24,1.27,1.2,1.22,3019000
2017-10-04,1507075200,1.23,1.33,1.22,1.31,2054000
2017-10-05,1507161600,1.32,1.44,1.32,1.42,1790700
2017-10-06,1507248000,1.48,1.65,1.44,1.59,3381800
2017-10-09,1507507200,1.6,1.62,1.34,1.47,1630200
2017-10-10,1507593600,1.5,1.52,1.43,1.46,512000
2017-10-11,1507680000,1.45,1.69,1.43,1.67,2749700
2017-10-12,1507766400,2.46,3.75,2.44,3.73,61230500
2017-10-13,1507852800,3.28,3.62,2.85,2.9,15755400
2017-10-16,1508112000,3.04,3.14,2.66,2.95,4759400
2017-10-17,1508198400,2.95,3.07,2.68,2.7,2152100
2017-10-18,1508284800,2.68,2.68,2.08,2.1,3713000
2017-10-19,1508371200,2.17,2.62,2.1,2.4,4347800
2017-10-20,1508457600,2.43,2.45,2.26,2.28,2123600
2017-10-23,1508716800,2.32,2.36,2.23,2.3,1370700
2017-10-24,1508803200,2.28,2.33,2.2,2.21,916600
2017-10-25,1508889600,2.2,2.48,2.2,2.28,1840400
2017-10-26,1508976000,2.27,2.27,2.1,2.12,1033900
2017-10-27,1509062400,2.16,2.26,2.12,2.26,852900
2017-10-30,1509321600,2.25,2.4,2.25,2.32,1088500
2017-10-31,1509408000,2.35,2.39,2.26,2.33,725500
2017-11-01,1509494400,2.34,2.36,2.13,2.2,742100
2017-11-02,1509580800,2.19,2.35,2.15,2.32,720800
2017-11-03,1509667200,2.3,2.7,2.29,2.56,2728200
2017-11-06,1509926400,2.6,2.8,2.51,2.53,1685500
