Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.45,2.45,2.2,2.35,35600
2017-01-04,1483488000,2.32,2.45,2.3,2.35,20400
2017-01-05,1483574400,2.35,2.4,2.33,2.35,4200
2017-01-06,1483660800,2.3,2.45,2.2,2.3,35200
2017-01-09,1483920000,2.25,2.3,2.2,2.2,19400
2017-01-10,1484006400,2.25,2.3,2.25,2.25,16800
2017-01-11,1484092800,2.38,2.38,2.15,2.25,10600
2017-01-12,1484179200,2.3,2.3,2.15,2.25,44700
2017-01-13,1484265600,2.25,2.25,2.15,2.25,5500
2017-01-17,1484611200,2.25,2.4,2.15,2.2,91800
2017-01-18,1484697600,2.25,2.25,2.15,2.2,46100
2017-01-19,1484784000,2.25,2.35,2.15,2.2,67000
2017-01-20,1484870400,2.2,2.2,2.15,2.2,1200
2017-01-23,1485129600,2.2,2.25,2.15,2.2,6400
2017-01-24,1485216000,2.25,2.25,2.1,2.2,43500
2017-01-25,1485302400,2.2,2.25,2.2,2.2,13300
2017-01-26,1485388800,2.15,2.25,2.15,2.2,9600
2017-01-27,1485475200,2.25,2.3,2.15,2.25,82600
2017-01-30,1485734400,2.2,2.3,2.2,2.25,13400
2017-01-31,1485820800,2.3,2.3,2.2,2.3,12300
2017-02-01,1485907200,2.25,2.25,2.15,2.2,24100
2017-02-02,1485993600,2.15,2.2,2.1,2.2,37200
2017-02-03,1486080000,2.15,2.25,2.15,2.15,78600
2017-02-06,1486339200,2.15,2.25,2.1,2.1,23400
2017-02-07,1486425600,2.1,2.2,2.1,2.15,15000
2017-02-08,1486512000,2.2,2.2,2.1,2.1,3300
2017-02-09,1486598400,2.15,2.15,2.1,2.15,27900
2017-02-10,1486684800,2.15,2.2,2.1,2.2,2400
2017-02-13,1486944000,2.2,2.25,2.1,2.2,5300
2017-02-14,1487030400,2.25,2.25,2.15,2.25,35200
2017-02-15,1487116800,2.2,2.3,2.2,2.25,33900
2017-02-16,1487203200,2.25,2.25,2.15,2.15,12000
2017-02-17,1487289600,2.2,2.25,2.2,2.25,11400
2017-02-21,1487635200,2.25,2.25,2.2,2.25,12600
2017-02-22,1487721600,2.25,2.3,2.2,2.25,4400
2017-02-23,1487808000,2.16,2.25,2.15,2.25,6900
2017-02-24,1487894400,2.2,2.25,2.2,2.25,2900
2017-02-27,1488153600,2.25,2.3,2.2,2.3,17100
2017-02-28,1488240000,2.3,2.4,2.2,2.25,28400
2017-03-01,1488326400,2.3,2.3,2.1,2.1,26600
2017-03-02,1488412800,2.1,2.15,2.0,2.1,78500
2017-03-03,1488499200,2.1,2.15,2.05,2.15,15000
2017-03-06,1488758400,2.1,2.1,2.0,2.0,50000
2017-03-07,1488844800,2.0,2.1,2.0,2.05,38300
2017-03-08,1488931200,2.1,2.1,1.95,1.95,27000
2017-03-09,1489017600,2.1,2.1,1.95,2.0,33900
2017-03-10,1489104000,2.0,2.05,1.95,2.0,25000
2017-03-13,1489363200,1.95,2.05,1.9,1.9,3900
2017-03-14,1489449600,1.9,2.05,1.9,1.95,37900
2017-03-15,1489536000,1.95,2.0,1.9,1.95,36200
2017-03-16,1489622400,2.0,2.05,1.95,1.95,56000
2017-03-17,1489708800,2.0,2.05,1.95,1.95,18300
2017-03-20,1489968000,1.95,1.99,1.95,1.95,10500
2017-03-21,1490054400,1.95,2.0,1.9,1.9,27000
2017-03-22,1490140800,1.9,1.95,1.9,1.9,19400
2017-03-23,1490227200,1.9,2.1,1.9,2.1,68600
2017-03-24,1490313600,2.1,2.1,2.05,2.1,1600
2017-03-27,1490572800,2.1,2.15,2.0,2.15,22000
2017-03-28,1490659200,2.15,2.15,2.05,2.05,32600
2017-03-29,1490745600,2.05,2.2,2.05,2.15,22000
2017-03-30,1490832000,2.15,2.25,2.15,2.2,51600
2017-03-31,1490918400,2.2,2.25,2.2,2.2,28000
2017-04-03,1491177600,2.25,2.25,1.95,1.95,96400
2017-04-04,1491264000,2.0,2.1,1.95,2.0,42000
2017-04-05,1491350400,2.0,2.1,2.0,2.0,16200
2017-04-06,1491436800,2.1,2.1,2.05,2.05,3500
2017-04-07,1491523200,2.05,2.1,1.95,2.1,27900
2017-04-10,1491782400,2.1,2.15,2.0,2.0,32000
2017-04-11,1491868800,2.1,2.1,2.05,2.05,2700
2017-04-12,1491955200,2.05,2.05,1.95,1.95,42100
