Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,43.85,44.18,43.2,43.84,435500
2017-01-04,1483488000,43.81,44.53,43.64,44.34,344700
2017-01-05,1483574400,44.36,44.9,44.07,44.78,480800
2017-01-06,1483660800,44.79,45.01,43.5,43.52,427200
2017-01-09,1483920000,43.21,43.65,42.99,43.1,385300
2017-01-10,1484006400,42.96,43.35,42.06,42.15,560800
2017-01-11,1484092800,42.3,42.68,42.05,42.4,340600
2017-01-12,1484179200,42.3,42.49,41.79,42.02,458800
2017-01-13,1484265600,42.22,42.61,42.05,42.11,258100
2017-01-17,1484611200,42.3,42.45,41.85,42.06,347500
2017-01-18,1484697600,41.86,42.03,41.48,41.86,307100
2017-01-19,1484784000,41.8,42.07,41.25,41.57,252100
2017-01-20,1484870400,41.91,42.25,41.79,42.08,216200
2017-01-23,1485129600,41.82,42.01,41.36,41.56,281500
2017-01-24,1485216000,41.79,42.44,41.53,42.23,244500
2017-01-25,1485302400,42.19,42.86,42.19,42.79,160700
2017-01-26,1485388800,42.94,43.03,42.44,42.59,179900
2017-01-27,1485475200,42.52,42.85,41.93,42.07,202500
2017-01-30,1485734400,41.91,42.35,41.09,42.11,318000
2017-01-31,1485820800,42.11,42.22,41.46,42.15,287600
2017-02-01,1485907200,42.5,42.61,41.98,42.32,340600
2017-02-02,1485993600,42.18,42.72,42.03,42.5,475900
2017-02-03,1486080000,42.8,43.0,42.3,42.94,258000
2017-02-06,1486339200,43.01,43.27,42.61,42.67,237300
2017-02-07,1486425600,42.6,42.85,41.95,42.18,301400
2017-02-08,1486512000,41.91,42.59,41.72,42.52,238000
2017-02-09,1486598400,42.81,43.76,42.81,43.75,265300
2017-02-10,1486684800,43.94,43.94,43.12,43.39,250300
2017-02-13,1486944000,43.57,43.71,43.17,43.33,293500
2017-02-14,1487030400,43.17,43.29,42.63,42.99,389700
2017-02-15,1487116800,40.52,40.74,35.61,36.69,3106100
2017-02-16,1487203200,36.73,36.98,36.2,36.71,1090000
2017-02-17,1487289600,36.71,36.93,36.14,36.32,733500
2017-02-21,1487635200,36.52,36.55,35.97,36.1,757200
2017-02-22,1487721600,35.92,36.07,34.86,35.26,974300
2017-02-23,1487808000,35.68,36.13,35.11,35.19,1064800
2017-02-24,1487894400,35.23,35.23,34.37,34.57,1599100
2017-02-27,1488153600,34.69,34.82,33.93,34.48,1164400
2017-02-28,1488240000,34.51,34.85,34.18,34.28,986000
2017-03-01,1488326400,34.63,34.66,34.34,34.36,751500
2017-03-02,1488412800,34.34,34.62,34.2,34.51,577600
2017-03-03,1488499200,34.62,34.62,34.22,34.41,544000
2017-03-06,1488758400,34.18,34.41,34.09,34.33,720800
2017-03-07,1488844800,34.34,34.42,34.03,34.17,693400
2017-03-08,1488931200,34.11,34.34,34.03,34.18,1189800
2017-03-09,1489017600,34.24,34.4,33.8,34.17,1115300
2017-03-10,1489104000,34.25,34.82,34.12,34.59,736900
2017-03-13,1489363200,34.68,34.88,34.42,34.69,468700
2017-03-14,1489449600,34.54,34.9,33.86,34.68,773100
2017-03-15,1489536000,34.76,35.33,34.41,35.18,672300
2017-03-16,1489622400,35.28,35.6,34.88,34.94,586600
2017-03-17,1489708800,35.02,35.2,34.88,35.1,694900
2017-03-20,1489968000,34.95,35.14,34.76,34.85,465500
2017-03-21,1490054400,34.98,35.07,33.98,34.02,1108100
2017-03-22,1490140800,33.93,33.94,33.41,33.8,679400
2017-03-23,1490227200,33.74,33.96,33.36,33.37,972500
2017-03-24,1490313600,33.5,33.66,33.18,33.36,1099700
2017-03-27,1490572800,33.13,33.48,33.02,33.47,682000
2017-03-28,1490659200,33.51,34.31,33.35,34.23,623900
2017-03-29,1490745600,34.21,34.68,34.17,34.56,784800
2017-03-30,1490832000,34.53,34.73,34.11,34.14,552700
2017-03-31,1490918400,34.09,34.51,33.9,34.41,732300
2017-04-03,1491177600,34.36,34.52,34.12,34.31,514800
2017-04-04,1491264000,34.32,34.61,34.15,34.6,827300
2017-04-05,1491350400,34.83,35.01,34.05,34.15,1119800
2017-04-06,1491436800,34.2,34.2,33.72,33.92,717800
2017-04-07,1491523200,34.0,34.06,33.52,33.7,551400
2017-04-10,1491782400,33.83,34.61,33.6,34.46,502000
2017-04-11,1491868800,34.35,34.51,34.05,34.44,520800
2017-04-12,1491955200,34.29,34.57,34.07,34.14,399900
2017-04-13,1492041600,34.02,34.35,33.54,33.58,531700
2017-04-17,1492387200,33.71,33.82,33.37,33.73,470800
2017-04-18,1492473600,33.55,34.17,33.55,34.06,531500
2017-04-19,1492560000,34.23,34.33,33.86,33.95,442300
2017-04-20,1492646400,33.99,34.35,33.81,34.22,658100
2017-04-21,1492732800,34.47,34.88,34.16,34.69,629000
2017-04-24,1492992000,34.84,34.91,34.62,34.79,433200
2017-04-25,1493078400,34.87,35.39,34.72,35.25,503400
2017-04-26,1493164800,35.23,35.6,35.0,35.22,439600
2017-04-27,1493251200,35.15,35.15,34.52,34.92,569500
2017-04-28,1493337600,36.07,36.16,34.92,34.96,654100
2017-05-01,1493596800,35.1,35.67,34.79,35.51,616100
2017-05-02,1493683200,35.48,35.63,35.01,35.05,558700
2017-05-03,1493769600,35.05,35.26,34.84,35.11,489800
2017-05-04,1493856000,34.68,35.07,34.49,35.07,597300
2017-05-05,1493942400,35.2,35.9,34.98,35.88,641000
2017-05-08,1494201600,35.86,36.07,35.57,35.85,695500
2017-05-09,1494288000,35.8,36.04,35.61,35.85,576400
2017-05-10,1494374400,35.91,36.64,35.9,36.46,642400
2017-05-11,1494460800,36.49,36.66,36.05,36.22,866300
2017-05-12,1494547200,36.06,36.25,35.52,35.61,428100
2017-05-15,1494806400,35.7,36.28,35.7,36.15,373600
2017-05-16,1494892800,36.34,36.36,35.99,36.08,411000
2017-05-17,1494979200,36.08,36.24,35.56,35.56,331000
2017-05-18,1495065600,35.42,35.73,35.26,35.27,514200
2017-05-19,1495152000,35.26,35.51,35.02,35.37,816900
2017-05-22,1495411200,35.38,35.94,35.3,35.59,542000
