Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,32.66,32.95,32.36,32.65,20196500
2017-01-04,1483488000,32.75,32.8,32.42,32.48,15915700
2017-01-05,1483574400,32.52,32.76,32.39,32.43,13986000
2017-01-06,1483660800,32.64,32.72,32.29,32.54,15114000
2017-01-09,1483920000,32.54,32.91,32.54,32.66,19461400
2017-01-10,1484006400,32.61,32.95,32.59,32.6,15918800
2017-01-11,1484092800,32.57,33.01,32.57,32.96,22398400
2017-01-12,1484179200,32.86,32.86,32.4,32.75,20391900
2017-01-13,1484265600,32.75,32.88,32.67,32.82,15072200
2017-01-17,1484611200,32.71,32.86,32.64,32.83,20195200
2017-01-18,1484697600,32.91,33.02,32.66,32.79,15382500
2017-01-19,1484784000,32.57,32.93,32.57,32.62,13654500
2017-01-20,1484870400,32.79,33.04,32.63,32.95,23950900
2017-01-23,1485129600,33.07,33.2,32.61,32.8,27752600
2017-01-24,1485216000,32.87,33.67,32.84,33.56,35140900
2017-01-25,1485302400,33.78,33.9,33.47,33.72,32276400
2017-01-26,1485388800,33.74,33.83,33.38,33.51,34144800
2017-01-27,1485475200,33.9,34.3,33.73,33.88,44368600
2017-01-30,1485734400,33.67,33.76,33.3,33.38,23954700
2017-01-31,1485820800,33.2,33.34,32.69,32.85,27059100
2017-02-01,1485907200,32.85,32.96,32.13,32.58,28380600
2017-02-02,1485993600,32.35,32.74,32.29,32.72,31916900
2017-02-03,1486080000,32.97,33.08,32.75,32.81,21038100
2017-02-06,1486339200,32.8,32.8,32.48,32.59,21427000
2017-02-07,1486425600,32.75,32.81,32.56,32.66,18581900
2017-02-08,1486512000,32.65,32.93,32.47,32.69,20807400
2017-02-09,1486598400,32.79,32.79,31.81,31.86,47802700
2017-02-10,1486684800,31.68,31.83,31.3,31.75,44106500
2017-02-13,1486944000,31.96,32.21,31.75,32.17,28180600
2017-02-14,1487030400,32.2,32.31,31.92,32.28,25734800
2017-02-15,1487116800,32.33,32.4,32.05,32.39,18452200
2017-02-16,1487203200,32.51,32.85,32.44,32.71,21317500
2017-02-17,1487289600,32.63,32.78,32.44,32.78,18909900
2017-02-21,1487635200,32.82,32.93,32.64,32.81,20556000
2017-02-22,1487721600,32.65,32.7,32.16,32.41,29904400
2017-02-23,1487808000,32.56,32.61,32.26,32.51,22775000
2017-02-24,1487894400,32.47,32.82,32.3,32.82,18617600
2017-02-27,1488153600,32.72,32.96,32.59,32.8,14065200
2017-02-28,1488240000,32.72,32.76,32.35,32.53,24977000
2017-03-01,1488326400,32.21,32.44,31.84,32.28,34085900
2017-03-02,1488412800,32.28,32.36,32.03,32.26,23602100
2017-03-03,1488499200,32.29,32.43,32.05,32.26,17538100
2017-03-06,1488758400,32.16,32.17,31.82,31.96,24416700
2017-03-07,1488844800,31.93,32.17,31.8,32.17,23434900
2017-03-08,1488931200,32.05,32.26,31.92,32.0,20920100
2017-03-09,1489017600,31.99,32.29,31.9,32.18,23616800
2017-03-10,1489104000,32.45,32.61,32.15,32.26,25402300
2017-03-13,1489363200,32.21,32.38,31.39,31.59,53582900
2017-03-14,1489449600,31.5,31.65,31.14,31.61,28586900
2017-03-15,1489536000,31.39,31.6,31.16,31.54,27996100
2017-03-16,1489622400,31.6,31.77,31.51,31.57,19616100
2017-03-17,1489708800,31.73,31.74,31.54,31.69,30778900
2017-03-20,1489968000,31.78,32.01,31.68,31.83,17322300
2017-03-21,1490054400,31.98,31.99,31.45,31.48,22814500
2017-03-22,1490140800,31.64,31.86,31.45,31.78,19144500
2017-03-23,1490227200,31.89,31.89,31.46,31.69,20640400
2017-03-24,1490313600,32.03,32.1,31.55,31.59,22188000
2017-03-27,1490572800,31.51,31.9,31.39,31.8,16992200
2017-03-28,1490659200,31.75,32.08,31.64,31.99,18398100
2017-03-29,1490745600,31.91,32.08,31.84,31.96,17202600
2017-03-30,1490832000,31.97,32.25,31.91,32.12,16433000
2017-03-31,1490918400,32.12,32.57,32.11,32.41,21438400
2017-04-03,1491177600,32.52,33.01,32.45,32.49,32013600
2017-04-04,1491264000,32.45,32.69,32.34,32.6,18918000
2017-04-05,1491350400,32.73,33.03,32.5,32.54,22455500
2017-04-06,1491436800,32.46,32.6,32.37,32.37,20198200
2017-04-07,1491523200,32.41,32.63,32.34,32.37,15689500
