Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,109.9,110.83,109.67,110.3,1433800
2017-01-04,1483488000,110.26,111.14,109.86,110.52,871700
2017-01-05,1483574400,110.33,111.25,110.06,111.2,1051400
2017-01-06,1483660800,111.44,112.82,111.06,112.66,997200
2017-01-09,1483920000,112.68,112.77,111.62,112.32,706400
2017-01-10,1484006400,112.25,112.43,111.11,111.93,925500
2017-01-11,1484092800,111.92,112.49,111.33,112.19,837900
2017-01-12,1484179200,112.06,112.94,111.22,112.83,708000
2017-01-13,1484265600,112.82,113.05,112.32,112.89,616000
2017-01-17,1484611200,112.75,113.09,111.43,111.91,753700
2017-01-18,1484697600,112.41,112.66,111.47,111.62,843100
2017-01-19,1484784000,111.89,112.21,110.93,111.78,961800
2017-01-20,1484870400,112.29,112.99,111.61,112.89,1376800
2017-01-23,1485129600,112.84,113.22,112.05,112.89,1053100
2017-01-24,1485216000,113.48,114.57,113.05,114.48,964400
2017-01-25,1485302400,115.34,116.21,114.8,115.69,1442600
2017-01-26,1485388800,115.68,115.79,114.12,114.2,1041600
2017-01-27,1485475200,114.83,114.97,113.96,114.32,703000
2017-01-30,1485734400,114.23,114.28,113.09,114.27,807800
2017-01-31,1485820800,114.16,114.31,113.39,114.31,1207200
2017-02-01,1485907200,114.23,114.71,113.17,113.48,922600
2017-02-02,1485993600,112.99,113.94,112.24,113.59,743800
2017-02-03,1486080000,114.28,114.96,114.06,114.11,828100
2017-02-06,1486339200,113.84,113.92,113.06,113.65,757200
2017-02-07,1486425600,113.99,114.32,112.98,113.25,790900
2017-02-08,1486512000,107.87,113.43,107.87,112.36,2963600
2017-02-09,1486598400,112.44,113.05,111.63,111.91,1718300
2017-02-10,1486684800,112.37,113.32,111.72,113.3,1428100
2017-02-13,1486944000,113.94,114.41,112.99,114.14,1357800
2017-02-14,1487030400,113.91,114.59,113.31,114.56,1475000
2017-02-15,1487116800,114.28,114.68,113.69,114.67,1031100
2017-02-16,1487203200,114.72,115.04,114.11,114.95,874800
2017-02-17,1487289600,114.95,115.56,113.95,115.55,2113400
2017-02-21,1487635200,115.12,116.2,114.54,115.56,1505700
2017-02-22,1487721600,115.46,115.84,114.82,115.13,1254800
2017-02-23,1487808000,115.19,116.63,114.78,116.36,1635100
2017-02-24,1487894400,121.95,123.83,119.41,123.4,3478500
2017-02-27,1488153600,122.38,122.99,120.86,121.32,2245800
2017-02-28,1488240000,121.2,121.33,119.91,120.93,1932300
2017-03-01,1488326400,121.36,121.36,119.71,120.05,2503400
2017-03-02,1488412800,119.48,120.91,119.4,120.67,1543100
2017-03-03,1488499200,120.87,122.11,120.22,121.9,1500600
2017-03-06,1488758400,121.22,122.0,120.92,121.56,1045500
2017-03-07,1488844800,121.89,121.94,120.78,120.89,1121900
2017-03-08,1488931200,120.55,121.13,120.36,121.08,1469700
2017-03-09,1489017600,121.4,121.47,119.8,120.27,1294700
2017-03-10,1489104000,121.17,121.17,120.18,120.45,1282100
2017-03-13,1489363200,120.28,120.58,119.97,120.45,2094600
2017-03-14,1489449600,120.39,120.53,119.39,119.84,2018500
2017-03-15,1489536000,120.44,120.85,119.71,120.18,1358300
2017-03-16,1489622400,120.16,120.45,119.44,119.88,1259900
2017-03-17,1489708800,120.02,120.15,119.24,119.46,1668000
2017-03-20,1489968000,119.12,119.72,118.35,118.96,1380500
2017-03-21,1490054400,119.09,119.35,116.6,116.7,1754200
2017-03-22,1490140800,116.9,117.12,116.47,116.76,1571100
2017-03-23,1490227200,116.94,117.68,115.59,115.67,1485300
2017-03-24,1490313600,116.1,116.3,114.82,115.41,1890100
2017-03-27,1490572800,114.57,114.78,113.55,114.19,2110600
2017-03-28,1490659200,114.48,114.62,113.41,113.75,2695300
2017-03-29,1490745600,113.59,113.89,112.57,113.64,4294300
2017-03-30,1490832000,113.32,113.55,111.28,111.46,2093200
2017-03-31,1490918400,111.34,112.2,111.15,111.82,4699700
2017-04-03,1491177600,111.87,112.33,110.67,111.99,4074500
2017-04-04,1491264000,111.53,112.58,111.53,111.86,1718300
2017-04-05,1491350400,112.38,113.06,111.87,112.36,1881700
2017-04-06,1491436800,112.19,113.95,111.73,113.9,3653600
2017-04-07,1491523200,114.08,115.02,113.9,114.53,2561800
2017-04-10,1491782400,114.62,115.34,114.13,114.69,2147200
2017-04-11,1491868800,114.44,114.81,113.49,114.74,1673300
2017-04-12,1491955200,114.31,114.45,113.61,113.92,1668000
2017-04-13,1492041600,114.14,114.95,113.82,113.98,1115900
2017-04-17,1492387200,114.37,114.74,114.02,114.71,940200
2017-04-18,1492473600,114.5,115.52,114.35,115.39,1719200
2017-04-19,1492560000,115.69,115.76,114.76,115.03,1434400
2017-04-20,1492646400,115.16,115.18,113.93,114.35,2790600
2017-04-21,1492732800,114.55,114.79,114.02,114.44,2409500
2017-04-24,1492992000,115.46,115.46,114.33,114.82,1748100
2017-04-25,1493078400,114.98,115.42,114.68,115.13,2072300
2017-04-26,1493164800,114.96,115.07,111.79,111.97,3963400
2017-04-27,1493251200,119.25,121.57,119.07,121.45,4945700
2017-04-28,1493337600,121.9,121.9,120.68,121.06,1943300
2017-05-01,1493596800,121.39,121.5,120.58,121.36,1381300
2017-05-02,1493683200,121.58,122.01,120.87,121.74,1427900
2017-05-03,1493769600,121.82,121.82,120.94,121.44,936600
2017-05-04,1493856000,121.75,121.94,121.31,121.77,971300
2017-05-05,1493942400,122.29,122.29,121.53,121.96,755300
2017-05-08,1494201600,121.97,122.16,121.39,121.99,974700
2017-05-09,1494288000,122.04,122.87,121.74,122.53,1097000
2017-05-10,1494374400,122.26,123.23,122.26,122.88,1378300
2017-05-11,1494460800,122.63,122.97,121.9,122.67,978600
2017-05-12,1494547200,122.66,122.66,121.96,122.32,793600
2017-05-15,1494806400,122.14,123.41,121.83,123.4,1346000
2017-05-16,1494892800,123.35,123.38,122.9,123.27,930700
2017-05-17,1494979200,122.56,123.2,121.14,121.19,1471600
2017-05-18,1495065600,121.05,121.66,120.1,121.0,1697300
2017-05-19,1495152000,121.13,122.47,120.57,121.22,2704500
2017-05-22,1495411200,121.34,123.06,121.01,122.94,1719800
2017-05-23,1495497600,123.56,125.79,123.17,124.87,2670800
2017-05-24,1495584000,135.08,135.6,131.89,133.26,5279500
2017-05-25,1495670400,132.97,134.21,130.94,133.77,3528800
2017-05-26,1495756800,133.45,135.22,132.29,133.97,2318100
2017-05-30,1496102400,133.89,135.55,133.42,135.41,2606300
2017-05-31,1496188800,135.55,136.4,134.89,135.98,2388000
2017-06-01,1496275200,135.89,136.98,135.62,136.64,1903100
2017-06-02,1496361600,136.54,138.15,136.45,138.07,1521900
2017-06-05,1496620800,137.89,138.7,137.48,137.92,1472500
2017-06-06,1496707200,137.47,138.2,136.91,136.93,1987100
2017-06-07,1496793600,137.41,138.07,136.74,137.26,1447000
2017-06-08,1496880000,137.51,138.25,136.91,137.98,1416800
2017-06-09,1496966400,138.26,139.04,134.49,135.56,1890700
2017-06-12,1497225600,134.35,135.49,133.43,135.11,1776500
2017-06-13,1497312000,135.16,136.04,134.79,135.24,1492500
2017-06-14,1497398400,135.84,136.35,134.26,135.54,906900
2017-06-15,1497484800,134.35,135.82,133.55,135.36,1347000
2017-06-16,1497571200,134.05,135.8,134.05,134.87,1920800
2017-06-19,1497830400,135.55,136.6,135.12,136.08,1690200
2017-06-20,1497916800,135.9,136.23,135.39,135.52,1042200
2017-06-21,1498003200,136.11,136.83,135.34,135.6,1265100
2017-06-22,1498089600,135.26,135.98,134.97,135.35,1112900
2017-06-23,1498176000,135.59,136.11,134.93,135.74,1543600
2017-06-26,1498435200,133.82,135.21,133.12,133.81,1363800
2017-06-27,1498521600,133.21,133.82,130.78,130.8,1540500
2017-06-28,1498608000,130.96,133.06,130.03,130.88,1533100
2017-06-29,1498694400,130.5,130.65,127.96,128.69,1784900
2017-06-30,1498780800,129.32,130.31,128.38,128.41,2294800
2017-07-03,1499040000,129.38,129.39,127.28,127.31,759200
2017-07-05,1499212800,127.54,128.48,126.91,127.6,1275600
2017-07-06,1499299200,126.88,127.77,126.27,127.08,1411600
2017-07-07,1499385600,127.95,128.92,127.67,127.86,1226200
2017-07-10,1499644800,127.51,128.37,126.98,127.83,1182600
2017-07-11,1499731200,128.13,128.9,127.65,128.3,990200
2017-07-12,1499817600,129.4,129.69,128.95,129.39,1328400
2017-07-13,1499904000,129.36,129.89,127.75,128.34,1596900
2017-07-14,1499990400,128.82,129.3,128.61,128.81,1572000
2017-07-17,1500249600,128.88,129.66,128.55,128.99,1011300
2017-07-18,1500336000,128.62,129.72,128.58,129.55,808800
2017-07-19,1500422400,129.34,131.11,129.2,131.05,1082700
2017-07-20,1500508800,131.03,131.74,130.09,131.2,1172300
2017-07-21,1500595200,130.56,131.63,130.08,130.71,849500
2017-07-24,1500854400,130.84,132.08,130.59,132.07,910600
2017-07-25,1500940800,132.63,133.44,131.77,132.64,941100
2017-07-26,1501027200,132.8,133.19,132.19,132.94,980700
2017-07-27,1501113600,132.7,133.49,131.0,132.67,1257800
2017-07-28,1501200000,132.3,132.81,131.25,131.48,979600
2017-07-31,1501459200,131.4,133.2,131.36,133.0,1130200
2017-08-01,1501545600,133.42,134.46,131.55,133.22,1010000
2017-08-02,1501632000,133.27,133.37,131.67,132.34,1238200
2017-08-03,1501718400,132.75,133.43,132.07,132.94,879600
2017-08-04,1501804800,133.33,133.57,132.5,132.7,675700
2017-08-07,1502064000,132.09,132.85,131.77,132.46,866300
2017-08-08,1502150400,131.86,133.0,131.65,132.0,746700
2017-08-09,1502236800,131.83,132.77,131.11,132.63,761700
2017-08-10,1502323200,131.82,132.3,130.67,131.02,928300
2017-08-11,1502409600,132.54,132.84,130.95,132.41,747200
2017-08-14,1502668800,133.19,135.3,133.19,134.63,1148900
2017-08-15,1502755200,134.16,134.83,131.65,133.26,1548000
2017-08-16,1502841600,133.13,133.97,132.87,133.69,1075500
2017-08-17,1502928000,133.48,133.65,130.31,130.34,1272800
2017-08-18,1503014400,129.84,130.95,129.67,130.0,1305900
2017-08-21,1503273600,130.36,131.91,129.87,131.74,1778900
2017-08-22,1503360000,131.97,134.11,131.42,133.91,2260900
2017-08-23,1503446400,134.01,135.13,129.5,131.37,2557000
2017-08-24,1503532800,131.12,131.64,129.61,131.18,1944200
2017-08-25,1503619200,131.5,133.57,131.5,133.14,1530000
2017-08-28,1503878400,133.08,133.94,132.3,133.67,1471300
2017-08-29,1503964800,132.57,134.35,132.56,133.78,1019100
2017-08-30,1504051200,133.57,135.84,133.54,135.68,1859200
2017-08-31,1504137600,135.78,137.35,135.48,137.11,2337200
2017-09-01,1504224000,137.48,137.9,136.74,137.55,1074900
2017-09-05,1504569600,136.74,138.08,136.53,137.2,1370200
2017-09-06,1504656000,137.79,138.12,136.43,136.81,1185600
2017-09-07,1504742400,136.67,137.41,135.78,136.68,1525700
2017-09-08,1504828800,136.84,137.36,136.62,137.22,953200
2017-09-11,1505088000,138.06,138.69,137.52,138.27,1096400
2017-09-12,1505174400,138.55,138.62,136.22,138.01,1787900
2017-09-13,1505260800,137.36,137.9,136.43,137.7,1231600
2017-09-14,1505347200,137.01,137.73,136.27,137.72,1264800
2017-09-15,1505433600,137.5,137.99,136.78,137.77,1423500
2017-09-18,1505692800,137.71,139.64,137.27,139.39,1408400
2017-09-19,1505779200,139.88,141.56,139.19,140.88,1740600
2017-09-20,1505865600,140.87,141.44,139.59,140.53,1249700
2017-09-21,1505952000,141.35,141.43,139.64,140.06,1162900
2017-09-22,1506038400,139.65,142.22,139.65,141.83,1311000
2017-09-25,1506297600,141.07,141.51,139.35,140.3,1324800
2017-09-26,1506384000,140.78,141.15,139.68,140.33,1166300
2017-09-27,1506470400,139.78,141.21,139.27,139.93,1567300
2017-09-28,1506556800,139.06,139.6,137.26,137.95,1935400
2017-09-29,1506643200,137.82,138.54,136.07,137.78,2566400
2017-10-02,1506902400,137.9,138.9,136.85,137.39,1583900
2017-10-03,1506988800,137.42,137.94,136.98,137.5,1244900
2017-10-04,1507075200,137.4,138.51,135.91,138.3,1612200
2017-10-05,1507161600,138.61,138.74,137.67,138.48,1068900
2017-10-06,1507248000,138.36,140.2,138.06,140.14,992700
2017-10-09,1507507200,140.3,140.3,139.39,139.93,786900
2017-10-10,1507593600,139.92,140.67,139.44,140.14,778200
2017-10-11,1507680000,140.13,140.63,139.17,139.64,1217000
2017-10-12,1507766400,139.63,141.84,139.44,141.78,1094500
2017-10-13,1507852800,142.7,142.87,141.18,141.57,1029700
2017-10-16,1508112000,141.91,141.91,140.59,140.69,743100
2017-10-17,1508198400,140.73,141.56,140.48,141.43,1143900
2017-10-18,1508284800,141.53,142.36,141.08,141.69,888100
2017-10-19,1508371200,141.33,142.54,141.31,142.51,873600
2017-10-20,1508457600,142.36,144.26,142.36,143.83,1175300
2017-10-23,1508716800,144.37,144.72,142.84,143.19,810300
2017-10-24,1508803200,142.97,144.46,141.75,144.46,1144700
2017-10-25,1508889600,144.2,145.55,143.83,145.27,1460600
2017-10-26,1508976000,145.85,147.69,145.25,147.09,1124800
2017-10-27,1509062400,147.16,149.55,146.6,149.16,1173100
2017-10-30,1509321600,148.93,148.97,146.18,147.21,953900
2017-10-31,1509408000,147.53,147.73,146.29,146.79,858900
2017-11-01,1509494400,147.6,147.96,146.33,147.12,892400
2017-11-02,1509580800,147.1,148.05,146.38,147.89,925500
2017-11-03,1509667200,147.64,149.73,146.81,149.34,962400
2017-11-06,1509926400,149.55,149.87,147.78,148.4,671100
2017-11-07,1510012800,148.96,149.04,147.33,148.24,662900
2017-11-08,1510099200,148.34,148.9,147.42,148.68,734300
2017-11-09,1510185600,147.75,148.32,146.36,148.14,954700
2017-11-10,1510272000,147.41,149.15,147.32,149.01,712000
2017-11-13,1510531200,148.72,151.02,148.72,150.55,1091400
2017-11-14,1510617600,149.74,151.42,149.22,150.86,946500
2017-11-15,1510704000,150.87,152.08,149.07,149.55,1659000
2017-11-16,1510790400,149.77,151.67,149.29,151.29,1143700
2017-11-17,1510876800,151.62,152.32,150.92,152.17,1247700
2017-11-20,1511136000,152.82,154.45,152.15,153.36,1871100
2017-11-21,1511222400,148.23,152.01,146.95,147.54,2533400
2017-11-22,1511308800,147.68,148.11,146.5,147.38,1821500
2017-11-24,1511481600,146.87,149.67,146.79,149.6,1055000
2017-11-27,1511740800,149.5,150.78,149.06,150.44,1609600
2017-11-28,1511827200,150.58,151.52,150.01,151.43,1359000
2017-11-29,1511913600,151.5,151.59,148.89,149.9,2266600
2017-11-30,1512000000,150.43,153.38,149.6,152.82,3417500
2017-12-01,1512086400,151.77,153.58,148.31,152.06,1645600
2017-12-04,1512345600,152.31,152.49,149.89,150.21,1691400
2017-12-05,1512432000,150.37,151.94,149.87,150.14,961200
2017-12-06,1512518400,150.13,151.87,149.26,151.82,946600
2017-12-07,1512604800,151.35,151.62,149.97,151.2,1606900
2017-12-08,1512691200,151.68,152.01,149.83,150.88,1637900
2017-12-11,1512950400,150.75,151.47,149.63,151.32,1378800
2017-12-12,1513036800,150.98,152.03,150.2,151.49,1021100
2017-12-13,1513123200,151.97,153.34,151.64,152.1,1426000
2017-12-14,1513209600,152.44,153.07,151.25,151.82,1044400
2017-12-15,1513296000,152.59,155.3,151.67,155.18,2382900
2017-12-18,1513555200,155.52,156.92,155.32,156.62,1382700
2017-12-19,1513641600,156.35,156.78,154.26,155.4,1740200
2017-12-20,1513728000,155.81,155.97,153.68,154.89,1393800
2017-12-21,1513814400,154.93,155.37,153.59,154.18,1511900
2017-12-22,1513900800,153.81,154.24,153.25,154.06,679100
2017-12-26,1514246400,153.0,154.76,153.0,154.48,618100
2017-12-27,1514332800,154.52,154.97,154.01,154.28,547900
2017-12-28,1514419200,155.02,155.02,153.62,154.14,636300
2017-12-29,1514505600,153.99,154.96,153.32,153.36,690200
2018-01-02,1514851200,153.79,154.4,152.61,154.27,1436100
2018-01-03,1514937600,153.8,154.87,153.32,154.7,1410900
2018-01-04,1515024000,154.99,159.23,154.99,157.47,1695000
2018-01-05,1515110400,158.24,159.94,157.95,159.51,1071900
2018-01-08,1515369600,159.44,159.92,158.77,159.61,1185800
2018-01-09,1515456000,159.92,160.89,158.59,160.61,1098300
2018-01-10,1515542400,160.16,160.35,158.37,159.31,1095400
2018-01-11,1515628800,159.32,160.06,158.08,158.81,813700
2018-01-12,1515715200,158.89,160.7,158.74,160.28,651800
2018-01-16,1516060800,160.76,162.21,157.67,158.12,1385000
2018-01-17,1516147200,159.67,160.45,158.74,160.07,903200
2018-01-18,1516233600,159.68,160.72,159.41,160.18,980800
2018-01-19,1516320000,160.7,163.51,160.39,163.43,1555400
2018-01-22,1516579200,163.44,164.46,162.85,164.34,1042600
2018-01-23,1516665600,164.66,165.43,163.44,164.13,1058800
2018-01-24,1516752000,164.31,165.22,162.6,163.25,860600
2018-01-25,1516838400,163.71,164.44,162.01,163.51,740000
2018-01-26,1516924800,164.21,166.21,163.87,166.06,751700
