Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,30.32,30.58,29.5,29.99,225200
2017-01-04,1483488000,30.0,30.0,29.13,29.7,113000
2017-01-05,1483574400,29.69,29.9,29.06,29.61,90300
2017-01-06,1483660800,29.76,30.8,29.36,30.0,237900
2017-01-09,1483920000,30.14,31.6,29.52,31.5,132100
2017-01-10,1484006400,31.6,32.64,31.05,31.6,101700
2017-01-11,1484092800,31.7,31.78,29.08,31.17,139800
2017-01-12,1484179200,31.0,31.18,30.44,30.77,83200
2017-01-13,1484265600,30.76,30.76,30.29,30.56,175400
2017-01-17,1484611200,30.45,30.74,29.08,29.66,208700
2017-01-18,1484697600,29.63,29.7,29.15,29.41,65500
2017-01-19,1484784000,29.33,29.76,28.7,29.58,62900
2017-01-20,1484870400,29.72,30.11,28.94,29.99,66000
2017-01-23,1485129600,29.9,30.33,29.42,29.8,115900
2017-01-24,1485216000,30.12,30.85,29.64,30.48,94100
2017-01-25,1485302400,30.61,30.92,30.55,30.88,93600
2017-01-26,1485388800,30.93,31.77,30.79,30.96,75200
2017-01-27,1485475200,31.1,31.67,30.95,31.39,59100
2017-01-30,1485734400,31.41,31.83,31.01,31.45,63200
2017-01-31,1485820800,31.72,32.84,31.48,32.63,182800
2017-02-01,1485907200,33.03,33.47,32.49,32.71,246100
2017-02-02,1485993600,32.83,33.03,32.5,32.66,66900
2017-02-03,1486080000,32.99,33.0,32.25,32.71,70500
2017-02-06,1486339200,32.93,33.0,32.57,32.9,53100
2017-02-07,1486425600,33.2,34.72,32.97,34.5,327800
2017-02-08,1486512000,34.77,36.71,33.63,36.22,219800
2017-02-09,1486598400,36.09,36.89,35.3,35.61,157400
2017-02-10,1486684800,35.61,36.05,35.57,35.86,107100
2017-02-13,1486944000,36.0,36.72,35.65,36.69,191500
2017-02-14,1487030400,36.96,37.06,36.04,36.09,111000
2017-02-15,1487116800,36.3,36.97,35.75,35.99,174400
2017-02-16,1487203200,36.75,36.9,34.7,35.25,659900
2017-02-17,1487289600,35.11,38.26,34.89,37.85,296600
2017-02-21,1487635200,37.79,39.07,37.57,38.25,125300
2017-02-22,1487721600,38.37,39.32,37.57,39.09,100700
2017-02-23,1487808000,38.92,39.87,38.77,39.84,113400
2017-02-24,1487894400,39.99,40.48,38.5,39.72,71400
2017-02-27,1488153600,39.64,39.86,39.16,39.72,104200
2017-02-28,1488240000,39.55,39.62,38.34,38.52,166100
2017-03-01,1488326400,38.55,39.91,38.01,39.4,143100
2017-03-02,1488412800,39.33,39.33,38.26,38.5,48400
2017-03-03,1488499200,38.45,38.97,37.05,37.46,69400
2017-03-06,1488758400,37.3,37.66,35.16,36.43,127000
2017-03-07,1488844800,36.18,36.61,35.81,36.13,68900
2017-03-08,1488931200,35.81,36.05,35.57,35.66,90300
2017-03-09,1489017600,35.49,35.97,35.08,35.12,55300
2017-03-10,1489104000,35.38,35.83,34.94,35.27,79100
2017-03-13,1489363200,35.25,35.53,35.03,35.31,62800
2017-03-14,1489449600,35.27,35.4,34.75,35.31,89400
2017-03-15,1489536000,35.48,35.48,34.93,35.38,67400
2017-03-16,1489622400,35.13,35.76,35.06,35.55,123900
2017-03-17,1489708800,35.3,38.0,35.3,37.49,313000
2017-03-20,1489968000,37.75,37.76,35.58,35.86,200500
2017-03-21,1490054400,36.12,36.4,34.0,35.02,248900
2017-03-22,1490140800,34.89,35.04,34.34,34.71,84200
2017-03-23,1490227200,34.61,35.58,34.21,34.94,81800
2017-03-24,1490313600,35.0,37.52,34.58,35.36,120900
2017-03-27,1490572800,35.0,36.4,34.53,36.27,124000
2017-03-28,1490659200,35.6,36.4,35.41,36.14,85100
2017-03-29,1490745600,35.99,36.77,35.1,36.58,140100
2017-03-30,1490832000,36.56,36.78,35.94,36.39,166400
2017-03-31,1490918400,36.26,37.81,36.26,37.6,207900
2017-04-03,1491177600,37.6,38.22,36.7,37.13,155600
2017-04-04,1491264000,37.22,38.39,37.0,37.21,145600
2017-04-05,1491350400,37.45,38.5,37.06,37.08,156500
2017-04-06,1491436800,37.22,37.22,35.98,36.58,166800
2017-04-07,1491523200,36.58,36.72,36.0,36.45,97300
2017-04-10,1491782400,36.2,39.34,36.16,37.17,121600
2017-04-11,1491868800,37.3,37.3,36.36,36.89,148000
2017-04-12,1491955200,36.94,36.94,35.5,35.63,129700
2017-04-13,1492041600,35.73,36.16,34.34,34.93,217800
2017-04-17,1492387200,35.15,35.56,34.42,34.95,236700
2017-04-18,1492473600,34.84,35.1,33.22,33.79,430900
2017-04-19,1492560000,33.85,33.85,33.23,33.34,334800
2017-04-20,1492646400,33.5,33.64,33.1,33.56,776700
2017-04-21,1492732800,33.65,34.36,33.27,33.63,590900
2017-04-24,1492992000,34.1,34.1,33.21,33.5,965400
2017-04-25,1493078400,33.53,33.79,33.06,33.41,481700
2017-04-26,1493164800,33.5,34.62,33.3,34.61,731800
2017-04-27,1493251200,34.7,35.38,34.6,35.24,612000
