Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,63.35,64.4,62.45,62.9,227500
2017-01-04,1483488000,63.2,64.65,63.2,64.65,226300
2017-01-05,1483574400,64.4,64.95,63.41,63.7,97700
2017-01-06,1483660800,63.9,64.25,63.25,63.95,146000
2017-01-09,1483920000,64.0,64.0,62.25,62.25,158500
2017-01-10,1484006400,62.2,63.15,61.75,63.05,163800
2017-01-11,1484092800,63.1,63.7,62.7,63.6,140800
2017-01-12,1484179200,63.3,63.3,61.7,62.7,65400
2017-01-13,1484265600,62.7,63.45,62.7,63.35,98700
2017-01-17,1484611200,63.05,63.15,61.0,61.3,132500
2017-01-18,1484697600,61.35,62.5,60.41,62.0,117800
2017-01-19,1484784000,62.0,62.35,60.85,60.9,94500
2017-01-20,1484870400,61.2,61.8,60.6,61.05,88300
2017-01-23,1485129600,61.05,61.45,60.65,61.15,83300
2017-01-24,1485216000,61.25,61.9,61.15,61.7,96600
2017-01-25,1485302400,62.3,63.05,62.3,62.55,139400
2017-01-26,1485388800,62.5,62.6,61.85,62.35,113500
2017-01-27,1485475200,62.3,62.7,61.55,61.85,70400
2017-01-30,1485734400,61.45,61.45,60.35,61.1,100700
2017-01-31,1485820800,60.9,61.8,60.45,61.7,149600
2017-02-01,1485907200,61.95,62.55,60.85,61.7,129000
2017-02-02,1485993600,61.6,62.15,61.2,61.55,121800
2017-02-03,1486080000,62.05,62.05,61.15,61.9,101800
2017-02-06,1486339200,61.65,61.8,61.15,61.65,91500
2017-02-07,1486425600,61.75,62.7,61.25,62.15,250000
2017-02-08,1486512000,62.05,63.3,61.7,63.05,172100
2017-02-09,1486598400,63.2,64.3,63.15,63.55,137100
2017-02-10,1486684800,63.6,64.15,62.7,64.15,104000
2017-02-13,1486944000,64.45,64.65,64.05,64.25,132500
2017-02-14,1487030400,63.95,64.2,62.95,63.05,154600
2017-02-15,1487116800,62.7,63.85,62.7,63.7,175700
2017-02-16,1487203200,63.75,64.18,63.2,63.95,184100
2017-02-17,1487289600,63.9,64.1,63.6,63.95,171800
2017-02-21,1487635200,63.7,64.05,62.96,63.9,187000
2017-02-22,1487721600,63.55,64.75,63.55,64.15,368100
2017-02-23,1487808000,63.85,65.55,63.85,65.55,211700
2017-02-24,1487894400,64.9,66.15,64.85,65.9,229800
2017-02-27,1488153600,65.8,66.45,65.65,66.2,255200
2017-02-28,1488240000,65.75,65.75,63.51,64.7,325200
2017-03-01,1488326400,64.75,64.75,58.35,61.0,737400
2017-03-02,1488412800,60.85,61.3,58.18,59.1,493600
2017-03-03,1488499200,59.1,59.68,58.8,59.45,294000
2017-03-06,1488758400,59.0,59.45,57.8,59.15,205900
2017-03-07,1488844800,59.1,59.88,58.6,59.15,325000
2017-03-08,1488931200,59.25,59.35,58.45,58.7,180300
2017-03-09,1489017600,58.5,59.95,58.5,59.6,248100
2017-03-10,1489104000,59.85,60.25,59.0,59.65,241500
2017-03-13,1489363200,59.35,59.5,58.9,59.25,195700
2017-03-14,1489449600,59.1,59.4,58.3,58.85,332400
2017-03-15,1489536000,59.15,61.08,58.75,60.8,276600
2017-03-16,1489622400,60.85,62.3,60.55,62.2,315400
2017-03-17,1489708800,62.4,64.4,62.25,64.0,749100
2017-03-20,1489968000,64.15,64.55,62.3,62.35,335200
2017-03-21,1490054400,62.55,62.93,61.45,61.55,382600
2017-03-22,1490140800,61.5,62.55,61.4,62.25,242500
2017-03-23,1490227200,62.35,63.3,62.2,62.5,228400
2017-03-24,1490313600,62.6,63.2,62.25,62.95,240600
2017-03-27,1490572800,62.3,62.55,60.55,62.3,214100
2017-03-28,1490659200,61.95,61.95,59.75,60.3,322500
2017-03-29,1490745600,60.05,60.3,59.68,60.25,173300
2017-03-30,1490832000,60.4,60.8,59.95,60.65,164400
2017-03-31,1490918400,60.75,61.28,60.4,60.7,145400
2017-04-03,1491177600,60.75,60.78,59.45,59.65,145000
2017-04-04,1491264000,59.6,60.3,59.6,59.9,186500
2017-04-05,1491350400,60.0,61.05,59.5,59.55,232400
2017-04-06,1491436800,59.6,60.45,59.11,60.35,113700
2017-04-07,1491523200,60.2,60.75,59.8,59.85,218400
2017-04-10,1491782400,59.6,61.08,59.6,60.6,124300
2017-04-11,1491868800,60.5,61.5,60.2,61.4,144500
2017-04-12,1491955200,61.55,61.55,59.85,59.95,105900
2017-04-13,1492041600,59.85,60.3,59.1,59.15,74700
2017-04-17,1492387200,59.4,59.85,59.15,59.75,78300
2017-04-18,1492473600,59.6,60.3,59.45,60.15,115700
2017-04-19,1492560000,60.4,61.1,60.1,60.3,83100
2017-04-20,1492646400,60.4,61.35,60.15,61.2,113800
2017-04-21,1492732800,61.2,62.05,61.1,61.6,171700
2017-04-24,1492992000,62.45,63.95,61.26,63.8,213500
2017-04-25,1493078400,64.3,64.85,63.96,64.5,189600
2017-04-26,1493164800,64.35,65.0,64.0,64.25,270200
2017-04-27,1493251200,64.55,65.15,64.25,64.85,132200
2017-04-28,1493337600,64.85,65.3,64.5,64.85,220100
2017-05-01,1493596800,64.9,64.9,63.4,64.35,150500
2017-05-02,1493683200,64.4,64.8,63.35,64.2,156400
2017-05-03,1493769600,64.0,64.5,62.8,62.95,145800
2017-05-04,1493856000,65.55,67.45,64.6,66.0,642000
2017-05-05,1493942400,66.05,66.15,64.35,64.7,303600
2017-05-08,1494201600,64.55,66.45,64.5,65.55,349900
2017-05-09,1494288000,65.8,66.25,64.9,65.55,292900
2017-05-10,1494374400,65.55,66.2,65.3,65.8,195900
2017-05-11,1494460800,65.6,65.88,65.05,65.85,209000
