Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,23.35,23.57,23.33,23.53,35600
2017-01-04,1483488000,23.62,25.15,23.62,25.02,134300
2017-01-05,1483574400,25.23,25.67,23.97,23.97,155200
2017-01-06,1483660800,24.19,24.62,23.97,23.97,32200
2017-01-09,1483920000,23.97,24.67,23.88,24.14,39000
2017-01-10,1484006400,24.58,24.58,24.14,24.49,105000
2017-01-11,1484092800,24.45,24.54,24.05,24.27,53600
2017-01-12,1484179200,24.4,24.45,23.7,24.01,35900
2017-01-13,1484265600,24.19,24.27,23.7,23.84,26000
2017-01-17,1484611200,23.84,24.05,23.53,23.62,133400
2017-01-18,1484697600,23.97,23.97,23.4,23.44,22700
2017-01-19,1484784000,23.49,23.62,23.4,23.49,18000
2017-01-20,1484870400,23.62,23.62,23.44,23.49,16700
2017-01-23,1485129600,23.53,23.56,23.18,23.31,34000
2017-01-24,1485216000,23.27,23.62,23.27,23.49,15500
2017-01-25,1485302400,23.66,24.01,23.35,23.79,23000
2017-01-26,1485388800,23.75,23.92,23.62,23.7,11800
2017-01-27,1485475200,23.7,24.23,23.7,24.14,10200
2017-01-30,1485734400,24.01,24.05,23.92,23.97,11500
2017-01-31,1485820800,23.97,24.27,23.75,24.1,15400
2017-02-01,1485907200,24.01,24.49,23.97,24.14,45800
2017-02-02,1485993600,24.14,24.49,24.14,24.32,7800
2017-02-03,1486080000,24.32,24.71,24.32,24.71,9200
2017-02-06,1486339200,24.71,25.23,24.67,25.19,24500
2017-02-07,1486425600,25.41,25.41,24.67,24.84,117600
2017-02-08,1486512000,24.75,25.15,24.71,24.93,27300
2017-02-09,1486598400,24.93,25.06,24.8,24.8,13700
2017-02-10,1486684800,24.8,24.93,24.62,24.71,20500
2017-02-13,1486944000,24.58,24.71,24.54,24.62,17000
2017-02-14,1487030400,24.54,24.89,24.49,24.75,45400
2017-02-15,1487116800,24.67,24.8,24.49,24.62,29800
2017-02-16,1487203200,24.49,24.49,23.84,24.27,36000
