Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,14.61,14.61,14.44,14.57,19200
2017-01-04,1483488000,14.47,14.61,14.47,14.61,6200
2017-01-05,1483574400,14.56,14.63,14.49,14.62,45500
2017-01-06,1483660800,14.36,14.43,14.34,14.41,23000
2017-01-09,1483920000,14.62,14.62,14.31,14.58,40700
2017-01-10,1484006400,14.41,14.46,14.4,14.41,7100
2017-01-11,1484092800,14.46,14.61,14.42,14.58,5400
2017-01-12,1484179200,14.45,14.48,14.39,14.48,7100
2017-01-13,1484265600,14.46,14.54,14.46,14.53,4500
2017-01-17,1484611200,14.22,14.22,14.17,14.19,9800
2017-01-18,1484697600,14.09,14.09,14.04,14.06,3000
2017-01-19,1484784000,14.05,14.1,14.02,14.08,5800
2017-01-20,1484870400,14.1,14.13,14.04,14.12,4600
2017-01-23,1485129600,14.05,14.09,13.94,14.0,6700
2017-01-24,1485216000,14.07,14.25,14.07,14.25,11000
2017-01-25,1485302400,14.32,14.38,14.32,14.38,5600
2017-01-26,1485388800,14.34,14.34,14.27,14.27,4200
2017-01-27,1485475200,14.39,14.39,14.28,14.31,6500
2017-01-30,1485734400,14.23,14.23,14.13,14.23,13000
2017-01-31,1485820800,14.23,14.32,14.16,14.28,10300
2017-02-01,1485907200,14.51,14.55,14.42,14.55,3000
2017-02-02,1485993600,14.61,14.61,14.52,14.61,7400
2017-02-03,1486080000,14.04,14.09,13.91,14.09,26100
2017-02-06,1486339200,13.71,13.71,13.49,13.67,11700
2017-02-07,1486425600,13.3,13.31,13.22,13.31,3600
2017-02-08,1486512000,13.38,13.56,13.38,13.44,24300
2017-02-09,1486598400,13.22,13.22,13.13,13.21,8100
2017-02-10,1486684800,13.36,13.42,13.3,13.4,11400
2017-02-13,1486944000,13.35,13.35,13.31,13.34,6400
2017-02-14,1487030400,13.28,13.36,13.17,13.31,15100
2017-02-15,1487116800,13.0,13.21,12.68,13.21,56100
2017-02-16,1487203200,13.18,13.39,13.18,13.34,9000
2017-02-17,1487289600,12.99,13.07,12.92,13.05,10300
2017-02-21,1487635200,13.09,13.19,13.09,13.19,13600
2017-02-22,1487721600,13.19,13.21,13.09,13.21,11300
2017-02-23,1487808000,13.39,13.39,13.22,13.29,11700
2017-02-24,1487894400,13.32,13.44,13.32,13.44,4100
2017-02-27,1488153600,13.39,13.47,13.39,13.46,3700
2017-02-28,1488240000,13.17,13.46,13.03,13.46,74600
2017-03-01,1488326400,13.59,13.83,13.59,13.8,12300
2017-03-02,1488412800,13.68,13.72,13.59,13.59,10900
2017-03-03,1488499200,13.58,13.74,13.57,13.67,9200
2017-03-06,1488758400,13.56,13.56,13.48,13.48,11000
2017-03-07,1488844800,13.65,13.71,13.52,13.55,17800
2017-03-08,1488931200,13.66,13.67,13.56,13.59,11500
2017-03-09,1489017600,13.72,13.77,13.71,13.75,14000
2017-03-10,1489104000,14.07,14.14,13.97,14.08,8000
2017-03-13,1489363200,14.04,14.07,13.98,14.06,13500
2017-03-14,1489449600,14.0,14.15,13.99,14.15,12200
2017-03-15,1489536000,14.09,14.4,14.03,14.4,29000
2017-03-16,1489622400,14.25,14.49,14.2,14.49,17100
2017-03-17,1489708800,14.26,14.33,14.22,14.25,6400
2017-03-20,1489968000,14.27,14.27,14.16,14.23,4200
2017-03-21,1490054400,14.23,14.23,14.1,14.1,6600
2017-03-22,1490140800,13.85,13.94,13.74,13.92,9000
2017-03-23,1490227200,13.94,14.12,13.93,14.04,10300
2017-03-24,1490313600,14.06,14.14,14.03,14.1,16000
2017-03-27,1490572800,13.95,14.03,13.95,14.0,4100
2017-03-28,1490659200,14.01,14.13,14.0,14.13,3400
2017-03-29,1490745600,14.25,14.34,14.25,14.31,10000
2017-03-30,1490832000,14.44,14.47,14.41,14.45,5300
2017-03-31,1490918400,14.32,14.34,14.27,14.31,7100
2017-04-03,1491177600,14.22,14.23,14.11,14.23,8300
2017-04-04,1491264000,14.1,14.17,14.05,14.15,5900
2017-04-05,1491350400,14.3,14.38,14.28,14.31,9400
2017-04-06,1491436800,14.4,14.4,14.34,14.39,5200
2017-04-07,1491523200,14.32,14.37,14.32,14.36,8400
2017-04-10,1491782400,14.3,14.41,14.3,14.39,10600
2017-04-11,1491868800,14.38,14.41,14.28,14.37,4000
2017-04-12,1491955200,14.41,14.49,14.41,14.49,9400
2017-04-13,1492041600,14.3,14.35,14.24,14.25,5800
2017-04-17,1492387200,14.32,14.39,14.21,14.37,17500
2017-04-18,1492473600,14.32,14.36,14.31,14.34,7000
2017-04-19,1492560000,14.25,14.25,14.09,14.19,8400
2017-04-20,1492646400,14.44,14.59,14.44,14.58,9300
2017-04-21,1492732800,14.7,14.78,14.69,14.76,7100
2017-04-24,1492992000,14.89,14.99,14.89,14.97,46900
2017-04-25,1493078400,14.92,15.08,14.91,15.05,3400
2017-04-26,1493164800,15.07,15.12,15.07,15.09,2800
2017-04-27,1493251200,15.18,15.23,15.11,15.23,23900
2017-04-28,1493337600,15.42,15.45,15.36,15.45,54700
2017-05-01,1493596800,15.58,15.65,15.58,15.64,60600
2017-05-02,1493683200,15.58,15.58,15.53,15.57,3300
2017-05-03,1493769600,15.26,15.3,15.2,15.23,4500
2017-05-04,1493856000,15.19,15.22,15.1,15.22,14000
2017-05-05,1493942400,15.17,15.17,15.08,15.15,7400
2017-05-08,1494201600,14.95,14.95,14.75,14.79,10300
2017-05-09,1494288000,14.71,14.72,14.66,14.71,58900
2017-05-10,1494374400,14.75,14.8,14.73,14.8,37200
2017-05-11,1494460800,14.72,14.76,14.67,14.7,53900
2017-05-12,1494547200,14.62,14.65,14.57,14.65,50800
2017-05-15,1494806400,14.71,14.72,14.67,14.72,7800
2017-05-16,1494892800,14.83,14.85,14.78,14.83,24900
2017-05-17,1494979200,14.52,14.65,14.36,14.41,9900
2017-05-18,1495065600,13.55,13.67,13.0,13.47,29000
2017-05-19,1495152000,13.64,13.75,13.64,13.74,15000
2017-05-22,1495411200,13.69,13.75,13.62,13.67,20300
2017-05-23,1495497600,13.56,13.56,13.49,13.54,12200
2017-05-24,1495584000,13.47,13.56,13.45,13.56,10200
2017-05-25,1495670400,13.51,13.52,13.36,13.46,15700
2017-05-26,1495756800,13.37,13.38,13.31,13.34,10400
2017-05-30,1496102400,13.27,13.34,13.23,13.29,15200
2017-05-31,1496188800,13.27,13.27,13.17,13.25,18700
2017-06-01,1496275200,13.38,13.49,13.36,13.39,20900
2017-06-02,1496361600,13.63,13.74,13.63,13.72,11200
2017-06-05,1496620800,13.6,13.64,13.52,13.63,19000
2017-06-06,1496707200,13.54,13.62,13.47,13.62,16500
2017-06-07,1496793600,13.68,13.73,13.6,13.66,15000
2017-06-08,1496880000,13.71,13.91,13.71,13.91,21700
2017-06-09,1496966400,13.74,13.81,13.66,13.77,13800
2017-06-12,1497225600,13.74,13.81,13.66,13.77,10600
2017-06-13,1497312000,13.95,14.07,13.95,13.99,15300
2017-06-14,1497398400,14.42,14.43,14.25,14.33,13600
2017-06-15,1497484800,14.19,14.26,14.17,14.26,11500
2017-06-16,1497571200,14.14,14.19,14.12,14.17,4500
2017-06-19,1497830400,14.13,14.15,14.09,14.13,9400
2017-06-20,1497916800,14.01,14.01,13.88,13.93,11800
2017-06-21,1498003200,14.01,14.04,13.96,14.04,11400
2017-06-22,1498089600,14.04,14.07,14.0,14.06,9100
2017-06-23,1498176000,14.06,14.14,14.06,14.12,20300
2017-06-26,1498435200,14.1,14.1,14.02,14.02,6900
2017-06-27,1498521600,14.02,14.11,14.02,14.04,5100
2017-06-28,1498608000,14.54,14.67,14.48,14.65,10700
2017-06-29,1498694400,14.82,14.85,14.64,14.78,12800
2017-06-30,1498780800,14.55,14.55,14.44,14.55,7200
2017-07-03,1499040000,14.31,14.31,14.2,14.2,8600
2017-07-05,1499212800,14.1,14.14,13.94,14.14,10400
2017-07-06,1499299200,13.9,13.92,13.84,13.89,7500
2017-07-07,1499385600,13.8,13.86,13.74,13.86,9000
2017-07-10,1499644800,13.81,13.92,13.71,13.9,12300
2017-07-11,1499731200,13.78,13.85,13.74,13.84,8700
2017-07-12,1499817600,13.81,13.91,13.77,13.91,8800
2017-07-13,1499904000,13.9,13.96,13.88,13.94,9500
2017-07-14,1499990400,14.15,14.31,14.15,14.29,13500
2017-07-17,1500249600,14.39,14.39,14.29,14.32,4800
2017-07-18,1500336000,14.24,14.27,14.19,14.27,4800
2017-07-19,1500422400,14.16,14.24,14.16,14.22,5700
2017-07-20,1500508800,14.12,14.13,14.07,14.08,8600
2017-07-21,1500595200,14.06,14.06,14.0,14.02,2500
2017-07-24,1500854400,13.98,14.02,13.96,14.02,5100
2017-07-25,1500940800,14.32,14.37,14.3,14.34,9200
2017-07-26,1501027200,14.43,14.61,14.43,14.61,3300
2017-07-27,1501113600,14.54,14.55,14.35,14.39,2400
2017-07-28,1501200000,14.38,14.38,14.27,14.36,4000
2017-07-31,1501459200,14.21,14.28,14.14,14.22,9700
2017-08-01,1501545600,14.02,14.03,13.9,13.95,3800
2017-08-02,1501632000,13.93,14.03,13.93,13.98,9900
2017-08-03,1501718400,13.93,13.94,13.82,13.9,2900
2017-08-04,1501804800,13.86,13.88,13.78,13.88,5900
2017-08-07,1502064000,13.9,13.92,13.89,13.92,9400
2017-08-08,1502150400,13.68,13.68,13.04,13.14,14400
2017-08-09,1502236800,12.88,12.88,12.76,12.84,15400
2017-08-10,1502323200,12.73,12.76,12.57,12.61,15300
2017-08-11,1502409600,12.59,12.64,12.57,12.62,9000
2017-08-14,1502668800,12.74,12.85,12.74,12.74,16200
2017-08-15,1502755200,12.73,12.73,12.5,12.58,51600
2017-08-16,1502841600,12.8,13.06,12.8,13.01,21600
2017-08-17,1502928000,13.11,13.16,12.95,13.02,28600
2017-08-18,1503014400,13.2,13.26,13.16,13.26,12200
2017-08-21,1503273600,13.12,13.12,13.05,13.09,16900
2017-08-22,1503360000,13.12,13.21,13.11,13.16,28200
2017-08-23,1503446400,13.1,13.19,13.07,13.18,11200
2017-08-24,1503532800,13.16,13.16,13.06,13.1,10000
2017-08-25,1503619200,13.1,13.15,13.04,13.15,28200
2017-08-28,1503878400,13.13,13.14,13.01,13.08,11700
2017-08-29,1503964800,12.91,13.02,12.91,12.98,36600
2017-08-30,1504051200,12.78,12.86,12.67,12.72,35000
2017-08-31,1504137600,12.93,13.1,12.93,13.07,29700
2017-09-01,1504224000,13.12,13.12,12.94,13.0,17000
2017-09-05,1504569600,13.19,13.25,13.06,13.12,29000
2017-09-06,1504656000,13.27,13.41,13.27,13.38,30800
2017-09-07,1504742400,13.57,13.7,13.56,13.61,39500
2017-09-08,1504828800,13.6,13.6,13.46,13.51,89900
2017-09-11,1505088000,13.48,13.56,13.47,13.54,28100
2017-09-12,1505174400,13.55,13.61,13.38,13.53,32600
2017-09-13,1505260800,13.54,13.62,13.54,13.57,36400
2017-09-14,1505347200,13.4,13.48,13.4,13.48,17900
2017-09-15,1505433600,13.38,13.38,12.81,12.85,67800
2017-09-18,1505692800,12.87,12.88,12.7,12.78,35500
2017-09-19,1505779200,12.88,12.96,12.88,12.94,12100
2017-09-20,1505865600,12.96,12.97,12.8,12.84,26900
2017-09-21,1505952000,12.74,12.75,12.7,12.7,33400
2017-09-22,1506038400,12.82,12.87,12.74,12.82,16100
2017-09-25,1506297600,12.88,12.92,12.78,12.84,19300
2017-09-26,1506384000,12.84,12.84,12.76,12.82,23200
2017-09-27,1506470400,12.82,12.93,12.82,12.91,36500
2017-09-28,1506556800,12.94,13.08,12.94,13.02,29100
2017-09-29,1506643200,12.95,12.99,12.92,12.97,20400
2017-10-02,1506902400,12.96,13.04,12.96,13.02,13900
2017-10-03,1506988800,12.83,12.93,12.83,12.9,27800
2017-10-04,1507075200,12.75,12.76,12.7,12.75,22400
2017-10-05,1507161600,12.7,12.75,12.7,12.74,19500
2017-10-06,1507248000,12.72,12.77,12.7,12.73,15400
2017-10-09,1507507200,12.78,12.79,12.7,12.71,13700
2017-10-10,1507593600,12.79,12.82,12.74,12.76,15400
2017-10-11,1507680000,12.69,12.71,12.66,12.67,13500
2017-10-12,1507766400,12.62,12.65,12.57,12.63,21200
2017-10-13,1507852800,12.89,12.98,12.89,12.93,9200
2017-10-16,1508112000,12.94,12.95,12.91,12.94,9700
2017-10-17,1508198400,13.07,13.12,13.07,13.12,16800
2017-10-18,1508284800,13.5,13.56,13.5,13.54,22200
2017-10-19,1508371200,13.58,13.7,13.58,13.7,13400
2017-10-20,1508457600,13.59,13.61,13.39,13.58,38400
2017-10-23,1508716800,13.66,13.7,13.62,13.66,24500
2017-10-24,1508803200,13.62,13.71,13.56,13.71,12700
2017-10-25,1508889600,13.66,13.66,13.47,13.58,7900
2017-10-26,1508976000,13.75,13.81,13.75,13.81,25200
2017-10-27,1509062400,13.84,13.96,13.84,13.96,10300
2017-10-30,1509321600,14.18,14.21,14.09,14.2,16600
2017-10-31,1509408000,14.13,14.2,14.04,14.2,19800
2017-11-01,1509494400,13.95,13.95,13.84,13.95,15100
2017-11-02,1509580800,13.84,13.9,13.81,13.9,21100
2017-11-03,1509667200,13.79,13.79,13.7,13.76,26400
2017-11-06,1509926400,13.75,13.93,13.75,13.93,17700
2017-11-07,1510012800,13.64,13.64,13.54,13.61,22700
2017-11-08,1510099200,13.5,13.64,13.39,13.52,26100
2017-11-09,1510185600,13.7,14.36,13.7,14.36,320200
