Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,62.47,62.47,61.73,62.19,1699800
2017-01-04,1483488000,62.33,62.49,61.98,62.02,1097800
2017-01-05,1483574400,61.91,62.19,61.33,61.97,1576100
2017-01-06,1483660800,61.68,62.23,61.53,61.98,1078300
2017-01-09,1483920000,62.09,62.09,61.05,61.13,1586800
2017-01-10,1484006400,61.26,61.32,60.7,60.74,1198500
2017-01-11,1484092800,60.72,61.2,60.67,60.91,1154100
2017-01-12,1484179200,60.86,61.3,60.74,60.96,1428700
2017-01-13,1484265600,60.85,60.94,60.22,60.5,2150100
2017-01-17,1484611200,60.6,61.07,60.58,61.05,2455900
2017-01-18,1484697600,61.03,61.49,60.88,61.01,1975500
2017-01-19,1484784000,60.95,61.11,60.75,60.84,1538400
2017-01-20,1484870400,60.95,61.58,60.83,61.2,2522400
2017-01-23,1485129600,61.19,61.41,60.74,61.27,1655100
2017-01-24,1485216000,61.28,61.76,61.16,61.54,1955400
2017-01-25,1485302400,61.73,61.73,61.2,61.29,1605500
2017-01-26,1485388800,61.29,61.52,60.98,61.1,1700400
2017-01-27,1485475200,61.13,61.98,60.89,61.87,1911000
2017-01-30,1485734400,61.91,61.91,61.28,61.59,1038500
2017-01-31,1485820800,61.64,61.86,61.54,61.63,1205600
2017-02-01,1485907200,61.29,61.46,60.56,60.94,1448600
2017-02-02,1485993600,61.13,62.24,61.04,61.68,2030700
2017-02-03,1486080000,61.89,62.54,61.51,62.18,1420800
2017-02-06,1486339200,62.01,62.14,61.25,61.3,1061500
2017-02-07,1486425600,61.53,61.93,61.35,61.74,1972700
2017-02-08,1486512000,61.74,62.38,61.6,62.29,2130000
2017-02-09,1486598400,63.23,65.0,63.22,64.79,3654200
2017-02-10,1486684800,64.55,64.89,64.17,64.41,2623200
2017-02-13,1486944000,64.32,64.45,63.85,64.09,2463900
2017-02-14,1487030400,63.99,64.54,63.78,64.35,1871700
2017-02-15,1487116800,63.8,64.67,63.17,64.45,1934400
2017-02-16,1487203200,64.32,64.79,63.03,63.32,3254800
2017-02-17,1487289600,61.86,62.46,61.4,61.79,4179500
2017-02-21,1487635200,62.81,63.47,62.58,63.35,3602800
2017-02-22,1487721600,63.26,63.71,62.81,63.13,2143400
2017-02-23,1487808000,63.2,63.58,63.16,63.4,1404800
2017-02-24,1487894400,63.29,63.76,63.29,63.76,1714700
2017-02-27,1488153600,63.53,63.84,62.93,63.05,1326700
2017-02-28,1488240000,63.07,63.67,63.07,63.22,1789300
2017-03-01,1488326400,63.22,63.87,62.94,63.86,1907700
2017-03-02,1488412800,63.95,64.09,63.57,64.03,3104700
2017-03-03,1488499200,64.04,64.04,63.22,63.56,2676900
2017-03-06,1488758400,63.2,63.5,62.95,63.34,1379500
2017-03-07,1488844800,63.28,63.8,63.22,63.28,1740700
2017-03-08,1488931200,63.1,63.22,62.85,63.04,1365700
2017-03-09,1489017600,63.25,63.4,62.92,63.24,1959900
2017-03-10,1489104000,63.61,63.71,63.18,63.32,1271300
2017-03-13,1489363200,63.19,63.31,63.02,63.28,1346000
2017-03-14,1489449600,63.04,63.57,63.04,63.35,2105300
2017-03-15,1489536000,63.48,64.01,63.35,63.8,1538100
2017-03-16,1489622400,63.71,63.8,63.36,63.8,2111800
2017-03-17,1489708800,64.09,64.27,63.78,64.1,3593600
2017-03-20,1489968000,64.02,64.17,63.72,63.99,2655900
2017-03-21,1490054400,63.21,63.4,62.7,62.81,4262800
2017-03-22,1490140800,62.82,62.84,61.69,62.05,4567900
2017-03-23,1490227200,62.06,62.77,61.77,62.4,3006300
2017-03-24,1490313600,62.55,62.7,62.09,62.3,2933000
2017-03-27,1490572800,62.17,62.3,61.79,61.93,2523300
2017-03-28,1490659200,61.82,62.14,61.62,62.01,1742100
2017-03-29,1490745600,62.02,62.44,61.71,62.37,2055700
2017-03-30,1490832000,62.24,62.41,61.77,61.91,2143400
2017-03-31,1490918400,61.83,62.23,61.83,61.97,2145600
2017-04-03,1491177600,61.95,62.09,61.57,61.76,2156100
2017-04-04,1491264000,61.8,62.02,61.33,61.68,1420900
2017-04-05,1491350400,61.74,62.28,61.6,62.09,1516600
2017-04-06,1491436800,61.95,61.95,61.47,61.8,1777700
2017-04-07,1491523200,61.76,62.07,61.67,61.95,1811200
2017-04-10,1491782400,61.86,62.1,61.56,61.68,1714900
2017-04-11,1491868800,61.71,61.91,61.42,61.58,2045100
2017-04-12,1491955200,61.51,61.95,61.42,61.73,2494400
2017-04-13,1492041600,61.74,61.94,61.37,61.41,1698100
2017-04-17,1492387200,61.52,61.76,61.45,61.71,1264900
2017-04-18,1492473600,61.77,62.63,61.71,62.29,1831700
2017-04-19,1492560000,62.43,62.58,61.85,62.01,1204600
2017-04-20,1492646400,61.96,62.17,61.65,62.12,2164000
2017-04-21,1492732800,61.91,62.11,61.73,61.81,2739200
2017-04-24,1492992000,62.1,62.3,61.91,62.11,1863800
2017-04-25,1493078400,62.14,62.28,61.74,61.75,2218000
2017-04-26,1493164800,61.77,61.82,61.0,61.01,2428700
2017-04-27,1493251200,61.07,61.12,60.41,60.56,2293800
2017-04-28,1493337600,60.65,60.75,60.23,60.6,3897700
2017-05-01,1493596800,60.67,60.76,59.85,59.87,2060900
2017-05-02,1493683200,60.18,60.18,58.82,58.91,3625900
2017-05-03,1493769600,58.99,59.06,58.61,58.84,2853700
2017-05-04,1493856000,58.62,61.01,58.62,60.08,5349100
2017-05-05,1493942400,60.37,60.37,59.73,60.33,2684900
2017-05-08,1494201600,60.33,62.67,59.96,62.05,6966700
2017-05-09,1494288000,61.97,62.06,60.14,60.47,3663200
2017-05-10,1494374400,60.44,60.86,60.41,60.64,1931500
2017-05-11,1494460800,60.63,60.69,59.9,60.33,3431400
2017-05-12,1494547200,60.13,60.55,60.0,60.45,1940500
2017-05-15,1494806400,60.37,60.72,60.37,60.61,2310300
2017-05-16,1494892800,60.72,60.74,59.9,60.04,2292400
2017-05-17,1494979200,60.04,60.55,59.72,60.19,2528900
2017-05-18,1495065600,60.07,60.2,59.61,59.81,2434500
2017-05-19,1495152000,59.91,60.68,59.59,60.62,2606400
2017-05-22,1495411200,60.25,60.96,60.25,60.86,1222000
2017-05-23,1495497600,60.89,61.3,60.82,61.12,1986100
2017-05-24,1495584000,61.12,61.96,61.07,61.89,2531900
2017-05-25,1495670400,62.17,62.4,61.8,62.03,2218300
2017-05-26,1495756800,62.14,62.33,61.7,61.98,1312600
2017-05-30,1496102400,61.84,61.84,61.19,61.62,1827200
2017-05-31,1496188800,61.73,62.04,61.51,61.55,1711800
2017-06-01,1496275200,61.8,62.71,61.51,62.7,2075300
2017-06-02,1496361600,63.18,63.18,62.52,62.73,1760000
2017-06-05,1496620800,62.46,62.79,62.37,62.71,1542900
2017-06-06,1496707200,62.61,62.83,62.44,62.61,1176700
2017-06-07,1496793600,62.54,62.95,62.49,62.86,1631000
2017-06-08,1496880000,62.86,62.97,62.09,62.11,1860300
2017-06-09,1496966400,62.06,62.55,61.96,62.46,1403800
2017-06-12,1497225600,62.57,63.29,62.54,62.82,2518800
2017-06-13,1497312000,62.64,63.16,62.18,63.01,1675700
2017-06-14,1497398400,63.23,63.85,63.13,63.17,1690500
2017-06-15,1497484800,63.01,63.3,62.66,62.84,1661000
2017-06-16,1497571200,62.7,62.75,61.1,61.79,3595800
2017-06-19,1497830400,61.89,62.0,61.34,61.69,2270600
2017-06-20,1497916800,61.72,61.89,61.08,61.11,1785300
2017-06-21,1498003200,61.27,61.44,60.51,60.59,1598200
2017-06-22,1498089600,60.6,60.99,60.47,60.53,1602100
2017-06-23,1498176000,60.6,60.94,60.51,60.65,1715000
2017-06-26,1498435200,60.83,61.34,60.63,61.02,1204900
2017-06-27,1498521600,60.28,60.41,59.56,59.61,3023600
2017-06-28,1498608000,60.06,60.48,59.74,59.77,2100800
2017-06-29,1498694400,59.74,59.81,58.94,59.05,3505600
2017-06-30,1498780800,59.41,60.1,59.36,59.71,2498300
2017-07-03,1499040000,59.81,59.81,59.09,59.11,1086100
2017-07-05,1499212800,59.08,59.27,58.08,58.2,4124400
2017-07-06,1499299200,58.05,58.28,57.16,57.21,2709400
2017-07-07,1499385600,57.29,57.51,57.09,57.18,2991200
2017-07-10,1499644800,57.2,57.33,56.55,56.62,2589800
2017-07-11,1499731200,56.42,56.8,56.15,56.17,2706800
2017-07-12,1499817600,56.51,56.88,56.44,56.51,1369900
2017-07-13,1499904000,56.53,56.9,56.4,56.75,2021800
2017-07-14,1499990400,56.99,57.12,56.86,57.06,1414300
2017-07-17,1500249600,56.93,57.54,56.93,57.38,1785000
2017-07-18,1500336000,57.34,57.38,56.86,56.96,1957100
2017-07-19,1500422400,57.11,57.34,56.93,57.04,1775100
2017-07-20,1500508800,57.12,57.47,56.94,57.38,3329700
2017-07-21,1500595200,57.26,57.83,57.2,57.78,1462400
2017-07-24,1500854400,57.81,58.02,57.29,57.45,1739700
2017-07-25,1500940800,57.57,58.2,57.45,58.08,1772800
2017-07-26,1501027200,58.08,58.14,57.64,57.86,1156700
2017-07-27,1501113600,57.83,58.24,57.64,58.18,2414500
2017-07-28,1501200000,58.15,58.28,57.89,58.15,1787900
2017-07-31,1501459200,58.24,58.62,58.06,58.45,4095400
2017-08-01,1501545600,58.42,58.58,57.84,57.99,2021400
2017-08-02,1501632000,57.77,58.44,57.19,57.97,2580500
2017-08-03,1501718400,58.54,60.97,58.29,60.48,5046700
2017-08-04,1501804800,61.48,61.59,59.63,59.85,2864700
2017-08-07,1502064000,60.01,60.3,59.85,60.27,2923900
2017-08-08,1502150400,60.04,60.12,59.28,59.5,1702700
2017-08-09,1502236800,59.34,59.59,59.22,59.35,1565900
2017-08-10,1502323200,59.18,59.35,58.97,59.1,2022600
2017-08-11,1502409600,59.0,59.31,58.87,59.15,1054900
2017-08-14,1502668800,59.53,60.06,59.33,60.05,1984600
2017-08-15,1502755200,60.08,60.24,59.85,60.01,1405700
2017-08-16,1502841600,59.92,60.64,59.92,60.23,1297100
2017-08-17,1502928000,60.12,60.68,60.1,60.26,2106200
2017-08-18,1503014400,60.22,60.23,59.78,60.13,1975900
2017-08-21,1503273600,60.15,60.76,59.9,60.34,1281000
2017-08-22,1503360000,60.29,60.4,59.93,60.17,1861200
2017-08-23,1503446400,59.91,60.23,59.81,60.1,1756400
2017-08-24,1503532800,59.68,59.69,58.3,58.38,2713700
2017-08-25,1503619200,58.45,58.54,57.94,58.2,2241300
2017-08-28,1503878400,58.25,58.29,57.0,57.41,2045500
2017-08-29,1503964800,57.39,57.59,56.79,56.99,1833900
2017-08-30,1504051200,57.2,57.36,56.76,57.24,2120300
2017-08-31,1504137600,56.89,57.29,56.47,56.73,3006500
2017-09-01,1504224000,56.74,57.02,56.39,56.72,2474700
2017-09-05,1504569600,56.75,57.76,56.71,57.55,3256300
2017-09-06,1504656000,57.5,58.82,57.15,58.8,4069100
2017-09-07,1504742400,58.89,59.31,58.26,58.72,2490400
2017-09-08,1504828800,58.69,59.63,58.4,59.32,2764600
2017-09-11,1505088000,59.45,59.9,59.42,59.6,2665700
2017-09-12,1505174400,59.53,59.99,59.24,59.36,1437200
2017-09-13,1505260800,59.39,59.6,58.82,58.92,1764000
2017-09-14,1505347200,58.8,58.96,58.24,58.6,2732600
2017-09-15,1505433600,58.65,59.21,58.6,59.21,2579100
2017-09-18,1505692800,59.2,59.5,59.01,59.46,1876400
2017-09-19,1505779200,58.82,58.96,56.85,57.09,5904400
2017-09-20,1505865600,56.24,56.85,55.21,56.09,6004100
2017-09-21,1505952000,56.09,56.33,55.22,55.4,2342000
2017-09-22,1506038400,55.54,55.8,54.7,54.91,1962200
2017-09-25,1506297600,54.88,55.67,54.6,55.49,2996700
2017-09-26,1506384000,55.41,55.42,54.57,54.96,2929100
2017-09-27,1506470400,54.96,55.02,54.09,54.64,3092100
2017-09-28,1506556800,54.55,55.27,53.99,54.44,3940200
2017-09-29,1506643200,54.64,54.76,53.83,54.05,4069100
2017-10-02,1506902400,53.92,54.7,53.47,54.36,4200200
2017-10-03,1506988800,54.35,54.44,53.73,53.75,2831500
2017-10-04,1507075200,53.72,54.44,53.7,54.1,2804100
2017-10-05,1507161600,54.22,54.73,54.05,54.34,2251500
2017-10-06,1507248000,54.52,54.77,54.02,54.08,3205800
2017-10-09,1507507200,54.1,54.15,52.89,52.9,4129700
2017-10-10,1507593600,53.1,53.5,52.97,53.27,3694100
2017-10-11,1507680000,53.34,53.69,53.06,53.08,4974900
2017-10-12,1507766400,53.03,54.25,53.03,54.07,3105700
2017-10-13,1507852800,54.12,54.13,53.42,53.7,2875600
2017-10-16,1508112000,53.64,53.96,53.58,53.66,1754800
2017-10-17,1508198400,53.62,53.81,53.38,53.51,2032200
2017-10-18,1508284800,53.52,53.7,53.33,53.55,2688600
