Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,59.07,59.55,58.59,59.17,40800
2017-01-04,1483488000,59.4,60.07,59.26,59.64,34000
2017-01-05,1483574400,59.64,60.03,58.36,58.98,37900
2017-01-06,1483660800,59.02,59.1,58.31,58.4,19000
2017-01-09,1483920000,58.21,58.36,57.16,57.31,49900
2017-01-10,1484006400,57.54,58.92,57.3,58.73,64000
2017-01-11,1484092800,58.68,59.31,58.4,59.26,34400
2017-01-12,1484179200,59.07,59.88,57.2,57.44,42400
2017-01-13,1484265600,57.82,58.4,57.77,57.92,31300
2017-01-17,1484611200,57.58,57.58,56.54,56.91,32200
2017-01-18,1484697600,56.63,58.28,56.53,58.01,66800
2017-01-19,1484784000,58.11,58.4,57.2,58.3,31500
2017-01-20,1484870400,58.44,58.83,57.85,58.16,45400
2017-01-23,1485129600,58.06,58.54,57.77,58.54,30700
2017-01-24,1485216000,58.73,59.26,58.49,59.02,43100
2017-01-25,1485302400,59.5,59.88,59.07,59.88,41200
2017-01-26,1485388800,59.64,59.93,58.83,59.02,24600
2017-01-27,1485475200,59.21,59.83,58.88,59.74,23600
2017-01-30,1485734400,59.21,59.64,58.49,58.92,37600
2017-01-31,1485820800,58.73,59.11,58.11,58.97,27300
2017-02-01,1485907200,59.02,59.31,58.25,58.78,27100
2017-02-02,1485993600,58.83,59.02,58.16,58.49,19300
2017-02-03,1486080000,58.92,59.32,58.64,59.31,29400
2017-02-06,1486339200,59.21,59.21,58.14,58.73,22700
2017-02-07,1486425600,58.68,59.35,58.4,59.26,29300
2017-02-08,1486512000,59.21,59.31,58.59,59.31,41200
2017-02-09,1486598400,59.59,60.02,59.51,59.83,29800
2017-02-10,1486684800,60.12,60.22,59.74,60.02,24500
2017-02-13,1486944000,60.36,60.79,59.98,60.31,30100
2017-02-14,1487030400,60.07,60.26,59.55,60.12,26300
2017-02-15,1487116800,60.02,60.98,59.64,60.79,50100
2017-02-16,1487203200,60.69,60.89,60.07,60.46,20900
2017-02-17,1487289600,60.69,60.69,59.26,59.5,27300
2017-02-21,1487635200,59.88,60.1,59.5,59.64,20400
2017-02-22,1487721600,59.64,59.69,59.11,59.45,27000
2017-02-23,1487808000,59.55,60.65,58.4,59.07,48900
2017-02-24,1487894400,58.3,60.6,58.3,59.45,69100
2017-02-27,1488153600,59.45,59.69,58.97,59.5,53300
2017-02-28,1488240000,59.5,59.64,58.73,59.26,108800
2017-03-01,1488326400,60.12,60.93,59.27,59.5,63400
2017-03-02,1488412800,59.31,59.74,57.49,57.58,42200
2017-03-03,1488499200,57.82,57.82,56.91,57.25,43400
2017-03-06,1488758400,56.82,56.96,56.32,56.43,38400
2017-03-07,1488844800,56.15,56.96,56.05,56.1,49800
2017-03-08,1488931200,56.1,56.22,55.14,55.19,33600
2017-03-09,1489017600,55.29,55.62,55.05,55.33,60100
2017-03-10,1489104000,55.33,55.52,54.95,55.24,50700
2017-03-13,1489363200,55.0,55.52,54.95,55.38,26300
2017-03-14,1489449600,55.29,56.48,55.09,56.24,36500
2017-03-15,1489536000,56.43,57.3,56.24,57.2,65400
2017-03-16,1489622400,57.25,58.4,57.2,58.21,78200
2017-03-17,1489708800,58.4,58.78,58.3,58.49,65800
2017-03-20,1489968000,58.16,58.83,57.68,58.06,42300
2017-03-21,1490054400,58.21,58.21,55.52,55.52,58500
2017-03-22,1490140800,55.43,55.67,54.38,54.52,46500
2017-03-23,1490227200,54.66,56.39,53.75,56.0,63600
2017-03-24,1490313600,55.96,56.1,55.05,55.48,27200
2017-03-27,1490572800,54.66,55.86,54.38,55.62,19700
2017-03-28,1490659200,55.29,56.0,54.95,55.86,38700
2017-03-29,1490745600,55.62,56.39,55.62,56.29,25000
2017-03-30,1490832000,56.29,57.1,56.24,56.87,32400
2017-03-31,1490918400,56.77,57.34,55.76,56.82,95900
2017-04-03,1491177600,56.67,57.39,56.05,56.34,75900
