Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.35,10.4,9.85,10.0,110300
2017-01-04,1483488000,10.15,11.2,10.1,10.9,99500
2017-01-05,1483574400,10.95,10.95,10.65,10.9,17100
2017-01-06,1483660800,10.8,10.8,10.5,10.8,12900
2017-01-09,1483920000,10.65,10.85,10.65,10.8,30000
2017-01-10,1484006400,10.8,10.9,10.75,10.85,5800
2017-01-11,1484092800,10.9,10.9,10.8,10.8,10200
2017-01-12,1484179200,10.7,10.85,10.7,10.8,18800
2017-01-13,1484265600,10.8,10.9,10.8,10.85,9300
2017-01-17,1484611200,10.75,10.85,10.66,10.85,21900
2017-01-18,1484697600,10.85,10.85,10.65,10.75,15000
2017-01-19,1484784000,10.7,10.76,10.65,10.65,32400
2017-01-20,1484870400,10.65,10.8,10.57,10.8,25000
2017-01-23,1485129600,10.7,10.8,10.7,10.75,9800
2017-01-24,1485216000,10.7,10.85,10.6,10.8,12000
2017-01-25,1485302400,10.85,10.9,10.75,10.9,17200
2017-01-26,1485388800,10.9,10.9,10.85,10.9,9900
2017-01-27,1485475200,10.85,11.45,10.75,11.2,74300
2017-01-30,1485734400,11.0,11.1,10.95,10.95,6800
2017-01-31,1485820800,10.9,11.0,10.8,10.85,9400
2017-02-01,1485907200,10.8,10.85,10.75,10.75,27600
2017-02-02,1485993600,10.77,11.1,10.75,11.1,15900
2017-02-03,1486080000,11.25,11.25,10.7,10.95,10800
2017-02-06,1486339200,10.95,11.05,10.9,10.95,11100
2017-02-07,1486425600,10.85,10.95,10.7,10.85,28500
2017-02-08,1486512000,10.9,11.0,10.66,10.8,33000
2017-02-09,1486598400,10.85,11.15,10.85,10.95,22700
2017-02-10,1486684800,11.0,11.03,10.9,10.9,4900
2017-02-13,1486944000,11.0,11.0,10.76,10.95,14200
2017-02-14,1487030400,10.85,10.95,10.85,10.9,9000
2017-02-15,1487116800,10.85,10.95,10.8,10.8,20400
2017-02-16,1487203200,10.75,10.85,10.6,10.7,31500
2017-02-17,1487289600,10.75,10.85,10.55,10.7,16200
2017-02-21,1487635200,10.65,10.95,10.6,10.83,15500
2017-02-22,1487721600,10.75,10.86,10.62,10.85,10900
2017-02-23,1487808000,10.78,10.9,10.78,10.9,2600
2017-02-24,1487894400,10.83,10.9,10.71,10.71,3600
2017-02-27,1488153600,10.8,10.9,9.85,10.4,31000
2017-02-28,1488240000,10.35,10.35,9.85,10.05,25600
2017-03-01,1488326400,10.1,10.5,9.95,10.25,56200
2017-03-02,1488412800,10.2,10.5,10.1,10.1,21400
2017-03-03,1488499200,10.1,10.15,9.9,10.1,16600
2017-03-06,1488758400,10.0,10.1,9.85,10.0,17000
2017-03-07,1488844800,9.95,10.0,9.91,9.95,6700
2017-03-08,1488931200,10.05,10.05,9.85,9.95,7200
2017-03-09,1489017600,9.9,10.05,9.9,10.0,9800
2017-03-10,1489104000,10.0,10.1,9.91,10.0,9400
2017-03-13,1489363200,9.9,10.0,9.9,9.95,6800
2017-03-14,1489449600,9.95,10.05,9.91,10.05,17900
2017-03-15,1489536000,9.9,10.1,9.9,10.05,8800
2017-03-16,1489622400,10.0,10.15,10.0,10.15,2900
2017-03-17,1489708800,10.15,10.4,10.1,10.1,5800
2017-03-20,1489968000,10.55,10.55,10.21,10.35,8400
2017-03-21,1490054400,10.35,10.5,10.15,10.15,5800
2017-03-22,1490140800,10.15,10.15,10.0,10.0,4500
2017-03-23,1490227200,10.0,10.05,9.95,10.04,1100
2017-03-24,1490313600,10.05,10.25,9.9,10.0,7700
2017-03-27,1490572800,9.9,10.55,9.9,10.5,46900
2017-03-28,1490659200,10.5,10.85,10.0,10.25,75700
2017-03-29,1490745600,10.3,10.65,10.3,10.5,48100
2017-03-30,1490832000,10.5,10.8,10.5,10.8,12400
2017-03-31,1490918400,10.85,10.95,10.7,10.75,14500
2017-04-03,1491177600,10.75,10.75,10.55,10.55,30100
2017-04-04,1491264000,10.55,10.55,10.25,10.25,7400
2017-04-05,1491350400,10.3,10.5,10.1,10.3,26500
2017-04-06,1491436800,10.55,10.8,10.15,10.5,41700
