Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,16.93,17.06,16.28,16.59,221300
2017-01-04,1483488000,16.63,16.76,16.37,16.63,134400
2017-01-05,1483574400,16.59,16.76,16.03,16.03,200000
2017-01-06,1483660800,16.07,16.37,15.85,16.2,125300
2017-01-09,1483920000,16.07,16.07,15.77,15.85,163100
2017-01-10,1484006400,15.81,16.28,15.81,16.24,208100
2017-01-11,1484092800,16.16,16.41,15.94,16.33,198400
2017-01-12,1484179200,16.2,16.28,15.77,15.94,103800
2017-01-13,1484265600,15.94,16.37,15.94,16.2,108200
2017-01-17,1484611200,16.07,16.07,15.55,15.55,157800
2017-01-18,1484697600,15.64,15.81,15.55,15.72,82700
2017-01-19,1484784000,15.68,15.77,15.55,15.59,71500
2017-01-20,1484870400,15.64,15.94,15.59,15.77,97400
2017-01-23,1485129600,15.77,15.77,15.55,15.72,76600
2017-01-24,1485216000,15.77,16.27,15.77,16.16,110600
2017-01-25,1485302400,16.24,16.41,16.16,16.24,93400
2017-01-26,1485388800,16.2,16.41,15.94,16.24,120500
2017-01-27,1485475200,16.41,16.41,16.03,16.28,89400
2017-01-30,1485734400,16.16,16.2,15.72,15.77,132100
2017-01-31,1485820800,15.77,16.2,15.49,16.03,166200
2017-02-01,1485907200,16.16,16.46,16.11,16.41,287600
2017-02-02,1485993600,16.24,16.33,15.72,16.07,166700
2017-02-03,1486080000,16.15,16.63,16.11,16.54,195600
2017-02-06,1486339200,16.58,16.67,16.41,16.58,155200
2017-02-07,1486425600,16.67,16.84,16.52,16.58,156600
2017-02-08,1486512000,16.45,16.5,16.08,16.32,183000
2017-02-09,1486598400,16.45,16.62,16.23,16.62,100900
2017-02-10,1486684800,16.67,16.89,16.56,16.8,86200
2017-02-13,1486944000,16.93,16.97,16.76,16.89,93100
2017-02-14,1487030400,16.93,17.13,16.8,17.1,180900
2017-02-15,1487116800,17.15,17.28,17.1,17.19,138100
2017-02-16,1487203200,17.19,17.41,17.1,17.37,241000
2017-02-17,1487289600,17.37,17.58,17.24,17.5,290800
2017-02-21,1487635200,17.63,17.67,17.28,17.5,156100
2017-02-22,1487721600,17.45,17.63,17.37,17.45,144700
2017-02-23,1487808000,17.5,17.58,17.04,17.5,157700
