Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,41.61,42.0,41.47,41.69,1004500
2017-01-04,1483488000,41.88,42.32,41.7,42.22,793200
2017-01-05,1483574400,41.95,41.99,41.19,41.42,760100
2017-01-06,1483660800,41.42,41.43,40.92,41.0,861200
2017-01-09,1483920000,40.97,40.97,40.47,40.47,826700
2017-01-10,1484006400,40.53,40.89,40.47,40.56,622600
2017-01-11,1484092800,40.42,40.62,40.06,40.09,688900
2017-01-12,1484179200,39.92,39.94,39.24,39.7,987600
2017-01-13,1484265600,39.65,40.08,39.59,39.71,576500
2017-01-17,1484611200,39.65,40.02,39.37,39.89,664000
2017-01-18,1484697600,39.93,40.16,39.74,40.09,994500
2017-01-19,1484784000,40.0,40.25,39.86,40.12,1063000
2017-01-20,1484870400,40.29,40.47,40.16,40.3,1089000
2017-01-23,1485129600,40.14,40.29,39.6,40.08,847700
2017-01-24,1485216000,40.29,41.12,40.17,40.94,1761900
2017-01-25,1485302400,41.18,41.28,40.95,41.06,853300
2017-01-26,1485388800,40.62,41.12,40.22,40.62,1084400
2017-01-27,1485475200,40.71,40.77,39.98,40.03,975900
2017-01-30,1485734400,40.02,40.02,39.06,39.87,1327800
2017-01-31,1485820800,40.44,41.7,39.88,40.31,3434700
2017-02-01,1485907200,41.73,42.37,40.75,41.02,2243400
2017-02-02,1485993600,41.18,41.21,40.47,40.7,1167900
2017-02-03,1486080000,40.9,41.27,40.71,41.18,1274100
2017-02-06,1486339200,41.06,41.2,40.86,41.01,861500
2017-02-07,1486425600,41.18,41.48,41.0,41.07,943400
2017-02-08,1486512000,41.1,41.14,40.47,40.71,1173900
2017-02-09,1486598400,40.74,41.54,40.58,41.36,963900
2017-02-10,1486684800,41.36,41.52,41.12,41.33,1107100
2017-02-13,1486944000,41.43,41.56,41.05,41.12,830300
2017-02-14,1487030400,41.12,41.22,40.66,40.72,1172500
2017-02-15,1487116800,40.64,40.8,40.52,40.77,865300
2017-02-16,1487203200,40.88,41.05,40.53,40.84,777200
2017-02-17,1487289600,40.76,41.07,40.76,41.07,700500
2017-02-21,1487635200,41.11,41.49,41.0,41.45,852600
2017-02-22,1487721600,41.56,41.72,41.28,41.39,1038700
2017-02-23,1487808000,41.55,41.64,41.21,41.53,840200
2017-02-24,1487894400,41.34,41.76,41.07,41.76,870700
2017-02-27,1488153600,41.69,41.98,41.57,41.82,567000
2017-02-28,1488240000,41.67,41.82,41.41,41.55,849400
2017-03-01,1488326400,41.94,42.24,41.77,42.17,802700
2017-03-02,1488412800,42.1,42.1,41.68,41.81,600400
2017-03-03,1488499200,41.77,42.02,41.67,41.8,513900
2017-03-06,1488758400,41.68,41.72,41.31,41.42,650600
2017-03-07,1488844800,41.42,41.51,41.12,41.25,1212400
2017-03-08,1488931200,41.31,41.38,40.85,41.15,999100
2017-03-09,1489017600,41.15,41.23,40.62,40.72,603500
2017-03-10,1489104000,40.8,41.28,40.8,41.26,989500
2017-03-13,1489363200,41.28,41.74,41.12,41.73,1439500
2017-03-14,1489449600,41.62,42.08,41.49,41.87,782300
2017-03-15,1489536000,42.06,42.61,41.85,42.48,988700
2017-03-16,1489622400,42.53,42.92,42.44,42.68,1198700
