Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,29.21,29.47,28.26,28.79,339500
2017-01-04,1483488000,28.86,29.3,28.73,29.17,242700
2017-01-05,1483574400,29.07,29.76,28.79,29.71,242500
2017-01-06,1483660800,28.4,29.71,28.28,29.63,578100
2017-01-09,1483920000,29.57,29.66,28.83,28.93,309600
2017-01-10,1484006400,28.8,29.98,28.68,29.7,272700
2017-01-11,1484092800,29.69,30.45,29.36,30.43,287600
2017-01-12,1484179200,30.41,30.7,29.9,30.58,389200
2017-01-13,1484265600,30.63,31.15,30.42,30.83,396200
2017-01-17,1484611200,30.8,31.36,30.57,31.34,284800
2017-01-18,1484697600,31.41,31.43,30.78,30.88,290500
2017-01-19,1484784000,30.83,30.93,29.33,29.39,351000
2017-01-20,1484870400,29.28,29.57,29.16,29.34,442800
2017-01-23,1485129600,29.02,29.67,28.69,29.41,393500
2017-01-24,1485216000,29.66,30.91,29.57,30.76,305600
2017-01-25,1485302400,30.99,32.38,30.76,32.19,568100
2017-01-26,1485388800,32.25,32.87,32.12,32.14,294500
2017-01-27,1485475200,32.19,32.19,31.22,31.72,201300
2017-01-30,1485734400,31.71,31.71,30.76,30.79,389700
2017-01-31,1485820800,30.73,31.2,30.51,31.06,217300
2017-02-01,1485907200,31.17,31.38,30.43,30.7,290600
2017-02-02,1485993600,30.77,31.02,30.36,30.87,223100
2017-02-03,1486080000,31.07,31.48,30.67,31.34,164900
2017-02-06,1486339200,28.05,28.47,26.82,27.62,3565100
2017-02-07,1486425600,27.63,27.88,26.97,27.62,762000
2017-02-08,1486512000,27.57,27.71,27.12,27.4,441800
2017-02-09,1486598400,27.28,28.11,26.91,28.07,360700
2017-02-10,1486684800,28.11,28.78,27.74,28.4,297500
2017-02-13,1486944000,28.5,28.99,28.17,28.95,279700
2017-02-14,1487030400,28.84,29.09,28.56,28.99,307000
2017-02-15,1487116800,28.85,29.17,28.38,28.95,219800
2017-02-16,1487203200,28.77,29.37,28.54,28.9,285700
2017-02-17,1487289600,28.66,28.97,28.56,28.86,225900
2017-02-21,1487635200,28.94,29.62,28.94,29.35,214200
2017-02-22,1487721600,29.41,30.03,29.13,29.21,191100
2017-02-23,1487808000,29.23,29.3,28.51,28.67,187400
2017-02-24,1487894400,28.45,28.8,28.23,28.7,191700
2017-02-27,1488153600,28.66,29.52,28.66,29.23,315800
2017-02-28,1488240000,29.29,29.33,28.7,29.01,398000
2017-03-01,1488326400,29.2,30.34,29.18,29.44,683700
2017-03-02,1488412800,29.49,29.5,28.9,28.92,617700
2017-03-03,1488499200,28.93,30.09,28.58,29.91,621100
2017-03-06,1488758400,28.24,29.3,27.28,29.01,773000
2017-03-07,1488844800,31.65,34.4,31.57,32.71,2973300
2017-03-08,1488931200,33.31,33.96,32.75,32.98,1132400
2017-03-09,1489017600,33.14,33.67,31.97,32.24,751100
2017-03-10,1489104000,32.52,32.92,31.9,32.25,528400
2017-03-13,1489363200,32.25,32.62,30.96,31.05,524200
2017-03-14,1489449600,31.05,31.42,30.61,31.23,384800
2017-03-15,1489536000,31.41,31.94,31.09,31.64,273300
2017-03-16,1489622400,31.7,32.74,31.59,32.17,438800
2017-03-17,1489708800,32.84,32.84,31.81,32.18,416200
2017-03-20,1489968000,32.24,32.41,31.74,32.04,180600
2017-03-21,1490054400,32.23,32.42,31.44,31.49,192800
2017-03-22,1490140800,31.5,31.54,30.65,31.52,277100
2017-03-23,1490227200,31.65,32.2,30.84,31.79,143100
2017-03-24,1490313600,31.97,32.31,31.68,31.91,143800
2017-03-27,1490572800,31.55,32.65,31.15,32.56,296700
2017-03-28,1490659200,32.56,33.52,32.46,33.48,275300
2017-03-29,1490745600,33.52,34.15,33.13,33.85,306900
2017-03-30,1490832000,33.86,34.2,33.37,33.82,280800
2017-03-31,1490918400,33.78,34.03,33.27,33.91,195800
2017-04-03,1491177600,34.05,34.05,33.34,33.85,255500
2017-04-04,1491264000,33.7,34.19,33.47,33.98,275900
2017-04-05,1491350400,34.22,34.84,33.68,33.73,407200
2017-04-06,1491436800,32.29,32.64,31.15,31.67,912600
2017-04-07,1491523200,31.61,31.82,30.63,30.87,404400
2017-04-10,1491782400,30.99,31.21,30.29,30.38,413300
2017-04-11,1491868800,30.4,30.77,30.26,30.6,315000
2017-04-12,1491955200,30.55,30.8,29.95,30.13,185400
2017-04-13,1492041600,30.22,30.76,29.92,30.07,207600
2017-04-17,1492387200,30.1,30.65,30.07,30.56,190700
2017-04-18,1492473600,30.61,31.09,30.4,30.9,239600
2017-04-19,1492560000,30.99,31.32,30.66,30.82,243000
2017-04-20,1492646400,30.99,31.2,30.26,30.92,312600
2017-04-21,1492732800,30.88,31.16,30.46,30.98,393300
2017-04-24,1492992000,31.42,31.45,30.47,30.86,238600
2017-04-25,1493078400,30.88,30.88,29.92,30.81,370600
2017-04-26,1493164800,30.87,31.15,30.36,30.96,247100
2017-04-27,1493251200,31.05,32.14,30.86,32.11,325500
2017-04-28,1493337600,32.14,32.14,31.35,31.83,281800
2017-05-01,1493596800,31.97,32.44,31.58,31.77,223700
2017-05-02,1493683200,31.83,31.93,31.15,31.32,319400
2017-05-03,1493769600,31.36,31.45,30.51,31.03,250100
2017-05-04,1493856000,30.71,30.72,29.25,29.52,865100
2017-05-05,1493942400,29.64,29.86,29.32,29.73,201700
2017-05-08,1494201600,29.7,29.7,28.57,29.04,1126700
2017-05-09,1494288000,32.0,32.98,30.44,32.87,965200
2017-05-10,1494374400,32.75,32.93,32.0,32.14,362300
2017-05-11,1494460800,32.07,32.22,31.44,31.89,258400
2017-05-12,1494547200,31.75,32.41,31.46,31.75,358600
2017-05-15,1494806400,31.71,32.84,31.56,32.69,659000
2017-05-16,1494892800,33.8,34.45,32.99,33.95,688100
2017-05-17,1494979200,33.59,33.76,32.18,32.18,391800
2017-05-18,1495065600,32.22,32.48,31.8,32.0,281100
2017-05-19,1495152000,32.02,32.77,32.02,32.46,156600
2017-05-22,1495411200,32.49,32.57,32.15,32.54,276600
2017-05-23,1495497600,32.75,32.97,32.15,32.22,159500
2017-05-24,1495584000,32.28,32.49,31.86,32.41,313800
2017-05-25,1495670400,32.6,32.71,32.1,32.4,186500
2017-05-26,1495756800,32.31,32.47,32.07,32.41,143700
2017-05-30,1496102400,32.25,32.51,31.88,32.31,194600
2017-05-31,1496188800,32.46,32.47,31.79,32.4,207800
2017-06-01,1496275200,32.5,33.22,32.01,33.18,293700
2017-06-02,1496361600,33.29,34.7,33.07,34.4,589100
2017-06-05,1496620800,34.34,34.61,34.11,34.38,270400
2017-06-06,1496707200,35.1,36.69,34.75,36.06,531100
2017-06-07,1496793600,36.04,36.8,35.63,35.99,387000
2017-06-08,1496880000,35.95,36.39,35.91,36.19,281300
2017-06-09,1496966400,36.26,36.69,36.04,36.24,278200
2017-06-12,1497225600,36.07,36.98,34.44,36.62,273400
2017-06-13,1497312000,36.61,36.98,36.21,36.94,267100
2017-06-14,1497398400,37.0,37.83,36.91,37.14,202900
2017-06-15,1497484800,36.97,37.17,36.48,37.06,140500
2017-06-16,1497571200,36.75,37.36,36.68,37.19,290600
2017-06-19,1497830400,37.38,37.73,37.15,37.41,196400
2017-06-20,1497916800,37.4,37.94,37.36,37.77,239100
2017-06-21,1498003200,37.58,38.17,37.41,37.71,236700
2017-06-22,1498089600,37.78,38.23,37.6,37.67,170900
2017-06-23,1498176000,37.63,38.1,37.4,38.01,395200
2017-06-26,1498435200,38.13,39.7,38.0,39.44,748800
2017-06-27,1498521600,39.25,39.92,38.44,38.6,311000
2017-06-28,1498608000,38.85,39.7,38.53,39.7,175800
2017-06-29,1498694400,39.51,39.6,38.76,39.17,209300
2017-06-30,1498780800,39.3,40.58,39.3,40.18,285300
2017-07-03,1499040000,40.43,40.62,39.81,39.96,158100
2017-07-05,1499212800,39.62,40.75,39.32,40.49,250700
2017-07-06,1499299200,40.12,40.47,39.71,39.9,295900
2017-07-07,1499385600,42.26,42.78,40.49,41.91,839600
2017-07-10,1499644800,42.05,42.6,41.64,42.39,702000
2017-07-11,1499731200,42.32,42.48,41.27,42.18,464400
2017-07-12,1499817600,42.4,43.07,41.94,42.32,221600
2017-07-13,1499904000,42.37,42.63,41.69,42.11,387600
2017-07-14,1499990400,42.15,42.74,42.08,42.46,234800
2017-07-17,1500249600,42.74,43.42,42.37,43.23,313500
2017-07-18,1500336000,43.29,43.9,41.94,42.5,296200
2017-07-19,1500422400,42.71,43.05,42.56,42.6,237400
2017-07-20,1500508800,42.7,42.7,41.82,42.32,280400
2017-07-21,1500595200,42.45,43.3,42.42,43.28,203900
2017-07-24,1500854400,43.0,43.68,43.0,43.53,201000
