Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,146.11,146.11,142.33,145.37,372900
2017-01-04,1483488000,145.75,148.39,145.75,146.61,227000
2017-01-05,1483574400,146.45,146.51,143.55,144.96,255100
2017-01-06,1483660800,144.93,145.13,143.21,143.71,257200
2017-01-09,1483920000,143.65,144.29,141.96,142.37,296100
2017-01-10,1484006400,141.98,143.41,141.73,142.14,307400
2017-01-11,1484092800,142.07,143.22,141.31,143.15,271100
2017-01-12,1484179200,143.26,143.26,139.57,140.49,415300
2017-01-13,1484265600,141.18,142.24,139.71,141.31,462500
2017-01-17,1484611200,140.96,143.42,139.99,142.88,311400
2017-01-18,1484697600,143.14,143.69,142.09,143.24,255100
2017-01-19,1484784000,142.89,144.18,142.18,143.17,257200
2017-01-20,1484870400,143.18,143.71,142.44,143.59,264700
2017-01-23,1485129600,142.35,143.5,142.2,142.92,209400
2017-01-24,1485216000,143.72,148.64,143.37,147.69,433700
2017-01-25,1485302400,147.99,149.86,147.99,149.47,269700
2017-01-26,1485388800,148.65,149.57,147.49,147.56,266300
2017-01-27,1485475200,147.48,149.36,146.75,148.31,354000
2017-01-30,1485734400,147.12,148.83,144.93,148.13,355100
2017-01-31,1485820800,147.34,149.02,145.28,148.34,360000
2017-02-01,1485907200,149.26,149.99,147.22,148.7,263500
2017-02-02,1485993600,148.52,148.82,146.63,147.02,264200
2017-02-03,1486080000,147.92,149.21,147.64,148.76,342700
2017-02-06,1486339200,148.45,149.97,148.13,148.84,567100
2017-02-07,1486425600,153.26,153.47,147.4,151.65,585300
2017-02-08,1486512000,152.07,154.75,152.07,154.51,452900
2017-02-09,1486598400,154.51,155.61,154.09,155.1,235900
2017-02-10,1486684800,155.43,156.03,152.49,154.43,295300
2017-02-13,1486944000,155.3,155.35,152.33,152.41,306400
2017-02-14,1487030400,151.82,151.86,150.76,151.51,249900
2017-02-15,1487116800,151.39,151.39,148.87,150.72,424500
2017-02-16,1487203200,151.25,161.58,150.95,158.66,1793200
2017-02-17,1487289600,153.37,155.04,151.68,153.75,731700
2017-02-21,1487635200,154.5,156.38,153.97,156.18,329200
2017-02-22,1487721600,155.23,157.0,154.45,155.17,181600
2017-02-23,1487808000,155.62,156.5,153.97,155.65,314600
2017-02-24,1487894400,154.98,157.07,154.62,156.98,250900
2017-02-27,1488153600,156.73,159.73,156.73,158.2,290900
2017-02-28,1488240000,157.5,158.36,155.62,155.73,613600
2017-03-01,1488326400,157.29,159.74,157.28,158.45,512700
2017-03-02,1488412800,158.13,159.07,157.45,158.3,277500
2017-03-03,1488499200,158.59,160.02,157.9,158.56,257600
2017-03-06,1488758400,157.91,157.91,156.64,157.53,254100
2017-03-07,1488844800,157.34,158.07,156.69,156.8,205300
2017-03-08,1488931200,156.45,158.11,156.34,156.56,177100
2017-03-09,1489017600,156.55,158.54,156.48,157.55,220300
2017-03-10,1489104000,157.88,159.44,157.33,158.27,238100
2017-03-13,1489363200,158.58,159.69,157.59,159.31,278800
2017-03-14,1489449600,159.0,160.32,158.09,159.33,241700
2017-03-15,1489536000,159.88,162.78,158.79,162.39,234600
2017-03-16,1489622400,158.64,163.29,158.64,162.82,260700
2017-03-17,1489708800,162.72,163.12,161.6,162.74,400600
2017-03-20,1489968000,162.88,163.62,161.53,162.38,145400
2017-03-21,1490054400,162.9,163.46,159.51,159.54,404900
2017-03-22,1490140800,159.66,161.56,158.88,160.76,173200
2017-03-23,1490227200,160.8,162.67,160.8,161.39,145500
2017-03-24,1490313600,161.42,162.68,160.08,160.48,183200
2017-03-27,1490572800,158.86,161.75,158.62,160.81,405800
2017-03-28,1490659200,160.4,161.47,159.54,160.44,234000
2017-03-29,1490745600,160.04,160.15,158.74,159.99,189900
2017-03-30,1490832000,159.9,160.29,158.7,159.55,273100
2017-03-31,1490918400,159.64,160.06,158.58,158.67,296100
2017-04-03,1491177600,159.33,160.35,157.03,157.78,297600
2017-04-04,1491264000,157.68,158.47,156.87,157.31,197000
2017-04-05,1491350400,157.9,158.53,155.59,156.0,240000
2017-04-06,1491436800,156.22,158.14,156.03,156.73,223000
2017-04-07,1491523200,156.17,158.06,155.54,156.12,294600
2017-04-10,1491782400,156.13,158.53,156.13,157.76,251300
2017-04-11,1491868800,157.97,159.32,156.63,159.24,219500
2017-04-12,1491955200,158.57,159.0,156.35,156.93,210900
2017-04-13,1492041600,156.94,158.18,156.23,156.71,324300
2017-04-17,1492387200,157.58,158.81,157.23,158.69,225900
2017-04-18,1492473600,158.16,158.76,157.28,158.49,159100
2017-04-19,1492560000,158.87,160.75,158.34,159.13,249500
2017-04-20,1492646400,160.14,161.16,159.23,160.58,221800
2017-04-21,1492732800,160.45,163.83,158.28,163.53,330800
2017-04-24,1492992000,160.73,160.73,152.8,159.64,1254200
2017-04-25,1493078400,159.65,161.23,158.41,160.16,593300
2017-04-26,1493164800,160.84,161.08,157.56,158.83,498000
2017-04-27,1493251200,158.38,159.91,157.51,159.59,332000
2017-04-28,1493337600,159.51,160.4,156.74,156.86,468000
2017-05-01,1493596800,157.73,160.01,156.17,157.89,318600
2017-05-02,1493683200,158.33,158.33,156.23,156.92,283300
2017-05-03,1493769600,156.12,158.33,156.12,158.1,232500
2017-05-04,1493856000,158.89,159.29,157.35,159.2,263800
2017-05-05,1493942400,159.27,160.07,158.42,159.19,249300
2017-05-08,1494201600,159.03,159.28,157.87,158.39,170500
2017-05-09,1494288000,158.57,159.96,157.86,158.34,300300
2017-05-10,1494374400,158.27,159.64,157.37,159.55,307100
2017-05-11,1494460800,159.1,159.34,156.61,158.94,205400
2017-05-12,1494547200,158.85,158.85,157.29,157.61,176400
2017-05-15,1494806400,157.59,160.16,157.59,159.22,314200
2017-05-16,1494892800,159.97,164.03,159.85,163.15,609500
2017-05-17,1494979200,163.15,163.15,161.24,162.47,476500
2017-05-18,1495065600,161.88,164.45,160.66,162.84,382800
2017-05-19,1495152000,163.7,167.37,163.39,166.44,410600
2017-05-22,1495411200,167.57,167.69,166.31,166.63,217200
2017-05-23,1495497600,166.91,168.26,165.97,166.33,267700
2017-05-24,1495584000,166.56,167.88,165.99,166.51,258100
2017-05-25,1495670400,166.81,167.93,166.0,167.06,344400
2017-05-26,1495756800,166.42,167.0,164.82,166.06,272100
2017-05-30,1496102400,165.39,166.84,164.75,166.51,264200
2017-05-31,1496188800,167.2,168.49,166.14,167.96,1472400
2017-06-01,1496275200,168.52,169.37,167.03,168.64,337800
2017-06-02,1496361600,169.53,170.33,168.56,169.64,230100
2017-06-05,1496620800,169.4,171.12,168.7,169.85,228100
2017-06-06,1496707200,169.59,170.25,168.1,168.54,369500
2017-06-07,1496793600,168.25,170.79,168.0,169.53,346800
2017-06-08,1496880000,169.28,170.54,167.93,169.22,279300
2017-06-09,1496966400,169.68,170.8,168.84,169.44,213700
2017-06-12,1497225600,168.88,172.81,168.56,172.13,407200
2017-06-13,1497312000,172.2,175.81,171.47,175.03,379000
2017-06-14,1497398400,175.06,177.91,175.06,176.78,326600
2017-06-15,1497484800,175.74,178.72,175.7,178.04,348800
2017-06-16,1497571200,178.15,179.01,176.95,178.88,386800
2017-06-19,1497830400,180.07,181.9,178.56,181.19,342000
2017-06-20,1497916800,180.46,181.72,180.41,181.38,358200
2017-06-21,1498003200,181.28,182.65,180.27,181.97,403100
2017-06-22,1498089600,181.2,181.62,178.87,178.96,332100
2017-06-23,1498176000,178.94,179.6,177.15,177.93,629100
2017-06-26,1498435200,178.97,179.0,176.64,176.94,292500
2017-06-27,1498521600,176.09,177.55,174.62,174.75,304200
2017-06-28,1498608000,175.56,175.99,174.41,175.47,428700
2017-06-29,1498694400,176.01,176.01,172.38,174.46,282500
2017-06-30,1498780800,174.54,175.91,174.35,174.65,478400
2017-07-03,1499040000,175.47,177.5,174.67,174.87,250000
2017-07-05,1499212800,175.18,177.62,175.18,176.72,293800
2017-07-06,1499299200,176.23,178.31,174.54,174.91,336400
2017-07-07,1499385600,175.14,177.4,175.14,177.1,253800
2017-07-10,1499644800,177.63,178.12,175.35,175.66,363200
2017-07-11,1499731200,175.33,176.37,172.08,173.98,389400
2017-07-12,1499817600,174.74,176.6,174.31,174.81,218000
2017-07-13,1499904000,175.16,176.06,174.13,174.91,187700
2017-07-14,1499990400,175.03,175.91,174.04,174.78,174500
2017-07-17,1500249600,174.97,175.83,174.42,175.3,185400
2017-07-18,1500336000,175.04,175.22,173.67,174.92,255300
2017-07-19,1500422400,175.5,176.06,174.88,175.4,253900
2017-07-20,1500508800,175.88,176.01,173.56,173.63,210500
2017-07-21,1500595200,173.25,173.8,172.59,173.48,425500
2017-07-24,1500854400,169.69,172.29,166.99,167.71,574900
2017-07-25,1500940800,168.72,168.76,162.94,163.54,907600
2017-07-26,1501027200,163.53,164.64,161.02,161.6,544700
2017-07-27,1501113600,161.59,164.16,161.37,163.67,453300
2017-07-28,1501200000,163.54,163.9,161.6,162.65,370700
2017-07-31,1501459200,163.17,164.07,162.47,162.63,278900
2017-08-01,1501545600,163.37,163.69,161.8,162.71,345800
2017-08-02,1501632000,162.64,163.74,161.78,163.53,385800
2017-08-03,1501718400,163.54,164.19,162.75,163.96,321400
2017-08-04,1501804800,164.23,165.42,163.35,163.85,287900
2017-08-07,1502064000,163.86,165.03,163.1,164.88,311100
2017-08-08,1502150400,164.8,165.86,163.86,163.96,223300
2017-08-09,1502236800,163.42,164.04,162.54,163.1,253500
2017-08-10,1502323200,162.31,164.13,159.0,159.33,292200
2017-08-11,1502409600,159.73,162.01,159.05,159.18,271600
2017-08-14,1502668800,160.04,160.81,159.63,160.29,178400
2017-08-15,1502755200,160.29,161.03,158.23,159.7,217000
2017-08-16,1502841600,159.83,160.26,159.01,159.28,238900
2017-08-17,1502928000,158.72,160.25,156.85,157.03,273300
2017-08-18,1503014400,156.19,157.62,155.9,155.99,247900
2017-08-21,1503273600,155.92,157.0,155.55,156.32,186300
2017-08-22,1503360000,156.81,158.09,155.69,157.73,184900
2017-08-23,1503446400,157.19,157.84,154.71,155.51,372400
2017-08-24,1503532800,155.18,155.51,152.34,152.74,342700
2017-08-25,1503619200,153.3,154.74,152.53,153.93,275200
2017-08-28,1503878400,154.56,154.75,153.5,154.25,229100
2017-08-29,1503964800,153.61,153.98,152.74,153.35,391900
2017-08-30,1504051200,153.47,155.38,152.61,154.96,445700
2017-08-31,1504137600,155.46,157.86,155.27,157.62,666700
2017-09-01,1504224000,158.3,158.96,157.52,157.84,333600
2017-09-05,1504569600,157.25,158.23,156.83,158.01,376700
2017-09-06,1504656000,158.8,159.25,152.77,155.26,692700
2017-09-07,1504742400,155.87,155.87,153.21,155.2,430100
2017-09-08,1504828800,155.18,162.1,154.95,160.6,638500
2017-09-11,1505088000,161.48,161.48,158.89,160.35,290800
2017-09-12,1505174400,160.64,163.71,160.49,163.43,328100
2017-09-13,1505260800,163.2,163.2,158.92,159.28,628700
2017-09-14,1505347200,158.99,159.63,157.84,158.84,295900
2017-09-15,1505433600,158.74,160.26,157.94,159.33,514900
2017-09-18,1505692800,159.7,160.82,158.81,159.05,375500
2017-09-19,1505779200,159.21,159.36,156.66,157.71,405200
2017-09-20,1505865600,158.14,162.23,157.95,162.03,442900
2017-09-21,1505952000,162.0,163.49,161.24,163.28,298100
2017-09-22,1506038400,163.29,164.88,162.89,164.5,400300
2017-09-25,1506297600,163.67,164.4,161.22,162.2,415400
2017-09-26,1506384000,162.35,166.04,162.2,165.18,464000
2017-09-27,1506470400,165.36,166.62,162.12,164.84,378900
2017-09-28,1506556800,164.8,168.32,164.28,167.8,460600
2017-09-29,1506643200,167.69,171.66,167.35,170.71,699900
2017-10-02,1506902400,170.38,173.28,170.12,170.76,522400
2017-10-03,1506988800,170.97,172.18,169.48,171.81,379100
2017-10-04,1507075200,171.92,173.62,171.45,173.02,264000
2017-10-05,1507161600,173.58,174.71,172.11,173.15,329900
2017-10-06,1507248000,172.92,176.68,172.56,175.81,422500
2017-10-09,1507507200,175.68,176.43,174.96,175.61,213300
2017-10-10,1507593600,176.15,176.15,172.79,173.12,369000
2017-10-11,1507680000,173.55,173.55,170.35,171.97,471800
2017-10-12,1507766400,171.71,173.37,170.4,172.72,457500
2017-10-13,1507852800,173.42,174.25,172.23,172.85,236700
2017-10-16,1508112000,172.39,173.12,171.87,172.73,202100
2017-10-17,1508198400,172.84,173.31,170.91,171.87,360200
2017-10-18,1508284800,172.29,174.14,172.29,173.43,206500
2017-10-19,1508371200,173.05,173.05,169.98,171.11,448300
2017-10-20,1508457600,172.02,172.82,169.9,171.98,806800
2017-10-23,1508716800,177.14,187.43,175.32,184.5,1053200
2017-10-24,1508803200,186.68,192.11,185.05,187.5,792800
2017-10-25,1508889600,186.96,187.27,181.58,184.3,757700
2017-10-26,1508976000,184.47,187.2,184.25,186.53,339900
2017-10-27,1509062400,185.92,186.85,183.52,184.42,293600
2017-10-30,1509321600,184.46,184.75,181.76,182.32,229500
2017-10-31,1509408000,183.16,184.91,182.14,182.31,290900
2017-11-01,1509494400,183.48,183.48,180.49,181.11,276200
2017-11-02,1509580800,180.5,181.55,178.38,181.07,277600
2017-11-03,1509667200,180.9,183.24,179.81,181.39,328800
2017-11-06,1509926400,181.01,183.21,180.8,182.45,225600
2017-11-07,1510012800,183.03,183.03,180.89,182.81,197000
2017-11-08,1510099200,182.81,184.83,182.28,184.28,245300
2017-11-09,1510185600,182.79,183.62,179.05,180.18,230100
2017-11-10,1510272000,179.48,180.8,178.69,180.08,212500
