Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,45.23,45.37,44.72,45.32,102400
2017-01-04,1483488000,45.21,45.87,45.07,45.49,276700
2017-01-05,1483574400,45.39,46.4,45.25,45.79,575100
2017-01-06,1483660800,46.0,46.04,45.52,45.82,496000
2017-01-09,1483920000,45.71,46.23,45.35,46.07,302900
2017-01-10,1484006400,46.24,46.64,45.93,46.56,340500
2017-01-11,1484092800,46.7,47.21,46.28,46.87,147800
2017-01-12,1484179200,46.76,47.36,46.34,47.33,168100
2017-01-13,1484265600,47.63,47.9,47.0,47.38,104700
2017-01-17,1484611200,47.45,47.9,46.89,47.64,137900
2017-01-18,1484697600,47.69,47.79,46.86,47.68,314600
2017-01-19,1484784000,47.72,47.72,46.8,47.0,180700
2017-01-20,1484870400,47.11,47.11,46.43,47.04,208500
2017-01-23,1485129600,46.83,47.03,46.39,46.62,270700
2017-01-24,1485216000,46.79,47.17,46.45,47.14,156000
2017-01-25,1485302400,47.18,48.13,46.91,48.11,135100
2017-01-26,1485388800,48.12,48.12,47.03,47.59,282600
2017-01-27,1485475200,47.76,48.1,47.23,47.96,169100
2017-01-30,1485734400,47.7,48.22,47.15,47.37,202300
2017-01-31,1485820800,47.28,48.16,46.99,48.1,219300
2017-02-01,1485907200,48.11,48.56,48.07,48.48,197500
2017-02-02,1485993600,48.53,49.33,47.79,48.4,252600
2017-02-03,1486080000,48.66,48.95,47.28,48.7,132700
2017-02-06,1486339200,48.56,48.61,48.0,48.38,132000
2017-02-07,1486425600,48.5,48.5,47.58,47.91,314400
2017-02-08,1486512000,48.0,48.03,47.55,47.92,114400
2017-02-09,1486598400,48.01,48.68,48.01,48.65,131900
2017-02-10,1486684800,48.55,48.9,48.33,48.62,97500
2017-02-13,1486944000,48.74,48.88,45.67,48.32,124200
2017-02-14,1487030400,48.32,48.6,47.76,48.16,275400
2017-02-15,1487116800,48.17,49.15,48.13,49.04,186400
2017-02-16,1487203200,49.04,49.11,48.67,48.98,162500
2017-02-17,1487289600,48.77,49.4,48.77,49.24,171000
2017-02-21,1487635200,49.15,50.22,49.15,49.79,273900
2017-02-22,1487721600,49.42,49.59,48.39,49.06,256500
2017-02-23,1487808000,49.14,49.33,48.27,48.87,211100
