Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,17.64,18.7,17.52,18.0,185100
2017-01-04,1483488000,18.01,19.74,18.01,19.19,173900
2017-01-05,1483574400,19.18,19.68,18.08,19.13,179500
2017-01-06,1483660800,18.76,20.81,18.76,20.72,215800
2017-01-09,1483920000,20.85,21.52,20.07,20.99,139900
2017-01-10,1484006400,21.03,21.62,20.57,21.43,70300
2017-01-11,1484092800,21.31,21.56,20.21,20.57,143200
2017-01-12,1484179200,20.34,21.49,20.17,21.24,111600
2017-01-13,1484265600,21.29,22.31,21.14,21.89,195400
2017-01-17,1484611200,21.53,21.53,20.04,20.42,172600
2017-01-18,1484697600,20.55,20.98,20.02,20.66,84200
2017-01-19,1484784000,20.66,20.85,19.51,19.93,138600
2017-01-20,1484870400,19.97,20.88,19.87,20.13,110500
2017-01-23,1485129600,20.08,20.39,19.6,19.69,124400
2017-01-24,1485216000,19.86,20.16,19.06,19.65,200200
2017-01-25,1485302400,19.96,20.76,19.68,20.29,174100
2017-01-26,1485388800,20.28,20.43,19.37,19.5,117000
2017-01-27,1485475200,19.5,20.3,19.39,20.09,224700
2017-01-30,1485734400,20.04,20.04,19.06,19.18,166200
2017-01-31,1485820800,19.11,19.65,18.55,19.45,231300
2017-02-01,1485907200,19.54,19.95,19.19,19.44,141900
2017-02-02,1485993600,19.43,19.64,18.94,19.43,147800
2017-02-03,1486080000,19.65,19.76,19.11,19.49,153400
2017-02-06,1486339200,19.41,19.6,19.2,19.41,115500
2017-02-07,1486425600,19.55,19.89,19.14,19.47,189400
2017-02-08,1486512000,19.34,19.62,19.17,19.46,124400
2017-02-09,1486598400,19.44,19.8,19.21,19.56,119900
2017-02-10,1486684800,19.6,19.65,19.37,19.5,115100
2017-02-13,1486944000,19.69,19.74,19.09,19.19,251400
2017-02-14,1487030400,19.21,19.58,19.17,19.28,269700
2017-02-15,1487116800,19.31,19.63,19.3,19.41,210100
2017-02-16,1487203200,19.5,19.85,19.22,19.43,177900
2017-02-17,1487289600,19.4,19.5,18.34,18.97,268700
2017-02-21,1487635200,19.1,19.47,17.69,18.09,353000
2017-02-22,1487721600,17.95,18.24,16.71,16.97,314000
2017-02-23,1487808000,16.98,18.3,16.74,18.22,335300
2017-02-24,1487894400,17.6,20.38,17.26,19.87,656800
2017-02-27,1488153600,28.41,37.67,28.2,35.12,18296000
2017-02-28,1488240000,35.3,35.47,33.06,33.51,2252800
2017-03-01,1488326400,34.02,36.37,33.0,34.38,1473400
2017-03-02,1488412800,34.99,35.88,33.6,34.36,912200
2017-03-03,1488499200,34.15,35.37,33.81,34.53,429400
2017-03-06,1488758400,34.35,34.85,32.82,33.13,638100
2017-03-07,1488844800,34.12,34.25,32.25,32.42,548000
2017-03-08,1488931200,32.34,32.96,31.8,32.5,375100
2017-03-09,1489017600,32.58,34.58,32.51,34.41,599300
2017-03-10,1489104000,34.64,36.71,33.65,36.06,824500
2017-03-13,1489363200,35.79,36.57,34.5,35.24,1011000
2017-03-14,1489449600,34.99,35.12,34.08,34.68,413500
2017-03-15,1489536000,34.83,36.0,34.19,35.16,420500
2017-03-16,1489622400,35.03,35.2,33.92,34.77,347400
2017-03-17,1489708800,34.38,36.08,33.77,35.88,658200
2017-03-20,1489968000,35.93,39.28,35.7,38.44,836500
2017-03-21,1490054400,36.7,38.45,33.01,33.59,1228200
2017-03-22,1490140800,33.21,34.43,33.03,34.11,639400
2017-03-23,1490227200,34.82,36.88,34.65,35.02,3756500
2017-03-24,1490313600,35.0,35.37,34.23,34.92,551000
2017-03-27,1490572800,34.8,35.42,33.39,34.63,534100
2017-03-28,1490659200,34.9,35.17,33.83,34.03,501200
2017-03-29,1490745600,33.86,35.13,33.1,33.34,550100
2017-03-30,1490832000,33.42,33.82,31.31,31.5,737400
2017-03-31,1490918400,31.5,32.81,29.55,29.85,2086400
2017-04-03,1491177600,29.89,31.57,28.9,29.84,1636100
2017-04-04,1491264000,29.65,30.5,29.27,29.71,427100
2017-04-05,1491350400,29.99,30.29,28.01,28.18,526600
2017-04-06,1491436800,28.32,28.54,27.03,27.53,670900
2017-04-07,1491523200,27.35,27.96,26.56,26.94,458100
2017-04-10,1491782400,27.1,27.33,25.43,25.74,610400
2017-04-11,1491868800,26.3,26.64,25.17,25.6,513800
2017-04-12,1491955200,25.6,25.73,25.01,25.44,573600
2017-04-13,1492041600,25.36,28.48,25.36,27.92,740900
2017-04-17,1492387200,27.56,28.23,27.06,27.59,548800
2017-04-18,1492473600,27.43,27.56,26.47,27.0,331400
2017-04-19,1492560000,27.24,28.24,26.95,27.99,285900
2017-04-20,1492646400,29.14,29.88,27.86,29.36,467300
2017-04-21,1492732800,29.25,29.33,27.71,28.59,479700
2017-04-24,1492992000,28.65,29.5,28.31,28.46,364300
2017-04-25,1493078400,28.72,29.02,28.04,28.33,244000
2017-04-26,1493164800,28.11,28.57,27.83,28.2,185900
2017-04-27,1493251200,28.13,28.98,27.69,28.18,286100
2017-04-28,1493337600,27.72,29.68,27.72,29.0,619700
2017-05-01,1493596800,29.14,29.72,28.83,29.23,294800
2017-05-02,1493683200,28.95,29.08,27.59,28.09,288400
2017-05-03,1493769600,27.83,27.97,27.18,27.74,195200
2017-05-04,1493856000,27.77,27.89,27.21,27.69,124900
2017-05-05,1493942400,27.72,27.72,26.94,27.61,174000
2017-05-08,1494201600,27.57,27.69,26.16,26.85,266800
2017-05-09,1494288000,26.97,27.3,26.46,26.94,229600
2017-05-10,1494374400,26.84,26.92,25.81,26.6,172300
2017-05-11,1494460800,26.47,27.04,25.95,27.01,212900
2017-05-12,1494547200,26.97,28.66,26.86,28.33,257300
2017-05-15,1494806400,28.41,29.17,28.2,28.76,178900
2017-05-16,1494892800,28.88,29.02,27.75,28.51,218600
2017-05-17,1494979200,27.71,28.31,27.7,28.02,192300
2017-05-18,1495065600,28.02,35.93,28.02,34.71,2930500
2017-05-19,1495152000,35.0,36.73,33.69,34.0,1110500
2017-05-22,1495411200,30.33,34.0,29.51,33.7,1334000
2017-05-23,1495497600,33.66,34.43,31.45,31.92,514700
2017-05-24,1495584000,31.85,31.86,30.0,30.36,467300
2017-05-25,1495670400,30.67,30.67,29.75,29.95,578600
2017-05-26,1495756800,29.99,30.66,28.95,29.02,247600
2017-05-30,1496102400,28.93,29.45,28.25,28.84,287600
2017-05-31,1496188800,29.11,29.98,28.1,28.6,318900
2017-06-01,1496275200,28.78,29.18,28.49,29.06,274800
2017-06-02,1496361600,29.14,29.98,28.66,29.7,328600
2017-06-05,1496620800,29.86,30.52,28.17,29.08,361600
2017-06-06,1496707200,28.81,29.3,28.38,29.1,345700
2017-06-07,1496793600,29.25,29.56,28.0,28.25,299400
2017-06-08,1496880000,28.18,28.58,27.82,28.17,190400
2017-06-09,1496966400,28.17,28.51,27.48,27.67,300000
2017-06-12,1497225600,27.74,28.02,27.08,27.81,298100
2017-06-13,1497312000,27.93,28.36,27.54,28.15,296500
2017-06-14,1497398400,28.15,28.38,27.52,27.85,270100
2017-06-15,1497484800,28.0,28.25,26.96,27.0,411900
2017-06-16,1497571200,26.75,27.31,25.53,26.56,2236900
2017-06-19,1497830400,26.73,28.17,26.56,28.03,295800
2017-06-20,1497916800,28.03,29.81,27.72,28.1,513700
2017-06-21,1498003200,28.26,30.29,28.26,29.06,318300
2017-06-22,1498089600,29.12,30.47,28.75,29.26,350200
2017-06-23,1498176000,29.06,30.46,28.58,30.42,371600
2017-06-26,1498435200,30.49,30.49,29.07,30.01,216800
2017-06-27,1498521600,30.01,30.27,29.34,29.59,342600
2017-06-28,1498608000,29.76,30.43,29.62,30.16,249300
2017-06-29,1498694400,29.94,30.56,29.85,30.4,265200
2017-06-30,1498780800,30.38,30.47,29.7,29.77,242400
2017-07-03,1499040000,29.84,30.32,29.54,30.02,111000
2017-07-05,1499212800,29.93,32.25,29.93,32.22,248000
2017-07-06,1499299200,31.91,32.8,31.27,32.05,266800
2017-07-07,1499385600,32.23,32.52,31.55,32.22,197900
2017-07-10,1499644800,32.18,33.0,31.5,31.98,202100
2017-07-11,1499731200,31.93,32.22,31.61,31.95,177900
2017-07-12,1499817600,32.09,32.45,31.85,32.26,134600
2017-07-13,1499904000,32.15,32.74,31.2,32.4,208700
2017-07-14,1499990400,32.34,34.16,32.34,32.88,152200
2017-07-17,1500249600,32.75,33.63,32.34,32.35,113600
2017-07-18,1500336000,32.3,32.45,31.31,32.02,186200
2017-07-19,1500422400,31.97,33.01,31.97,32.84,156000
2017-07-20,1500508800,32.86,33.49,32.6,32.93,142900
2017-07-21,1500595200,33.31,34.21,32.63,33.49,183200
2017-07-24,1500854400,33.42,34.2,33.17,34.05,146300
2017-07-25,1500940800,34.17,35.28,33.57,33.77,191000
2017-07-26,1501027200,33.81,34.09,32.89,33.6,137700
2017-07-27,1501113600,33.65,33.85,32.28,32.28,307300
2017-07-28,1501200000,31.09,32.21,30.05,30.17,400500
2017-07-31,1501459200,30.15,30.39,29.49,29.63,224900
2017-08-01,1501545600,29.7,31.13,29.06,30.82,204600
2017-08-02,1501632000,30.5,31.56,29.5,29.68,230800
2017-08-03,1501718400,29.66,31.23,29.01,30.79,153100
2017-08-04,1501804800,30.83,32.13,30.6,31.48,121800
2017-08-07,1502064000,31.39,33.28,31.39,32.36,273500
2017-08-08,1502150400,32.25,33.0,32.0,32.47,164800
2017-08-09,1502236800,32.39,32.66,31.77,31.81,134400
2017-08-10,1502323200,31.71,31.71,29.59,30.15,204200
2017-08-11,1502409600,30.28,31.2,29.79,30.57,141100
2017-08-14,1502668800,30.91,31.33,30.34,31.19,141300
2017-08-15,1502755200,31.13,31.16,30.19,30.24,96300
2017-08-16,1502841600,30.36,30.63,28.87,28.91,295300
2017-08-17,1502928000,29.0,30.25,28.9,28.98,188600
2017-08-18,1503014400,28.77,29.03,28.33,28.54,290800
2017-08-21,1503273600,28.56,28.56,27.54,28.21,269900
2017-08-22,1503360000,28.25,28.79,27.95,28.55,196000
2017-08-23,1503446400,28.33,29.62,28.0,29.35,139700
2017-08-24,1503532800,29.34,31.0,29.2,30.98,218100
2017-08-25,1503619200,31.0,31.0,29.3,29.72,219200
2017-08-28,1503878400,30.3,33.13,30.03,32.79,616000
2017-08-29,1503964800,32.26,34.88,32.03,34.31,682700
2017-08-30,1504051200,34.62,34.75,33.5,34.16,744600
2017-08-31,1504137600,34.25,35.44,33.63,34.15,391400
2017-09-01,1504224000,34.29,34.55,33.44,33.8,324100
2017-09-05,1504569600,33.85,33.85,32.69,32.77,293500
2017-09-06,1504656000,33.06,33.15,31.63,32.28,321200
2017-09-07,1504742400,32.36,32.36,31.5,31.95,196800
2017-09-08,1504828800,32.0,33.96,32.0,32.89,287100
2017-09-11,1505088000,32.76,33.12,31.51,32.67,276100
2017-09-12,1505174400,32.58,33.06,31.42,32.07,281900
2017-09-13,1505260800,32.1,32.22,31.49,31.84,170700
2017-09-14,1505347200,31.65,31.89,31.09,31.38,211700
2017-09-15,1505433600,31.44,31.87,31.03,31.48,1233300
2017-09-18,1505692800,31.66,33.7,31.52,32.82,406900
2017-09-19,1505779200,32.94,33.5,32.13,33.0,401400
2017-09-20,1505865600,32.96,34.82,32.34,34.58,312400
2017-09-21,1505952000,34.65,35.34,33.92,35.16,278500
2017-09-22,1506038400,35.24,37.97,35.01,37.21,656800
2017-09-25,1506297600,36.75,37.25,35.17,36.13,281100
2017-09-26,1506384000,36.21,36.59,34.57,34.61,235200
2017-09-27,1506470400,34.97,35.76,34.6,34.9,567400
2017-09-28,1506556800,34.8,34.99,33.99,34.35,175100
2017-09-29,1506643200,34.66,34.96,33.72,34.78,196400
2017-10-02,1506902400,35.11,36.02,35.07,35.84,249400
2017-10-03,1506988800,36.03,36.07,34.1,34.62,294800
2017-10-04,1507075200,34.67,36.25,34.42,35.38,153400
2017-10-05,1507161600,35.48,35.76,34.41,34.72,151200
2017-10-06,1507248000,34.73,36.24,34.26,35.91,278400
2017-10-09,1507507200,35.55,36.99,34.96,35.21,458400
2017-10-10,1507593600,35.13,35.3,34.47,35.03,124700
2017-10-11,1507680000,34.95,35.74,34.87,35.49,173400
2017-10-12,1507766400,35.57,35.74,34.9,35.08,154300
2017-10-13,1507852800,35.32,35.32,34.57,34.77,106700
2017-10-16,1508112000,35.0,35.25,33.48,33.94,206300
2017-10-17,1508198400,34.06,34.59,33.77,34.42,77700
2017-10-18,1508284800,34.49,34.95,34.1,34.62,98400
2017-10-19,1508371200,34.4,34.87,34.26,34.68,124600
2017-10-20,1508457600,34.86,34.93,34.27,34.83,135500
2017-10-23,1508716800,34.67,35.2,33.62,33.93,161200
2017-10-24,1508803200,33.95,34.44,32.86,33.14,272000
2017-10-25,1508889600,32.99,33.24,31.51,33.02,257600
2017-10-26,1508976000,32.97,33.17,31.49,31.93,261400
2017-10-27,1509062400,31.92,34.81,31.77,34.3,390500
2017-10-30,1509321600,34.29,34.72,33.18,34.62,331300
2017-10-31,1509408000,34.8,34.99,33.76,34.36,170400
