Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.52,2.53,2.4,2.45,245300
2017-01-04,1483488000,2.45,2.51,2.4,2.46,225100
2017-01-05,1483574400,2.49,2.49,2.37,2.45,238600
2017-01-06,1483660800,2.45,2.46,2.31,2.35,235700
2017-01-09,1483920000,2.36,2.45,2.33,2.43,188500
2017-01-10,1484006400,2.45,2.49,2.38,2.42,200900
2017-01-11,1484092800,2.4,2.41,2.33,2.4,230700
2017-01-12,1484179200,2.38,2.4,2.24,2.31,147800
2017-01-13,1484265600,2.29,2.36,2.08,2.27,280500
2017-01-17,1484611200,2.23,2.29,2.17,2.17,213200
2017-01-18,1484697600,2.18,2.18,2.02,2.16,239600
2017-01-19,1484784000,2.17,2.27,2.16,2.26,175900
2017-01-20,1484870400,2.23,2.32,2.23,2.27,155600
2017-01-23,1485129600,2.28,2.3,2.22,2.22,116100
2017-01-24,1485216000,2.23,2.34,2.21,2.33,178300
2017-01-25,1485302400,2.35,2.4,2.31,2.32,133000
2017-01-26,1485388800,2.32,2.33,2.25,2.25,62700
2017-01-27,1485475200,2.24,2.25,2.2,2.21,56100
2017-01-30,1485734400,2.19,2.19,2.15,2.17,117100
2017-01-31,1485820800,2.16,2.2,2.11,2.19,99600
2017-02-01,1485907200,2.23,2.26,2.19,2.22,65500
2017-02-02,1485993600,2.22,2.25,2.16,2.22,107300
2017-02-03,1486080000,2.26,2.27,2.19,2.23,110600
2017-02-06,1486339200,2.23,2.26,2.18,2.19,129400
2017-02-07,1486425600,2.2,2.29,2.2,2.24,132000
2017-02-08,1486512000,2.24,2.27,2.16,2.24,324900
2017-02-09,1486598400,2.27,2.55,2.2,2.43,607200
2017-02-10,1486684800,2.47,2.48,2.38,2.47,323400
2017-02-13,1486944000,2.48,2.5,2.34,2.36,362600
2017-02-14,1487030400,2.36,2.39,2.34,2.35,124500
2017-02-15,1487116800,2.35,2.44,2.34,2.42,163100
2017-02-16,1487203200,2.44,2.46,2.36,2.41,105100
2017-02-17,1487289600,2.43,2.44,2.34,2.41,170900
2017-02-21,1487635200,2.4,2.44,2.4,2.42,190300
2017-02-22,1487721600,2.44,2.5,2.44,2.46,1227500
2017-02-23,1487808000,2.46,2.55,2.4,2.49,1138500
2017-02-24,1487894400,2.46,2.49,2.37,2.39,435000
2017-02-27,1488153600,2.4,2.4,2.24,2.27,826100
2017-02-28,1488240000,2.24,2.3,2.2,2.25,247300
2017-03-01,1488326400,2.29,2.34,2.23,2.27,230100
2017-03-02,1488412800,2.25,2.31,2.21,2.25,327900
2017-03-03,1488499200,2.25,2.28,2.21,2.24,409100
2017-03-06,1488758400,2.21,2.26,2.2,2.2,325400
2017-03-07,1488844800,2.2,2.26,2.17,2.19,537000
2017-03-08,1488931200,2.22,2.26,2.19,2.2,200100
2017-03-09,1489017600,2.21,2.24,2.18,2.21,216500
2017-03-10,1489104000,2.2,2.25,2.14,2.14,301500
2017-03-13,1489363200,2.11,2.22,2.11,2.19,299000
2017-03-14,1489449600,2.16,2.17,2.11,2.13,95000
2017-03-15,1489536000,2.16,2.21,2.1,2.2,277200
2017-03-16,1489622400,2.2,2.55,2.2,2.54,3999400
2017-03-17,1489708800,2.6,2.7,2.51,2.59,913200
2017-03-20,1489968000,2.59,2.62,2.52,2.54,253200
2017-03-21,1490054400,2.54,2.58,2.41,2.42,373100
2017-03-22,1490140800,2.39,2.45,2.35,2.42,202300
2017-03-23,1490227200,2.44,2.5,2.42,2.44,93400
2017-03-24,1490313600,2.44,2.54,2.42,2.45,236100
2017-03-27,1490572800,2.4,2.49,2.36,2.46,202500
2017-03-28,1490659200,2.45,2.48,2.39,2.46,138200
2017-03-29,1490745600,2.44,2.59,2.42,2.55,210900
2017-03-30,1490832000,2.51,2.62,2.51,2.59,324500
2017-03-31,1490918400,2.58,2.65,2.57,2.58,308900
2017-04-03,1491177600,2.62,2.65,2.49,2.49,383800
2017-04-04,1491264000,2.49,2.55,2.42,2.45,540300
2017-04-05,1491350400,2.48,2.54,2.44,2.44,230200
2017-04-06,1491436800,2.44,2.51,2.42,2.49,176200
2017-04-07,1491523200,2.48,2.53,2.45,2.5,142500
2017-04-10,1491782400,2.49,2.58,2.46,2.47,215200
2017-04-11,1491868800,2.47,2.51,2.42,2.46,125200
2017-04-12,1491955200,2.47,2.48,2.41,2.46,152500
2017-04-13,1492041600,2.42,2.49,2.42,2.46,238600
2017-04-17,1492387200,2.48,2.5,2.44,2.49,120900
2017-04-18,1492473600,2.48,2.52,2.46,2.51,90900
2017-04-19,1492560000,2.54,2.6,2.48,2.5,359600
2017-04-20,1492646400,2.52,2.57,2.47,2.52,181600
2017-04-21,1492732800,2.54,2.69,2.5,2.65,676500
2017-04-24,1492992000,2.7,2.84,2.65,2.75,1067700
2017-04-25,1493078400,2.92,3.04,2.69,2.69,1356000
2017-04-26,1493164800,2.72,3.0,2.68,2.95,985200
2017-04-27,1493251200,2.94,3.23,2.9,3.22,1691200
2017-04-28,1493337600,3.24,3.24,3.13,3.14,937400
2017-05-01,1493596800,3.14,3.35,3.13,3.29,855700
2017-05-02,1493683200,3.27,3.29,3.18,3.21,338800
2017-05-03,1493769600,3.2,3.31,3.11,3.19,359700
2017-05-04,1493856000,3.18,3.21,3.07,3.15,271600
2017-05-05,1493942400,3.14,3.25,3.11,3.2,263500
2017-05-08,1494201600,3.21,3.26,3.06,3.14,488800
2017-05-09,1494288000,3.17,3.25,3.13,3.2,489500
2017-05-10,1494374400,3.2,3.24,3.12,3.24,226700
2017-05-11,1494460800,3.21,3.51,3.17,3.41,1229300
2017-05-12,1494547200,3.38,3.42,3.14,3.15,563300
2017-05-15,1494806400,3.16,3.29,3.12,3.17,428100
2017-05-16,1494892800,3.19,3.26,3.13,3.24,232700
2017-05-17,1494979200,3.18,3.19,3.02,3.03,276800
2017-05-18,1495065600,3.02,3.12,3.0,3.08,282700
2017-05-19,1495152000,3.08,3.13,2.94,3.05,260300
2017-05-22,1495411200,3.05,3.12,3.05,3.11,202600
2017-05-23,1495497600,3.1,3.13,3.05,3.07,196000
2017-05-24,1495584000,3.08,3.1,3.04,3.07,246000
2017-05-25,1495670400,3.09,3.15,3.06,3.08,212200
2017-05-26,1495756800,3.08,3.11,3.01,3.04,313500
2017-05-30,1496102400,3.04,3.05,2.85,2.9,466200
2017-05-31,1496188800,2.9,2.98,2.84,2.95,318000
2017-06-01,1496275200,3.0,3.09,2.94,3.06,248700
2017-06-02,1496361600,3.08,3.2,2.98,2.99,416900
2017-06-05,1496620800,3.0,3.04,2.92,3.03,346200
2017-06-06,1496707200,3.01,3.11,2.98,3.07,225100
2017-06-07,1496793600,3.08,3.15,3.01,3.02,338000
2017-06-08,1496880000,3.04,3.11,2.9,3.02,376900
2017-06-09,1496966400,3.03,3.05,2.91,2.95,260100
2017-06-12,1497225600,2.95,3.0,2.89,2.91,260000
2017-06-13,1497312000,2.92,2.99,2.9,2.92,248600
2017-06-14,1497398400,2.92,2.93,2.77,2.83,452200
2017-06-15,1497484800,2.79,2.89,2.77,2.85,272200
2017-06-16,1497571200,2.87,2.9,2.77,2.77,563900
2017-06-19,1497830400,2.78,2.83,2.75,2.83,191700
2017-06-20,1497916800,2.82,2.88,2.72,2.81,254700
2017-06-21,1498003200,2.81,2.84,2.76,2.79,177300
2017-06-22,1498089600,2.8,2.83,2.73,2.8,302100
2017-06-23,1498176000,2.8,2.93,2.78,2.85,1545400
2017-06-26,1498435200,2.86,3.0,2.78,2.98,428000
2017-06-27,1498521600,3.02,3.12,2.96,3.02,334000
2017-06-28,1498608000,3.05,3.07,2.98,3.03,233700
2017-06-29,1498694400,3.03,3.03,2.84,2.91,251700
2017-06-30,1498780800,2.95,2.96,2.82,2.89,179000
2017-07-03,1499040000,2.9,3.05,2.85,3.03,231100
2017-07-05,1499212800,3.02,3.08,2.93,3.06,353400
2017-07-06,1499299200,3.03,3.06,3.0,3.0,181200
2017-07-07,1499385600,3.01,3.1,3.01,3.07,158000
2017-07-10,1499644800,3.09,3.15,3.03,3.08,193900
2017-07-11,1499731200,3.09,3.15,3.05,3.15,155800
2017-07-12,1499817600,3.16,3.2,3.09,3.13,340600
2017-07-13,1499904000,3.16,3.19,3.1,3.14,108400
2017-07-14,1499990400,3.13,3.17,3.11,3.14,284100
2017-07-17,1500249600,3.15,3.25,3.13,3.18,264300
2017-07-18,1500336000,3.18,3.27,3.16,3.22,393800
2017-07-19,1500422400,3.22,3.29,3.22,3.28,181700
2017-07-20,1500508800,3.3,3.32,3.24,3.26,147800
2017-07-21,1500595200,3.26,3.26,3.12,3.2,223300
2017-07-24,1500854400,3.21,3.23,3.16,3.19,137400
2017-07-25,1500940800,3.21,3.32,3.19,3.28,396100
2017-07-26,1501027200,3.28,3.35,3.26,3.35,576400
2017-07-27,1501113600,3.4,3.54,3.33,3.51,911400
2017-07-28,1501200000,3.51,3.57,3.43,3.52,637700
2017-07-31,1501459200,3.53,3.55,3.41,3.42,415400
2017-08-01,1501545600,3.42,3.45,3.33,3.4,552400
2017-08-02,1501632000,3.4,3.45,3.25,3.4,415000
2017-08-03,1501718400,3.4,3.48,3.21,3.46,384500
2017-08-04,1501804800,3.47,3.59,3.46,3.54,470100
2017-08-07,1502064000,3.55,3.71,3.54,3.67,471900
2017-08-08,1502150400,3.66,3.78,3.64,3.67,459300
2017-08-09,1502236800,3.64,3.72,3.54,3.57,373300
2017-08-10,1502323200,3.53,3.61,3.48,3.51,242800
2017-08-11,1502409600,3.56,3.67,3.51,3.61,370900
2017-08-14,1502668800,3.68,3.7,3.63,3.66,184100
2017-08-15,1502755200,3.68,3.68,3.62,3.64,92300
2017-08-16,1502841600,3.63,3.74,3.63,3.68,186900
2017-08-17,1502928000,3.65,3.75,3.59,3.6,257900
2017-08-18,1503014400,3.53,3.64,3.51,3.59,266200
2017-08-21,1503273600,3.58,3.65,3.57,3.65,178000
2017-08-22,1503360000,3.66,3.72,3.63,3.66,214000
2017-08-23,1503446400,3.65,3.68,3.57,3.62,181500
2017-08-24,1503532800,3.63,3.69,3.58,3.59,424900
2017-08-25,1503619200,3.59,3.66,3.59,3.62,144300
2017-08-28,1503878400,3.64,3.64,3.56,3.58,167400
2017-08-29,1503964800,3.57,3.63,3.52,3.52,292200
2017-08-30,1504051200,3.52,3.62,3.52,3.55,222700
2017-08-31,1504137600,3.56,3.65,3.56,3.59,241300
2017-09-01,1504224000,3.6,3.65,3.53,3.54,224900
2017-09-05,1504569600,3.54,3.62,3.46,3.53,286900
2017-09-06,1504656000,3.56,3.65,3.54,3.62,180900
2017-09-07,1504742400,3.6,3.7,3.59,3.63,253000
2017-09-08,1504828800,3.62,3.66,3.56,3.57,132000
2017-09-11,1505088000,3.61,3.67,3.58,3.61,195800
2017-09-12,1505174400,3.62,3.67,3.59,3.62,154800
2017-09-13,1505260800,3.61,3.65,3.6,3.6,136700
2017-09-14,1505347200,3.59,3.69,3.57,3.6,255200
2017-09-15,1505433600,3.58,3.67,3.51,3.6,689200
2017-09-18,1505692800,3.64,3.72,3.59,3.66,335300
2017-09-19,1505779200,3.66,3.86,3.64,3.8,823700
2017-09-20,1505865600,3.81,4.03,3.81,3.92,972000
2017-09-21,1505952000,3.93,4.01,3.91,3.96,343100
2017-09-22,1506038400,3.96,3.99,3.92,3.96,262100
2017-09-25,1506297600,3.91,3.97,3.65,3.79,466700
2017-09-26,1506384000,3.79,3.86,3.78,3.8,174600
2017-09-27,1506470400,3.82,4.25,3.8,4.06,1174000
2017-09-28,1506556800,4.02,4.03,3.9,3.94,396700
2017-09-29,1506643200,3.92,3.99,3.9,3.97,189800
2017-10-02,1506902400,4.0,4.1,3.95,4.09,231100
2017-10-03,1506988800,4.1,4.22,4.09,4.19,395800
2017-10-04,1507075200,4.2,4.4,4.2,4.36,670400
2017-10-05,1507161600,4.39,4.39,4.27,4.28,313500
2017-10-06,1507248000,4.28,4.32,4.23,4.24,352400
2017-10-09,1507507200,4.27,4.32,4.07,4.1,363700
2017-10-10,1507593600,4.11,4.24,4.1,4.23,328800
2017-10-11,1507680000,4.23,4.24,4.14,4.21,236800
2017-10-12,1507766400,4.23,4.37,4.2,4.3,696100
2017-10-13,1507852800,4.34,4.37,4.26,4.35,322900
2017-10-16,1508112000,4.4,4.42,4.3,4.32,453000
2017-10-17,1508198400,4.3,4.39,4.3,4.36,625000
2017-10-18,1508284800,4.39,4.52,4.35,4.48,1239100
2017-10-19,1508371200,4.95,4.98,4.56,4.71,2293400
2017-10-20,1508457600,4.79,5.09,4.78,4.96,1718700
2017-10-23,1508716800,5.05,5.18,4.91,4.93,1099100
2017-10-24,1508803200,4.94,5.03,4.72,4.8,927000
2017-10-25,1508889600,4.83,4.92,4.75,4.88,760600
2017-10-26,1508976000,4.92,4.98,4.86,4.9,418500
2017-10-27,1509062400,4.91,5.05,4.86,4.88,798600
2017-10-30,1509321600,4.89,4.95,4.8,4.9,442700
2017-10-31,1509408000,4.78,4.99,4.78,4.95,585000
2017-11-01,1509494400,5.0,5.32,4.91,5.28,1642700
