Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,32.87,32.99,32.59,32.86,866200
2017-01-04,1483488000,32.93,33.15,32.91,33.06,1032800
2017-01-05,1483574400,33.11,33.18,32.66,33.02,1334700
2017-01-06,1483660800,32.89,32.99,32.72,32.75,1331600
2017-01-09,1483920000,32.8,32.98,32.27,32.3,807400
2017-01-10,1484006400,32.29,32.4,32.06,32.27,572300
2017-01-11,1484092800,32.34,32.77,32.2,32.71,706200
2017-01-12,1484179200,32.71,32.76,32.4,32.62,812400
2017-01-13,1484265600,32.56,32.66,32.33,32.48,949600
2017-01-17,1484611200,32.59,32.92,32.52,32.71,1111600
2017-01-18,1484697600,32.66,32.77,32.57,32.66,937200
2017-01-19,1484784000,32.48,32.68,32.25,32.3,723700
2017-01-20,1484870400,32.43,32.47,32.2,32.37,718900
2017-01-23,1485129600,32.38,32.53,32.07,32.08,1096100
2017-01-24,1485216000,31.9,32.14,31.81,32.01,1370700
2017-01-25,1485302400,31.94,32.07,31.73,31.96,1015700
2017-01-26,1485388800,31.95,32.23,31.86,32.01,750400
2017-01-27,1485475200,32.19,32.25,31.95,32.24,1124000
2017-01-30,1485734400,32.39,32.4,32.02,32.21,911600
2017-01-31,1485820800,32.23,32.95,32.17,32.9,1666800
2017-02-01,1485907200,32.66,32.79,32.16,32.32,1191100
2017-02-02,1485993600,32.32,32.79,32.25,32.78,747900
2017-02-03,1486080000,32.8,33.13,32.79,33.05,1520600
2017-02-06,1486339200,33.2,33.2,32.83,32.91,852600
2017-02-07,1486425600,32.96,33.03,32.79,33.03,758500
2017-02-08,1486512000,33.11,33.34,33.0,33.34,1542800
2017-02-09,1486598400,33.26,33.38,32.88,32.9,1060800
2017-02-10,1486684800,32.9,33.11,32.84,33.08,903600
2017-02-13,1486944000,33.11,33.2,32.89,33.2,978900
2017-02-14,1487030400,33.11,33.18,32.7,32.92,887400
2017-02-15,1487116800,32.53,32.84,32.38,32.81,1144500
2017-02-16,1487203200,32.81,33.16,32.81,33.15,1478700
2017-02-17,1487289600,33.18,33.35,32.98,33.28,1254900
2017-02-21,1487635200,33.12,33.63,33.03,33.58,1184300
2017-02-22,1487721600,33.56,33.84,33.43,33.78,1323800
2017-02-23,1487808000,33.94,34.21,33.77,34.18,1103600
2017-02-24,1487894400,34.6,34.64,34.05,34.54,1538800
2017-02-27,1488153600,34.48,34.57,34.07,34.12,1746100
2017-02-28,1488240000,34.13,34.6,34.07,34.5,1927300
2017-03-01,1488326400,34.04,34.44,33.68,34.15,1454800
2017-03-02,1488412800,33.99,34.53,33.97,34.3,1183900
2017-03-03,1488499200,34.31,34.31,33.97,34.25,1175500
2017-03-06,1488758400,34.19,34.4,34.17,34.24,1038500
2017-03-07,1488844800,34.26,34.54,34.08,34.33,1147000
