Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.36,12.39,11.76,12.06,452044
2017-01-04,1483488000,12.06,12.82,11.97,12.33,1010623
2017-01-05,1483574400,12.42,12.6,11.19,11.46,983741
2017-01-06,1483660800,11.46,11.49,10.43,10.86,984453
2017-01-09,1483920000,14.47,14.66,10.92,11.07,4438523
2017-01-10,1484006400,10.83,10.83,9.95,10.25,1760869
2017-01-11,1484092800,10.22,10.67,9.77,9.92,2128264
2017-01-12,1484179200,9.71,10.1,9.68,9.86,505172
2017-01-13,1484265600,9.92,10.04,9.53,9.68,508527
2017-01-17,1484611200,9.68,9.77,9.14,9.2,511234
2017-01-18,1484697600,9.38,9.41,8.93,9.02,487289
2017-01-19,1484784000,8.96,9.5,8.93,9.2,460826
2017-01-20,1484870400,9.2,9.29,8.99,9.05,368526
2017-01-23,1485129600,8.99,9.14,8.53,8.99,524834
2017-01-24,1485216000,8.99,9.44,8.71,9.35,370497
2017-01-25,1485302400,9.38,9.74,9.23,9.65,346627
2017-01-26,1485388800,9.71,9.77,9.08,9.11,283903
2017-01-27,1485475200,9.05,9.38,9.05,9.29,179173
2017-01-30,1485734400,9.23,9.38,9.08,9.23,213858
2017-01-31,1485820800,9.14,9.47,9.05,9.38,356427
2017-02-01,1485907200,9.41,9.47,9.17,9.29,221751
2017-02-02,1485993600,9.26,9.35,9.11,9.2,174051
2017-02-03,1486080000,9.23,9.5,9.17,9.47,174775
2017-02-06,1486339200,9.44,9.62,9.35,9.56,171064
2017-02-07,1486425600,9.59,10.13,9.53,9.71,302625
2017-02-08,1486512000,9.65,9.68,9.23,9.44,202038
2017-02-09,1486598400,9.44,9.8,9.44,9.74,129680
2017-02-10,1486684800,9.8,10.01,9.68,9.77,134408
2017-02-13,1486944000,9.83,9.95,9.53,9.62,106103
2017-02-14,1487030400,9.53,9.8,9.53,9.74,127888
2017-02-15,1487116800,9.71,9.89,9.56,9.77,225399
2017-02-16,1487203200,9.77,9.83,9.53,9.62,178321
2017-02-17,1487289600,9.62,9.74,9.5,9.59,142797
2017-02-21,1487635200,9.53,9.65,9.41,9.53,208838
2017-02-22,1487721600,9.5,9.59,9.35,9.35,207097
2017-02-23,1487808000,9.35,9.44,9.14,9.23,234881
2017-02-24,1487894400,9.2,9.32,9.05,9.08,168344
2017-02-27,1488153600,9.05,9.56,9.05,9.53,274282
2017-02-28,1488240000,9.41,9.59,9.23,9.26,188616
2017-03-01,1488326400,9.5,9.5,8.74,8.99,678854
2017-03-02,1488412800,8.9,9.35,8.9,9.23,287360
2017-03-03,1488499200,9.26,9.35,9.11,9.35,206271
2017-03-06,1488758400,9.35,9.89,9.23,9.74,299702
2017-03-07,1488844800,9.77,9.8,9.23,9.23,170911
2017-03-08,1488931200,9.29,9.53,9.2,9.32,151020
2017-03-09,1489017600,9.35,9.47,9.2,9.32,122588
2017-03-10,1489104000,9.38,9.56,9.17,9.5,210134
2017-03-13,1489363200,9.53,9.59,9.32,9.5,158201
2017-03-14,1489449600,9.41,9.5,9.29,9.38,166603
2017-03-15,1489536000,9.41,9.77,9.38,9.68,239329
2017-03-16,1489622400,9.65,10.37,9.59,10.04,580224
2017-03-17,1489708800,9.89,10.13,9.53,9.68,694271
2017-03-20,1489968000,9.59,9.8,9.44,9.68,164900
2017-03-21,1490054400,9.74,9.77,9.11,9.11,318830
2017-03-22,1490140800,9.11,9.29,8.93,9.23,244566
2017-03-23,1490227200,9.26,9.29,9.11,9.11,159816
2017-03-24,1490313600,9.14,9.23,8.93,9.08,281793
2017-03-27,1490572800,9.02,9.29,8.93,9.23,345432
2017-03-28,1490659200,9.2,9.29,9.02,9.08,227433
2017-03-29,1490745600,9.08,9.2,8.99,9.17,249624
2017-03-30,1490832000,9.17,9.44,9.02,9.23,411385
2017-03-31,1490918400,9.2,9.35,9.17,9.29,153753
2017-04-03,1491177600,9.35,10.07,9.26,9.68,578432
2017-04-04,1491264000,9.8,10.16,9.74,9.77,355855
2017-04-05,1491350400,9.95,10.13,9.38,9.44,356897
2017-04-06,1491436800,10.1,10.22,9.41,9.74,464195
2017-04-07,1491523200,9.8,9.8,9.26,9.29,259259
2017-04-10,1491782400,9.35,9.38,9.14,9.17,218396
2017-04-11,1491868800,9.14,9.29,9.05,9.2,182528
2017-04-12,1491955200,9.23,9.29,9.08,9.11,153168
2017-04-13,1492041600,9.14,9.41,9.05,9.38,287653
2017-04-17,1492387200,9.44,9.68,9.35,9.5,168496
2017-04-18,1492473600,9.47,9.56,9.29,9.53,113259
2017-04-19,1492560000,9.56,9.86,9.5,9.53,183177
2017-04-20,1492646400,9.56,9.74,9.38,9.53,142822
2017-04-21,1492732800,9.53,9.62,9.41,9.41,103065
2017-04-24,1492992000,9.56,9.71,9.47,9.56,140102
2017-04-25,1493078400,9.59,9.8,9.59,9.71,209207
2017-04-26,1493164800,9.71,10.1,9.68,10.04,297999
2017-04-27,1493251200,9.95,10.1,9.86,9.89,140649
2017-04-28,1493337600,9.92,10.04,9.83,10.04,110717
2017-05-01,1493596800,10.16,10.19,9.95,10.01,134192
2017-05-02,1493683200,9.98,10.07,9.77,10.01,168763
2017-05-03,1493769600,10.01,10.07,9.8,9.95,113627
2017-05-04,1493856000,9.98,10.1,9.89,9.95,156956
2017-05-05,1493942400,10.01,10.07,9.83,9.98,171267
2017-05-08,1494201600,9.95,9.98,9.8,9.86,138679
2017-05-09,1494288000,9.89,10.19,9.83,10.19,208546
2017-05-10,1494374400,9.83,10.8,9.8,10.8,419938
2017-05-11,1494460800,10.7,11.1,10.25,10.73,325274
2017-05-12,1494547200,10.83,11.43,10.7,11.37,355804
2017-05-15,1494806400,11.46,12.03,11.43,11.82,311433
2017-05-16,1494892800,11.76,11.91,10.83,11.07,808941
2017-05-17,1494979200,10.95,11.01,10.64,10.67,260402
2017-05-18,1495065600,10.67,10.86,10.34,10.4,193421
2017-05-19,1495152000,10.4,10.67,10.4,10.52,158023
2017-05-22,1495411200,10.58,10.8,10.43,10.67,146839
2017-05-23,1495497600,10.7,10.73,10.49,10.67,98236
2017-05-24,1495584000,10.58,10.77,10.34,10.37,238490
2017-05-25,1495670400,10.4,10.43,10.04,10.25,341352
2017-05-26,1495756800,10.25,10.31,9.23,9.95,613918
2017-05-30,1496102400,12.33,12.59,11.26,12.08,980602
2017-05-31,1496188800,11.77,11.82,9.12,9.27,1425363
2017-06-01,1496275200,9.22,9.58,8.05,8.31,1031988
2017-06-02,1496361600,8.41,8.46,7.54,7.75,748072
2017-06-05,1496620800,7.9,8.2,7.13,7.29,647702
2017-06-06,1496707200,7.19,7.54,6.78,7.39,607881
2017-06-07,1496793600,7.44,7.85,6.88,7.08,599620
2017-06-08,1496880000,7.13,7.8,6.88,7.69,574721
2017-06-09,1496966400,7.64,7.69,7.29,7.34,496554
2017-06-12,1497225600,7.29,7.34,7.03,7.03,344072
2017-06-13,1497312000,7.08,7.13,6.73,6.88,400950
2017-06-14,1497398400,6.83,6.88,6.37,6.47,557562
2017-06-15,1497484800,6.37,6.47,5.76,6.01,744666
2017-06-16,1497571200,6.01,6.12,5.76,5.91,1956832
2017-06-19,1497830400,5.86,6.22,5.81,6.06,408792
2017-06-20,1497916800,6.01,6.78,5.81,6.47,636326
2017-06-21,1498003200,6.57,7.13,6.32,6.68,534761
2017-06-22,1498089600,6.73,7.64,6.57,7.44,682184
2017-06-23,1498176000,7.64,7.64,6.78,6.88,554753
2017-06-26,1498435200,6.88,7.08,6.57,6.62,282175
2017-06-27,1498521600,6.68,6.73,6.42,6.47,209982
2017-06-28,1498608000,6.47,7.29,6.42,7.13,366658
2017-06-29,1498694400,7.08,7.08,6.52,6.57,256399
2017-06-30,1498780800,6.57,6.62,6.22,6.32,222908
2017-07-03,1499040000,6.32,6.57,6.27,6.52,102049
2017-07-05,1499212800,6.47,6.88,6.37,6.73,175436
2017-07-06,1499299200,6.73,6.98,6.47,6.88,229352
2017-07-07,1499385600,6.93,7.49,6.88,7.49,425950
2017-07-10,1499644800,7.49,7.85,7.13,7.29,409338
2017-07-11,1499731200,7.24,7.39,7.13,7.13,178258
2017-07-12,1499817600,7.13,7.29,6.88,6.98,210401
2017-07-13,1499904000,6.93,7.08,6.83,6.88,189150
2017-07-14,1499990400,6.83,7.08,6.78,6.93,125727
2017-07-17,1500249600,6.93,7.03,6.62,6.68,133315
2017-07-18,1500336000,6.68,6.73,6.37,6.57,233051
2017-07-19,1500422400,6.57,6.68,6.47,6.52,140725
2017-07-20,1500508800,6.57,6.88,6.57,6.62,126922
