Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.83,10.98,10.74,10.98,1667000
2017-01-04,1483488000,11.04,11.28,11.01,11.15,1120000
2017-01-05,1483574400,11.12,11.15,10.71,10.73,1481300
2017-01-06,1483660800,10.78,11.1,10.7,10.87,1194900
2017-01-09,1483920000,10.78,10.78,10.55,10.63,1000100
2017-01-10,1484006400,10.65,10.86,10.58,10.83,952700
2017-01-11,1484092800,10.81,10.94,10.72,10.85,571500
2017-01-12,1484179200,10.76,11.01,10.62,11.0,1725100
2017-01-13,1484265600,11.05,11.29,11.05,11.2,1526200
2017-01-17,1484611200,11.09,11.17,10.98,11.1,1542700
2017-01-18,1484697600,11.13,11.41,10.98,11.4,1308400
2017-01-19,1484784000,11.45,11.52,11.28,11.4,1675500
2017-01-20,1484870400,11.4,11.55,11.34,11.46,978300
2017-01-23,1485129600,11.46,11.5,11.33,11.36,604500
2017-01-24,1485216000,11.46,11.65,11.4,11.49,1098200
2017-01-25,1485302400,11.6,11.6,10.99,11.1,1738100
2017-01-26,1485388800,11.1,11.18,11.01,11.05,913300
2017-01-27,1485475200,11.08,11.08,10.48,10.62,3191300
2017-01-30,1485734400,10.57,10.57,10.27,10.38,1748700
2017-01-31,1485820800,10.36,10.43,10.08,10.2,1821300
2017-02-01,1485907200,10.31,10.55,10.3,10.45,2160800
2017-02-02,1485993600,10.34,10.51,10.31,10.35,827700
2017-02-03,1486080000,10.55,10.55,10.35,10.43,1006600
2017-02-06,1486339200,10.39,10.54,10.3,10.32,1101900
2017-02-07,1486425600,10.36,10.41,10.16,10.35,1512700
2017-02-08,1486512000,10.3,10.32,10.18,10.29,966700
2017-02-09,1486598400,10.3,10.52,10.23,10.43,897100
2017-02-10,1486684800,10.49,10.7,10.47,10.5,1096500
2017-02-13,1486944000,10.55,10.69,10.45,10.56,838300
2017-02-14,1487030400,10.5,10.66,10.5,10.57,927200
2017-02-15,1487116800,10.57,10.64,10.46,10.59,1138800
2017-02-16,1487203200,10.57,10.65,10.45,10.56,1133400
2017-02-17,1487289600,10.53,10.53,10.22,10.25,833300
2017-02-21,1487635200,10.33,10.58,10.31,10.58,1075900
2017-02-22,1487721600,10.5,10.62,10.45,10.61,728200
2017-02-23,1487808000,10.65,10.89,10.58,10.87,1203500
2017-02-24,1487894400,10.75,10.84,10.46,10.47,971200
2017-02-27,1488153600,10.45,10.46,10.29,10.4,1017000
2017-02-28,1488240000,10.4,10.43,10.26,10.32,1133000
2017-03-01,1488326400,10.56,10.58,9.96,10.12,3870700
2017-03-02,1488412800,9.99,10.2,9.52,9.96,2222900
2017-03-03,1488499200,9.91,10.01,9.74,9.77,2080800
