Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,91.5,114.75,90.75,112.5,9833
2017-01-04,1483488000,111.3,116.85,105.0,114.15,8393
2017-01-05,1483574400,115.5,136.5,115.5,129.6,14287
2017-01-06,1483660800,132.0,132.0,120.75,121.2,11793
2017-01-09,1483920000,120.45,121.5,103.5,107.1,11613
2017-01-10,1484006400,106.5,108.3,104.85,105.75,5527
2017-01-11,1484092800,105.75,105.75,96.6,98.1,8973
2017-01-12,1484179200,98.1,98.1,91.5,92.85,8907
2017-01-13,1484265600,91.5,94.5,90.0,91.05,3680
2017-01-17,1484611200,91.2,91.2,82.5,85.35,7007
2017-01-18,1484697600,85.05,86.7,78.3,79.95,6513
2017-01-19,1484784000,79.8,81.0,76.05,77.1,4180
2017-01-20,1484870400,78.0,78.0,75.0,78.0,3627
2017-01-23,1485129600,76.65,77.55,73.5,77.1,4960
2017-01-24,1485216000,76.2,82.2,75.0,81.75,3140
2017-01-25,1485302400,83.25,87.45,75.75,78.6,4453
2017-01-26,1485388800,76.95,78.0,76.05,77.4,3213
2017-01-27,1485475200,76.8,77.25,75.15,75.75,2260
2017-01-30,1485734400,75.15,75.45,72.75,72.75,3920
2017-01-31,1485820800,72.75,73.8,66.9,69.75,7880
2017-02-01,1485907200,69.3,69.45,66.0,66.6,3713
2017-02-02,1485993600,66.6,69.15,64.5,69.15,2980
2017-02-03,1486080000,69.0,69.0,65.55,68.1,2940
2017-02-06,1486339200,67.95,69.15,65.4,67.95,1207
2017-02-07,1486425600,66.45,68.25,66.0,66.15,1773
2017-02-08,1486512000,66.6,67.2,65.4,66.3,1827
2017-02-09,1486598400,66.6,74.25,66.3,73.65,4793
2017-02-10,1486684800,74.4,79.2,74.1,78.45,5733
2017-02-13,1486944000,79.5,81.0,74.7,75.0,4053
2017-02-14,1487030400,76.2,79.5,74.7,77.7,2867
2017-02-15,1487116800,77.7,77.7,75.9,76.5,1227
2017-02-16,1487203200,75.0,75.6,73.8,75.15,973
2017-02-17,1487289600,74.4,75.75,74.25,75.75,720
2017-02-21,1487635200,75.0,78.75,74.7,76.95,2040
2017-02-22,1487721600,104.55,149.1,103.05,112.5,1293407
2017-02-23,1487808000,113.4,114.0,93.0,94.65,121473
2017-02-24,1487894400,93.75,95.7,87.45,90.45,30920
2017-02-27,1488153600,89.4,91.35,85.5,87.0,19120
2017-02-28,1488240000,86.4,106.5,86.4,101.85,137460
2017-03-01,1488326400,100.65,100.95,91.5,94.5,22053
2017-03-02,1488412800,94.5,97.5,91.2,92.7,6593
2017-03-03,1488499200,93.45,95.85,90.75,95.85,5600
2017-03-06,1488758400,96.0,100.2,91.5,98.25,25120
2017-03-07,1488844800,97.5,100.5,90.0,93.3,10407
2017-03-08,1488931200,92.55,94.95,90.15,92.25,8607
2017-03-09,1489017600,91.5,93.75,90.45,90.6,4120
2017-03-10,1489104000,91.5,93.0,89.4,92.55,8267
2017-03-13,1489363200,93.3,94.8,88.5,93.0,5940
2017-03-14,1489449600,95.1,95.1,91.05,91.2,4013
2017-03-15,1489536000,91.8,94.95,91.5,92.55,2353
2017-03-16,1489622400,92.4,94.65,90.75,91.65,2567
2017-03-17,1489708800,91.5,93.0,91.35,92.25,2860
2017-03-20,1489968000,92.1,93.0,90.15,92.1,3867
2017-03-21,1490054400,92.25,93.75,91.8,93.3,2180
2017-03-22,1490140800,95.25,95.25,90.0,93.0,2087
2017-03-23,1490227200,91.95,93.75,91.05,91.35,3860
2017-03-24,1490313600,92.7,94.5,90.9,92.85,1767
2017-03-27,1490572800,92.7,92.7,89.1,90.3,4793
2017-03-28,1490659200,90.3,90.75,88.2,90.15,3173
2017-03-29,1490745600,90.15,91.65,89.25,90.0,900
2017-03-30,1490832000,89.25,89.55,84.9,88.05,4627
2017-03-31,1490918400,89.25,89.25,84.9,87.15,3580
2017-04-03,1491177600,87.9,87.9,80.25,81.15,5600
2017-04-04,1491264000,81.0,83.4,81.0,81.45,2147
2017-04-05,1491350400,81.6,81.6,75.15,76.65,3587
2017-04-06,1491436800,76.8,77.55,73.5,74.25,5153
2017-04-07,1491523200,74.25,79.35,73.8,79.35,2073
2017-04-10,1491782400,78.75,78.75,75.3,78.15,2380
2017-04-11,1491868800,78.3,79.2,75.75,76.95,1500
2017-04-12,1491955200,75.9,76.5,75.0,75.75,2053
2017-04-13,1492041600,75.15,76.5,75.15,76.5,480
2017-04-17,1492387200,76.95,79.2,75.0,78.3,1460
2017-04-18,1492473600,78.45,78.6,73.8,74.85,1640
2017-04-19,1492560000,74.7,75.45,74.1,75.45,873
2017-04-20,1492646400,75.15,76.8,75.15,76.8,1080
2017-04-21,1492732800,76.5,76.5,73.8,74.25,1880
2017-04-24,1492992000,75.75,76.5,74.55,75.6,2233
2017-04-25,1493078400,75.9,78.0,75.9,76.95,2287
2017-04-26,1493164800,77.55,79.65,74.7,75.15,3387
2017-04-27,1493251200,75.15,79.5,74.55,76.65,3307
2017-04-28,1493337600,76.65,82.35,75.75,76.5,5007
2017-05-01,1493596800,76.5,77.85,75.3,76.8,3793
2017-05-02,1493683200,77.85,82.35,73.5,73.95,8813
2017-05-03,1493769600,73.5,74.85,73.5,73.8,1367
2017-05-04,1493856000,73.65,74.1,68.55,68.85,3593
2017-05-05,1493942400,68.7,70.05,66.3,66.75,1853
2017-05-08,1494201600,66.0,67.8,66.0,67.5,967
2017-05-09,1494288000,67.5,70.5,66.0,69.9,1627
2017-05-10,1494374400,69.0,69.9,67.5,69.45,3293
2017-05-11,1494460800,69.45,73.65,68.25,71.55,6580
2017-05-12,1494547200,72.0,72.0,67.2,67.65,3120
2017-05-15,1494806400,67.95,67.95,62.85,63.0,4767
2017-05-16,1494892800,63.0,64.35,56.25,57.0,8540
