Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.18,9.24,8.96,8.97,93100
2017-01-04,1483488000,8.94,9.13,8.52,9.03,76400
2017-01-05,1483574400,9.05,9.05,8.68,8.85,57700
2017-01-06,1483660800,8.88,8.89,8.65,8.79,79000
2017-01-09,1483920000,8.72,8.79,8.56,8.64,43800
2017-01-10,1484006400,8.6,8.79,8.46,8.76,29800
2017-01-11,1484092800,8.72,9.08,8.68,9.03,48500
2017-01-12,1484179200,9.01,9.01,8.77,8.82,30800
2017-01-13,1484265600,8.85,9.02,8.83,8.94,46000
2017-01-17,1484611200,8.82,8.86,8.73,8.74,74800
2017-01-18,1484697600,8.79,8.86,8.72,8.82,31500
2017-01-19,1484784000,8.83,8.88,8.8,8.81,27000
2017-01-20,1484870400,8.79,9.0,8.75,8.76,36400
2017-01-23,1485129600,8.74,8.84,8.62,8.67,35400
2017-01-24,1485216000,8.65,8.86,8.65,8.8,32800
2017-01-25,1485302400,8.89,9.03,8.85,9.01,31100
2017-01-26,1485388800,8.99,9.09,8.9,8.94,39800
2017-01-27,1485475200,8.8,9.03,8.75,8.96,58800
2017-01-30,1485734400,9.01,9.01,8.86,8.86,38500
2017-01-31,1485820800,8.82,9.03,8.77,9.01,61500
2017-02-01,1485907200,9.06,9.08,8.86,8.88,32000
2017-02-02,1485993600,8.83,8.9,8.58,8.66,38500
2017-02-03,1486080000,8.74,8.85,8.67,8.83,32800
2017-02-06,1486339200,8.76,8.86,8.71,8.72,37700
2017-02-07,1486425600,8.78,8.78,8.62,8.63,31600
2017-02-08,1486512000,8.54,8.61,8.42,8.47,57300
2017-02-09,1486598400,8.46,8.67,8.46,8.57,38000
2017-02-10,1486684800,8.6,8.95,8.51,8.77,203700
2017-02-13,1486944000,8.84,8.84,8.76,8.84,101900
2017-02-14,1487030400,8.78,8.93,8.78,8.89,40500
2017-02-15,1487116800,8.85,9.0,8.7,8.98,49200
2017-02-16,1487203200,8.93,8.99,8.85,8.99,60200
2017-02-17,1487289600,9.03,9.14,8.93,9.02,48700
2017-02-21,1487635200,9.0,9.1,8.92,9.1,36200
2017-02-22,1487721600,9.03,9.16,9.0,9.1,17600
2017-02-23,1487808000,9.16,9.16,8.95,9.12,32200
2017-02-24,1487894400,9.06,9.13,9.02,9.03,17600
2017-02-27,1488153600,9.03,9.13,9.02,9.03,27600
2017-02-28,1488240000,9.05,9.11,8.88,8.96,52800
2017-03-01,1488326400,9.14,9.16,9.03,9.08,35200
2017-03-02,1488412800,9.05,9.05,8.94,8.96,32600
2017-03-03,1488499200,8.89,9.01,8.89,8.98,28500
2017-03-06,1488758400,8.96,9.04,8.95,8.98,40500
2017-03-07,1488844800,8.98,9.03,8.96,8.97,24900
2017-03-08,1488931200,9.0,9.0,8.9,8.9,34700
2017-03-09,1489017600,8.95,8.99,8.9,8.95,41100
2017-03-10,1489104000,8.99,9.03,8.9,8.92,62900
2017-03-13,1489363200,8.9,8.96,8.56,8.77,100000
2017-03-14,1489449600,8.72,8.78,8.6,8.7,32100
2017-03-15,1489536000,8.93,8.93,8.69,8.73,43500
2017-03-16,1489622400,8.76,8.81,8.72,8.75,47100
2017-03-17,1489708800,8.71,8.94,8.69,8.89,89600
2017-03-20,1489968000,8.81,8.94,8.81,8.84,34400
2017-03-21,1490054400,8.89,8.93,8.58,8.58,59700
2017-03-22,1490140800,8.58,8.66,8.49,8.53,102200
2017-03-23,1490227200,8.57,8.71,8.52,8.55,18300
2017-03-24,1490313600,8.53,8.67,8.5,8.57,24000
2017-03-27,1490572800,8.49,8.74,8.46,8.71,39600
2017-03-28,1490659200,8.66,8.79,8.63,8.78,23500
2017-03-29,1490745600,8.73,8.76,8.64,8.68,23900
2017-03-30,1490832000,8.65,8.83,8.65,8.8,55500
2017-03-31,1490918400,8.8,8.83,8.7,8.74,33900
2017-04-03,1491177600,8.74,8.82,8.57,8.64,31200
2017-04-04,1491264000,8.64,8.7,8.6,8.65,24800
2017-04-05,1491350400,8.67,8.72,8.55,8.56,102500
2017-04-06,1491436800,8.56,8.73,8.53,8.65,66400
2017-04-07,1491523200,8.63,8.66,8.6,8.62,19900
2017-04-10,1491782400,8.63,8.65,8.46,8.55,31100
2017-04-11,1491868800,8.53,8.65,8.51,8.62,40800
2017-04-12,1491955200,8.57,8.65,8.46,8.52,25000
2017-04-13,1492041600,8.52,8.57,8.46,8.49,156000
2017-04-17,1492387200,8.46,8.57,8.46,8.55,31700
2017-04-18,1492473600,8.49,8.56,8.48,8.52,22700
2017-04-19,1492560000,8.52,8.57,8.46,8.48,58300
2017-04-20,1492646400,8.49,8.62,8.48,8.59,33300
2017-04-21,1492732800,8.59,8.67,8.58,8.66,82900
2017-04-24,1492992000,8.81,8.94,8.71,8.93,122600
2017-04-25,1493078400,8.95,9.18,8.95,9.12,103700
2017-04-26,1493164800,9.12,9.29,9.11,9.21,74500
2017-04-27,1493251200,9.21,9.21,8.88,8.95,47600
2017-04-28,1493337600,8.84,8.96,8.46,8.47,108900
2017-05-01,1493596800,8.49,8.92,8.46,8.76,75100
2017-05-02,1493683200,8.74,8.81,8.66,8.72,50800
2017-05-03,1493769600,8.66,8.72,8.53,8.68,46200
2017-05-04,1493856000,8.69,8.79,8.65,8.71,25700
2017-05-05,1493942400,8.72,8.74,8.63,8.66,21700
2017-05-08,1494201600,8.65,8.83,8.57,8.67,37900
2017-05-09,1494288000,8.67,8.81,8.51,8.56,106500
2017-05-10,1494374400,8.52,8.65,8.49,8.54,100600
2017-05-11,1494460800,8.51,8.7,8.46,8.64,82100
2017-05-12,1494547200,8.62,8.64,8.45,8.48,42200
2017-05-15,1494806400,8.49,8.61,8.42,8.52,51200
2017-05-16,1494892800,8.53,8.65,8.48,8.57,27100
2017-05-17,1494979200,8.45,8.49,8.44,8.45,83800
2017-05-18,1495065600,8.46,8.56,8.26,8.32,51300
2017-05-19,1495152000,8.33,8.35,8.17,8.18,59800
2017-05-22,1495411200,8.19,8.26,8.02,8.23,44600
2017-05-23,1495497600,8.23,8.33,8.11,8.3,65200
2017-05-24,1495584000,8.34,8.36,8.15,8.26,32300
2017-05-25,1495670400,8.31,8.33,8.17,8.21,28800
2017-05-26,1495756800,8.17,8.31,8.16,8.26,42500
2017-05-30,1496102400,8.31,8.35,8.16,8.23,32600
2017-05-31,1496188800,8.25,8.33,8.15,8.21,17500
2017-06-01,1496275200,8.23,8.37,8.15,8.36,33500
2017-06-02,1496361600,8.35,8.67,8.35,8.48,38100
2017-06-05,1496620800,8.47,8.67,8.38,8.41,34500
2017-06-06,1496707200,8.3,8.41,8.21,8.25,19000
2017-06-07,1496793600,8.25,8.4,8.22,8.32,28100
2017-06-08,1496880000,8.28,8.67,8.17,8.41,60700
2017-06-09,1496966400,8.41,8.71,8.41,8.71,72800
2017-06-12,1497225600,8.71,8.79,8.47,8.62,49200
2017-06-13,1497312000,8.63,8.66,8.53,8.62,27100
2017-06-14,1497398400,8.61,8.61,8.42,8.57,30500
2017-06-15,1497484800,8.47,8.65,8.47,8.54,36700
2017-06-16,1497571200,8.43,8.61,8.36,8.42,282300
2017-06-19,1497830400,8.44,8.52,8.28,8.35,41800
2017-06-20,1497916800,8.31,8.37,8.25,8.33,34800
2017-06-21,1498003200,8.34,8.34,8.13,8.14,49500
2017-06-22,1498089600,8.09,8.17,7.88,8.13,34300
2017-06-23,1498176000,8.13,8.42,8.05,8.34,153200
2017-06-26,1498435200,8.35,8.35,8.15,8.19,30600
2017-06-27,1498521600,8.22,8.34,8.12,8.15,36200
2017-06-28,1498608000,8.17,8.44,8.17,8.35,32100
2017-06-29,1498694400,8.47,8.6,8.23,8.54,101100
2017-06-30,1498780800,8.59,8.59,8.41,8.48,20100
2017-07-03,1499040000,8.38,8.7,8.34,8.62,25300
2017-07-05,1499212800,8.63,8.63,8.41,8.54,18200
2017-07-06,1499299200,8.53,8.71,8.44,8.49,100200
2017-07-07,1499385600,8.49,8.52,8.39,8.46,56000
2017-07-10,1499644800,8.4,8.46,8.23,8.34,26900
2017-07-11,1499731200,8.33,8.33,8.18,8.3,61700
2017-07-12,1499817600,8.28,8.45,8.28,8.32,20700
2017-07-13,1499904000,8.31,8.43,8.22,8.28,39700
2017-07-14,1499990400,8.21,8.31,8.21,8.25,21900
2017-07-17,1500249600,8.21,8.41,8.19,8.26,40200
2017-07-18,1500336000,8.17,8.29,8.07,8.2,69100
2017-07-19,1500422400,8.17,8.29,8.17,8.2,20600
2017-07-20,1500508800,8.21,8.31,8.17,8.25,29000
