Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,47.86,47.86,47.05,47.28,108000
2017-01-04,1483488000,47.42,48.27,47.42,48.08,159000
2017-01-05,1483574400,48.13,48.14,47.59,47.85,133000
2017-01-06,1483660800,48.02,48.02,47.48,47.57,97100
2017-01-09,1483920000,47.41,47.41,46.77,46.78,93000
2017-01-10,1484006400,47.03,47.53,46.69,47.51,121900
2017-01-11,1484092800,47.55,48.12,47.09,48.03,102200
2017-01-12,1484179200,47.97,47.97,47.03,47.44,133200
2017-01-13,1484265600,47.81,48.15,47.45,47.56,107800
2017-01-17,1484611200,47.64,47.64,46.72,46.85,124800
2017-01-18,1484697600,47.05,47.36,46.79,47.33,187700
2017-01-19,1484784000,47.42,47.66,47.18,47.57,179100
2017-01-20,1484870400,47.78,48.29,47.74,48.26,203400
2017-01-23,1485129600,48.18,48.29,47.83,48.23,182500
2017-01-24,1485216000,48.49,49.05,48.18,48.99,172900
2017-01-25,1485302400,49.28,50.04,49.1,49.99,255800
2017-01-26,1485388800,49.97,50.14,49.8,50.0,200100
2017-01-27,1485475200,50.13,50.39,49.75,50.35,342800
2017-01-30,1485734400,50.03,50.21,49.94,49.96,393900
2017-01-31,1485820800,50.04,50.54,50.0,50.27,647600
2017-02-01,1485907200,50.61,50.7,50.25,50.51,490500
2017-02-02,1485993600,50.77,51.04,50.5,50.99,666500
2017-02-03,1486080000,51.09,51.28,49.54,49.61,372700
2017-02-06,1486339200,49.2,49.52,48.33,48.4,348200
2017-02-07,1486425600,48.37,48.37,46.4,46.46,392200
2017-02-08,1486512000,46.47,46.53,44.97,45.03,257300
2017-02-09,1486598400,45.12,45.56,45.12,45.42,228100
2017-02-10,1486684800,45.25,45.41,44.87,45.0,211500
2017-02-13,1486944000,44.96,45.41,44.89,45.38,214200
2017-02-14,1487030400,45.24,45.43,44.96,45.42,150900
2017-02-15,1487116800,45.37,46.01,45.13,46.01,177200
2017-02-16,1487203200,45.81,46.45,45.81,46.39,129500
2017-02-17,1487289600,46.48,46.48,45.94,46.28,139200
2017-02-21,1487635200,46.32,46.32,45.91,46.12,143000
2017-02-22,1487721600,46.14,47.04,45.91,46.7,237200
2017-02-23,1487808000,46.58,46.86,46.33,46.7,263600
2017-02-24,1487894400,46.48,46.89,46.26,46.48,98500
2017-02-27,1488153600,46.41,46.49,46.02,46.48,161500
2017-02-28,1488240000,46.51,46.63,46.13,46.6,245300
2017-03-01,1488326400,47.07,47.68,46.7,47.63,176000
2017-03-02,1488412800,47.64,47.67,47.18,47.38,103400
2017-03-03,1488499200,47.52,47.52,47.14,47.24,123600
2017-03-06,1488758400,47.28,47.33,46.8,47.07,118200
2017-03-07,1488844800,46.9,47.35,46.63,46.82,119500
2017-03-08,1488931200,46.8,47.12,46.36,46.41,135500
2017-03-09,1489017600,46.47,47.42,46.47,46.83,173600
2017-03-10,1489104000,47.09,47.11,46.49,46.93,124500
2017-03-13,1489363200,46.7,47.2,46.7,47.15,193000
2017-03-14,1489449600,46.92,47.67,46.92,47.56,121500
2017-03-15,1489536000,47.73,49.39,47.59,48.24,207100
2017-03-16,1489622400,48.43,48.5,47.84,48.0,89700
2017-03-17,1489708800,47.92,48.19,47.63,47.9,696500
2017-03-20,1489968000,47.67,47.97,47.44,47.92,128100
2017-03-21,1490054400,48.23,48.47,47.36,47.47,112800
2017-03-22,1490140800,47.35,47.35,46.98,47.24,83900
2017-03-23,1490227200,47.26,47.84,47.26,47.37,71900
2017-03-24,1490313600,47.4,47.76,46.86,47.09,126700
2017-03-27,1490572800,46.55,47.79,46.55,47.71,110100
2017-03-28,1490659200,47.67,48.3,47.26,48.16,130500
2017-03-29,1490745600,48.26,48.39,47.95,48.31,223600
2017-03-30,1490832000,48.43,48.98,48.43,48.86,148800
2017-03-31,1490918400,48.82,49.46,48.6,48.99,156800
