Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,14.95,16.0,14.87,15.96,20900
2017-01-04,1483488000,15.99,16.63,15.47,16.37,70800
2017-01-05,1483574400,16.46,16.55,16.39,16.39,22400
2017-01-06,1483660800,16.4,16.5,15.59,15.59,13000
2017-01-09,1483920000,15.63,16.11,15.59,15.8,18100
2017-01-10,1484006400,15.8,16.21,15.64,16.2,60000
2017-01-11,1484092800,16.0,16.28,15.83,15.83,7500
2017-01-12,1484179200,15.73,16.0,15.59,15.99,22400
2017-01-13,1484265600,15.8,16.21,15.8,16.07,23100
2017-01-17,1484611200,16.05,16.05,15.59,15.9,20600
2017-01-18,1484697600,15.59,16.02,15.59,15.82,13200
2017-01-19,1484784000,15.9,15.92,15.71,15.72,5400
2017-01-20,1484870400,15.86,15.87,15.61,15.8,6000
2017-01-23,1485129600,15.8,15.8,15.6,15.6,5000
2017-01-24,1485216000,15.62,15.62,14.86,14.9,27900
2017-01-25,1485302400,14.89,14.98,14.78,14.92,11800
2017-01-26,1485388800,14.94,15.14,14.82,14.95,7100
2017-01-27,1485475200,15.05,15.15,14.89,15.15,5100
2017-01-30,1485734400,14.94,14.96,14.78,14.82,15600
2017-01-31,1485820800,14.79,15.28,14.79,15.28,9100
2017-02-01,1485907200,15.32,16.0,15.26,15.97,8000
2017-02-02,1485993600,15.82,16.18,15.82,16.03,16000
2017-02-03,1486080000,16.13,16.13,15.81,15.85,10600
2017-02-06,1486339200,15.96,16.05,15.15,15.83,9200
2017-02-07,1486425600,15.84,16.05,15.19,15.89,5000
2017-02-08,1486512000,15.82,16.49,15.65,16.01,10300
2017-02-09,1486598400,15.9,16.47,15.63,15.86,5400
2017-02-10,1486684800,15.2,16.29,15.2,15.89,4300
2017-02-13,1486944000,15.99,15.99,15.35,15.84,9600
2017-02-14,1487030400,15.6,16.0,15.6,15.98,8700
2017-02-15,1487116800,15.9,16.0,15.75,16.0,55000
2017-02-16,1487203200,15.88,16.0,15.86,15.9,3900
