Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,63.34,64.05,62.53,63.67,11125400
2017-01-04,1483488000,63.93,64.62,63.86,64.26,7806800
2017-01-05,1483574400,64.45,64.48,63.65,63.87,6217200
2017-01-06,1483660800,64.15,65.72,64.12,65.71,8985600
2017-01-09,1483920000,66.09,66.82,66.0,66.56,9672000
2017-01-10,1484006400,66.97,67.87,66.83,67.54,7681700
2017-01-11,1484092800,67.74,67.74,66.17,67.12,7475400
2017-01-12,1484179200,66.78,67.83,66.49,67.73,6462600
2017-01-13,1484265600,67.63,67.9,67.32,67.71,5455800
2017-01-17,1484611200,67.68,68.48,67.06,68.37,7084400
2017-01-18,1484697600,68.77,68.77,67.82,68.23,5833000
2017-01-19,1484784000,67.9,68.28,67.57,67.9,6753700
2017-01-20,1484870400,68.09,68.24,67.37,67.62,8898600
2017-01-23,1485129600,67.37,67.75,67.05,67.42,4523400
2017-01-24,1485216000,67.3,67.38,66.36,66.57,6430300
2017-01-25,1485302400,66.72,67.28,66.36,67.17,6171200
2017-01-26,1485388800,67.17,67.25,66.63,66.76,3699400
2017-01-27,1485475200,67.21,67.83,67.15,67.58,4903000
2017-01-30,1485734400,67.34,67.57,67.01,67.33,4372100
2017-01-31,1485820800,67.26,68.74,66.97,68.55,7828200
2017-02-01,1485907200,67.88,68.57,67.83,68.53,5618300
2017-02-02,1485993600,68.15,68.79,68.02,68.46,5357300
2017-02-03,1486080000,68.65,68.98,68.23,68.84,4985900
2017-02-06,1486339200,68.82,68.84,68.1,68.51,3817600
2017-02-07,1486425600,68.41,68.67,68.1,68.64,3898500
2017-02-08,1486512000,68.59,68.66,68.1,68.17,3668200
2017-02-09,1486598400,68.17,68.42,68.02,68.27,4367500
2017-02-10,1486684800,68.39,68.76,68.27,68.66,3427100
2017-02-13,1486944000,68.77,69.37,68.66,69.36,4081600
2017-02-14,1487030400,69.43,69.7,68.94,69.48,3781600
2017-02-15,1487116800,69.11,70.23,69.04,70.06,4244300
2017-02-16,1487203200,70.08,70.33,69.57,70.32,4152500
2017-02-17,1487289600,70.21,71.22,70.15,71.13,9954600
2017-02-21,1487635200,72.14,73.02,71.96,72.64,7313100
2017-02-22,1487721600,72.36,72.56,71.45,71.79,5508000
2017-02-23,1487808000,72.36,72.97,72.09,72.8,4552700
2017-02-24,1487894400,72.62,73.08,72.53,73.06,4489100
2017-02-27,1488153600,73.06,73.18,72.72,72.81,3588800
2017-02-28,1488240000,72.6,73.15,72.55,72.96,3749300
2017-03-01,1488326400,73.32,74.19,73.0,74.0,4996000
2017-03-02,1488412800,73.85,74.36,73.48,73.93,4068800
2017-03-03,1488499200,73.6,73.94,73.34,73.81,2775500
2017-03-06,1488758400,73.42,73.81,73.29,73.52,2681800
2017-03-07,1488844800,73.2,73.69,73.13,73.4,2594900
2017-03-08,1488931200,73.4,74.3,73.28,74.14,4018600
2017-03-09,1489017600,74.07,74.73,73.84,74.65,3478800
2017-03-10,1489104000,74.84,75.01,74.46,74.88,4033900
2017-03-13,1489363200,74.83,75.01,74.34,74.74,3134200
2017-03-14,1489449600,74.53,75.74,74.07,74.41,3591800
2017-03-15,1489536000,74.48,75.25,74.45,75.11,3267100
2017-03-16,1489622400,75.06,75.26,73.59,73.79,6347400
2017-03-17,1489708800,73.77,74.25,73.67,74.15,11360900
2017-03-20,1489968000,74.08,74.16,73.29,73.42,4423800
2017-03-21,1490054400,73.76,73.85,72.79,73.15,5343900
2017-03-22,1490140800,73.15,73.6,72.85,73.43,4419800
2017-03-23,1490227200,73.19,73.74,73.14,73.3,4194800
2017-03-24,1490313600,73.29,73.85,73.29,73.43,3010300
2017-03-27,1490572800,73.15,73.57,72.87,73.45,5272200
2017-03-28,1490659200,73.35,73.47,73.08,73.19,7442300
2017-03-29,1490745600,73.27,73.73,72.93,73.55,5686700
2017-03-30,1490832000,73.46,73.63,72.97,73.42,2420700
2017-03-31,1490918400,73.2,73.53,73.02,73.03,3790000
2017-04-03,1491177600,73.29,73.57,72.71,73.45,3250100
2017-04-04,1491264000,73.43,73.49,72.96,73.08,3097800
2017-04-05,1491350400,73.35,73.51,72.71,72.74,3620600
2017-04-06,1491436800,73.14,73.14,72.36,72.72,3930300
2017-04-07,1491523200,72.75,73.11,72.65,72.86,2515200
2017-04-10,1491782400,72.79,73.07,72.63,72.79,2666900
2017-04-11,1491868800,72.62,72.84,72.33,72.66,2642700
2017-04-12,1491955200,72.31,72.67,72.2,72.61,3551400
2017-04-13,1492041600,72.52,72.97,72.41,72.53,3440900
2017-04-17,1492387200,72.67,72.89,72.44,72.85,2695300
2017-04-18,1492473600,73.14,73.14,72.63,72.82,4543000
