Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,6.05,6.23,6.05,6.19,9000
2017-01-04,1483488000,6.19,6.32,6.19,6.23,9600
2017-01-05,1483574400,6.23,6.35,6.23,6.28,18000
2017-01-06,1483660800,6.28,6.32,6.23,6.23,7300
2017-01-09,1483920000,6.23,6.32,6.23,6.23,6100
2017-01-10,1484006400,6.32,6.41,6.19,6.32,10000
2017-01-11,1484092800,6.32,6.37,6.19,6.37,14100
2017-01-12,1484179200,6.41,6.41,6.28,6.37,6000
2017-01-13,1484265600,6.39,6.55,6.25,6.3,13400
2017-01-17,1484611200,6.32,6.32,6.19,6.28,13600
2017-01-18,1484697600,6.23,6.32,6.23,6.28,46700
2017-01-19,1484784000,6.23,6.32,6.19,6.32,20800
2017-01-20,1484870400,6.23,6.32,6.23,6.28,5500
2017-01-23,1485129600,6.23,6.23,6.1,6.1,16700
2017-01-24,1485216000,6.14,6.14,6.05,6.14,4200
2017-01-25,1485302400,6.1,6.19,6.05,6.05,9900
2017-01-26,1485388800,6.05,6.19,6.05,6.19,12200
2017-01-27,1485475200,6.14,6.23,6.14,6.21,3300
2017-01-30,1485734400,6.19,6.28,6.19,6.23,8000
2017-01-31,1485820800,6.32,6.37,6.28,6.37,29200
2017-02-01,1485907200,6.37,6.37,6.25,6.28,12400
2017-02-02,1485993600,6.28,6.41,6.28,6.41,6800
2017-02-03,1486080000,6.37,6.5,6.37,6.5,11600
2017-02-06,1486339200,6.55,6.64,6.45,6.64,42300
2017-02-07,1486425600,6.68,6.73,6.64,6.64,38600
2017-02-08,1486512000,6.68,6.73,6.55,6.59,10200
2017-02-09,1486598400,6.64,6.64,6.46,6.46,15300
2017-02-10,1486684800,6.37,6.46,6.37,6.41,7700
2017-02-13,1486944000,6.59,6.71,6.59,6.68,14100
2017-02-14,1487030400,6.73,6.77,6.69,6.73,41100
2017-02-15,1487116800,6.81,6.86,6.73,6.86,36400
2017-02-16,1487203200,7.04,7.08,6.9,6.99,44000
2017-02-17,1487289600,6.9,7.04,6.86,6.95,18800
2017-02-21,1487635200,6.77,6.9,6.59,6.64,28800
2017-02-22,1487721600,6.77,6.81,6.69,6.77,16100
2017-02-23,1487808000,6.81,6.86,6.68,6.68,23700
2017-02-24,1487894400,6.68,6.86,6.68,6.81,10500
2017-02-27,1488153600,6.86,6.9,6.77,6.86,13300
2017-02-28,1488240000,6.9,6.99,6.9,6.95,35600
2017-03-01,1488326400,7.04,7.04,6.96,6.98,10300
2017-03-02,1488412800,6.99,7.08,6.89,7.04,66700
2017-03-03,1488499200,7.08,7.08,7.04,7.07,5300
2017-03-06,1488758400,6.99,7.04,6.86,6.86,15700
2017-03-07,1488844800,6.99,7.04,6.95,6.99,13000
2017-03-08,1488931200,7.04,7.04,6.91,6.99,10200
2017-03-09,1489017600,6.99,7.04,6.95,6.99,7200
2017-03-10,1489104000,7.04,7.04,6.86,6.95,11600
2017-03-13,1489363200,6.99,6.99,6.95,6.99,8000
2017-03-14,1489449600,7.04,7.08,6.95,7.04,26200
2017-03-15,1489536000,7.04,7.13,7.04,7.08,67800
2017-03-16,1489622400,7.16,7.21,7.1,7.21,32500
2017-03-17,1489708800,7.21,7.21,7.12,7.21,7800
2017-03-20,1489968000,7.21,7.25,7.19,7.21,50200
2017-03-21,1490054400,7.25,7.25,7.16,7.19,42700
2017-03-22,1490140800,7.12,7.25,7.06,7.16,18300
2017-03-23,1490227200,7.07,7.16,7.07,7.12,18400
2017-03-24,1490313600,7.21,7.34,7.21,7.3,28100
2017-03-27,1490572800,7.21,7.25,7.12,7.21,14000
2017-03-28,1490659200,7.16,7.16,7.12,7.16,6800
2017-03-29,1490745600,7.12,7.21,7.07,7.16,14500
2017-03-30,1490832000,7.12,7.12,7.03,7.12,5400
2017-03-31,1490918400,7.16,7.16,6.99,7.07,21200
2017-04-03,1491177600,6.93,7.02,6.93,6.98,13800
2017-04-04,1491264000,7.02,7.07,6.98,7.07,75000
2017-04-05,1491350400,7.02,7.07,6.98,7.02,172700
2017-04-06,1491436800,7.12,7.3,7.12,7.3,20600
2017-04-07,1491523200,7.3,7.39,7.26,7.39,26800
2017-04-10,1491782400,7.39,7.39,7.3,7.3,8100
2017-04-11,1491868800,7.25,7.3,7.16,7.25,20100
2017-04-12,1491955200,7.3,7.34,7.02,7.02,14100
2017-04-13,1492041600,6.98,7.07,6.84,6.84,15400
2017-04-17,1492387200,6.84,6.93,6.75,6.83,46700
2017-04-18,1492473600,6.75,6.89,6.75,6.89,6000
2017-04-19,1492560000,6.89,6.98,6.71,6.98,428600
2017-04-20,1492646400,7.02,7.07,6.9,7.02,111200
2017-04-21,1492732800,7.07,7.16,7.06,7.12,11700
2017-04-24,1492992000,7.12,7.16,7.08,7.16,7100
2017-04-25,1493078400,7.15,7.16,7.07,7.12,1500
2017-04-26,1493164800,7.07,7.12,6.98,6.98,9300
2017-04-27,1493251200,6.98,7.12,6.93,6.98,23600
2017-04-28,1493337600,7.02,7.07,6.89,7.02,7500
2017-05-01,1493596800,6.93,7.02,6.93,6.93,5200
2017-05-02,1493683200,6.89,6.93,6.8,6.89,14100
2017-05-03,1493769600,6.93,6.94,6.8,6.8,574400
2017-05-04,1493856000,6.93,6.93,6.84,6.89,2200
2017-05-05,1493942400,7.02,7.16,6.89,7.16,16800
2017-05-08,1494201600,7.21,7.21,6.98,7.07,11700
2017-05-09,1494288000,7.21,7.3,7.12,7.25,10100
2017-05-10,1494374400,7.17,7.3,7.17,7.3,9200
2017-05-11,1494460800,7.21,7.39,7.21,7.34,13100
2017-05-12,1494547200,7.22,7.34,7.03,7.16,36500
2017-05-15,1494806400,7.21,7.34,7.21,7.28,17800
2017-05-16,1494892800,7.48,7.89,7.43,7.66,336000
2017-05-17,1494979200,7.61,7.61,7.3,7.48,56300
2017-05-18,1495065600,7.3,7.48,7.22,7.48,26300
2017-05-19,1495152000,7.57,7.61,7.44,7.61,27100
2017-05-22,1495411200,7.7,7.75,7.61,7.7,39800
2017-05-23,1495497600,7.66,7.7,7.61,7.66,81200
2017-05-24,1495584000,7.66,7.66,7.48,7.48,38700
2017-05-25,1495670400,7.57,7.61,7.48,7.48,25500
2017-05-26,1495756800,7.43,7.46,7.34,7.34,29800
2017-05-30,1496102400,7.52,7.52,7.25,7.39,10000
2017-05-31,1496188800,7.43,7.43,7.25,7.31,8200
2017-06-01,1496275200,7.34,7.39,7.25,7.34,7900
2017-06-02,1496361600,7.3,7.34,7.25,7.25,23800
2017-06-05,1496620800,7.25,7.25,7.16,7.16,68000
2017-06-06,1496707200,7.21,7.25,7.12,7.25,8900
2017-06-07,1496793600,7.21,7.25,7.07,7.12,45400
2017-06-08,1496880000,7.16,7.3,7.16,7.3,415000
2017-06-09,1496966400,7.34,7.39,7.12,7.16,12300
2017-06-12,1497225600,7.16,7.16,7.02,7.12,5800
2017-06-13,1497312000,7.16,7.16,7.02,7.03,6800
2017-06-14,1497398400,7.07,7.07,7.02,7.07,3000
2017-06-15,1497484800,6.98,7.25,6.93,7.16,13500
2017-06-16,1497571200,7.12,7.3,7.12,7.12,34000
2017-06-19,1497830400,7.16,7.3,7.14,7.3,17700
2017-06-20,1497916800,7.21,7.34,7.12,7.3,84100
2017-06-21,1498003200,7.21,7.34,7.21,7.25,10600
2017-06-22,1498089600,7.3,7.41,7.22,7.3,11200
2017-06-23,1498176000,7.3,7.39,7.21,7.3,6000
2017-06-26,1498435200,7.17,7.39,7.17,7.34,10800
2017-06-27,1498521600,7.25,7.39,7.12,7.16,23500
2017-06-28,1498608000,7.21,7.25,7.07,7.21,8600
2017-06-29,1498694400,7.21,7.21,7.06,7.16,6200
2017-06-30,1498780800,7.12,7.21,7.12,7.21,5600
2017-07-03,1499040000,7.3,7.3,7.12,7.21,8900
2017-07-05,1499212800,7.16,7.34,7.16,7.21,17200
2017-07-06,1499299200,7.21,7.21,7.12,7.21,4700
2017-07-07,1499385600,7.21,7.21,7.12,7.16,5000
2017-07-10,1499644800,7.25,7.34,7.21,7.25,6200
2017-07-11,1499731200,7.16,7.25,7.16,7.25,11500
2017-07-12,1499817600,7.25,7.43,7.25,7.39,11300
2017-07-13,1499904000,7.43,7.43,7.34,7.43,4100
2017-07-14,1499990400,7.43,7.54,7.43,7.43,2800
2017-07-17,1500249600,7.43,7.61,7.43,7.48,23600
2017-07-18,1500336000,7.39,7.43,7.39,7.43,4600
2017-07-19,1500422400,7.39,7.43,7.34,7.34,9700
2017-07-20,1500508800,7.39,7.48,7.34,7.39,15100
2017-07-21,1500595200,7.48,7.48,7.3,7.34,37900
2017-07-24,1500854400,7.34,7.34,7.25,7.3,7500
2017-07-25,1500940800,7.34,7.39,7.3,7.3,4100
2017-07-26,1501027200,7.34,7.34,7.25,7.3,6600
2017-07-27,1501113600,7.43,7.43,7.16,7.17,31400
2017-07-28,1501200000,7.25,7.3,7.21,7.21,12600
2017-07-31,1501459200,7.25,7.3,7.16,7.16,35600
2017-08-01,1501545600,7.21,7.3,7.16,7.16,26400
2017-08-02,1501632000,7.16,7.21,7.16,7.16,4200
2017-08-03,1501718400,7.34,7.34,7.16,7.21,14200
2017-08-04,1501804800,7.25,7.25,7.16,7.16,1500
2017-08-07,1502064000,7.16,7.21,7.07,7.12,23800
2017-08-08,1502150400,7.07,7.25,7.07,7.16,18100
2017-08-09,1502236800,7.16,7.66,7.16,7.39,216000
2017-08-10,1502323200,7.39,7.43,7.08,7.25,52900
2017-08-11,1502409600,7.25,7.25,7.16,7.21,15500
2017-08-14,1502668800,7.16,7.39,7.16,7.25,47500
2017-08-15,1502755200,7.25,7.3,7.16,7.3,30300
2017-08-16,1502841600,7.25,7.34,7.21,7.25,151600
2017-08-17,1502928000,7.21,7.25,7.21,7.25,19000
2017-08-18,1503014400,7.21,7.25,7.16,7.25,12200
2017-08-21,1503273600,7.16,7.16,7.12,7.16,15900
2017-08-22,1503360000,7.12,7.16,7.07,7.16,8900
2017-08-23,1503446400,7.07,7.16,7.07,7.07,11100
2017-08-24,1503532800,7.07,7.12,7.02,7.1,15400
2017-08-25,1503619200,7.14,7.19,7.05,7.1,20900
2017-08-28,1503878400,7.05,7.19,7.01,7.19,18200
2017-08-29,1503964800,7.1,7.24,7.1,7.24,5900
2017-08-30,1504051200,7.19,7.24,7.14,7.24,7900
2017-08-31,1504137600,7.19,7.24,7.14,7.24,23200
2017-09-01,1504224000,7.19,7.28,7.19,7.22,13300
2017-09-05,1504569600,7.19,7.28,7.14,7.28,25100
2017-09-06,1504656000,7.24,7.47,7.19,7.37,61900
2017-09-07,1504742400,7.33,7.56,7.33,7.51,33700
2017-09-08,1504828800,7.47,7.6,7.47,7.51,9000
2017-09-11,1505088000,7.51,7.65,7.51,7.65,31400
2017-09-12,1505174400,7.6,7.79,7.6,7.74,45200
2017-09-13,1505260800,7.7,7.83,7.66,7.74,22800
2017-09-14,1505347200,7.79,8.02,7.72,7.88,46900
2017-09-15,1505433600,8.02,8.02,7.83,7.83,46400
2017-09-18,1505692800,7.88,8.02,7.83,8.02,19000
2017-09-19,1505779200,7.97,8.02,7.93,8.02,31900
2017-09-20,1505865600,8.02,8.02,7.95,8.02,8300
2017-09-21,1505952000,8.02,8.02,7.95,8.02,5100
2017-09-22,1506038400,8.02,8.07,7.97,8.07,10300
2017-09-25,1506297600,7.93,8.02,7.93,7.97,8800
2017-09-26,1506384000,7.97,8.02,7.92,8.02,9800
2017-09-27,1506470400,7.93,8.11,7.89,8.11,44900
2017-09-28,1506556800,8.07,8.25,7.97,8.25,38500
2017-09-29,1506643200,8.2,8.2,8.02,8.02,45400
2017-10-02,1506902400,7.97,8.16,7.97,8.11,41000
2017-10-03,1506988800,8.16,8.3,8.09,8.3,57300
2017-10-04,1507075200,8.2,8.3,8.2,8.25,7300
2017-10-05,1507161600,8.11,8.48,8.11,8.48,81400
2017-10-06,1507248000,8.34,8.43,8.25,8.43,18600
2017-10-09,1507507200,8.39,8.39,8.33,8.34,21700
2017-10-10,1507593600,8.43,8.53,8.43,8.53,12300
2017-10-11,1507680000,8.48,8.66,8.43,8.66,21800
2017-10-12,1507766400,8.71,8.76,8.65,8.66,32500
2017-10-13,1507852800,8.76,8.76,8.65,8.66,19000
2017-10-16,1508112000,8.53,8.66,8.53,8.66,30200
2017-10-17,1508198400,8.62,8.76,8.62,8.62,18200
2017-10-18,1508284800,8.53,8.53,8.34,8.39,39600
2017-10-19,1508371200,8.34,8.39,8.16,8.3,27100
2017-10-20,1508457600,8.39,8.43,8.25,8.25,47100
2017-10-23,1508716800,8.16,8.2,8.02,8.16,46000
2017-10-24,1508803200,8.11,8.2,8.07,8.16,31400
2017-10-25,1508889600,8.11,8.25,8.07,8.16,10800
2017-10-26,1508976000,8.2,8.3,8.11,8.2,8100
2017-10-27,1509062400,8.2,8.2,7.93,8.07,7700
2017-10-30,1509321600,7.83,8.02,7.74,7.93,151500
