Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,6.2,6.3,5.95,6.1,519100
2017-01-04,1483488000,6.05,6.9,6.0,6.85,439100
2017-01-05,1483574400,6.8,6.85,6.4,6.55,225200
2017-01-06,1483660800,6.6,6.7,6.4,6.6,188300
2017-01-09,1483920000,6.5,6.63,6.4,6.5,153600
2017-01-10,1484006400,6.45,6.55,6.3,6.35,110900
2017-01-11,1484092800,6.3,6.54,6.21,6.3,595800
2017-01-12,1484179200,6.3,6.4,6.15,6.3,140800
2017-01-13,1484265600,6.35,6.75,6.3,6.65,234700
2017-01-17,1484611200,6.55,6.6,6.3,6.35,220500
2017-01-18,1484697600,6.4,6.55,6.25,6.4,215200
2017-01-19,1484784000,6.4,6.55,6.38,6.4,198600
2017-01-20,1484870400,6.4,6.5,6.25,6.45,202400
2017-01-23,1485129600,6.45,6.6,6.3,6.5,158100
2017-01-24,1485216000,6.5,6.85,6.35,6.65,298300
2017-01-25,1485302400,6.7,6.85,6.5,6.75,237700
2017-01-26,1485388800,6.7,6.75,6.4,6.45,180500
2017-01-27,1485475200,6.4,6.45,6.35,6.4,130100
2017-01-30,1485734400,6.35,6.45,6.25,6.4,207700
2017-01-31,1485820800,6.35,6.6,6.3,6.6,195000
2017-02-01,1485907200,6.55,6.65,6.35,6.45,337800
2017-02-02,1485993600,6.45,6.7,5.93,6.05,681300
2017-02-03,1486080000,6.0,6.3,5.85,6.1,512600
2017-02-06,1486339200,6.1,6.15,5.9,6.1,270800
2017-02-07,1486425600,6.1,6.15,5.75,5.75,417100
2017-02-08,1486512000,5.8,5.8,5.55,5.65,379800
2017-02-09,1486598400,5.65,5.85,5.6,5.75,252900
2017-02-10,1486684800,5.8,5.8,5.53,5.6,412500
2017-02-13,1486944000,5.6,5.7,5.5,5.7,360600
2017-02-14,1487030400,5.7,5.85,5.58,5.8,339800
2017-02-15,1487116800,5.8,6.05,5.7,6.0,376700
2017-02-16,1487203200,6.0,6.1,5.85,5.95,294500
2017-02-17,1487289600,5.95,6.15,5.88,6.1,236600
2017-02-21,1487635200,6.1,6.1,5.88,6.05,236400
2017-02-22,1487721600,6.0,6.08,5.95,6.0,184300
2017-02-23,1487808000,6.0,6.03,5.75,5.8,258400
2017-02-24,1487894400,5.75,5.9,5.75,5.85,103300
2017-02-27,1488153600,5.85,6.05,5.85,6.05,239900
2017-02-28,1488240000,6.05,6.4,6.03,6.25,475100
2017-03-01,1488326400,6.35,6.35,6.2,6.3,262400
2017-03-02,1488412800,6.3,6.3,6.05,6.05,259500
2017-03-03,1488499200,6.05,6.1,5.85,6.0,157300
2017-03-06,1488758400,5.9,5.95,5.8,5.8,172900
2017-03-07,1488844800,5.75,5.95,5.7,5.75,234200
2017-03-08,1488931200,5.75,5.93,5.75,5.8,181500
2017-03-09,1489017600,5.8,5.9,5.75,5.85,99300
2017-03-10,1489104000,5.85,6.13,5.81,6.0,255100
2017-03-13,1489363200,6.0,6.08,5.9,5.95,160500
2017-03-14,1489449600,5.9,5.9,5.7,5.7,176800
2017-03-15,1489536000,5.8,5.95,5.65,5.9,269300
2017-03-16,1489622400,5.95,6.05,5.8,6.05,299500
2017-03-17,1489708800,6.0,6.0,5.85,5.85,307700
2017-03-20,1489968000,5.85,6.05,5.85,6.0,286500
2017-03-21,1490054400,6.0,6.1,5.85,5.85,264800
2017-03-22,1490140800,5.85,6.0,5.8,5.95,216300
2017-03-23,1490227200,5.95,6.35,5.95,6.25,580100
2017-03-24,1490313600,6.3,6.65,6.25,6.5,598400
2017-03-27,1490572800,6.5,6.55,6.25,6.3,406400
2017-03-28,1490659200,6.3,6.4,6.3,6.35,164000
2017-03-29,1490745600,6.35,6.4,6.2,6.25,439200
2017-03-30,1490832000,6.3,6.6,6.25,6.6,325000
2017-03-31,1490918400,6.55,6.7,6.43,6.65,197300
2017-04-03,1491177600,6.65,6.73,6.45,6.45,268400
2017-04-04,1491264000,6.45,6.65,6.45,6.6,372100
2017-04-05,1491350400,6.65,7.1,6.65,6.8,613300
2017-04-06,1491436800,6.8,6.85,6.65,6.8,219700
2017-04-07,1491523200,6.75,7.6,6.75,7.5,769200
2017-04-10,1491782400,7.55,7.55,7.2,7.25,534100
2017-04-11,1491868800,7.2,7.4,7.1,7.3,358700
2017-04-12,1491955200,7.35,7.4,7.15,7.2,238200
2017-04-13,1492041600,7.15,7.2,6.95,7.15,290100
2017-04-17,1492387200,7.1,7.25,7.05,7.1,243500
2017-04-18,1492473600,7.25,7.3,7.0,7.15,289900
2017-04-19,1492560000,7.2,7.2,7.0,7.0,168000
2017-04-20,1492646400,7.05,7.55,6.96,7.35,583300
2017-04-21,1492732800,7.35,7.39,7.05,7.15,271200
2017-04-24,1492992000,7.25,8.25,7.2,8.1,2000600
2017-04-25,1493078400,8.15,8.25,7.8,8.0,787100
2017-04-26,1493164800,8.05,8.25,7.95,8.2,469800
2017-04-27,1493251200,8.2,8.23,7.9,8.1,441800
2017-04-28,1493337600,8.35,8.75,8.05,8.75,1502900
2017-05-01,1493596800,8.75,8.8,8.15,8.7,885400
2017-05-02,1493683200,8.55,8.63,8.2,8.35,549100
2017-05-03,1493769600,8.35,8.35,8.05,8.15,454800
2017-05-04,1493856000,8.2,8.45,8.15,8.45,566500
2017-05-05,1493942400,8.4,8.6,8.3,8.45,402000
2017-05-08,1494201600,8.45,8.74,8.4,8.45,556700
2017-05-09,1494288000,8.5,8.65,8.45,8.6,343700
2017-05-10,1494374400,8.65,9.0,8.55,8.85,680900
2017-05-11,1494460800,8.8,8.9,8.64,8.75,301500
2017-05-12,1494547200,8.7,8.95,8.65,8.9,302600
2017-05-15,1494806400,8.9,8.95,8.75,8.8,291600
2017-05-16,1494892800,8.85,9.15,8.81,9.1,637400
2017-05-17,1494979200,8.95,9.06,8.65,8.75,628800
2017-05-18,1495065600,8.65,8.85,8.55,8.8,393000
2017-05-19,1495152000,8.85,8.85,8.45,8.6,365700
2017-05-22,1495411200,8.65,9.15,8.6,9.1,404000
2017-05-23,1495497600,9.05,9.1,8.65,8.8,429900
2017-05-24,1495584000,8.85,9.0,8.25,8.65,839700
2017-05-25,1495670400,8.65,8.88,8.2,8.5,542600
2017-05-26,1495756800,8.45,8.55,8.2,8.3,517800
2017-05-30,1496102400,8.3,8.4,7.65,8.1,1034300
2017-05-31,1496188800,8.05,8.2,7.6,7.8,717600
2017-06-01,1496275200,7.7,8.3,7.61,8.0,539700
2017-06-02,1496361600,7.85,8.3,7.85,8.15,397400
2017-06-05,1496620800,8.15,8.25,8.01,8.15,174200
2017-06-06,1496707200,8.1,8.5,8.05,8.4,372100
2017-06-07,1496793600,8.4,8.5,8.2,8.25,353300
2017-06-08,1496880000,8.25,8.45,8.15,8.25,332500
2017-06-09,1496966400,8.3,8.45,8.1,8.25,301900
2017-06-12,1497225600,8.15,8.5,8.1,8.4,377300
