Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.34,12.39,12.06,12.14,409900
2017-01-04,1483488000,12.11,12.31,12.11,12.26,439700
2017-01-05,1483574400,12.26,12.31,12.16,12.26,430300
2017-01-06,1483660800,12.18,12.31,12.15,12.27,269700
2017-01-09,1483920000,12.28,12.28,12.06,12.07,247000
2017-01-10,1484006400,12.11,12.14,11.98,12.03,253900
2017-01-11,1484092800,12.01,12.02,11.89,11.97,368100
2017-01-12,1484179200,11.96,12.02,11.83,11.99,234200
2017-01-13,1484265600,11.98,12.06,11.92,11.96,151400
2017-01-17,1484611200,11.94,12.02,11.9,11.97,266300
2017-01-18,1484697600,11.98,12.09,11.9,12.03,227900
2017-01-19,1484784000,12.0,12.0,11.9,11.98,185400
2017-01-20,1484870400,11.94,12.12,11.94,12.08,221300
2017-01-23,1485129600,12.11,12.25,12.09,12.23,150200
2017-01-24,1485216000,12.23,12.25,12.1,12.22,225500
2017-01-25,1485302400,12.22,12.23,12.15,12.16,228000
2017-01-26,1485388800,12.19,12.23,12.14,12.14,189600
2017-01-27,1485475200,12.19,12.19,11.86,11.92,271800
2017-01-30,1485734400,11.89,11.89,11.68,11.69,184000
2017-01-31,1485820800,11.69,11.9,11.65,11.78,242700
2017-02-01,1485907200,11.79,11.91,11.6,11.6,187500
2017-02-02,1485993600,11.62,11.78,11.62,11.69,148700
2017-02-03,1486080000,11.8,11.9,11.75,11.86,187200
2017-02-06,1486339200,11.88,11.93,11.78,11.81,161100
2017-02-07,1486425600,11.82,11.86,11.68,11.69,156000
2017-02-08,1486512000,11.69,11.76,11.58,11.69,176200
2017-02-09,1486598400,11.71,12.06,11.7,11.76,238800
2017-02-10,1486684800,11.76,11.88,11.7,11.88,332500
2017-02-13,1486944000,11.89,11.89,11.74,11.82,205500
2017-02-14,1487030400,11.73,11.79,11.68,11.76,265600
2017-02-15,1487116800,11.68,11.68,11.48,11.62,409700
2017-02-16,1487203200,11.62,11.76,11.6,11.74,192800
2017-02-17,1487289600,11.76,11.85,11.7,11.84,272200
2017-02-21,1487635200,11.84,12.04,11.8,12.0,333800
2017-02-22,1487721600,12.0,12.01,11.79,11.97,255900
2017-02-23,1487808000,12.0,12.02,11.86,11.94,135100
2017-02-24,1487894400,11.94,12.06,11.94,12.03,227100
2017-02-27,1488153600,12.03,12.16,11.97,12.08,226200
2017-02-28,1488240000,12.08,12.09,11.85,11.91,332500
2017-03-01,1488326400,11.88,12.07,11.85,12.02,211400
2017-03-02,1488412800,11.98,12.07,11.88,11.98,125900
2017-03-03,1488499200,12.0,12.08,11.76,11.98,197000
2017-03-06,1488758400,11.9,11.9,11.76,11.87,230700
2017-03-07,1488844800,11.82,11.84,11.72,11.74,230300
2017-03-08,1488931200,11.68,11.69,11.44,11.44,224800
2017-03-09,1489017600,11.45,11.55,11.29,11.3,180200
2017-03-10,1489104000,11.38,11.44,11.16,11.3,313800
2017-03-13,1489363200,11.29,11.41,11.28,11.34,220000
2017-03-14,1489449600,11.3,11.31,11.19,11.26,193200
2017-03-15,1489536000,11.27,11.53,11.25,11.47,562800
2017-03-16,1489622400,11.47,11.65,11.47,11.57,265600
2017-03-17,1489708800,11.62,11.79,11.62,11.68,513800
2017-03-20,1489968000,11.68,11.7,11.44,11.5,292100
2017-03-21,1490054400,11.56,11.63,11.45,11.49,349100
2017-03-22,1490140800,11.53,11.59,11.24,11.33,353300
2017-03-23,1490227200,11.32,11.54,11.32,11.5,349600
2017-03-24,1490313600,11.54,11.63,11.47,11.54,171400
2017-03-27,1490572800,11.53,11.58,11.4,11.48,243600
2017-03-28,1490659200,11.48,11.54,11.41,11.5,265700
2017-03-29,1490745600,11.5,11.58,11.45,11.49,277300
2017-03-30,1490832000,11.46,11.53,11.4,11.52,260200
2017-03-31,1490918400,11.5,11.67,11.5,11.64,355600
2017-04-03,1491177600,11.63,11.69,11.57,11.63,184400
2017-04-04,1491264000,11.63,11.72,11.6,11.66,212900
2017-04-05,1491350400,11.69,11.76,11.57,11.59,384700
2017-04-06,1491436800,11.59,11.83,11.55,11.7,415600
2017-04-07,1491523200,11.71,11.82,11.64,11.76,514000
2017-04-10,1491782400,11.76,11.88,11.72,11.81,165600
2017-04-11,1491868800,11.79,12.02,11.75,12.02,253900
2017-04-12,1491955200,11.98,12.03,11.94,11.97,198700
2017-04-13,1492041600,11.97,11.99,11.83,11.95,321700
2017-04-17,1492387200,11.95,12.12,11.94,12.11,449900
2017-04-18,1492473600,12.09,12.27,12.08,12.27,282700
2017-04-19,1492560000,12.3,12.42,12.23,12.26,306600
2017-04-20,1492646400,12.25,12.29,12.16,12.26,214300
2017-04-21,1492732800,12.26,12.27,12.16,12.18,198500
