Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,50.45,50.67,50.08,50.37,5799500
2017-01-04,1483488000,50.77,51.23,50.46,50.53,7553000
2017-01-05,1483574400,50.62,50.84,50.26,50.59,8173400
2017-01-06,1483660800,50.6,50.88,50.48,50.81,4925900
2017-01-09,1483920000,50.81,50.89,50.54,50.61,4815900
2017-01-10,1484006400,50.75,50.77,50.31,50.43,5226800
2017-01-11,1484092800,50.48,50.7,50.3,50.38,5618700
2017-01-12,1484179200,50.25,50.41,50.11,50.28,5007000
2017-01-13,1484265600,50.26,50.41,50.11,50.33,4073100
2017-01-17,1484611200,50.51,51.03,50.3,51.0,9012500
2017-01-18,1484697600,51.06,51.54,51.05,51.51,8063400
2017-01-19,1484784000,51.49,51.83,51.4,51.8,7853600
2017-01-20,1484870400,51.88,52.21,51.87,52.14,10188200
2017-01-23,1485129600,52.3,52.6,52.13,52.54,6508800
2017-01-24,1485216000,52.54,52.72,52.43,52.7,6510500
2017-01-25,1485302400,52.91,53.04,52.71,52.85,6112700
2017-01-26,1485388800,52.93,52.95,52.61,52.77,5969700
2017-01-27,1485475200,52.77,52.91,52.58,52.9,5915600
2017-01-30,1485734400,52.86,53.17,52.74,53.1,8574700
2017-01-31,1485820800,53.12,53.2,52.85,53.01,11463000
2017-02-01,1485907200,52.1,53.62,51.24,53.17,11416300
2017-02-02,1485993600,53.37,53.68,53.12,53.21,8108500
2017-02-03,1486080000,53.24,53.59,52.93,53.24,6817400
2017-02-06,1486339200,53.18,53.47,53.09,53.09,5192500
2017-02-07,1486425600,53.27,53.82,53.24,53.77,5239900
2017-02-08,1486512000,53.7,54.06,53.65,53.73,4848500
2017-02-09,1486598400,53.73,54.03,53.55,53.99,5183200
2017-02-10,1486684800,53.91,54.05,53.75,53.93,4154900
2017-02-13,1486944000,53.97,54.06,53.61,53.65,5175800
2017-02-14,1487030400,53.62,53.78,53.38,53.53,5120200
2017-02-15,1487116800,53.41,53.82,53.27,53.75,5222300
2017-02-16,1487203200,53.75,54.15,53.63,54.15,5594000
2017-02-17,1487289600,53.92,54.35,53.9,54.34,5568400
2017-02-21,1487635200,54.21,54.91,54.18,54.85,5329300
2017-02-22,1487721600,54.78,54.93,54.58,54.81,4401200
2017-02-23,1487808000,54.97,55.52,54.88,55.45,4116800
2017-02-24,1487894400,55.38,55.64,55.3,55.43,4960000
2017-02-27,1488153600,55.47,55.68,55.44,55.55,6320000
2017-02-28,1488240000,55.35,55.96,55.33,55.8,7160900
2017-03-01,1488326400,55.84,56.41,55.61,56.3,6044100
2017-03-02,1488412800,56.24,56.63,56.06,56.39,7491100
2017-03-03,1488499200,56.45,56.45,55.83,56.28,6041500
2017-03-06,1488758400,56.27,56.31,55.83,56.29,5762400
2017-03-07,1488844800,56.06,56.82,56.06,56.68,6108300
2017-03-08,1488931200,56.44,56.69,56.27,56.48,4860500
2017-03-09,1489017600,56.59,56.93,56.53,56.74,5344900
2017-03-10,1489104000,56.91,57.01,56.7,56.94,6877500
2017-03-13,1489363200,57.01,57.21,56.6,56.79,6836200
2017-03-14,1489449600,56.84,56.91,56.41,56.56,8255500
2017-03-15,1489536000,56.74,56.92,56.39,56.81,8470800
2017-03-16,1489622400,56.93,56.94,56.43,56.53,5706800
2017-03-17,1489708800,56.62,56.96,56.42,56.43,9947000
2017-03-20,1489968000,56.5,56.94,56.5,56.74,5793100
2017-03-21,1490054400,56.85,57.21,56.78,57.0,6488000
2017-03-22,1490140800,57.11,57.34,56.35,56.36,7680000
2017-03-23,1490227200,55.49,56.08,55.21,55.57,10714400
