Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,50.0,54.0,46.0,52.0,4795
2017-01-04,1483488000,52.0,54.0,48.0,48.0,5822
2017-01-05,1483574400,50.0,50.0,46.0,48.0,2828
2017-01-06,1483660800,48.0,50.0,46.0,48.0,3475
2017-01-09,1483920000,48.0,48.0,44.0,46.0,1875
2017-01-10,1484006400,46.0,48.0,42.0,44.0,5123
2017-01-11,1484092800,44.0,44.0,40.0,44.0,2552
2017-01-12,1484179200,42.0,50.0,42.0,46.0,17641
2017-01-13,1484265600,50.0,52.0,48.0,48.0,8989
2017-01-17,1484611200,50.0,50.0,48.0,48.0,2414
2017-01-18,1484697600,48.0,48.0,42.0,46.0,2795
2017-01-19,1484784000,46.0,46.0,42.0,44.0,1688
2017-01-20,1484870400,44.0,44.0,36.0,40.0,4685
2017-01-23,1485129600,40.0,40.0,38.0,38.0,2246
2017-01-24,1485216000,40.0,50.0,38.0,48.0,12764
2017-01-25,1485302400,52.0,74.0,50.0,70.0,50950
2017-01-26,1485388800,74.0,74.0,60.0,64.0,15633
2017-01-27,1485475200,70.0,70.0,62.0,66.0,6871
2017-01-30,1485734400,66.0,66.0,52.0,56.0,6872
2017-01-31,1485820800,62.0,62.0,56.0,58.0,3898
2017-02-01,1485907200,58.0,60.0,52.0,54.0,4100
2017-02-02,1485993600,52.0,54.0,50.0,52.0,3094
2017-02-03,1486080000,52.0,56.0,50.0,52.0,3421
2017-02-06,1486339200,56.0,56.0,52.0,54.0,1980
2017-02-07,1486425600,54.0,54.0,50.0,54.0,2009
2017-02-08,1486512000,54.0,56.0,52.0,54.0,2190
2017-02-09,1486598400,54.0,62.0,54.0,56.0,5246
2017-02-10,1486684800,60.0,62.0,56.0,56.0,2600
2017-02-13,1486944000,56.0,58.0,54.0,56.0,2012
2017-02-14,1487030400,58.0,58.0,56.0,56.0,1454
2017-02-15,1487116800,56.0,56.0,44.0,50.0,6532
2017-02-16,1487203200,50.2,58.8,44.6,45.4,7925
2017-02-17,1487289600,45.2,86.4,45.2,70.0,403080
2017-02-21,1487635200,70.0,72.6,63.0,66.4,40200
2017-02-22,1487721600,65.6,66.0,54.2,55.6,17065
2017-02-23,1487808000,57.8,58.2,52.0,53.2,6060
2017-02-24,1487894400,54.0,54.2,48.4,52.6,8380
2017-02-27,1488153600,53.2,57.0,48.6,50.6,3465
2017-02-28,1488240000,50.0,55.2,48.8,51.4,16175
2017-03-01,1488326400,51.4,51.8,49.0,49.6,3035
2017-03-02,1488412800,51.0,51.0,46.6,47.0,5030
2017-03-03,1488499200,47.0,47.4,43.2,45.8,9445
