Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,26.4,26.67,25.72,25.95,104300
2017-01-04,1483488000,25.95,26.47,25.95,26.31,135800
2017-01-05,1483574400,25.95,25.99,25.13,25.45,101300
2017-01-06,1483660800,25.63,26.04,25.09,25.4,204300
2017-01-09,1483920000,25.27,25.5,24.45,24.63,149600
2017-01-10,1484006400,24.77,25.04,24.54,24.63,110600
2017-01-11,1484092800,24.63,24.81,24.22,24.68,105500
2017-01-12,1484179200,24.5,24.54,23.68,23.86,186700
2017-01-13,1484265600,23.86,24.22,23.86,24.09,109200
2017-01-17,1484611200,24.0,24.45,23.95,24.13,82300
2017-01-18,1484697600,24.09,24.13,23.41,23.68,255600
2017-01-19,1484784000,23.77,23.91,23.41,23.73,211000
2017-01-20,1484870400,23.77,24.22,23.77,24.04,74300
2017-01-23,1485129600,24.0,24.04,23.5,23.77,115400
2017-01-24,1485216000,23.91,24.72,23.86,24.5,78300
2017-01-25,1485302400,24.72,24.91,24.36,24.54,63100
2017-01-26,1485388800,24.59,24.72,24.03,24.04,72100
2017-01-27,1485475200,24.0,24.0,23.41,23.82,103200
2017-01-30,1485734400,24.77,25.4,24.68,25.18,299100
2017-01-31,1485820800,24.91,25.04,24.27,24.63,172600
2017-02-01,1485907200,24.81,24.95,24.09,24.22,95900
2017-02-02,1485993600,24.09,24.09,23.27,23.27,99200
2017-02-03,1486080000,23.32,23.64,22.95,23.64,97200
2017-02-06,1486339200,23.41,23.95,23.41,23.77,80100
2017-02-07,1486425600,23.64,24.0,23.05,23.14,138000
2017-02-08,1486512000,23.09,23.64,22.64,23.45,124000
2017-02-09,1486598400,23.5,24.22,23.41,23.95,138300
2017-02-10,1486684800,24.18,24.54,23.91,24.0,82700
2017-02-13,1486944000,24.18,24.22,23.73,23.91,67400
2017-02-14,1487030400,23.77,24.04,23.5,23.91,120500
2017-02-15,1487116800,22.59,23.5,21.73,22.5,340200
2017-02-16,1487203200,22.5,23.09,22.5,23.0,132700
2017-02-17,1487289600,22.95,23.36,22.86,23.36,91700
2017-02-21,1487635200,23.41,23.54,22.23,22.5,139700
2017-02-22,1487721600,22.5,23.03,22.5,22.95,95400
2017-02-23,1487808000,22.91,23.14,22.46,22.55,65600
2017-02-24,1487894400,22.36,22.95,22.14,22.86,97600
2017-02-27,1488153600,22.73,23.14,22.59,22.95,95500
2017-02-28,1488240000,22.73,22.86,21.73,22.0,151000
2017-03-01,1488326400,22.23,22.57,22.23,22.46,101200
2017-03-02,1488412800,22.41,22.41,21.87,22.14,90800
2017-03-03,1488499200,22.09,22.46,21.32,21.41,87300
2017-03-06,1488758400,21.23,21.23,20.5,20.6,333000
2017-03-07,1488844800,20.46,20.6,19.42,20.55,351800
2017-03-08,1488931200,20.69,21.59,20.69,20.78,187000
2017-03-09,1489017600,20.69,20.69,20.1,20.37,122400
2017-03-10,1489104000,20.46,20.69,20.37,20.5,142900
2017-03-13,1489363200,20.55,20.55,19.78,20.1,133500
2017-03-14,1489449600,20.01,20.55,19.78,20.41,105100
2017-03-15,1489536000,20.6,21.14,20.37,20.87,169200
2017-03-16,1489622400,20.87,21.78,20.82,21.32,449800
2017-03-17,1489708800,21.5,21.5,20.5,21.41,521500
2017-03-20,1489968000,19.19,22.86,19.05,22.68,725100
2017-03-21,1490054400,22.46,22.46,21.55,22.09,456200
2017-03-22,1490140800,21.96,21.96,20.96,21.28,256400
2017-03-23,1490227200,21.28,21.96,21.28,21.78,145600
2017-03-24,1490313600,21.87,22.09,21.21,21.23,139800
2017-03-27,1490572800,21.05,21.78,21.05,21.68,113400
2017-03-28,1490659200,21.59,22.23,21.55,21.96,95000
2017-03-29,1490745600,21.94,22.35,21.85,22.17,71700
2017-03-30,1490832000,22.03,22.35,21.8,22.17,89900
2017-03-31,1490918400,22.12,22.9,21.98,22.76,213300
2017-04-03,1491177600,22.76,22.8,21.62,21.89,158400
2017-04-04,1491264000,21.89,22.71,21.89,22.12,172000
2017-04-05,1491350400,22.17,22.3,21.16,21.3,160700
2017-04-06,1491436800,21.35,21.66,21.12,21.21,168000
2017-04-07,1491523200,21.12,21.39,20.93,21.07,108100
2017-04-10,1491782400,21.03,21.71,20.98,21.44,143500
2017-04-11,1491868800,21.3,21.85,21.16,21.62,121800
2017-04-12,1491955200,21.53,21.53,21.07,21.25,214500
2017-04-13,1492041600,21.25,21.35,20.66,20.93,121200
2017-04-17,1492387200,20.93,21.53,20.8,21.3,176000
2017-04-18,1492473600,21.25,21.39,20.93,21.21,103200
2017-04-19,1492560000,21.3,21.62,21.03,21.3,132700
2017-04-20,1492646400,21.48,22.26,21.48,22.17,198400
2017-04-21,1492732800,22.26,22.35,21.57,21.66,96700
2017-04-24,1492992000,22.03,22.21,21.62,21.62,82700
2017-04-25,1493078400,21.8,22.03,21.48,21.53,74400
2017-04-26,1493164800,21.62,22.21,21.62,21.98,125900
2017-04-27,1493251200,22.08,22.31,21.48,21.85,89400
2017-04-28,1493337600,21.76,21.98,21.3,21.35,103000
2017-05-01,1493596800,21.48,22.03,21.07,21.62,95500
2017-05-02,1493683200,21.66,22.08,21.51,21.8,93700
2017-05-03,1493769600,21.76,21.85,21.33,21.53,92800
2017-05-04,1493856000,21.57,21.66,21.12,21.25,69600
2017-05-05,1493942400,21.39,21.66,21.12,21.48,57600
2017-05-08,1494201600,21.57,21.94,21.12,21.21,98800
2017-05-09,1494288000,21.3,21.71,21.16,21.53,103900
2017-05-10,1494374400,21.25,21.44,20.89,21.25,141400
2017-05-11,1494460800,20.98,21.35,20.84,21.16,141900
2017-05-12,1494547200,20.98,21.16,20.89,21.16,168300
2017-05-15,1494806400,21.16,21.48,21.16,21.39,382200
2017-05-16,1494892800,21.3,21.3,20.39,20.71,186800
2017-05-17,1494979200,20.71,20.71,19.89,19.93,119500
2017-05-18,1495065600,19.98,20.11,19.66,19.93,205200
2017-05-19,1495152000,19.93,20.25,19.7,20.21,131000
2017-05-22,1495411200,20.21,20.71,20.16,20.34,149500
2017-05-23,1495497600,20.39,20.52,20.16,20.3,231600
2017-05-24,1495584000,20.16,20.48,19.89,20.43,297800
2017-05-25,1495670400,18.93,20.93,18.75,20.21,470100
2017-05-26,1495756800,20.21,20.39,18.97,19.52,440200
2017-05-30,1496102400,19.52,19.79,19.34,19.52,189300
2017-05-31,1496188800,19.43,19.43,18.7,19.25,216200
2017-06-01,1496275200,19.29,20.11,19.16,20.07,159200
2017-06-02,1496361600,20.23,20.65,19.96,20.33,132400
2017-06-05,1496620800,20.33,20.6,20.1,20.46,138200
2017-06-06,1496707200,20.28,20.33,19.77,20.0,157300
2017-06-07,1496793600,20.14,20.37,19.87,20.28,79400
2017-06-08,1496880000,20.28,20.97,20.05,20.65,110500
2017-06-09,1496966400,20.69,21.24,20.6,21.15,117100
2017-06-12,1497225600,21.06,21.7,21.01,21.29,152200
2017-06-13,1497312000,21.38,21.38,20.6,20.69,118000
2017-06-14,1497398400,20.74,20.74,20.28,20.69,67600
2017-06-15,1497484800,20.42,20.6,20.05,20.42,80100
2017-06-16,1497571200,20.14,20.51,19.96,20.46,180900
2017-06-19,1497830400,20.46,21.06,20.35,21.06,131600
2017-06-20,1497916800,21.11,21.2,20.42,20.83,94400
2017-06-21,1498003200,20.88,20.88,20.55,20.69,101000
