Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,6.55,6.59,6.52,6.58,13700
2017-01-04,1483488000,6.58,6.9,6.58,6.88,31000
2017-01-05,1483574400,6.85,6.85,6.67,6.73,23000
2017-01-06,1483660800,6.7,6.85,6.67,6.85,13700
2017-01-09,1483920000,6.79,6.79,6.58,6.61,34000
2017-01-10,1484006400,6.67,6.85,6.64,6.82,46100
2017-01-11,1484092800,6.82,7.58,6.78,7.58,111300
2017-01-12,1484179200,7.58,7.91,7.39,7.61,90300
2017-01-13,1484265600,7.7,7.73,7.15,7.48,37800
2017-01-17,1484611200,7.45,7.58,7.38,7.39,36600
2017-01-18,1484697600,7.42,7.58,7.24,7.55,33100
2017-01-19,1484784000,7.58,7.73,7.36,7.42,31600
2017-01-20,1484870400,7.61,7.61,6.82,7.39,77800
2017-01-23,1485129600,7.39,7.58,7.27,7.52,31400
2017-01-24,1485216000,7.58,8.0,7.55,7.94,112900
2017-01-25,1485302400,7.94,8.7,7.73,8.64,169800
2017-01-26,1485388800,8.78,8.84,8.54,8.6,46600
2017-01-27,1485475200,8.51,8.6,8.39,8.51,25000
2017-01-30,1485734400,8.42,8.42,8.05,8.11,40300
2017-01-31,1485820800,8.05,8.42,7.79,8.39,42000
2017-02-01,1485907200,8.6,10.34,8.6,10.28,345600
2017-02-02,1485993600,10.22,10.41,9.27,9.64,98400
2017-02-03,1486080000,9.55,10.11,9.18,9.76,111000
2017-02-06,1486339200,9.76,10.44,9.7,10.22,90800
2017-02-07,1486425600,10.25,10.66,9.79,9.98,41800
2017-02-08,1486512000,9.88,10.04,9.52,9.79,39400
2017-02-09,1486598400,9.79,10.41,9.79,10.28,82200
2017-02-10,1486684800,10.25,10.41,9.88,9.95,72600
2017-02-13,1486944000,10.04,10.25,9.82,9.98,70100
2017-02-14,1487030400,9.98,10.19,9.64,10.04,95900
2017-02-15,1487116800,10.04,10.04,9.67,9.67,52400
2017-02-16,1487203200,9.55,9.68,9.32,9.52,47000
2017-02-17,1487289600,9.33,9.64,9.27,9.58,44800
2017-02-21,1487635200,9.82,10.18,9.49,9.88,64300
2017-02-22,1487721600,9.92,10.01,9.64,9.67,38700
2017-02-23,1487808000,9.67,9.79,9.3,9.43,50100
2017-02-24,1487894400,9.46,9.67,9.3,9.36,38600
2017-02-27,1488153600,9.3,9.79,9.3,9.52,35700
2017-02-28,1488240000,9.4,9.58,9.33,9.43,36600
2017-03-01,1488326400,9.49,9.79,9.49,9.49,45200
2017-03-02,1488412800,9.43,9.43,8.97,9.24,48200
2017-03-03,1488499200,9.12,9.32,9.03,9.27,46500
2017-03-06,1488758400,9.03,9.09,8.91,9.03,29700
2017-03-07,1488844800,8.97,9.29,8.92,9.21,33700
2017-03-08,1488931200,9.21,9.33,9.03,9.24,46300
2017-03-09,1489017600,9.11,9.27,9.03,9.09,58000
2017-03-10,1489104000,9.12,9.12,8.78,8.84,37200
2017-03-13,1489363200,8.78,9.22,8.78,8.94,35900
2017-03-14,1489449600,8.91,8.94,8.42,8.69,99400
