Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.84,9.95,9.75,9.92,3664500
2017-01-04,1483488000,9.98,10.28,9.92,10.22,5313800
2017-01-05,1483574400,10.16,10.18,9.92,10.02,4395000
2017-01-06,1483660800,10.09,10.18,9.95,9.98,3559800
2017-01-09,1483920000,9.79,9.84,9.46,9.65,10205100
2017-01-10,1484006400,9.63,9.84,9.59,9.75,4420400
2017-01-11,1484092800,9.79,9.87,9.72,9.83,4562800
2017-01-12,1484179200,9.8,9.8,9.47,9.64,4122900
2017-01-13,1484265600,9.74,9.85,9.59,9.62,3033300
2017-01-17,1484611200,9.55,9.67,9.46,9.5,5532100
2017-01-18,1484697600,9.58,9.86,9.46,9.78,8319900
2017-01-19,1484784000,10.08,10.17,9.85,9.94,7574100
2017-01-20,1484870400,9.95,10.07,9.76,9.99,8581700
2017-01-23,1485129600,9.99,10.02,9.83,9.92,3466300
2017-01-24,1485216000,9.94,10.01,9.85,9.88,3184200
2017-01-25,1485302400,9.99,10.12,9.9,9.98,3788300
2017-01-26,1485388800,9.98,10.02,9.82,9.89,4581600
2017-01-27,1485475200,9.9,9.91,9.75,9.78,3097300
2017-01-30,1485734400,9.72,9.99,9.6,9.98,4321100
2017-01-31,1485820800,9.96,10.15,9.84,10.14,5054100
2017-02-01,1485907200,10.22,10.45,10.19,10.42,7438700
2017-02-02,1485993600,10.36,10.46,10.22,10.22,4924500
2017-02-03,1486080000,10.37,10.6,10.31,10.56,4759600
2017-02-06,1486339200,10.52,10.62,10.47,10.53,5512100
2017-02-07,1486425600,10.54,10.63,10.49,10.6,6956800
2017-02-08,1486512000,10.57,10.6,10.38,10.51,4022800
2017-02-09,1486598400,10.52,10.64,10.51,10.59,3341700
2017-02-10,1486684800,10.62,10.71,10.56,10.67,3229200
2017-02-13,1486944000,10.67,10.76,10.63,10.72,6228500
2017-02-14,1487030400,10.67,10.81,10.67,10.72,4732300
2017-02-15,1487116800,10.72,10.76,10.55,10.57,5366900
2017-02-16,1487203200,10.55,10.6,10.33,10.4,3906000
2017-02-17,1487289600,10.38,10.38,10.18,10.21,3783100
2017-02-21,1487635200,10.27,10.3,10.08,10.08,4907300
2017-02-22,1487721600,10.04,10.19,9.93,10.11,4725900
2017-02-23,1487808000,10.15,10.18,10.02,10.1,3126200
2017-02-24,1487894400,9.98,10.17,9.91,10.17,4093900
2017-02-27,1488153600,10.2,10.23,10.11,10.16,4356000
2017-02-28,1488240000,10.16,10.17,10.03,10.14,3135800
2017-03-01,1488326400,10.29,10.47,10.29,10.33,3255100
2017-03-02,1488412800,10.33,10.33,10.06,10.09,2848800
2017-03-03,1488499200,10.11,10.21,10.0,10.15,3133400
2017-03-06,1488758400,10.12,10.12,9.95,10.05,2900700
2017-03-07,1488844800,10.03,10.09,9.92,9.94,2448500
2017-03-08,1488931200,10.04,10.11,9.88,9.89,2755800
2017-03-09,1489017600,9.9,10.08,9.89,10.07,3673100
2017-03-10,1489104000,10.12,10.19,9.92,10.07,2513200
2017-03-13,1489363200,10.09,10.25,10.07,10.14,2274300
2017-03-14,1489449600,10.07,10.12,9.96,10.09,1956000
2017-03-15,1489536000,10.14,10.24,10.07,10.24,4831000
2017-03-16,1489622400,10.27,10.43,10.23,10.27,2665600
2017-03-17,1489708800,10.27,10.27,10.02,10.12,4228000
2017-03-20,1489968000,10.08,10.08,9.9,9.9,7713100
2017-03-21,1490054400,9.98,9.98,9.53,9.58,3965200
2017-03-22,1490140800,9.52,9.57,9.34,9.47,4680200
2017-03-23,1490227200,9.49,9.73,9.48,9.54,4173500
2017-03-24,1490313600,9.54,9.63,9.43,9.48,2519200
2017-03-27,1490572800,9.29,9.48,9.22,9.44,3225800
2017-03-28,1490659200,9.38,9.65,9.36,9.59,5566500
2017-03-29,1490745600,9.58,9.65,9.47,9.5,2444200
2017-03-30,1490832000,9.5,9.64,9.49,9.54,4020900
2017-03-31,1490918400,9.51,9.68,9.45,9.65,4410200
2017-04-03,1491177600,9.66,9.75,9.48,9.55,2776700
2017-04-04,1491264000,9.53,9.65,9.51,9.59,3426100
2017-04-05,1491350400,9.69,9.76,9.4,9.41,5247600
2017-04-06,1491436800,9.41,9.65,9.37,9.6,2909700
2017-04-07,1491523200,9.52,9.66,9.48,9.58,1490800
2017-04-10,1491782400,9.62,9.96,9.62,9.89,4108400
2017-04-11,1491868800,9.86,10.14,9.8,10.13,4496600
2017-04-12,1491955200,10.21,10.38,10.12,10.33,4287800
2017-04-13,1492041600,10.33,10.38,10.1,10.1,3173400
2017-04-17,1492387200,10.16,10.36,10.15,10.36,2483700
2017-04-18,1492473600,10.27,10.49,10.24,10.43,3538800
2017-04-19,1492560000,10.51,10.62,10.41,10.41,6416400
2017-04-20,1492646400,10.5,10.7,10.26,10.51,4753200
2017-04-21,1492732800,10.51,10.51,10.06,10.24,5229100
2017-04-24,1492992000,10.38,10.49,10.33,10.34,4127500
2017-04-25,1493078400,10.35,10.51,10.35,10.36,2784600
2017-04-26,1493164800,10.41,10.72,10.39,10.53,7679700
2017-04-27,1493251200,10.38,10.41,9.99,10.22,8379900
2017-04-28,1493337600,10.28,10.34,10.02,10.04,5225800
2017-05-01,1493596800,10.06,10.09,9.76,9.9,6227300
2017-05-02,1493683200,9.88,10.08,9.8,10.01,4898200
2017-05-03,1493769600,9.97,10.04,9.92,10.01,2615700
2017-05-04,1493856000,10.03,10.25,10.03,10.23,2929700
2017-05-05,1493942400,10.25,10.27,9.98,10.0,3365200
2017-05-08,1494201600,10.0,10.18,9.94,10.02,3358300
2017-05-09,1494288000,10.01,10.27,10.0,10.1,4700900
2017-05-10,1494374400,10.08,10.12,9.96,10.08,3935300
2017-05-11,1494460800,10.05,10.4,10.05,10.32,5001900
2017-05-12,1494547200,10.28,10.28,10.12,10.22,2903300
2017-05-15,1494806400,10.22,10.38,10.22,10.3,2553700
2017-05-16,1494892800,10.29,10.41,10.29,10.38,2650900
2017-05-17,1494979200,10.21,10.27,10.03,10.12,4036600
2017-05-18,1495065600,10.1,10.17,10.02,10.09,2639800
2017-05-19,1495152000,10.08,10.2,10.03,10.1,3401600
2017-05-22,1495411200,10.11,10.16,9.96,10.12,2572500
2017-05-23,1495497600,10.14,10.28,9.99,10.27,2767600
2017-05-24,1495584000,10.29,10.41,10.25,10.36,4301500
2017-05-25,1495670400,10.42,10.46,10.24,10.27,2310200
2017-05-26,1495756800,10.2,10.38,10.14,10.32,1793100
2017-05-30,1496102400,10.3,10.32,10.11,10.14,3128500
2017-05-31,1496188800,10.14,10.17,9.89,10.08,2769500
2017-06-01,1496275200,10.12,10.26,10.09,10.23,2344500
2017-06-02,1496361600,10.22,10.46,10.19,10.29,2742200
2017-06-05,1496620800,10.27,10.3,10.02,10.02,2305400
2017-06-06,1496707200,9.93,10.14,9.82,10.06,2990300
2017-06-07,1496793600,10.09,10.15,10.03,10.15,2184600
2017-06-08,1496880000,10.24,10.52,10.17,10.35,3740200
2017-06-09,1496966400,10.37,10.56,10.34,10.55,3294300
2017-06-12,1497225600,10.56,10.86,10.55,10.64,4686700
2017-06-13,1497312000,10.66,10.78,10.65,10.74,3156200
2017-06-14,1497398400,10.71,10.77,10.61,10.77,3292300
2017-06-15,1497484800,10.66,10.74,10.61,10.67,2353200
2017-06-16,1497571200,10.64,10.68,10.51,10.64,4856100
