Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,2.94,3.21,2.94,3.2,4039500
2017-01-04,1483488000,3.26,3.33,3.2,3.31,4613200
2017-01-05,1483574400,3.44,3.73,3.44,3.7,7078500
2017-01-06,1483660800,3.59,3.71,3.31,3.47,6378500
2017-01-09,1483920000,3.62,3.77,3.51,3.53,5678400
2017-01-10,1484006400,3.61,3.8,3.6,3.72,4321400
2017-01-11,1484092800,3.67,3.82,3.52,3.69,5365700
2017-01-12,1484179200,3.81,3.88,3.61,3.68,4501300
2017-01-13,1484265600,3.61,3.78,3.55,3.75,3057400
2017-01-17,1484611200,3.93,3.97,3.85,3.9,4321800
2017-01-18,1484697600,3.88,3.97,3.72,3.78,4057500
2017-01-19,1484784000,3.69,3.81,3.62,3.74,3261000
2017-01-20,1484870400,3.72,3.93,3.69,3.82,3152300
2017-01-23,1485129600,3.91,3.98,3.81,3.97,3226600
2017-01-24,1485216000,3.97,4.09,3.84,3.91,4627900
2017-01-25,1485302400,3.82,3.9,3.7,3.88,4315200
2017-01-26,1485388800,3.7,3.84,3.69,3.76,3911900
2017-01-27,1485475200,3.73,3.86,3.72,3.85,2462500
2017-01-30,1485734400,3.86,3.94,3.75,3.81,3080900
2017-01-31,1485820800,3.93,3.93,3.84,3.89,3628800
2017-02-01,1485907200,3.84,3.94,3.79,3.9,3188900
2017-02-02,1485993600,4.01,4.02,3.88,3.93,3055700
2017-02-03,1486080000,3.89,4.0,3.85,3.98,2387900
2017-02-06,1486339200,3.99,4.27,3.97,4.24,5172200
2017-02-07,1486425600,4.15,4.35,4.14,4.16,3832700
2017-02-08,1486512000,4.26,4.39,4.16,4.17,5419500
2017-02-09,1486598400,4.17,4.23,4.07,4.07,3151300
2017-02-10,1486684800,4.04,4.29,4.02,4.19,4684800
2017-02-13,1486944000,4.18,4.27,4.13,4.15,2923800
2017-02-14,1487030400,4.22,4.26,4.1,4.2,3605600
2017-02-15,1487116800,4.22,4.22,4.11,4.12,3991000
2017-02-16,1487203200,4.16,4.22,4.12,4.15,4773000
2017-02-17,1487289600,4.16,4.21,4.06,4.09,4829200
2017-02-21,1487635200,4.02,4.11,3.89,3.99,3771100
2017-02-22,1487721600,3.98,4.04,3.76,3.91,5108100
2017-02-23,1487808000,4.03,4.05,3.78,3.82,6328500
2017-02-24,1487894400,3.88,3.93,3.68,3.7,4306500
2017-02-27,1488153600,3.68,3.78,3.32,3.36,6821500
2017-02-28,1488240000,3.44,3.51,3.36,3.4,3209700
2017-03-01,1488326400,3.34,3.49,3.2,3.45,5910500
2017-03-02,1488412800,3.32,3.39,3.1,3.16,5854500
2017-03-03,1488499200,3.15,3.3,3.06,3.26,4418500
2017-03-06,1488758400,3.24,3.24,2.96,3.07,6239600
2017-03-07,1488844800,3.01,3.1,2.95,3.01,4510000
2017-03-08,1488931200,2.95,3.03,2.91,2.91,3693600
2017-03-09,1489017600,2.93,2.97,2.81,2.81,4105800
2017-03-10,1489104000,2.86,3.11,2.85,3.03,5209600
2017-03-13,1489363200,3.08,3.39,3.05,3.25,6365600
2017-03-14,1489449600,3.21,3.28,2.92,2.95,5576300
2017-03-15,1489536000,3.01,3.44,2.95,3.37,5810500
2017-03-16,1489622400,3.46,3.48,3.26,3.3,5278500
2017-03-17,1489708800,3.33,3.34,3.02,3.05,12907500
2017-03-20,1489968000,3.07,3.2,3.06,3.14,3104100
2017-03-21,1490054400,3.18,3.28,3.09,3.12,4632300
2017-03-22,1490140800,3.14,3.23,3.12,3.13,3073000
2017-03-23,1490227200,3.18,3.19,2.96,3.04,4863000
2017-03-24,1490313600,3.04,3.15,3.01,3.08,2629400
2017-03-27,1490572800,3.17,3.17,3.05,3.12,2810900
2017-03-28,1490659200,3.1,3.14,2.97,3.08,4340400
2017-03-29,1490745600,3.05,3.1,3.01,3.01,1955800
2017-03-30,1490832000,2.99,3.05,2.97,2.97,2314500
2017-03-31,1490918400,2.98,3.12,2.96,3.01,2802900
2017-04-03,1491177600,3.04,3.17,3.03,3.16,2881600
2017-04-04,1491264000,3.2,3.24,3.13,3.18,2549300
2017-04-05,1491350400,3.15,3.21,3.03,3.17,3467600
2017-04-06,1491436800,3.16,3.19,3.1,3.15,1844900
2017-04-07,1491523200,3.23,3.25,3.09,3.16,2822100
2017-04-10,1491782400,3.12,3.16,3.07,3.12,2083200
2017-04-11,1491868800,3.17,3.27,3.15,3.22,3602700
2017-04-12,1491955200,3.22,3.26,3.13,3.26,3234700
2017-04-13,1492041600,3.24,3.26,3.1,3.1,4304900
2017-04-17,1492387200,3.1,3.12,2.97,3.08,4579600
2017-04-18,1492473600,3.05,3.1,3.0,3.08,2954600
2017-04-19,1492560000,3.06,3.07,2.88,3.02,6734900
2017-04-20,1492646400,3.01,3.06,2.95,2.99,3277900
2017-04-21,1492732800,2.99,3.06,2.95,3.04,3560100
2017-04-24,1492992000,2.98,3.0,2.89,2.97,4914100
2017-04-25,1493078400,2.91,2.93,2.73,2.86,7716600
2017-04-26,1493164800,2.86,2.97,2.77,2.97,7196100
2017-04-27,1493251200,2.96,2.96,2.81,2.91,4264300
2017-04-28,1493337600,2.91,3.04,2.88,3.01,4162700
2017-05-01,1493596800,2.97,3.0,2.85,2.94,3697600
2017-05-02,1493683200,2.92,2.97,2.88,2.93,4500200
2017-05-03,1493769600,2.91,2.91,2.75,2.78,5716700
2017-05-04,1493856000,2.69,2.71,2.52,2.64,6309000
2017-05-05,1493942400,2.64,2.71,2.6,2.65,3242400
2017-05-08,1494201600,2.66,2.69,2.59,2.69,3065500
2017-05-09,1494288000,2.65,2.66,2.53,2.61,4188800
2017-05-10,1494374400,2.64,2.74,2.62,2.69,4521600
2017-05-11,1494460800,2.71,2.8,2.68,2.8,2846700
2017-05-12,1494547200,2.84,2.89,2.82,2.88,3406300
2017-05-15,1494806400,2.94,2.96,2.81,2.91,2773900
2017-05-16,1494892800,2.93,2.97,2.9,2.93,2675300
2017-05-17,1494979200,3.0,3.03,2.9,2.96,4093500
2017-05-18,1495065600,2.94,2.94,2.76,2.9,4542500
2017-05-19,1495152000,2.94,2.95,2.83,2.86,4548800
2017-05-22,1495411200,2.87,2.91,2.81,2.83,2323400
2017-05-23,1495497600,2.85,2.86,2.66,2.72,5691700
2017-05-24,1495584000,2.67,2.79,2.59,2.77,4959300
2017-05-25,1495670400,2.74,2.76,2.65,2.69,3098100
2017-05-26,1495756800,2.76,2.77,2.64,2.65,2912900
2017-05-30,1496102400,2.62,2.63,2.56,2.61,2246800
2017-05-31,1496188800,2.61,2.61,2.47,2.52,3632100
2017-06-01,1496275200,2.49,2.55,2.48,2.53,2066200
2017-06-02,1496361600,2.57,2.6,2.5,2.53,2814600
2017-06-05,1496620800,2.54,2.64,2.45,2.63,4200100
