Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.44,12.52,12.25,12.46,952700
2017-01-04,1483488000,12.53,12.61,12.44,12.54,891300
2017-01-05,1483574400,12.47,12.51,12.23,12.35,563000
2017-01-06,1483660800,12.35,12.46,12.27,12.29,623500
2017-01-09,1483920000,12.34,12.39,11.73,11.8,2839500
2017-01-10,1484006400,11.87,12.19,11.86,12.16,2800900
2017-01-11,1484092800,12.15,12.17,11.95,12.1,1819700
2017-01-12,1484179200,12.09,12.11,11.67,11.71,1727900
2017-01-13,1484265600,11.74,11.95,11.74,11.87,1113400
2017-01-17,1484611200,11.76,11.88,11.73,11.85,1394700
2017-01-18,1484697600,11.87,11.92,11.76,11.87,808000
2017-01-19,1484784000,11.89,11.91,11.76,11.84,709000
2017-01-20,1484870400,11.84,12.05,11.83,12.03,1080700
2017-01-23,1485129600,12.08,12.19,11.92,12.1,1419300
2017-01-24,1485216000,12.19,12.31,12.04,12.22,1434000
2017-01-25,1485302400,12.37,12.59,12.36,12.53,1533700
2017-01-26,1485388800,12.55,12.68,12.45,12.67,1570600
2017-01-27,1485475200,12.67,12.7,12.44,12.54,710100
2017-01-30,1485734400,12.48,12.5,12.33,12.37,826100
2017-01-31,1485820800,12.35,12.42,12.25,12.39,1078200
2017-02-01,1485907200,12.51,12.6,12.42,12.57,1002100
2017-02-02,1485993600,12.6,12.65,12.37,12.45,869900
2017-02-03,1486080000,12.45,12.91,12.45,12.61,1972900
2017-02-06,1486339200,12.65,12.69,11.76,11.98,4226300
2017-02-07,1486425600,11.98,12.04,11.7,11.75,2380300
2017-02-08,1486512000,11.69,11.82,11.55,11.7,1295100
2017-02-09,1486598400,11.71,11.95,11.67,11.93,1293700
2017-02-10,1486684800,11.99,11.99,11.79,11.87,782900
2017-02-13,1486944000,11.9,11.98,11.72,11.75,1360700
2017-02-14,1487030400,11.67,11.73,11.55,11.57,1408900
2017-02-15,1487116800,11.59,11.69,11.57,11.69,1072100
2017-02-16,1487203200,11.69,11.75,11.63,11.7,1125600
2017-02-17,1487289600,11.65,11.71,11.56,11.68,935500
2017-02-21,1487635200,11.68,11.91,11.68,11.9,914600
2017-02-22,1487721600,11.85,11.96,11.81,11.91,1019100
2017-02-23,1487808000,11.95,11.95,11.58,11.6,1185400
2017-02-24,1487894400,11.47,11.63,11.43,11.59,1911300
2017-02-27,1488153600,11.6,11.87,11.59,11.87,1115300
2017-02-28,1488240000,11.78,11.8,11.32,11.44,1896000
2017-03-01,1488326400,11.68,11.87,11.63,11.71,2514300
2017-03-02,1488412800,11.68,11.72,11.45,11.5,1352000
2017-03-03,1488499200,11.47,11.56,11.43,11.46,1094700
2017-03-06,1488758400,11.37,11.41,11.24,11.39,1423800
2017-03-07,1488844800,11.37,11.48,11.28,11.32,994300
2017-03-08,1488931200,11.54,11.74,11.25,11.29,2184200
2017-03-09,1489017600,11.25,11.32,11.12,11.22,1286900
2017-03-10,1489104000,11.32,11.38,11.15,11.24,1546400
2017-03-13,1489363200,11.24,11.35,11.24,11.31,1126200
2017-03-14,1489449600,11.27,11.42,11.17,11.35,1609000
2017-03-15,1489536000,11.16,11.33,10.85,11.23,2543700
2017-03-16,1489622400,11.31,11.31,11.13,11.17,1854900
2017-03-17,1489708800,11.24,11.28,11.09,11.15,2412600
2017-03-20,1489968000,11.14,11.21,11.05,11.13,851800
2017-03-21,1490054400,11.17,11.18,10.97,11.08,2239700
2017-03-22,1490140800,11.03,11.15,10.97,10.98,1373100
2017-03-23,1490227200,11.05,11.11,10.98,11.01,1529700
2017-03-24,1490313600,11.03,11.08,10.87,10.91,2335600
2017-03-27,1490572800,10.79,10.86,10.65,10.8,2874100
2017-03-28,1490659200,10.76,10.84,10.7,10.76,2291300
2017-03-29,1490745600,10.76,10.89,10.67,10.83,1922800
2017-03-30,1490832000,10.85,10.94,10.82,10.9,1336600
2017-03-31,1490918400,10.88,11.0,10.87,10.91,1559000
2017-04-03,1491177600,10.9,10.91,10.62,10.73,2088100
2017-04-04,1491264000,10.72,10.73,10.63,10.68,1513500
2017-04-05,1491350400,10.78,11.01,10.66,10.71,1536100
2017-04-06,1491436800,10.72,10.89,10.67,10.82,1037800
2017-04-07,1491523200,10.8,10.93,10.77,10.77,1293000
2017-04-10,1491782400,10.78,10.94,10.77,10.82,1402300
2017-04-11,1491868800,10.83,11.0,10.57,10.98,3301100
2017-04-12,1491955200,11.04,11.07,10.86,10.9,1429000
2017-04-13,1492041600,10.88,10.91,10.8,10.8,920600
2017-04-17,1492387200,10.85,10.93,10.8,10.93,916900
2017-04-18,1492473600,10.85,10.93,10.82,10.91,872700
2017-04-19,1492560000,10.96,11.02,10.87,10.96,1354200
2017-04-20,1492646400,11.02,11.22,10.99,11.21,1988900
2017-04-21,1492732800,11.19,11.41,11.16,11.39,1911900
2017-04-24,1492992000,11.56,11.6,11.42,11.46,1230700
2017-04-25,1493078400,11.58,11.7,11.53,11.62,1578100
2017-04-26,1493164800,11.62,11.92,11.58,11.79,1437400
2017-04-27,1493251200,11.82,11.83,11.62,11.71,1144900
2017-04-28,1493337600,10.76,10.94,10.24,10.39,7105400
2017-05-01,1493596800,10.38,10.42,10.2,10.27,3114700
2017-05-02,1493683200,10.26,10.36,10.18,10.35,4155400
2017-05-03,1493769600,10.28,10.34,10.16,10.18,1650500
2017-05-04,1493856000,10.18,10.24,10.06,10.18,1839700
2017-05-05,1493942400,10.26,10.29,10.15,10.24,1416800
2017-05-08,1494201600,10.21,10.28,10.17,10.21,934900
2017-05-09,1494288000,10.22,10.48,10.22,10.42,1859900
2017-05-10,1494374400,10.42,10.59,10.38,10.51,1877500
2017-05-11,1494460800,10.46,10.48,10.28,10.41,1232500
2017-05-12,1494547200,10.38,10.43,10.27,10.3,1398100
2017-05-15,1494806400,10.43,10.43,10.32,10.37,865400
2017-05-16,1494892800,10.36,10.41,10.28,10.31,969000
2017-05-17,1494979200,10.08,10.2,10.05,10.14,1467800
2017-05-18,1495065600,10.13,10.34,10.08,10.25,2629300
2017-05-19,1495152000,10.28,10.55,10.27,10.48,1533100
2017-05-22,1495411200,10.54,10.56,10.39,10.45,1113600
2017-05-23,1495497600,10.51,10.55,10.43,10.46,1451100
2017-05-24,1495584000,10.49,10.54,10.35,10.41,809700
2017-05-25,1495670400,10.45,10.49,10.29,10.31,1039100
2017-05-26,1495756800,10.29,10.37,10.27,10.34,528100
2017-05-30,1496102400,10.31,10.47,10.29,10.43,1291800
2017-05-31,1496188800,10.43,10.47,10.29,10.36,1195600
2017-06-01,1496275200,10.39,10.56,10.32,10.51,1045900
2017-06-02,1496361600,10.52,10.73,10.51,10.52,1325200
2017-06-05,1496620800,10.52,10.57,10.46,10.47,912300
2017-06-06,1496707200,10.43,10.44,10.27,10.38,1053600
2017-06-07,1496793600,10.39,10.48,10.18,10.24,1283500
2017-06-08,1496880000,10.25,10.4,10.18,10.37,939100
2017-06-09,1496966400,10.38,10.6,10.37,10.56,1004200
2017-06-12,1497225600,10.6,10.9,10.56,10.69,1425600
2017-06-13,1497312000,10.65,10.67,10.49,10.61,1831600
2017-06-14,1497398400,10.62,10.66,10.51,10.63,809000
2017-06-15,1497484800,10.47,10.63,10.46,10.58,738000
2017-06-16,1497571200,10.53,10.63,10.47,10.63,3081700
2017-06-19,1497830400,10.68,10.74,10.62,10.72,901600
2017-06-20,1497916800,10.66,10.66,10.47,10.47,771100
2017-06-21,1498003200,10.46,10.47,10.35,10.35,829500
2017-06-22,1498089600,10.41,10.49,10.37,10.46,654200
2017-06-23,1498176000,10.46,10.62,10.44,10.62,2068900
2017-06-26,1498435200,10.64,10.76,10.63,10.71,785000
2017-06-27,1498521600,10.74,10.76,10.68,10.74,970600
2017-06-28,1498608000,10.85,10.97,10.78,10.94,994700
2017-06-29,1498694400,10.95,10.98,10.7,10.83,1057100
2017-06-30,1498780800,10.87,11.0,10.78,10.82,2006500
2017-07-03,1499040000,10.91,10.99,10.84,10.96,307600
2017-07-05,1499212800,10.95,11.19,10.54,10.6,1869000
2017-07-06,1499299200,10.53,10.56,10.33,10.39,1299100
2017-07-07,1499385600,10.42,10.56,10.37,10.55,711600
2017-07-10,1499644800,10.52,10.59,10.42,10.47,585200
2017-07-11,1499731200,10.46,10.5,10.32,10.46,928900
2017-07-12,1499817600,10.56,10.71,10.55,10.59,551400
2017-07-13,1499904000,10.58,10.64,10.52,10.62,737700
2017-07-14,1499990400,10.61,10.68,10.6,10.65,470400
2017-07-17,1500249600,10.61,10.71,10.57,10.67,432400
2017-07-18,1500336000,10.65,10.68,10.59,10.63,368500
2017-07-19,1500422400,10.56,10.68,10.52,10.61,616100
2017-07-20,1500508800,10.61,10.81,10.56,10.67,1314100
2017-07-21,1500595200,10.72,10.82,10.55,10.66,836900
2017-07-24,1500854400,10.62,10.64,10.46,10.52,624700
2017-07-25,1500940800,10.53,10.72,10.49,10.62,943100
2017-07-26,1501027200,10.65,10.68,10.56,10.57,665600
2017-07-27,1501113600,10.59,10.73,10.55,10.65,753900
2017-07-28,1501200000,10.63,10.84,10.62,10.71,730700
2017-07-31,1501459200,10.72,10.77,10.64,10.75,541000
2017-08-01,1501545600,10.89,10.93,10.79,10.9,816600
2017-08-02,1501632000,10.86,10.9,10.73,10.75,845700
2017-08-03,1501718400,10.78,10.88,10.74,10.84,812800
2017-08-04,1501804800,10.67,11.51,10.67,11.47,1305800
2017-08-07,1502064000,11.44,11.44,11.17,11.28,1151700
2017-08-08,1502150400,11.24,11.33,11.17,11.24,1381500
2017-08-09,1502236800,11.21,11.3,11.18,11.21,1334300
2017-08-10,1502323200,11.12,11.16,10.81,10.82,1382400
2017-08-11,1502409600,10.7,10.88,10.61,10.86,932700
2017-08-14,1502668800,10.95,11.15,10.95,11.11,536900
2017-08-15,1502755200,11.09,11.14,11.03,11.05,489900
2017-08-16,1502841600,11.06,11.2,11.06,11.08,571100
2017-08-17,1502928000,11.0,11.13,10.85,10.86,846600
2017-08-18,1503014400,10.75,11.03,10.75,10.93,684100
2017-08-21,1503273600,10.91,10.93,10.82,10.89,588800
2017-08-22,1503360000,10.95,11.04,10.87,10.96,413900
2017-08-23,1503446400,10.87,10.89,10.81,10.82,669700
2017-08-24,1503532800,10.88,10.88,10.79,10.8,370200
2017-08-25,1503619200,10.89,10.89,10.79,10.85,672500
2017-08-28,1503878400,10.9,10.9,10.74,10.74,705100
2017-08-29,1503964800,10.7,10.72,10.63,10.69,1622400
2017-08-30,1504051200,10.71,10.96,10.69,10.92,1243900
2017-08-31,1504137600,10.95,11.19,10.94,11.15,801700
2017-09-01,1504224000,11.19,11.34,11.18,11.32,786500
2017-09-05,1504569600,11.72,11.73,11.41,11.41,1216900
2017-09-06,1504656000,11.5,11.53,11.25,11.25,887900
2017-09-07,1504742400,11.3,11.39,11.21,11.34,673000
2017-09-08,1504828800,11.33,11.36,11.22,11.23,824200
2017-09-11,1505088000,11.31,11.31,11.07,11.25,1592400
2017-09-12,1505174400,11.29,11.55,11.27,11.39,942700
2017-09-13,1505260800,11.36,11.55,11.27,11.29,1602000
2017-09-14,1505347200,11.32,11.35,11.19,11.31,1249700
2017-09-15,1505433600,11.28,11.5,11.28,11.41,3189300
