Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,27.82,27.96,27.52,27.77,296600
2017-01-04,1483488000,27.86,28.43,27.85,28.22,643500
2017-01-05,1483574400,28.06,28.4,27.99,28.09,626900
2017-01-06,1483660800,28.02,28.18,27.91,28.0,624900
2017-01-09,1483920000,28.0,28.31,27.77,28.01,732600
2017-01-10,1484006400,28.04,28.23,27.93,28.11,465100
2017-01-11,1484092800,28.15,28.24,28.04,28.21,181300
2017-01-12,1484179200,28.11,28.11,27.49,27.79,424700
2017-01-13,1484265600,27.92,28.12,27.66,27.97,233100
2017-01-17,1484611200,27.83,27.95,27.24,27.29,487800
2017-01-18,1484697600,27.41,27.83,27.4,27.6,207200
2017-01-19,1484784000,27.59,27.78,27.22,27.47,404100
2017-01-20,1484870400,27.47,27.79,27.47,27.78,358600
2017-01-23,1485129600,27.72,27.87,27.53,27.87,441600
2017-01-24,1485216000,27.9,28.45,27.86,28.43,439700
2017-01-25,1485302400,28.63,28.75,28.52,28.73,513100
2017-01-26,1485388800,28.76,28.8,28.45,28.51,489100
2017-01-27,1485475200,26.78,28.12,26.78,27.96,1012900
2017-01-30,1485734400,27.86,28.17,27.72,28.09,602900
2017-01-31,1485820800,27.91,28.31,27.91,28.23,496700
2017-02-01,1485907200,28.24,28.48,28.14,28.42,515700
2017-02-02,1485993600,28.26,28.44,27.46,28.42,534400
2017-02-03,1486080000,28.49,28.72,28.35,28.65,353500
2017-02-06,1486339200,28.5,28.73,28.33,28.37,374200
2017-02-07,1486425600,28.4,28.45,28.08,28.24,344800
2017-02-08,1486512000,28.09,28.2,27.98,28.16,600200
2017-02-09,1486598400,28.25,28.66,27.94,28.62,299300
2017-02-10,1486684800,28.63,28.8,28.51,28.73,320100
2017-02-13,1486944000,28.74,28.94,28.74,28.84,253000
2017-02-14,1487030400,28.84,28.84,28.67,28.68,354000
2017-02-15,1487116800,28.67,28.85,28.56,28.82,274000
2017-02-16,1487203200,28.77,29.0,28.59,28.88,425400
2017-02-17,1487289600,28.79,29.12,28.48,29.01,427000
2017-02-21,1487635200,28.97,29.31,28.94,29.28,573100
2017-02-22,1487721600,29.19,29.38,29.12,29.29,434000
2017-02-23,1487808000,29.38,29.38,28.96,29.32,368100
2017-02-24,1487894400,29.16,29.37,28.9,29.37,279200
2017-02-27,1488153600,29.27,29.4,29.17,29.4,596600
2017-02-28,1488240000,29.38,29.44,29.09,29.17,751700
2017-03-01,1488326400,29.44,29.77,29.38,29.68,492900
2017-03-02,1488412800,29.66,29.66,29.08,29.09,353000
2017-03-03,1488499200,29.16,29.32,29.04,29.21,284100
2017-03-06,1488758400,29.16,29.35,29.07,29.16,220200
2017-03-07,1488844800,29.06,29.29,29.02,29.09,235400
2017-03-08,1488931200,29.12,29.17,28.99,29.08,208300
2017-03-09,1489017600,29.1,29.17,28.98,29.08,324700
2017-03-10,1489104000,29.15,29.37,28.99,29.22,306900
2017-03-13,1489363200,29.16,29.31,29.15,29.23,287100
2017-03-14,1489449600,29.21,29.22,29.03,29.16,254700
2017-03-15,1489536000,29.3,29.55,29.11,29.5,470200
2017-03-16,1489622400,29.5,29.65,29.31,29.4,279200
2017-03-17,1489708800,29.43,29.58,29.2,29.4,1041200
2017-03-20,1489968000,29.41,29.53,29.2,29.43,419400
