Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.93,18.94,18.16,18.29,45083
2017-01-04,1483488000,18.38,18.66,18.18,18.36,98045
2017-01-05,1483574400,18.33,18.57,18.13,18.13,33265
2017-01-06,1483660800,18.08,18.09,17.37,17.56,42019
2017-01-09,1483920000,17.51,17.56,16.87,17.04,67844
2017-01-10,1484006400,17.03,17.31,16.92,17.15,70907
2017-01-11,1484092800,17.15,17.21,16.97,17.11,80537
2017-01-12,1484179200,17.01,17.05,16.61,16.85,54713
2017-01-13,1484265600,16.91,17.28,16.9,17.23,38518
2017-01-17,1484611200,17.21,17.21,16.59,16.66,33265
2017-01-18,1484697600,16.76,16.86,16.36,16.56,52524
2017-01-19,1484784000,16.6,16.94,16.44,16.77,59527
2017-01-20,1484870400,16.75,17.03,16.75,16.79,55150
2017-01-23,1485129600,16.83,16.84,16.45,16.54,29326
2017-01-24,1485216000,16.48,16.59,16.47,16.5,20572
2017-01-25,1485302400,16.56,16.56,15.82,15.89,91479
2017-01-26,1485388800,15.83,15.83,15.02,15.19,96294
2017-01-27,1485475200,14.98,15.03,14.67,14.83,122118
2017-01-30,1485734400,14.77,15.45,14.09,15.32,156697
2017-01-31,1485820800,15.25,15.45,15.07,15.24,76160
2017-02-01,1485907200,15.29,15.32,14.57,14.71,88415
2017-02-02,1485993600,14.67,14.69,14.39,14.56,44645
2017-02-03,1486080000,14.21,15.04,14.21,14.82,45959
2017-02-06,1486339200,14.67,14.79,14.56,14.73,24074
2017-02-07,1486425600,14.61,14.78,14.41,14.45,82725
2017-02-08,1486512000,14.46,14.46,14.02,14.19,57339
2017-02-09,1486598400,14.25,14.3,14.09,14.13,38080
2017-02-10,1486684800,14.23,14.39,14.19,14.34,33265
2017-02-13,1486944000,14.29,14.5,14.29,14.31,31952
2017-02-14,1487030400,14.1,14.39,13.93,14.34,45083
2017-02-15,1487116800,14.17,14.26,13.99,14.04,42019
2017-02-16,1487203200,13.99,13.99,13.58,13.72,88415
2017-02-17,1487289600,13.77,13.77,12.93,13.05,80975
2017-02-21,1487635200,12.99,13.33,12.94,13.21,140064
2017-02-22,1487721600,13.2,13.2,12.84,12.93,49022
2017-02-23,1487808000,13.02,13.05,12.88,12.99,71783
2017-02-24,1487894400,13.09,13.4,13.02,13.23,104610
2017-02-27,1488153600,13.16,13.7,13.0,13.49,76160
2017-02-28,1488240000,13.48,13.58,13.31,13.38,88415
2017-03-01,1488326400,13.53,14.04,13.53,13.99,39393
2017-03-02,1488412800,14.3,14.94,14.3,14.34,88415
2017-03-03,1488499200,14.37,14.37,13.57,13.78,38955
2017-03-06,1488758400,13.64,14.25,13.43,14.13,82725
2017-03-07,1488844800,14.17,14.33,14.03,14.11,53399
2017-03-08,1488931200,14.12,14.4,13.88,14.18,38518
2017-03-09,1489017600,14.17,14.29,14.03,14.17,36767
2017-03-10,1489104000,14.46,14.51,14.26,14.29,24511
2017-03-13,1489363200,14.35,15.1,14.33,15.06,61278
2017-03-14,1489449600,14.94,15.53,14.66,15.49,60840
2017-03-15,1489536000,15.6,15.82,15.48,15.52,76598
2017-03-16,1489622400,15.66,15.66,15.36,15.42,68281
2017-03-17,1489708800,15.43,15.88,15.16,15.49,324773
2017-03-20,1489968000,15.45,15.45,13.94,14.8,168952
2017-03-21,1490054400,14.84,14.94,14.6,14.79,47709
2017-03-22,1490140800,14.89,15.0,14.7,14.85,28451
2017-03-23,1490227200,14.79,14.89,14.79,14.8,23636
2017-03-24,1490313600,14.95,15.28,14.95,14.97,58652
2017-03-27,1490572800,14.78,15.35,14.74,15.28,34578
2017-03-28,1490659200,15.31,15.72,15.24,15.47,46834
2017-03-29,1490745600,15.44,15.55,15.01,15.49,45959
2017-03-30,1490832000,15.49,15.49,14.4,14.57,135249
2017-03-31,1490918400,14.57,14.9,14.39,14.48,214911
2017-04-03,1491177600,14.47,14.81,14.39,14.43,62591
2017-04-04,1491264000,14.49,14.49,13.95,14.4,90604
2017-04-05,1491350400,14.44,15.0,14.44,14.67,63029
2017-04-06,1491436800,14.6,15.36,14.6,15.29,53837
2017-04-07,1491523200,15.2,15.73,15.04,15.66,85352
2017-04-10,1491782400,15.82,15.96,15.65,15.87,65655
2017-04-11,1491868800,15.98,16.41,15.7,16.24,60840
2017-04-12,1491955200,16.23,16.29,15.99,16.14,33703
2017-04-13,1492041600,16.12,16.12,15.87,15.93,42457
2017-04-17,1492387200,16.05,16.21,15.93,16.17,29326
2017-04-18,1492473600,16.0,16.0,15.74,15.75,42019
2017-04-19,1492560000,15.93,15.93,15.52,15.76,60403
2017-04-20,1492646400,15.96,16.4,15.57,16.34,54275
2017-04-21,1492732800,16.38,16.97,16.38,16.55,56901
2017-04-24,1492992000,16.74,17.01,16.55,16.8,51649
2017-04-25,1493078400,17.06,17.32,16.81,16.81,63029
2017-04-26,1493164800,16.87,18.13,16.51,17.34,193901
2017-04-27,1493251200,17.46,17.69,17.37,17.45,45521
2017-04-28,1493337600,17.62,18.02,17.49,17.56,88415
2017-05-01,1493596800,17.43,17.58,17.24,17.36,54275
2017-05-02,1493683200,17.47,17.95,16.35,16.66,91042
2017-05-03,1493769600,16.44,16.45,15.66,15.79,68281
2017-05-04,1493856000,15.56,15.56,15.07,15.25,61716
2017-05-05,1493942400,15.27,15.27,14.59,14.77,74409
2017-05-08,1494201600,14.7,14.7,14.32,14.45,78786
2017-05-09,1494288000,14.53,14.75,14.43,14.51,105923
2017-05-10,1494374400,14.5,15.31,14.5,15.02,82725
2017-05-11,1494460800,15.06,15.33,14.79,14.91,85789
2017-05-12,1494547200,14.73,14.73,13.8,13.9,97169
2017-05-15,1494806400,13.86,14.29,13.46,13.5,135687
2017-05-16,1494892800,13.46,13.49,13.29,13.47,109425
2017-05-17,1494979200,13.3,13.71,13.22,13.53,118617
2017-05-18,1495065600,13.47,13.68,13.36,13.48,81412
2017-05-19,1495152000,13.47,13.9,13.12,13.67,134374
2017-05-22,1495411200,13.58,14.22,13.52,13.93,38955
2017-05-23,1495497600,13.99,13.99,13.61,13.71,59090
2017-05-24,1495584000,13.7,13.74,13.55,13.71,41582
2017-05-25,1495670400,13.8,13.8,13.44,13.62,67406
2017-05-26,1495756800,13.57,13.68,13.51,13.63,44645
2017-05-30,1496102400,13.39,13.76,13.39,13.68,52962
2017-05-31,1496188800,13.45,13.89,13.45,13.8,103735
2017-06-01,1496275200,13.92,14.17,13.77,14.09,57776
2017-06-02,1496361600,14.19,14.95,14.17,14.52,48147
2017-06-05,1496620800,14.55,14.55,13.98,14.37,65655
2017-06-06,1496707200,14.19,15.44,14.06,14.7,112051
2017-06-07,1496793600,14.75,15.0,14.35,14.67,59965
2017-06-08,1496880000,14.79,15.24,14.57,15.16,152320
2017-06-09,1496966400,15.43,16.39,15.31,15.92,212285
2017-06-12,1497225600,15.89,16.51,15.89,16.01,114240
2017-06-13,1497312000,16.15,16.36,15.76,15.82,61716
2017-06-14,1497398400,15.94,16.05,15.65,15.98,56463
2017-06-15,1497484800,16.06,16.08,15.7,15.87,41144
2017-06-16,1497571200,15.61,15.88,15.51,15.57,103297
2017-06-19,1497830400,15.57,15.85,15.31,15.77,95419
2017-06-20,1497916800,15.54,15.77,15.27,15.7,87540
2017-06-21,1498003200,15.64,15.91,15.64,15.77,66968
2017-06-22,1498089600,15.77,15.77,15.34,15.48,109425
2017-06-23,1498176000,15.69,15.92,15.6,15.77,173767
2017-06-26,1498435200,15.48,15.73,15.23,15.5,55588
2017-06-27,1498521600,15.54,15.54,14.83,14.9,50773
2017-06-28,1498608000,14.89,15.03,14.73,14.87,34141
2017-06-29,1498694400,14.87,14.94,14.67,14.79,35891
2017-06-30,1498780800,14.57,14.88,14.57,14.76,27575
2017-07-03,1499040000,14.68,14.99,14.68,14.91,14882
2017-07-05,1499212800,14.8,14.95,14.46,14.69,30201
2017-07-06,1499299200,14.66,14.94,14.47,14.8,46834
2017-07-07,1499385600,14.9,14.92,14.42,14.61,72221
2017-07-10,1499644800,14.4,14.46,14.4,14.45,7003
2017-07-11,1499731200,14.45,14.45,14.11,14.36,53399
