Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,43.13,43.87,42.64,42.79,1618500
2017-01-04,1483488000,43.1,44.89,42.78,44.77,1854500
2017-01-05,1483574400,44.51,44.79,44.02,44.55,933700
2017-01-06,1483660800,44.75,44.92,44.06,44.25,932900
2017-01-09,1483920000,44.14,44.7,43.9,44.39,855800
2017-01-10,1484006400,44.33,45.36,44.33,45.22,1065500
2017-01-11,1484092800,45.01,45.82,44.72,45.75,870500
2017-01-12,1484179200,45.47,45.83,44.67,45.35,731500
2017-01-13,1484265600,45.49,45.49,44.84,44.95,547700
2017-01-17,1484611200,45.08,45.22,44.2,44.74,905400
2017-01-18,1484697600,44.97,45.77,44.56,45.67,943000
2017-01-19,1484784000,45.76,46.36,45.39,45.62,1031300
2017-01-20,1484870400,45.93,46.41,45.41,45.63,736000
2017-01-23,1485129600,45.47,46.15,45.15,46.0,826800
2017-01-24,1485216000,45.92,46.95,45.83,46.84,1239400
2017-01-25,1485302400,47.22,48.24,46.96,48.09,1275800
2017-01-26,1485388800,49.22,50.05,48.77,49.33,2613500
2017-01-27,1485475200,49.35,49.56,48.61,49.02,945300
2017-01-30,1485734400,48.8,48.88,47.94,48.03,1337100
2017-01-31,1485820800,47.88,48.11,46.83,47.0,1625200
2017-02-01,1485907200,47.3,48.45,46.83,48.08,1296500
2017-02-02,1485993600,48.17,48.5,47.55,47.66,694700
2017-02-03,1486080000,48.13,48.36,47.41,47.74,760800
2017-02-06,1486339200,47.76,48.02,47.28,47.52,1139100
2017-02-07,1486425600,47.58,48.09,47.47,47.7,1477200
2017-02-08,1486512000,47.88,48.14,47.51,47.86,1065800
2017-02-09,1486598400,47.81,48.31,47.7,48.06,1249200
2017-02-10,1486684800,48.43,48.91,47.54,47.8,1611000
2017-02-13,1486944000,48.02,48.1,47.56,47.87,1449900
2017-02-14,1487030400,47.82,47.97,47.58,47.77,1048700
2017-02-15,1487116800,47.66,48.12,47.01,47.92,1464800
2017-02-16,1487203200,47.95,48.14,47.24,47.63,1236300
2017-02-17,1487289600,47.62,47.85,47.27,47.69,1653700
2017-02-21,1487635200,47.74,48.52,47.74,48.2,1801900
2017-02-22,1487721600,49.24,52.14,48.68,51.64,4043000
2017-02-23,1487808000,52.48,52.5,50.61,50.68,1869800
2017-02-24,1487894400,50.51,50.63,49.77,50.02,1442900
2017-02-27,1488153600,49.93,50.83,49.57,50.77,1326600
2017-02-28,1488240000,50.82,51.2,50.45,50.7,935000
2017-03-01,1488326400,51.12,51.61,50.42,51.05,1199400
2017-03-02,1488412800,50.79,51.25,50.63,50.98,878700
2017-03-03,1488499200,51.0,51.0,49.79,50.11,849100
2017-03-06,1488758400,49.9,50.0,49.16,49.76,1207300
2017-03-07,1488844800,49.56,49.76,49.05,49.42,806900
2017-03-08,1488931200,49.59,49.83,49.4,49.52,776700
2017-03-09,1489017600,49.77,50.06,49.48,49.92,765700
2017-03-10,1489104000,50.23,51.22,50.07,51.1,1160800
2017-03-13,1489363200,51.83,51.83,51.11,51.32,1086300
2017-03-14,1489449600,51.21,51.23,50.4,50.96,1066000
2017-03-15,1489536000,51.05,51.49,50.71,51.41,1141500
