Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,21.24,21.35,20.88,21.31,321300
2017-01-04,1483488000,21.44,21.83,21.34,21.82,471300
2017-01-05,1483574400,21.85,22.05,21.68,21.76,369000
2017-01-06,1483660800,21.77,22.09,21.74,22.02,561500
2017-01-09,1483920000,22.08,22.23,21.97,22.11,517200
2017-01-10,1484006400,22.2,22.2,21.88,22.16,371800
2017-01-11,1484092800,22.19,22.37,22.14,22.36,593600
2017-01-12,1484179200,22.34,22.43,22.24,22.26,441400
2017-01-13,1484265600,22.24,22.57,22.24,22.49,465700
2017-01-17,1484611200,22.62,23.07,22.55,22.8,376100
2017-01-18,1484697600,22.8,22.94,22.65,22.88,271900
2017-01-19,1484784000,22.75,23.04,22.72,22.79,484200
2017-01-20,1484870400,22.86,23.14,22.8,23.02,227500
2017-01-23,1485129600,23.16,23.31,22.81,22.86,290000
2017-01-24,1485216000,22.95,23.66,22.8,23.26,292400
2017-01-25,1485302400,23.32,23.42,22.98,23.2,240400
2017-01-26,1485388800,23.24,23.4,22.85,23.23,394800
2017-01-27,1485475200,23.74,23.99,22.65,22.73,1819300
2017-01-30,1485734400,23.9,26.04,23.64,25.59,3276000
2017-01-31,1485820800,25.6,26.0,25.2,26.0,633700
2017-02-01,1485907200,25.89,27.17,25.67,26.54,963300
2017-02-02,1485993600,26.51,26.72,26.32,26.37,532100
2017-02-03,1486080000,26.34,27.0,26.27,26.34,574800
2017-02-06,1486339200,26.26,26.55,26.17,26.24,272400
2017-02-07,1486425600,26.24,26.45,25.72,26.0,404400
2017-02-08,1486512000,25.57,26.26,25.55,26.05,496400
2017-02-09,1486598400,26.05,26.14,25.35,25.88,425000
2017-02-10,1486684800,25.89,26.44,25.84,26.22,286600
2017-02-13,1486944000,26.2,26.34,25.99,25.99,219400
2017-02-14,1487030400,26.08,26.24,25.83,25.87,268900
2017-02-15,1487116800,25.95,26.01,25.64,25.76,335200
2017-02-16,1487203200,25.83,25.84,25.61,25.76,302800
2017-02-17,1487289600,25.97,25.97,25.31,25.67,438500
2017-02-21,1487635200,25.75,25.9,25.44,25.81,708200
2017-02-22,1487721600,25.65,25.94,25.59,25.73,244700
2017-02-23,1487808000,25.78,25.97,25.56,25.64,307800
2017-02-24,1487894400,25.63,25.91,25.44,25.67,585100
2017-02-27,1488153600,25.59,25.89,25.59,25.65,358400
2017-02-28,1488240000,25.48,25.82,25.48,25.66,501900
2017-03-01,1488326400,25.63,25.77,25.08,25.44,348300
2017-03-02,1488412800,25.27,25.81,25.27,25.54,216400
2017-03-03,1488499200,25.58,26.04,25.54,25.99,272200
2017-03-06,1488758400,25.79,25.93,25.6,25.71,586600
2017-03-07,1488844800,25.6,25.99,25.56,25.76,445200
2017-03-08,1488931200,25.67,25.82,25.48,25.5,221300
2017-03-09,1489017600,25.5,25.61,25.29,25.5,190300
2017-03-10,1489104000,25.77,25.84,25.34,25.53,215600
2017-03-13,1489363200,25.53,25.94,25.51,25.53,135500
2017-03-14,1489449600,25.55,25.75,25.45,25.74,98100
2017-03-15,1489536000,25.78,26.99,25.78,26.93,336200
2017-03-16,1489622400,27.06,27.72,26.94,27.65,373300
2017-03-17,1489708800,27.63,28.23,27.56,27.94,235900
2017-03-20,1489968000,28.1,28.26,27.45,27.74,348900
2017-03-21,1490054400,27.76,27.81,27.21,27.77,216300
2017-03-22,1490140800,27.88,27.95,27.29,27.43,283600
2017-03-23,1490227200,26.68,27.49,26.36,27.14,382000
2017-03-24,1490313600,27.18,27.52,27.03,27.16,151800
2017-03-27,1490572800,26.94,27.47,26.93,27.43,124500
2017-03-28,1490659200,27.4,27.67,27.28,27.64,169500
