Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.5,4.64,4.4,4.59,3451600
2017-01-04,1483488000,4.71,4.77,4.59,4.67,1889600
2017-01-05,1483574400,4.82,5.12,4.77,5.09,3260800
2017-01-06,1483660800,5.01,5.17,4.59,4.8,4604900
2017-01-09,1483920000,4.9,5.15,4.84,4.88,3565000
2017-01-10,1484006400,4.98,5.15,4.9,5.07,2274500
2017-01-11,1484092800,5.01,5.09,4.89,5.0,1956900
2017-01-12,1484179200,5.11,5.18,4.96,5.02,1872400
2017-01-13,1484265600,4.95,5.13,4.89,5.1,1267600
2017-01-17,1484611200,5.3,5.45,5.19,5.22,2348500
2017-01-18,1484697600,5.2,5.24,5.01,5.09,1359400
2017-01-19,1484784000,5.0,5.16,4.9,5.06,1796800
2017-01-20,1484870400,5.05,5.23,5.04,5.1,1414500
2017-01-23,1485129600,5.25,5.25,5.06,5.1,1511200
2017-01-24,1485216000,5.1,5.21,5.04,5.16,1591400
2017-01-25,1485302400,5.04,5.15,4.99,5.12,1527500
2017-01-26,1485388800,4.99,5.25,4.96,5.18,1978400
2017-01-27,1485475200,5.12,5.22,5.11,5.15,1036400
2017-01-30,1485734400,5.16,5.31,5.13,5.14,2001300
2017-01-31,1485820800,5.32,5.35,5.23,5.32,1944000
2017-02-01,1485907200,5.25,5.41,5.22,5.35,1496500
2017-02-02,1485993600,5.58,5.58,5.33,5.43,1774600
2017-02-03,1486080000,5.4,5.52,5.38,5.44,1246900
2017-02-06,1486339200,5.5,5.99,5.5,5.95,3688100
2017-02-07,1486425600,5.75,6.16,5.73,5.9,3548200
2017-02-08,1486512000,6.06,6.21,5.9,5.97,3668400
2017-02-09,1486598400,5.97,6.12,5.88,5.88,2165600
2017-02-10,1486684800,5.8,6.04,5.65,5.98,2089500
2017-02-13,1486944000,5.92,6.02,5.89,5.96,1261000
2017-02-14,1487030400,6.01,6.1,5.84,5.99,1909400
2017-02-15,1487116800,5.95,6.11,5.9,5.97,1588800
2017-02-16,1487203200,6.0,6.15,6.0,6.14,2113500
2017-02-17,1487289600,6.19,6.19,6.0,6.04,1862000
2017-02-21,1487635200,5.91,6.06,5.85,5.95,2353800
2017-02-22,1487721600,5.9,5.97,5.72,5.88,2661000
2017-02-23,1487808000,6.01,6.1,5.94,6.02,2195500
2017-02-24,1487894400,6.16,6.16,5.81,5.82,2063200
2017-02-27,1488153600,5.78,5.92,5.23,5.28,3794400
2017-02-28,1488240000,5.36,5.4,5.16,5.29,2804400
2017-03-01,1488326400,5.18,5.33,5.08,5.31,4783000
2017-03-02,1488412800,5.19,5.37,4.91,4.93,3494700
2017-03-03,1488499200,4.92,5.14,4.74,5.09,3555500
2017-03-06,1488758400,5.09,5.09,4.75,4.86,2774800
2017-03-07,1488844800,4.77,4.99,4.75,4.92,2243500
2017-03-08,1488931200,4.78,4.98,4.78,4.88,1055500
2017-03-09,1489017600,4.87,4.96,4.77,4.79,1166000
2017-03-10,1489104000,4.79,4.99,4.69,4.96,2304800
2017-03-13,1489363200,4.99,5.3,4.95,5.19,3037700
2017-03-14,1489449600,5.18,5.27,4.86,4.89,2343100
2017-03-15,1489536000,4.97,5.54,4.87,5.49,4016300
2017-03-16,1489622400,5.57,5.64,5.38,5.46,2731900
2017-03-17,1489708800,5.52,5.57,5.01,5.01,7322700
2017-03-20,1489968000,5.06,5.28,5.06,5.24,1909100
2017-03-21,1490054400,5.26,5.47,5.2,5.3,2299500
2017-03-22,1490140800,5.28,5.35,5.17,5.18,1750500
2017-03-23,1490227200,5.19,5.24,4.96,5.12,2784700
2017-03-24,1490313600,5.1,5.19,5.05,5.09,937600
2017-03-27,1490572800,5.24,5.24,5.07,5.21,1687800
2017-03-28,1490659200,5.24,5.24,4.88,4.96,3130400
2017-03-29,1490745600,5.0,5.04,4.91,4.99,1501500
2017-03-30,1490832000,4.94,4.99,4.87,4.93,1194200
2017-03-31,1490918400,4.95,4.96,4.84,4.87,2542900
2017-04-03,1491177600,4.81,5.02,4.8,5.01,1799300
2017-04-04,1491264000,5.05,5.08,4.81,4.88,2908600
2017-04-05,1491350400,4.78,4.99,4.78,4.96,2245200
2017-04-06,1491436800,4.93,4.95,4.86,4.89,949400
2017-04-07,1491523200,4.99,5.02,4.8,4.89,1798300
2017-04-10,1491782400,4.84,4.93,4.81,4.88,1199100
2017-04-11,1491868800,5.0,5.0,4.88,4.94,3074800
2017-04-12,1491955200,4.94,4.96,4.84,4.95,2029700
2017-04-13,1492041600,4.93,4.94,4.7,4.7,3031200
2017-04-17,1492387200,4.72,4.72,4.43,4.51,3682300
2017-04-18,1492473600,4.47,4.52,4.35,4.45,2722600
2017-04-19,1492560000,4.39,4.42,4.16,4.33,3755100
2017-04-20,1492646400,4.32,4.41,4.28,4.37,2454600
2017-04-21,1492732800,4.37,4.46,4.29,4.42,2288000
2017-04-24,1492992000,4.34,4.36,4.24,4.28,2655300
2017-04-25,1493078400,4.18,4.2,3.9,4.05,6069200
2017-04-26,1493164800,3.99,4.13,3.89,4.13,5220100
2017-04-27,1493251200,4.07,4.07,3.93,4.01,3618400
2017-04-28,1493337600,4.0,4.22,3.97,4.18,3817100
2017-05-01,1493596800,4.14,4.14,3.94,3.95,2854900
2017-05-02,1493683200,3.94,4.09,3.93,4.05,2677500
2017-05-03,1493769600,4.02,4.13,3.97,4.01,2880400
2017-05-04,1493856000,3.91,4.06,3.91,3.92,3158200
2017-05-05,1493942400,3.96,4.07,3.91,3.96,2214100
2017-05-08,1494201600,3.98,4.03,3.89,4.02,2356700
2017-05-09,1494288000,3.95,4.06,3.92,4.02,1746500
2017-05-10,1494374400,4.07,4.16,4.04,4.1,1800200
2017-05-11,1494460800,4.13,4.27,4.06,4.27,2903800
2017-05-12,1494547200,4.32,4.44,4.3,4.41,2865900
2017-05-15,1494806400,4.5,4.53,4.36,4.45,2329400
