Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.7,19.15,18.45,19.1,313500
2017-01-04,1483488000,19.1,19.75,19.1,19.55,404500
2017-01-05,1483574400,19.5,19.55,18.9,18.95,430300
2017-01-06,1483660800,19.0,19.05,18.3,18.3,462300
2017-01-09,1483920000,17.65,17.65,15.6,16.85,1535300
2017-01-10,1484006400,16.85,17.1,15.95,16.05,884700
2017-01-11,1484092800,16.0,16.4,15.7,16.15,784600
2017-01-12,1484179200,16.15,16.3,15.75,15.9,297800
2017-01-13,1484265600,15.9,16.33,15.85,16.25,469700
2017-01-17,1484611200,16.15,16.35,15.75,15.85,344800
2017-01-18,1484697600,15.85,16.75,15.8,16.75,638300
2017-01-19,1484784000,16.7,16.9,16.08,16.25,708200
2017-01-20,1484870400,16.25,16.5,15.93,16.0,260600
2017-01-23,1485129600,16.0,16.35,15.95,16.25,317000
2017-01-24,1485216000,16.25,16.65,16.1,16.45,361100
2017-01-25,1485302400,16.65,17.3,16.6,17.2,314800
2017-01-26,1485388800,17.25,17.25,16.25,16.3,195300
2017-01-27,1485475200,16.35,16.55,16.25,16.35,256500
2017-01-30,1485734400,16.4,16.85,16.05,16.85,334300
2017-01-31,1485820800,16.7,17.55,16.55,17.35,726000
2017-02-01,1485907200,17.5,17.52,16.9,17.1,601400
2017-02-02,1485993600,17.15,17.15,16.45,16.55,474800
2017-02-03,1486080000,16.55,17.15,16.4,17.15,370700
2017-02-06,1486339200,17.1,17.2,16.7,16.8,374700
2017-02-07,1486425600,16.85,17.15,16.7,16.75,267000
2017-02-08,1486512000,16.7,17.15,16.55,17.1,338400
2017-02-09,1486598400,17.1,17.3,16.8,16.9,239000
2017-02-10,1486684800,17.05,17.35,16.95,17.1,311700
2017-02-13,1486944000,17.25,17.25,16.85,17.05,254100
2017-02-14,1487030400,17.0,17.3,16.9,17.0,356500
2017-02-15,1487116800,17.0,17.35,16.8,17.25,402100
2017-02-16,1487203200,17.3,17.4,16.7,16.9,381800
2017-02-17,1487289600,16.95,17.48,16.8,17.4,431100
2017-02-21,1487635200,17.5,17.8,17.3,17.75,547900
2017-02-22,1487721600,16.25,16.25,14.28,14.8,3029500
2017-02-23,1487808000,14.8,15.95,14.75,15.5,947200
2017-02-24,1487894400,15.45,15.9,15.25,15.6,533800
2017-02-27,1488153600,15.6,16.45,15.5,16.45,504800
2017-02-28,1488240000,16.45,16.45,15.85,16.1,477800
2017-03-01,1488326400,16.4,16.85,16.25,16.55,347900
2017-03-02,1488412800,16.55,16.75,16.25,16.6,348700
2017-03-03,1488499200,16.6,16.9,16.45,16.7,351600
2017-03-06,1488758400,16.65,16.7,16.35,16.6,325500
2017-03-07,1488844800,16.55,16.68,16.3,16.35,265600
2017-03-08,1488931200,16.45,16.55,16.15,16.35,350300
2017-03-09,1489017600,16.35,16.48,16.25,16.3,227900
2017-03-10,1489104000,16.45,16.65,16.05,16.3,304800
2017-03-13,1489363200,16.3,16.75,16.2,16.6,401500
2017-03-14,1489449600,16.6,16.9,16.4,16.8,397200
2017-03-15,1489536000,16.9,17.05,16.8,16.9,478800
2017-03-16,1489622400,16.9,17.15,16.8,16.85,259500
2017-03-17,1489708800,17.0,17.25,16.9,17.05,748600
2017-03-20,1489968000,17.05,17.7,16.85,17.4,322400
2017-03-21,1490054400,17.45,17.65,17.25,17.3,320700
2017-03-22,1490140800,17.25,17.3,16.85,17.25,231800
2017-03-23,1490227200,17.25,17.8,17.2,17.7,376900
2017-03-24,1490313600,17.75,17.9,17.45,17.6,466100
2017-03-27,1490572800,17.6,17.8,17.35,17.6,390800
2017-03-28,1490659200,17.6,17.85,17.55,17.8,242000
2017-03-29,1490745600,17.75,18.02,17.7,17.8,281600
2017-03-30,1490832000,17.8,17.95,17.75,17.85,279000
2017-03-31,1490918400,17.9,18.4,17.8,18.25,528200
2017-04-03,1491177600,18.35,18.35,17.8,18.05,389100
2017-04-04,1491264000,17.95,18.15,17.6,17.95,403600
2017-04-05,1491350400,18.05,18.1,17.6,17.7,558200
2017-04-06,1491436800,17.75,17.75,16.95,17.15,624300
2017-04-07,1491523200,17.2,17.25,16.75,16.8,572500
2017-04-10,1491782400,16.8,17.15,16.75,17.05,370700
2017-04-11,1491868800,17.0,17.3,16.95,17.2,400200
