Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.8,10.9,10.6,10.8,382400
2017-01-04,1483488000,10.85,11.1,10.8,10.9,434800
2017-01-05,1483574400,10.95,11.0,10.45,10.55,383500
2017-01-06,1483660800,10.6,10.75,10.3,10.5,244200
2017-01-09,1483920000,10.4,10.4,9.9,10.05,957000
2017-01-10,1484006400,10.1,10.48,10.1,10.45,323600
2017-01-11,1484092800,10.35,10.65,10.23,10.5,244200
2017-01-12,1484179200,10.4,10.5,10.2,10.25,339200
2017-01-13,1484265600,10.3,10.6,10.25,10.35,225400
2017-01-17,1484611200,10.3,10.35,10.07,10.2,406300
2017-01-18,1484697600,10.3,10.55,10.1,10.55,288000
2017-01-19,1484784000,10.5,10.6,10.35,10.45,487700
2017-01-20,1484870400,10.5,10.7,10.45,10.5,331600
2017-01-23,1485129600,10.5,10.6,10.3,10.55,210000
2017-01-24,1485216000,10.6,10.75,10.48,10.6,161700
2017-01-25,1485302400,10.55,10.75,10.36,10.7,314800
2017-01-26,1485388800,10.65,10.7,10.48,10.5,161800
2017-01-27,1485475200,10.5,10.75,10.43,10.65,362500
2017-01-30,1485734400,10.6,10.7,10.38,10.65,412400
2017-01-31,1485820800,10.55,10.85,10.45,10.8,383500
2017-02-01,1485907200,10.9,11.05,10.8,10.95,267700
2017-02-02,1485993600,10.9,11.2,10.85,10.9,395100
2017-02-03,1486080000,10.9,11.15,10.85,11.1,428100
2017-02-06,1486339200,11.1,11.3,11.0,11.1,407000
2017-02-07,1486425600,11.15,11.27,11.0,11.1,375400
2017-02-08,1486512000,11.1,11.25,10.95,11.2,204300
2017-02-09,1486598400,11.2,11.45,11.1,11.1,579600
2017-02-10,1486684800,11.2,11.4,11.15,11.25,521500
2017-02-13,1486944000,11.25,11.5,11.25,11.45,451600
2017-02-14,1487030400,11.4,11.5,11.2,11.5,384100
2017-02-15,1487116800,11.5,11.56,11.35,11.55,354400
2017-02-16,1487203200,11.45,11.45,10.45,11.3,942200
2017-02-17,1487289600,11.3,11.3,10.85,11.1,619400
2017-02-21,1487635200,11.15,11.2,10.75,10.85,540700
2017-02-22,1487721600,10.8,11.07,10.75,11.0,322800
2017-02-23,1487808000,11.05,11.1,10.85,10.9,200300
2017-02-24,1487894400,10.85,10.95,10.7,10.95,346800
2017-02-27,1488153600,10.9,11.0,10.82,10.95,333200
2017-02-28,1488240000,10.9,11.15,10.82,11.1,567100
2017-03-01,1488326400,11.25,12.0,11.2,11.9,796400
2017-03-02,1488412800,11.95,11.95,10.9,10.9,514100
2017-03-03,1488499200,10.85,11.1,10.77,11.05,374400
2017-03-06,1488758400,11.0,11.23,10.77,11.2,356100
2017-03-07,1488844800,11.15,11.23,10.9,11.05,243300
2017-03-08,1488931200,11.1,11.15,10.9,10.95,219000
2017-03-09,1489017600,10.95,11.15,10.8,10.95,244900
2017-03-10,1489104000,10.95,11.02,10.65,10.95,412600
2017-03-13,1489363200,10.9,11.3,10.85,11.25,243100
2017-03-14,1489449600,11.2,11.6,11.05,11.55,611100
2017-03-15,1489536000,11.45,11.55,11.2,11.45,422600
2017-03-16,1489622400,11.5,11.95,11.5,11.9,665400
2017-03-17,1489708800,12.4,12.4,11.7,11.8,466800
2017-03-20,1489968000,11.85,11.85,11.4,11.4,333900
2017-03-21,1490054400,11.5,11.5,10.95,10.95,401200
2017-03-22,1490140800,11.0,11.1,10.7,10.85,351300
2017-03-23,1490227200,10.8,11.3,10.8,11.05,340700
2017-03-24,1490313600,11.1,11.12,10.95,11.05,212500
2017-03-27,1490572800,10.9,11.25,10.8,11.2,162900
2017-03-28,1490659200,11.1,11.3,11.05,11.1,363800
2017-03-29,1490745600,11.1,11.15,10.89,10.95,348700
2017-03-30,1490832000,10.9,11.3,10.88,11.25,254300
2017-03-31,1490918400,11.25,11.55,11.15,11.4,751900
2017-04-03,1491177600,11.4,11.49,11.07,11.25,305000
2017-04-04,1491264000,11.25,11.5,11.25,11.45,443200
2017-04-05,1491350400,11.5,11.6,11.25,11.3,342200
2017-04-06,1491436800,11.3,11.55,11.2,11.5,328400
2017-04-07,1491523200,11.45,11.65,11.35,11.55,171400
2017-04-10,1491782400,12.0,12.25,11.7,12.2,682700
2017-04-11,1491868800,12.2,12.5,12.1,12.45,394500
2017-04-12,1491955200,12.45,12.55,12.3,12.45,267300
2017-04-13,1492041600,12.35,12.45,12.18,12.2,200900
2017-04-17,1492387200,12.3,12.32,12.1,12.3,390100
2017-04-18,1492473600,12.25,12.35,12.07,12.3,325800
2017-04-19,1492560000,12.3,12.4,12.15,12.2,387800
2017-04-20,1492646400,12.2,12.33,12.02,12.15,245000
2017-04-21,1492732800,12.15,12.2,11.76,11.95,363900
2017-04-24,1492992000,12.15,12.35,11.95,12.05,271000
2017-04-25,1493078400,12.2,12.27,12.07,12.2,304900
2017-04-26,1493164800,12.2,12.5,12.2,12.35,603300
2017-04-27,1493251200,12.35,12.49,11.75,11.75,547700
2017-04-28,1493337600,11.75,11.75,11.45,11.6,496600
2017-05-01,1493596800,11.7,11.79,11.25,11.3,717500
2017-05-02,1493683200,11.3,12.0,11.3,11.8,667000
2017-05-03,1493769600,11.7,11.95,11.6,11.65,583200
2017-05-04,1493856000,11.65,11.7,11.25,11.5,689100
2017-05-05,1493942400,11.5,11.5,10.46,11.1,1708900
2017-05-08,1494201600,11.05,11.05,10.65,10.8,1252100
2017-05-09,1494288000,10.8,11.02,10.65,10.95,816800
2017-05-10,1494374400,10.9,10.9,10.48,10.8,745300
2017-05-11,1494460800,10.8,11.05,10.75,11.05,376500
2017-05-12,1494547200,11.0,11.05,10.77,10.85,314900
2017-05-15,1494806400,10.85,11.02,10.85,10.95,228000
2017-05-16,1494892800,11.0,11.0,10.8,10.9,243100
2017-05-17,1494979200,10.7,10.75,10.5,10.55,383800
2017-05-18,1495065600,10.5,10.85,10.45,10.75,404600
2017-05-19,1495152000,10.75,10.85,10.45,10.5,290900
2017-05-22,1495411200,10.45,10.65,10.36,10.55,271900
2017-05-23,1495497600,10.6,10.7,10.35,10.55,227800
2017-05-24,1495584000,10.6,10.65,10.5,10.6,233400
2017-05-25,1495670400,10.6,10.65,10.5,10.5,369900
2017-05-26,1495756800,10.55,10.8,10.41,10.75,207900
2017-05-30,1496102400,10.75,10.8,10.45,10.5,285600
2017-05-31,1496188800,10.5,10.7,10.2,10.4,474700
2017-06-01,1496275200,10.45,10.68,10.35,10.65,264700
2017-06-02,1496361600,10.65,10.9,10.57,10.75,260700
2017-06-05,1496620800,10.7,10.75,10.45,10.55,363800
2017-06-06,1496707200,10.55,10.6,10.4,10.5,263300
2017-06-07,1496793600,10.5,10.75,10.45,10.7,393300
2017-06-08,1496880000,10.65,11.15,10.6,11.0,430800
2017-06-09,1496966400,11.0,11.35,10.98,11.15,473500
2017-06-12,1497225600,11.1,11.18,10.85,11.05,263000
2017-06-13,1497312000,11.05,11.3,10.95,11.2,229200
2017-06-14,1497398400,11.15,11.15,10.95,11.1,327200
2017-06-15,1497484800,11.0,11.1,10.9,10.95,246500
2017-06-16,1497571200,11.0,11.2,10.87,10.95,527200
2017-06-19,1497830400,11.0,11.25,11.0,11.1,249700
2017-06-20,1497916800,11.0,11.25,10.8,10.85,457200
2017-06-21,1498003200,10.95,11.05,10.77,10.8,386800
2017-06-22,1498089600,10.85,10.98,10.8,10.9,301000
2017-06-23,1498176000,11.0,11.02,10.9,10.95,1068200
2017-06-26,1498435200,10.9,11.18,10.9,10.95,157800
2017-06-27,1498521600,11.0,11.24,10.95,11.1,271900
2017-06-28,1498608000,11.2,11.48,11.2,11.25,351000
2017-06-29,1498694400,11.35,11.65,11.2,11.45,374800
2017-06-30,1498780800,11.5,11.52,11.3,11.45,374800
2017-07-03,1499040000,11.45,11.85,11.45,11.8,346700
2017-07-05,1499212800,11.8,11.9,11.65,11.7,323800
2017-07-06,1499299200,12.0,12.1,11.7,12.0,704700
2017-07-07,1499385600,12.05,12.18,11.8,12.15,351100
2017-07-10,1499644800,12.15,12.25,12.0,12.0,318400
2017-07-11,1499731200,11.95,12.05,11.7,11.75,632100
2017-07-12,1499817600,11.8,12.05,11.75,11.85,301300
2017-07-13,1499904000,11.8,12.05,11.8,11.95,233500
2017-07-14,1499990400,11.8,12.25,11.8,12.2,289100
2017-07-17,1500249600,11.65,11.88,11.4,11.85,554400
2017-07-18,1500336000,11.75,11.9,11.7,11.7,341200
2017-07-19,1500422400,11.8,11.85,11.65,11.7,179700
2017-07-20,1500508800,11.7,11.77,11.6,11.7,168000
2017-07-21,1500595200,11.8,11.8,11.42,11.65,293400
2017-07-24,1500854400,11.7,11.8,11.57,11.65,335000
2017-07-25,1500940800,11.7,11.95,11.65,11.65,201400
2017-07-26,1501027200,11.65,11.73,11.37,11.5,207400
2017-07-27,1501113600,11.55,11.75,11.52,11.7,350900
2017-07-28,1501200000,11.65,11.7,11.55,11.55,206800
2017-07-31,1501459200,11.6,11.9,11.45,11.8,406300
2017-08-01,1501545600,11.85,12.0,11.75,11.8,449400
2017-08-02,1501632000,11.7,12.01,11.5,11.8,428100
2017-08-03,1501718400,11.85,11.95,11.65,11.75,265700
2017-08-04,1501804800,11.8,12.0,11.75,12.0,410200
2017-08-07,1502064000,12.0,12.7,11.9,12.45,1609400
2017-08-08,1502150400,12.25,12.4,11.9,12.4,748800
2017-08-09,1502236800,12.25,12.3,11.9,12.05,394900
2017-08-10,1502323200,12.0,12.05,11.77,11.85,342200
2017-08-11,1502409600,11.85,11.95,11.55,11.55,253200
2017-08-14,1502668800,11.65,11.93,11.65,11.85,322200
2017-08-15,1502755200,11.9,11.95,11.6,11.6,209800
2017-08-16,1502841600,11.6,11.7,11.55,11.6,231700
2017-08-17,1502928000,11.6,11.75,11.43,11.45,269100
2017-08-18,1503014400,11.35,11.6,10.95,11.35,371700
2017-08-21,1503273600,11.25,11.45,11.23,11.25,124300
2017-08-22,1503360000,11.25,11.55,11.2,11.55,386600
2017-08-23,1503446400,11.4,11.75,11.4,11.75,325800
2017-08-24,1503532800,11.7,11.75,11.4,11.45,220900
2017-08-25,1503619200,11.45,11.55,11.37,11.45,173400
2017-08-28,1503878400,11.45,11.45,10.85,10.85,499400
2017-08-29,1503964800,10.85,11.1,10.56,10.8,684200
2017-08-30,1504051200,10.85,10.95,10.65,10.65,452900
2017-08-31,1504137600,10.75,10.95,10.7,10.85,348600
