Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.2,18.2,15.1,17.5,11860
2017-01-04,1483488000,17.3,18.5,16.1,16.3,9530
2017-01-05,1483574400,18.0,18.2,16.0,17.1,9380
2017-01-06,1483660800,17.8,18.5,15.5,16.1,10120
2017-01-09,1483920000,16.1,16.1,13.8,14.2,13930
2017-01-10,1484006400,14.8,15.69,13.2,13.9,6740
2017-01-11,1484092800,14.1,14.16,13.2,13.2,9350
2017-01-12,1484179200,13.0,16.1,13.0,13.78,38720
2017-01-13,1484265600,14.0,14.82,13.8,13.9,4920
2017-01-17,1484611200,13.7,14.0,12.5,13.2,7040
2017-01-18,1484697600,13.3,13.8,13.27,13.5,1620
2017-01-19,1484784000,13.6,15.5,13.6,14.1,20190
2017-01-20,1484870400,14.2,16.66,14.0,14.4,20950
2017-01-23,1485129600,14.2,15.39,13.5,14.5,7280
2017-01-24,1485216000,14.18,17.2,13.8,15.2,27400
2017-01-25,1485302400,15.29,16.6,15.04,15.9,6020
2017-01-26,1485388800,17.0,29.5,17.0,21.6,272280
2017-01-27,1485475200,23.4,23.98,18.61,19.0,55610
2017-01-30,1485734400,19.6,20.0,16.5,16.7,10510
2017-01-31,1485820800,16.7,17.6,15.8,16.1,7150
2017-02-01,1485907200,16.0,17.5,15.0,17.3,17200
2017-02-02,1485993600,17.4,19.7,16.04,19.1,22270
2017-02-03,1486080000,19.5,19.5,16.5,17.13,6790
2017-02-06,1486339200,17.3,17.5,16.3,16.7,4700
2017-02-07,1486425600,16.5,17.8,16.0,16.7,8740
2017-02-08,1486512000,16.8,17.5,16.5,16.9,5420
2017-02-09,1486598400,17.27,18.5,16.5,18.0,14370
2017-02-10,1486684800,18.0,18.8,16.91,17.5,10510
2017-02-13,1486944000,16.9,17.7,16.6,17.0,3690
2017-02-14,1487030400,16.8,18.2,16.5,17.2,15330
2017-02-15,1487116800,17.2,18.2,17.0,17.4,6290
2017-02-16,1487203200,17.8,17.8,17.0,17.1,4030
2017-02-17,1487289600,17.13,17.7,16.7,17.1,3150
2017-02-21,1487635200,17.3,17.3,16.0,16.4,7270
2017-02-22,1487721600,16.2,16.4,15.1,15.3,12990
2017-02-23,1487808000,15.2,15.56,14.6,14.7,3860
2017-02-24,1487894400,14.5,15.03,14.2,14.5,4720
2017-02-27,1488153600,14.7,14.7,14.2,14.4,5830
2017-02-28,1488240000,14.4,15.4,14.2,14.5,8000
2017-03-01,1488326400,14.5,15.0,14.1,14.6,6680
2017-03-02,1488412800,14.9,15.0,13.5,13.7,7590
2017-03-03,1488499200,13.7,14.32,13.0,13.0,4560
2017-03-06,1488758400,13.0,14.3,13.0,14.3,3860
2017-03-07,1488844800,14.6,14.6,13.0,13.8,4000
2017-03-08,1488931200,13.5,14.3,13.3,13.8,3900
2017-03-09,1489017600,13.9,14.3,13.71,13.9,2360
2017-03-10,1489104000,13.9,13.9,13.5,13.5,2450
2017-03-13,1489363200,14.2,14.2,13.21,14.1,6960
2017-03-14,1489449600,13.67,14.6,13.4,13.75,1420
2017-03-15,1489536000,13.8,14.3,13.3,13.3,4120
2017-03-16,1489622400,13.3,14.1,13.0,13.1,3040
2017-03-17,1489708800,13.8,13.8,12.9,12.9,5340
2017-03-20,1489968000,13.16,13.3,12.9,13.2,2400
2017-03-21,1490054400,13.3,14.0,13.1,13.5,4890
2017-03-22,1490140800,14.1,14.1,13.1,13.3,1550
2017-03-23,1490227200,13.88,13.88,13.1,13.1,1280
2017-03-24,1490313600,13.2,13.2,12.9,13.0,1990
2017-03-27,1490572800,11.2,12.4,11.2,11.7,15980
2017-03-28,1490659200,11.9,12.0,11.5,11.7,5690
2017-03-29,1490745600,11.5,13.1,11.5,12.7,9420
2017-03-30,1490832000,13.0,13.0,12.2,12.8,11310
2017-03-31,1490918400,13.4,13.4,11.8,12.0,6780
2017-04-03,1491177600,11.9,12.1,11.2,11.2,4920
2017-04-04,1491264000,11.2,13.0,11.0,11.0,11400
2017-04-05,1491350400,13.5,16.7,11.2,11.6,159710
2017-04-06,1491436800,12.2,12.6,11.1,11.7,26870
2017-04-07,1491523200,11.5,11.9,11.0,11.5,12850
2017-04-10,1491782400,11.6,11.7,11.0,11.6,12910
2017-04-11,1491868800,11.5,11.54,11.0,11.2,6720
2017-04-12,1491955200,11.2,13.3,10.4,11.2,89600
2017-04-13,1492041600,10.9,11.5,10.7,11.0,10820
2017-04-17,1492387200,11.0,11.07,10.3,10.36,10850
2017-04-18,1492473600,10.1,10.5,9.6,9.6,14280
2017-04-19,1492560000,9.0,9.5,7.81,7.9,31490
2017-04-20,1492646400,8.3,8.3,7.5,7.6,7450
2017-04-21,1492732800,7.46,8.3,7.4,7.63,8630
2017-04-24,1492992000,7.65,7.98,7.4,7.4,5420
2017-04-25,1493078400,7.1,7.4,6.3,6.73,15710
2017-04-26,1493164800,6.45,8.29,6.06,7.6,17260
2017-04-27,1493251200,7.49,7.49,6.51,6.6,7380
2017-04-28,1493337600,6.5,12.4,6.5,10.1,330670
2017-05-01,1493596800,10.3,11.5,7.8,8.28,117350
2017-05-02,1493683200,8.3,9.0,7.6,7.9,19350
2017-05-03,1493769600,8.3,9.8,7.5,8.0,48640
2017-05-04,1493856000,7.7,8.09,7.1,7.7,49250
2017-05-05,1493942400,7.35,7.56,6.8,6.93,16220
2017-05-08,1494201600,7.2,7.23,6.9,7.1,12940
2017-05-09,1494288000,7.5,7.7,7.02,7.5,11680
2017-05-10,1494374400,7.5,7.5,7.0,7.3,9100
2017-05-11,1494460800,7.01,7.46,6.31,6.8,16340
2017-05-12,1494547200,6.8,7.15,6.3,6.93,21170
2017-05-15,1494806400,7.27,7.27,6.7,7.2,14520
2017-05-16,1494892800,7.2,7.2,6.4,6.68,15730
2017-05-17,1494979200,6.5,6.9,6.03,6.5,13520
2017-05-18,1495065600,6.4,6.59,6.2,6.2,8510
2017-05-19,1495152000,6.3,6.5,5.5,6.38,34230
2017-05-22,1495411200,6.3,6.6,5.5,5.85,13130
2017-05-23,1495497600,5.8,6.0,5.8,5.9,10130
2017-05-24,1495584000,5.8,6.1,5.21,5.59,11330
2017-05-25,1495670400,5.28,5.5,5.1,5.21,9910
2017-05-26,1495756800,5.2,5.6,4.51,4.8,5930
2017-05-30,1496102400,4.65,4.65,4.03,4.25,12710
2017-05-31,1496188800,4.1,5.7,4.1,5.7,18480
2017-06-01,1496275200,6.1,6.1,4.9,5.53,11980
2017-06-02,1496361600,5.3,5.5,4.8,5.15,4760
2017-06-05,1496620800,5.2,5.9,5.0,5.65,16180
2017-06-06,1496707200,5.9,5.9,4.6,4.9,18710
2017-06-07,1496793600,4.76,6.0,4.7,5.01,43970
2017-06-08,1496880000,5.26,5.5,4.9,5.0,5210
2017-06-09,1496966400,4.95,5.28,4.7,4.9,8800
2017-06-12,1497225600,5.15,5.15,4.67,4.85,2890
2017-06-13,1497312000,4.9,5.0,4.5,4.7,4440
2017-06-14,1497398400,5.0,6.9,5.0,5.39,56780
2017-06-15,1497484800,5.1,5.35,4.5,5.09,10040
2017-06-16,1497571200,4.87,5.21,4.7,4.9,14600
2017-06-19,1497830400,5.3,6.2,5.2,5.21,55200
2017-06-20,1497916800,5.5,5.5,4.65,4.82,18800
2017-06-21,1498003200,5.0,5.15,4.71,4.9,8620
2017-06-22,1498089600,4.9,5.6,4.73,5.4,24110
2017-06-23,1498176000,5.5,5.6,4.82,5.3,23230
2017-06-26,1498435200,5.4,5.4,4.85,4.93,20310
2017-06-27,1498521600,5.17,5.4,4.9,4.92,26440
2017-06-28,1498608000,5.0,5.0,4.71,4.85,15740
2017-06-29,1498694400,5.0,5.1,4.63,5.0,25960
2017-06-30,1498780800,5.0,5.0,4.7,4.88,11050
2017-07-03,1499040000,6.6,13.7,6.0,12.7,781440
2017-07-05,1499212800,16.5,23.5,15.3,16.8,2238120
2017-07-06,1499299200,14.2,14.9,12.2,12.5,204940
2017-07-07,1499385600,10.9,12.5,10.3,11.7,113420
2017-07-10,1499644800,12.3,14.7,10.2,10.39,211790
2017-07-11,1499731200,10.4,11.9,10.3,11.1,54270
2017-07-12,1499817600,11.0,12.39,10.45,10.9,60050
2017-07-13,1499904000,11.0,11.0,9.6,10.31,44630
2017-07-14,1499990400,10.2,10.2,9.7,9.83,19070
2017-07-17,1500249600,9.62,10.0,7.6,8.2,85310
2017-07-18,1500336000,8.1,8.12,7.24,7.7,37420
2017-07-19,1500422400,7.47,9.0,7.21,7.73,36580
2017-07-20,1500508800,7.73,8.7,7.53,7.6,52930
2017-07-21,1500595200,7.6,8.2,7.5,7.6,35810
2017-07-24,1500854400,7.99,8.3,7.51,7.53,32720
2017-07-25,1500940800,7.45,7.51,6.5,6.85,16080
2017-07-26,1501027200,7.01,7.29,6.5,6.5,19680
2017-07-27,1501113600,6.5,6.83,6.31,6.37,11250
2017-07-28,1501200000,6.5,7.8,6.2,6.35,52310
2017-07-31,1501459200,6.35,6.6,6.01,6.4,17580
2017-08-01,1501545600,6.4,6.4,6.1,6.25,6750
2017-08-02,1501632000,6.35,6.35,5.31,5.51,23700
2017-08-03,1501718400,5.51,6.0,5.41,5.7,10840
2017-08-04,1501804800,5.7,6.7,5.5,6.07,50240
2017-08-07,1502064000,6.07,6.07,5.5,5.9,15430
2017-08-08,1502150400,5.71,6.24,5.6,5.62,20130
2017-08-09,1502236800,5.62,5.99,5.53,5.8,10730
2017-08-10,1502323200,6.1,6.1,5.5,5.57,18130
2017-08-11,1502409600,5.57,5.79,5.1,5.3,8780
2017-08-14,1502668800,5.7,5.79,5.1,5.7,11750
2017-08-15,1502755200,6.3,8.3,6.1,6.2,109980
2017-08-16,1502841600,6.4,6.5,5.72,5.72,17080
2017-08-17,1502928000,5.7,6.25,5.7,5.8,6430
2017-08-18,1503014400,5.8,7.1,5.71,6.3,41380
2017-08-21,1503273600,6.62,7.6,6.0,7.1,23740
2017-08-22,1503360000,6.85,6.85,6.25,6.5,19570
2017-08-23,1503446400,6.7,6.7,6.2,6.48,8580
2017-08-24,1503532800,6.35,6.59,6.01,6.35,5790
2017-08-25,1503619200,6.15,12.5,6.15,9.93,617380
2017-08-28,1503878400,9.8,11.5,8.11,9.5,302770
2017-08-29,1503964800,9.5,9.5,8.1,8.4,58500
2017-08-30,1504051200,8.2,9.89,8.2,8.21,58250
2017-08-31,1504137600,8.61,9.0,7.5,7.86,45310
2017-09-01,1504224000,7.5,7.79,6.67,7.2,30150
2017-09-05,1504569600,7.26,10.8,7.2,9.2,347040
2017-09-06,1504656000,8.79,9.09,7.68,8.2,64060
2017-09-07,1504742400,8.38,9.5,8.3,8.73,71730
2017-09-08,1504828800,8.73,8.73,8.39,8.43,14890
2017-09-11,1505088000,8.4,9.3,7.93,8.49,45470
