Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.25,18.25,17.95,18.03,261200
2017-01-04,1483488000,18.09,18.32,17.99,18.26,303800
2017-01-05,1483574400,18.25,18.81,18.15,18.71,426700
2017-01-06,1483660800,18.69,19.08,18.66,19.07,480400
2017-01-09,1483920000,19.08,19.15,18.65,19.0,344000
2017-01-10,1484006400,19.03,19.11,18.74,18.79,295700
2017-01-11,1484092800,18.8,18.8,18.37,18.38,321100
2017-01-12,1484179200,18.38,18.57,18.05,18.24,269500
2017-01-13,1484265600,18.17,18.24,17.99,18.01,289300
2017-01-17,1484611200,17.99,18.24,17.96,18.05,221300
2017-01-18,1484697600,18.04,18.14,17.99,18.04,240700
2017-01-19,1484784000,17.95,18.04,17.76,18.01,284700
2017-01-20,1484870400,18.01,18.25,17.93,18.24,155200
2017-01-23,1485129600,18.24,18.84,18.18,18.82,304300
2017-01-24,1485216000,18.67,19.18,18.67,19.09,553000
2017-01-25,1485302400,19.08,19.26,18.53,18.75,362400
2017-01-26,1485388800,18.68,18.88,18.6,18.83,206600
2017-01-27,1485475200,18.86,18.86,18.56,18.66,252700
2017-01-30,1485734400,18.65,18.68,18.28,18.36,300900
2017-01-31,1485820800,18.35,18.81,18.34,18.37,843400
2017-02-01,1485907200,18.32,18.64,18.32,18.59,271500
2017-02-02,1485993600,18.74,18.78,18.56,18.74,256300
2017-02-03,1486080000,18.85,18.96,18.7,18.95,209000
2017-02-06,1486339200,18.94,18.99,18.79,18.85,212200
2017-02-07,1486425600,18.89,19.03,18.83,18.91,222800
2017-02-08,1486512000,18.91,19.22,18.76,19.08,268300
2017-02-09,1486598400,18.99,19.25,18.98,19.05,171500
2017-02-10,1486684800,18.97,19.29,18.97,19.28,157000
2017-02-13,1486944000,19.19,19.38,19.08,19.27,175000
2017-02-14,1487030400,19.23,19.23,18.75,18.86,162800
2017-02-15,1487116800,18.69,18.84,18.45,18.79,380000
2017-02-16,1487203200,18.75,19.18,18.75,19.17,298300
2017-02-17,1487289600,19.24,19.58,19.13,19.57,280400
2017-02-21,1487635200,19.5,20.08,19.46,19.77,396800
2017-02-22,1487721600,19.79,19.94,19.66,19.83,450400
2017-02-23,1487808000,19.83,19.98,19.52,19.57,271000
2017-02-24,1487894400,19.57,19.82,19.41,19.77,411400
2017-02-27,1488153600,19.8,19.85,19.62,19.82,394100
2017-02-28,1488240000,19.89,20.34,19.84,20.0,503900
2017-03-01,1488326400,20.05,20.4,19.96,20.32,450600
2017-03-02,1488412800,20.26,20.53,20.12,20.19,314500
2017-03-03,1488499200,20.17,20.41,19.98,20.39,362700
2017-03-06,1488758400,20.22,20.27,20.0,20.17,305600
2017-03-07,1488844800,20.1,20.22,19.87,19.94,250900
2017-03-08,1488931200,19.87,20.01,19.66,19.74,425000
2017-03-09,1489017600,19.76,19.89,19.44,19.45,280300
2017-03-10,1489104000,19.51,19.65,19.33,19.35,425700
2017-03-13,1489363200,19.4,19.52,19.29,19.37,312600
2017-03-14,1489449600,19.32,19.48,19.02,19.02,415700
2017-03-15,1489536000,19.13,19.57,19.13,19.52,478600
2017-03-16,1489622400,19.28,19.65,19.28,19.44,297700
2017-03-17,1489708800,19.42,20.18,19.42,19.92,1349100
2017-03-20,1489968000,19.99,20.15,19.75,20.04,465400
2017-03-21,1490054400,20.07,20.07,19.69,19.69,479000
2017-03-22,1490140800,19.69,19.88,19.57,19.82,248700
2017-03-23,1490227200,19.8,20.02,19.64,19.86,412700
2017-03-24,1490313600,19.86,19.9,19.71,19.72,213700
2017-03-27,1490572800,19.7,19.9,19.67,19.83,261900
2017-03-28,1490659200,19.79,20.03,19.65,19.97,683700
2017-03-29,1490745600,19.95,19.97,19.69,19.77,379500
2017-03-30,1490832000,19.82,19.82,19.54,19.72,349200
2017-03-31,1490918400,19.68,20.02,19.67,19.94,336000
2017-04-03,1491177600,19.87,20.09,19.65,19.74,268500
2017-04-04,1491264000,19.73,20.23,19.72,19.96,352800
2017-04-05,1491350400,20.02,20.33,19.97,20.23,406700
2017-04-06,1491436800,20.32,21.03,20.25,20.93,896400
2017-04-07,1491523200,20.98,21.18,20.84,21.01,346200
2017-04-10,1491782400,21.01,21.18,20.85,20.86,227500
2017-04-11,1491868800,20.87,21.42,20.82,21.3,300200
2017-04-12,1491955200,21.22,21.38,21.1,21.18,309800
2017-04-13,1492041600,21.18,21.43,21.03,21.18,232600
2017-04-17,1492387200,21.23,21.69,21.23,21.61,246400
