Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,22.5,22.52,21.81,22.08,98900
2017-01-04,1483488000,22.25,22.64,21.83,22.15,248200
2017-01-05,1483574400,22.14,22.49,21.71,21.96,133000
2017-01-06,1483660800,22.08,23.04,21.95,22.75,72800
2017-01-09,1483920000,23.1,23.25,22.53,22.99,130100
2017-01-10,1484006400,20.5,20.99,16.61,17.99,1429900
2017-01-11,1484092800,18.13,18.7,17.61,17.88,704200
2017-01-12,1484179200,17.81,18.89,17.54,18.76,291400
2017-01-13,1484265600,18.85,19.16,18.7,18.94,126900
2017-01-17,1484611200,18.79,18.79,17.65,18.02,205800
2017-01-18,1484697600,18.01,18.01,17.14,17.95,451600
2017-01-19,1484784000,17.95,18.17,17.61,17.76,123500
2017-01-20,1484870400,17.7,18.11,17.19,17.26,176500
2017-01-23,1485129600,17.16,17.64,17.01,17.54,287500
2017-01-24,1485216000,17.57,17.78,17.07,17.59,173800
2017-01-25,1485302400,17.8,17.93,17.4,17.58,172500
2017-01-26,1485388800,17.6,17.75,17.31,17.65,96900
2017-01-27,1485475200,17.79,17.84,17.56,17.75,86100
2017-01-30,1485734400,17.7,17.8,17.54,17.67,138900
2017-01-31,1485820800,17.53,18.23,17.53,18.04,106900
2017-02-01,1485907200,18.15,18.6,18.09,18.49,182000
2017-02-02,1485993600,18.52,18.9,18.24,18.68,129300
2017-02-03,1486080000,18.73,19.13,18.63,19.1,83400
2017-02-06,1486339200,19.1,19.2,18.53,18.8,140600
2017-02-07,1486425600,18.8,19.24,18.57,19.01,123900
2017-02-08,1486512000,18.95,19.37,18.75,19.08,124500
2017-02-09,1486598400,19.05,19.6,19.05,19.53,134600
2017-02-10,1486684800,19.58,19.64,19.12,19.22,168100
2017-02-13,1486944000,19.33,19.33,18.84,18.98,101600
2017-02-14,1487030400,18.88,19.31,18.81,18.99,261700
2017-02-15,1487116800,19.02,19.19,18.64,19.17,234500
2017-02-16,1487203200,19.04,19.68,18.37,19.07,154900
2017-02-17,1487289600,19.11,19.38,18.95,19.11,140900
2017-02-21,1487635200,19.17,19.54,18.91,19.27,114700
2017-02-22,1487721600,19.21,19.45,18.91,18.97,125800
2017-02-23,1487808000,19.11,19.35,18.81,19.03,180100
2017-02-24,1487894400,18.89,19.49,18.62,18.83,218700
2017-02-27,1488153600,18.81,19.34,18.64,19.08,205400
2017-02-28,1488240000,18.98,19.28,18.68,18.87,168400
2017-03-01,1488326400,19.06,19.38,18.86,19.09,386800
2017-03-02,1488412800,18.74,19.19,16.5,18.5,605200
2017-03-03,1488499200,18.44,19.41,18.44,19.2,173400
2017-03-06,1488758400,18.94,19.45,18.78,19.24,241900
2017-03-07,1488844800,19.08,19.27,18.67,18.76,188900
2017-03-08,1488931200,18.74,19.0,18.08,18.57,194000
2017-03-09,1489017600,18.66,19.13,18.46,18.86,164100
2017-03-10,1489104000,19.01,19.38,18.56,18.74,143000
2017-03-13,1489363200,18.64,18.85,18.3,18.5,108600
2017-03-14,1489449600,18.37,18.66,17.93,18.38,103700
2017-03-15,1489536000,18.39,18.9,18.36,18.82,105100
2017-03-16,1489622400,18.74,19.04,18.46,18.63,149000
2017-03-17,1489708800,18.58,19.21,18.33,18.96,335600
2017-03-20,1489968000,18.99,19.01,18.44,18.7,182600
2017-03-21,1490054400,18.74,19.17,18.2,18.29,222700
2017-03-22,1490140800,18.3,18.57,18.24,18.54,158000
2017-03-23,1490227200,18.54,19.29,18.48,19.16,125500
2017-03-24,1490313600,19.17,19.51,19.1,19.36,83700
2017-03-27,1490572800,19.26,19.94,19.12,19.77,131000
2017-03-28,1490659200,19.77,19.98,19.5,19.75,80200
2017-03-29,1490745600,19.69,19.93,19.45,19.72,124200
2017-03-30,1490832000,19.7,20.02,19.58,19.82,104600
2017-03-31,1490918400,19.83,20.06,19.44,19.87,112400
2017-04-03,1491177600,19.94,20.7,19.71,19.76,151100
2017-04-04,1491264000,19.75,20.09,19.04,19.3,63000
2017-04-05,1491350400,19.37,19.5,18.89,18.97,85700
2017-04-06,1491436800,18.95,19.6,18.5,19.57,156800
2017-04-07,1491523200,19.52,19.83,18.97,19.8,114200
2017-04-10,1491782400,19.83,20.16,19.55,19.57,128100
2017-04-11,1491868800,19.55,19.9,19.3,19.58,83400
2017-04-12,1491955200,19.46,19.53,19.15,19.29,77800
2017-04-13,1492041600,19.23,19.47,19.07,19.28,68200
2017-04-17,1492387200,19.3,19.68,19.25,19.66,47200
2017-04-18,1492473600,19.56,19.58,18.95,18.99,178700
2017-04-19,1492560000,19.0,19.23,18.93,18.99,142100
2017-04-20,1492646400,18.21,18.39,16.97,17.69,478100
2017-04-21,1492732800,17.66,17.77,17.31,17.42,117700
2017-04-24,1492992000,17.59,18.0,17.3,17.87,145500
2017-04-25,1493078400,17.97,18.19,17.69,17.75,161200
2017-04-26,1493164800,17.67,18.0,17.63,17.89,68100
2017-04-27,1493251200,17.89,17.99,17.38,17.4,68600
2017-04-28,1493337600,17.46,17.74,17.23,17.48,181100
2017-05-01,1493596800,17.6,17.92,17.36,17.5,289100
2017-05-02,1493683200,17.45,17.64,17.45,17.5,147100
2017-05-03,1493769600,17.24,17.4,16.75,16.77,103300
2017-05-04,1493856000,16.78,17.54,16.74,17.38,282700
2017-05-05,1493942400,18.1,19.14,18.1,18.45,407900
2017-05-08,1494201600,18.35,18.55,18.17,18.42,177700
2017-05-09,1494288000,18.38,18.74,18.37,18.55,226700
