Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.9,13.13,12.86,13.03,2361398
2017-01-04,1483488000,13.07,13.33,12.96,13.16,3550124
2017-01-05,1483574400,13.16,13.39,13.08,13.13,3895122
2017-01-06,1483660800,13.47,13.71,13.37,13.45,5014433
2017-01-09,1483920000,13.44,13.93,13.37,13.86,4815426
2017-01-10,1484006400,13.94,13.96,13.34,13.38,6257328
2017-01-11,1484092800,13.38,13.57,13.38,13.54,3347075
2017-01-12,1484179200,13.54,13.55,13.29,13.45,2217947
2017-01-13,1484265600,13.45,13.58,13.39,13.48,1726379
2017-01-17,1484611200,13.48,13.64,13.44,13.48,2430467
2017-01-18,1484697600,13.42,13.53,13.31,13.37,3152342
2017-01-19,1484784000,13.39,13.75,13.31,13.65,3291866
2017-01-20,1484870400,13.65,13.81,13.54,13.63,1907945
2017-01-23,1485129600,13.66,13.76,13.56,13.62,2101176
2017-01-24,1485216000,13.64,13.91,13.6,13.81,1938321
2017-01-25,1485302400,13.91,14.15,13.76,13.85,7199346
2017-01-26,1485388800,13.93,14.06,13.74,13.83,2607990
2017-01-27,1485475200,13.83,13.89,13.72,13.82,1779509
2017-01-30,1485734400,13.71,13.85,13.56,13.71,1844189
2017-01-31,1485820800,13.66,13.82,13.6,13.73,3095400
2017-02-01,1485907200,13.8,13.85,13.66,13.84,2135018
2017-02-02,1485993600,13.82,13.88,13.72,13.84,2535225
2017-02-03,1486080000,13.85,13.93,13.77,13.83,3229496
2017-02-06,1486339200,13.82,13.86,13.71,13.81,2733192
2017-02-07,1486425600,13.81,13.85,13.57,13.76,4398933
2017-02-08,1486512000,13.85,14.49,13.83,14.37,28836308
2017-02-09,1486598400,14.46,14.59,14.35,14.49,7096782
2017-02-10,1486684800,14.46,14.55,14.37,14.45,2805495
2017-02-13,1486944000,14.45,14.8,14.43,14.76,4204316
2017-02-14,1487030400,14.61,14.76,14.55,14.64,4485905
2017-02-15,1487116800,14.64,14.94,14.59,14.81,3931274
2017-02-16,1487203200,14.75,14.94,14.54,14.6,3396162
2017-02-17,1487289600,14.61,14.81,14.61,14.68,2002308
2017-02-21,1487635200,14.81,14.83,14.58,14.74,3405749
2017-02-22,1487721600,14.73,14.78,14.63,14.74,2140446
2017-02-23,1487808000,14.77,14.77,14.6,14.65,2011664
2017-02-24,1487894400,14.61,14.8,14.48,14.76,2130975
2017-02-27,1488153600,14.69,14.93,14.59,14.92,3099443
2017-02-28,1488240000,15.01,15.06,14.73,14.74,2964539
2017-03-01,1488326400,14.82,14.91,14.79,14.84,2407020
2017-03-02,1488412800,14.79,14.83,14.65,14.8,2672786
2017-03-03,1488499200,14.83,14.87,14.68,14.87,2538113
2017-03-06,1488758400,14.8,14.86,14.61,14.68,2032223
2017-03-07,1488844800,14.63,14.76,14.41,14.43,2650494
2017-03-08,1488931200,14.46,14.66,14.37,14.64,3663545
