Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,19.05,19.05,18.01,18.01,1350
2017-01-04,1483488000,18.2,18.43,18.03,18.15,7200
2017-01-05,1483574400,18.15,18.66,18.15,18.66,1650
2017-01-06,1483660800,18.66,18.66,18.51,18.66,4350
2017-01-09,1483920000,18.63,18.65,18.54,18.55,2100
2017-01-10,1484006400,18.66,18.66,18.32,18.32,3600
2017-01-11,1484092800,18.27,18.27,18.27,18.27,300
2017-01-12,1484179200,18.27,18.27,18.27,18.27,0
2017-01-13,1484265600,18.48,18.48,18.3,18.3,600
2017-01-17,1484611200,18.27,18.56,18.23,18.56,3600
2017-01-18,1484697600,19.08,19.41,18.4,19.41,8100
2017-01-19,1484784000,19.39,19.47,18.84,19.47,17850
2017-01-20,1484870400,19.46,19.46,19.46,19.46,900
2017-01-23,1485129600,19.79,19.88,18.41,19.77,1500
2017-01-24,1485216000,19.96,20.81,19.41,20.44,14100
2017-01-25,1485302400,19.7,20.73,19.7,20.73,9750
2017-01-26,1485388800,20.73,20.83,20.69,20.69,1800
2017-01-27,1485475200,20.84,20.84,20.17,20.36,6000
2017-01-30,1485734400,20.41,20.55,20.37,20.55,6900
2017-01-31,1485820800,20.53,20.83,20.41,20.83,5850
2017-02-01,1485907200,21.13,21.13,20.7,20.85,7500
2017-02-02,1485993600,20.62,20.62,20.55,20.55,2850
2017-02-03,1486080000,21.13,21.7,20.74,21.7,5100
2017-02-06,1486339200,21.7,22.55,21.62,22.55,13650
2017-02-07,1486425600,21.41,22.27,21.41,22.12,9900
2017-02-08,1486512000,21.69,22.55,21.69,22.55,17700
2017-02-09,1486598400,21.77,22.55,21.76,22.27,1050
2017-02-10,1486684800,22.27,22.55,22.1,22.27,13200
2017-02-13,1486944000,22.43,22.55,21.25,22.55,5400
2017-02-14,1487030400,22.71,22.71,22.35,22.68,7950
2017-02-15,1487116800,22.83,22.84,22.27,22.82,12900
2017-02-16,1487203200,21.91,22.55,21.91,22.5,3000
2017-02-17,1487289600,22.07,22.54,21.99,22.27,5550
2017-02-21,1487635200,21.99,21.99,21.99,21.99,1950
2017-02-22,1487721600,19.98,21.98,19.7,21.98,4650
2017-02-23,1487808000,20.58,21.41,20.58,21.41,1800
2017-02-24,1487894400,20.85,21.27,20.85,21.27,1500
2017-02-27,1488153600,21.27,21.27,21.06,21.25,3150
2017-02-28,1488240000,21.2,21.27,21.11,21.21,3000
2017-03-01,1488326400,21.09,21.09,20.97,20.97,1050
2017-03-02,1488412800,21.09,21.09,21.09,21.09,600
2017-03-03,1488499200,21.3,21.3,21.3,21.3,1500
2017-03-06,1488758400,20.93,21.33,20.93,21.33,450
2017-03-07,1488844800,21.13,21.67,21.13,21.15,1500
2017-03-08,1488931200,21.41,21.41,21.19,21.29,7500
2017-03-09,1489017600,21.91,21.95,21.7,21.7,1650
2017-03-10,1489104000,21.87,21.92,21.7,21.7,2850
2017-03-13,1489363200,21.7,21.71,21.42,21.55,3450
2017-03-14,1489449600,21.9,21.9,21.47,21.47,1050
2017-03-15,1489536000,21.84,21.9,21.26,21.26,1350
2017-03-16,1489622400,21.7,21.7,21.33,21.33,450
2017-03-17,1489708800,21.88,21.88,21.88,21.88,1800
2017-03-20,1489968000,21.35,21.9,21.35,21.9,3150
2017-03-21,1490054400,21.7,21.98,21.35,21.98,6600
2017-03-22,1490140800,21.92,21.92,21.62,21.87,4800
2017-03-23,1490227200,21.66,21.81,21.66,21.81,600
2017-03-24,1490313600,21.7,21.72,21.7,21.72,750
2017-03-27,1490572800,21.72,21.72,21.67,21.67,1350
2017-03-28,1490659200,21.67,22.12,21.59,21.59,3300
2017-03-29,1490745600,22.12,22.12,21.22,22.12,3450
2017-03-30,1490832000,21.78,22.3,21.7,22.26,9600
2017-03-31,1490918400,22.27,24.52,22.2,23.92,30000
2017-04-03,1491177600,23.84,23.98,23.27,23.45,4200
2017-04-04,1491264000,23.28,23.84,23.12,23.2,13650
2017-04-05,1491350400,23.0,23.21,22.84,23.11,3150
2017-04-06,1491436800,22.84,23.41,22.84,23.15,1350
2017-04-07,1491523200,22.87,23.15,22.32,22.84,6150
2017-04-10,1491782400,22.28,23.07,22.27,23.01,13200
2017-04-11,1491868800,23.02,23.02,22.45,22.68,2100
2017-04-12,1491955200,22.47,23.02,22.47,23.02,2100
2017-04-13,1492041600,23.02,23.02,22.8,23.02,2250
2017-04-17,1492387200,22.27,23.19,22.27,23.02,1650
2017-04-18,1492473600,23.02,23.02,22.47,22.55,3150
2017-04-19,1492560000,22.92,22.92,22.59,22.73,5700
2017-04-20,1492646400,22.84,23.14,22.84,23.01,13650
2017-04-21,1492732800,23.02,23.04,22.65,22.65,1800
2017-04-24,1492992000,23.02,23.16,22.86,23.02,1950
2017-04-25,1493078400,22.99,22.99,22.96,22.96,1950
2017-04-26,1493164800,22.96,22.96,22.51,22.51,4200
2017-04-27,1493251200,22.84,22.91,21.0,21.27,36600
2017-04-28,1493337600,21.21,21.81,21.08,21.72,5550
2017-05-01,1493596800,21.96,22.31,21.96,22.31,1500
2017-05-02,1493683200,22.19,22.7,22.19,22.45,600
2017-05-03,1493769600,21.75,22.45,21.75,22.45,5100
2017-05-04,1493856000,22.41,22.42,22.1,22.1,6900
2017-05-05,1493942400,22.3,22.3,21.68,21.73,11850
2017-05-08,1494201600,22.3,22.3,21.29,21.73,4500
2017-05-09,1494288000,21.3,21.48,21.01,21.28,10200
2017-05-10,1494374400,21.08,21.87,21.08,21.86,10650
2017-05-11,1494460800,21.85,21.93,21.6,21.9,9450
2017-05-12,1494547200,21.44,21.9,21.44,21.9,8400
2017-05-15,1494806400,22.39,22.42,22.11,22.16,4650
2017-05-16,1494892800,22.1,22.51,22.09,22.51,4950
2017-05-17,1494979200,22.42,22.42,21.66,22.24,4200
2017-05-18,1495065600,22.16,22.45,22.16,22.45,9300
2017-05-19,1495152000,22.64,22.65,22.35,22.45,19950
2017-05-22,1495411200,22.32,22.73,21.89,22.45,5100
2017-05-23,1495497600,22.43,22.56,21.8,22.44,8550
2017-05-24,1495584000,21.78,22.45,21.41,22.45,4800
2017-05-25,1495670400,22.09,22.7,21.73,22.46,5850
2017-05-26,1495756800,21.55,22.45,21.55,22.23,4800
2017-05-30,1496102400,22.41,22.45,21.95,22.33,5850
2017-05-31,1496188800,21.76,22.59,21.44,22.39,6300
2017-06-01,1496275200,22.41,22.45,22.23,22.33,6450
