Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,28.5,28.5,27.0,27.8,2400
2017-01-04,1483488000,27.5,29.07,27.07,27.9,1740
2017-01-05,1483574400,28.2,28.8,27.3,27.9,3010
2017-01-06,1483660800,28.0,28.0,27.2,27.6,3590
2017-01-09,1483920000,27.9,28.42,27.13,27.6,2000
2017-01-10,1484006400,27.5,27.9,27.2,27.3,2930
2017-01-11,1484092800,27.7,27.7,26.9,26.9,2630
2017-01-12,1484179200,27.0,27.4,26.5,26.5,5300
2017-01-13,1484265600,26.9,29.2,26.6,27.8,12160
2017-01-17,1484611200,28.0,28.5,26.7,26.7,5910
2017-01-18,1484697600,36.5,41.7,30.31,30.7,228920
2017-01-19,1484784000,29.0,31.5,27.5,28.8,34240
2017-01-20,1484870400,28.6,28.7,27.5,27.7,8200
2017-01-23,1485129600,28.0,28.73,26.0,26.7,7080
2017-01-24,1485216000,27.0,27.5,26.0,27.4,6650
2017-01-25,1485302400,27.2,27.5,26.3,26.7,11430
2017-01-26,1485388800,27.0,28.0,26.2,28.0,5810
2017-01-27,1485475200,28.5,28.5,27.4,27.8,2970
2017-01-30,1485734400,27.5,27.7,26.05,26.4,6880
2017-01-31,1485820800,26.4,26.4,25.0,25.3,7610
2017-02-01,1485907200,25.2,25.3,23.0,23.7,11690
2017-02-02,1485993600,25.0,29.9,23.7,24.2,24400
2017-02-03,1486080000,24.1,24.91,23.64,23.9,9750
2017-02-06,1486339200,24.0,24.89,23.9,24.2,5210
2017-02-07,1486425600,24.9,24.9,23.4,23.8,7230
2017-02-08,1486512000,23.9,24.7,23.45,24.3,4400
2017-02-09,1486598400,23.9,24.8,23.4,24.21,2590
2017-02-10,1486684800,24.8,25.25,23.6,24.2,3360
2017-02-13,1486944000,24.7,24.89,23.5,24.0,6110
2017-02-14,1487030400,24.8,26.8,23.6,23.9,18950
2017-02-15,1487116800,25.1,25.1,23.4,23.71,6510
2017-02-16,1487203200,24.8,24.8,23.5,23.9,6310
2017-02-17,1487289600,23.6,24.35,23.4,23.84,3490
2017-02-21,1487635200,24.5,24.5,23.4,23.6,4660
2017-02-22,1487721600,24.2,24.2,23.0,23.2,8900
2017-02-23,1487808000,23.9,23.9,20.7,21.2,16100
2017-02-24,1487894400,21.5,22.18,20.5,21.1,4990
2017-02-27,1488153600,21.2,21.8,21.1,21.5,4140
