Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.03,4.04,3.97,4.0,857900
2017-01-04,1483488000,4.02,4.04,4.0,4.03,743800
2017-01-05,1483574400,4.04,4.04,3.98,4.01,643300
2017-01-06,1483660800,4.02,4.04,3.99,4.02,636700
2017-01-09,1483920000,4.01,4.03,3.98,3.98,498700
2017-01-10,1484006400,3.98,4.11,3.98,4.1,903600
2017-01-11,1484092800,4.11,4.14,4.06,4.12,574700
2017-01-12,1484179200,4.11,4.12,4.04,4.09,743900
2017-01-13,1484265600,4.07,4.11,4.04,4.11,488500
2017-01-17,1484611200,4.06,4.1,3.83,3.85,3032300
2017-01-18,1484697600,3.85,3.89,3.78,3.8,2462200
2017-01-19,1484784000,3.81,3.83,3.74,3.79,1745100
2017-01-20,1484870400,3.77,3.82,3.77,3.8,825100
2017-01-23,1485129600,3.8,3.88,3.8,3.86,1097400
2017-01-24,1485216000,3.86,3.97,3.85,3.94,1477000
2017-01-25,1485302400,3.95,4.0,3.91,4.0,1337000
2017-01-26,1485388800,4.04,4.04,3.96,3.97,773300
2017-01-27,1485475200,3.97,4.0,3.93,3.97,936900
2017-01-30,1485734400,3.97,3.97,3.87,3.93,1002200
2017-01-31,1485820800,3.92,3.92,3.79,3.87,1113800
2017-02-01,1485907200,3.91,3.94,3.87,3.89,771500
2017-02-02,1485993600,3.91,3.91,3.83,3.9,665000
2017-02-03,1486080000,3.91,3.92,3.86,3.91,703800
2017-02-06,1486339200,3.9,3.94,3.89,3.93,586300
2017-02-07,1486425600,3.96,3.97,3.91,3.95,656300
2017-02-08,1486512000,3.95,3.97,3.92,3.95,594800
2017-02-09,1486598400,4.0,4.0,3.93,3.98,658600
2017-02-10,1486684800,3.98,4.01,3.96,3.99,531900
2017-02-13,1486944000,4.01,4.07,4.0,4.02,979500
2017-02-14,1487030400,4.01,4.02,3.95,3.97,706500
2017-02-15,1487116800,3.97,4.03,3.94,4.03,918100
2017-02-16,1487203200,4.03,4.06,3.99,4.02,718600
2017-02-17,1487289600,4.03,4.03,3.94,3.94,863600
2017-02-21,1487635200,3.94,3.97,3.91,3.95,1455300
2017-02-22,1487721600,3.82,3.83,3.65,3.8,5268300
2017-02-23,1487808000,3.76,3.92,3.75,3.9,1951600
2017-02-24,1487894400,3.85,3.91,3.84,3.89,1016900
2017-02-27,1488153600,3.89,3.91,3.84,3.85,1595500
2017-02-28,1488240000,3.84,3.87,3.8,3.82,2235000
2017-03-01,1488326400,3.85,3.92,3.83,3.86,1389200
2017-03-02,1488412800,3.86,3.9,3.85,3.89,927400
2017-03-03,1488499200,3.89,3.89,3.83,3.89,1154900
2017-03-06,1488758400,3.86,3.86,3.81,3.85,793100
2017-03-07,1488844800,3.83,3.86,3.8,3.81,597200
2017-03-08,1488931200,3.81,3.83,3.7,3.71,1436800
2017-03-09,1489017600,3.72,3.78,3.69,3.7,797600
2017-03-10,1489104000,3.71,3.79,3.71,3.77,755300
2017-03-13,1489363200,3.77,3.83,3.77,3.8,740700
2017-03-14,1489449600,3.8,3.82,3.77,3.78,667200
2017-03-15,1489536000,3.79,3.9,3.79,3.89,1119500
2017-03-16,1489622400,3.89,3.9,3.85,3.89,1059400
2017-03-17,1489708800,3.73,3.85,3.71,3.85,3408700
2017-03-20,1489968000,3.85,3.94,3.8,3.92,1695100
2017-03-21,1490054400,3.92,3.95,3.86,3.88,1596400
2017-03-22,1490140800,3.89,3.95,3.85,3.95,1965300
2017-03-23,1490227200,3.93,3.95,3.86,3.88,1635400
2017-03-24,1490313600,3.87,3.88,3.8,3.81,1627900
2017-03-27,1490572800,3.8,3.81,3.77,3.8,938700
2017-03-28,1490659200,3.79,3.81,3.78,3.8,1025000
2017-03-29,1490745600,3.8,3.88,3.79,3.86,1024700
2017-03-30,1490832000,3.87,3.88,3.82,3.85,765600
2017-03-31,1490918400,3.85,3.88,3.84,3.84,752300
2017-04-03,1491177600,3.85,3.85,3.8,3.83,585600
2017-04-04,1491264000,3.82,3.85,3.82,3.85,675200
2017-04-05,1491350400,3.85,3.87,3.77,3.78,823300
2017-04-06,1491436800,3.77,3.84,3.77,3.84,955100
2017-04-07,1491523200,3.84,3.86,3.81,3.83,608900
2017-04-10,1491782400,3.83,3.88,3.83,3.85,1933800
2017-04-11,1491868800,3.85,3.95,3.85,3.92,1132900
2017-04-12,1491955200,3.92,3.92,3.87,3.87,592300
2017-04-13,1492041600,3.87,3.9,3.86,3.87,441800
