Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,27.31,27.46,27.02,27.25,1115600
2017-01-04,1483488000,27.39,27.76,27.31,27.57,918200
2017-01-05,1483574400,27.58,27.74,27.36,27.48,1686500
2017-01-06,1483660800,27.36,27.88,27.36,27.75,1036800
2017-01-09,1483920000,27.82,27.84,27.14,27.19,1358000
2017-01-10,1484006400,27.22,27.31,26.96,27.13,740600
2017-01-11,1484092800,27.1,27.48,27.1,27.46,695700
2017-01-12,1484179200,27.46,27.65,27.33,27.65,942000
2017-01-13,1484265600,27.63,27.77,27.44,27.69,600900
2017-01-17,1484611200,27.85,27.95,27.6,27.72,463300
2017-01-18,1484697600,27.58,27.81,27.56,27.65,623300
2017-01-19,1484784000,27.49,27.63,27.22,27.26,639400
2017-01-20,1484870400,27.34,27.5,27.23,27.41,515700
2017-01-23,1485129600,27.41,27.57,27.3,27.39,997600
2017-01-24,1485216000,27.46,27.74,27.43,27.59,957300
2017-01-25,1485302400,27.5,27.75,27.5,27.74,667700
2017-01-26,1485388800,27.74,28.03,27.52,27.62,637100
2017-01-27,1485475200,27.74,27.8,27.35,27.42,598000
2017-01-30,1485734400,27.39,27.43,26.98,27.28,906200
2017-01-31,1485820800,27.35,27.57,27.21,27.52,937000
2017-02-01,1485907200,27.37,27.65,27.02,27.24,939000
2017-02-02,1485993600,27.29,27.51,27.08,27.51,791800
2017-02-03,1486080000,27.69,27.85,27.54,27.79,629500
2017-02-06,1486339200,27.89,27.97,27.78,27.81,707500
2017-02-07,1486425600,27.85,27.89,27.78,27.82,527900
2017-02-08,1486512000,27.88,27.88,27.71,27.82,740400
2017-02-09,1486598400,27.81,27.95,27.7,27.95,952200
2017-02-10,1486684800,27.93,28.27,27.92,28.12,672800
2017-02-13,1486944000,28.06,28.36,28.06,28.34,482700
2017-02-14,1487030400,28.33,28.35,27.96,28.15,470000
2017-02-15,1487116800,27.98,28.12,27.88,28.06,812900
2017-02-16,1487203200,28.04,28.42,28.04,28.41,632100
2017-02-17,1487289600,28.37,28.52,28.2,28.41,1216600
2017-02-21,1487635200,28.38,28.7,28.31,28.68,675800
2017-02-22,1487721600,28.65,28.86,28.5,28.68,595300
2017-02-23,1487808000,29.14,29.63,28.84,29.34,1897500
2017-02-24,1487894400,29.44,29.77,29.38,29.63,1158900
2017-02-27,1488153600,29.66,29.84,29.51,29.76,962400
2017-02-28,1488240000,29.73,30.35,29.56,30.22,1647400
2017-03-01,1488326400,29.92,30.7,29.69,30.38,1271200
2017-03-02,1488412800,30.19,30.62,30.13,30.35,1035200
2017-03-03,1488499200,30.37,30.44,30.07,30.15,1637600
2017-03-06,1488758400,30.14,30.27,30.01,30.12,1020600
2017-03-07,1488844800,30.15,30.24,30.01,30.2,1227900
2017-03-08,1488931200,29.91,29.99,29.43,29.44,1091600
2017-03-09,1489017600,29.46,29.65,29.34,29.58,1489900
2017-03-10,1489104000,29.77,29.89,29.52,29.72,1084000
2017-03-13,1489363200,29.73,30.05,29.73,29.86,1028300
2017-03-14,1489449600,29.84,29.9,29.66,29.75,838700
2017-03-15,1489536000,29.89,30.42,29.76,30.29,1430600
2017-03-16,1489622400,30.24,30.26,29.86,30.05,1162100
2017-03-17,1489708800,30.03,30.39,30.03,30.19,3035100
2017-03-20,1489968000,30.27,30.28,29.89,29.94,662000
2017-03-21,1490054400,29.62,29.66,29.21,29.3,3715600
2017-03-22,1490140800,29.32,29.49,29.19,29.24,2540500
2017-03-23,1490227200,29.27,29.48,29.07,29.17,1732200
2017-03-24,1490313600,29.21,29.5,29.15,29.29,2172300
2017-03-27,1490572800,29.38,29.43,28.9,29.06,1420200
2017-03-28,1490659200,29.01,29.25,28.92,29.22,1136200
2017-03-29,1490745600,29.15,29.15,28.95,29.05,1142000
2017-03-30,1490832000,29.01,29.01,28.75,28.86,634400
2017-03-31,1490918400,28.81,28.93,28.7,28.7,1170300
2017-04-03,1491177600,28.7,28.7,28.37,28.64,1591900
2017-04-04,1491264000,28.56,29.0,28.56,28.87,1201400
2017-04-05,1491350400,28.9,29.0,28.76,28.95,1637900
2017-04-06,1491436800,28.94,29.03,28.8,28.98,1209800
2017-04-07,1491523200,29.01,29.12,28.8,28.81,802100
2017-04-10,1491782400,28.82,28.89,28.59,28.69,1078800
2017-04-11,1491868800,28.69,28.9,28.56,28.88,973200
2017-04-12,1491955200,28.88,28.88,28.7,28.77,962000
2017-04-13,1492041600,28.8,28.81,28.56,28.58,806400
2017-04-17,1492387200,28.6,28.75,28.53,28.68,1498200
2017-04-18,1492473600,28.68,28.95,28.58,28.88,1571200
2017-04-19,1492560000,28.93,29.0,28.72,28.82,1342300
2017-04-20,1492646400,28.8,28.8,28.45,28.75,1522000
2017-04-21,1492732800,28.8,29.14,28.79,29.1,1050000
2017-04-24,1492992000,29.19,29.26,28.95,29.19,916300
2017-04-25,1493078400,29.25,29.39,28.92,28.99,1575100
2017-04-26,1493164800,28.96,29.15,28.86,28.94,744500
2017-04-27,1493251200,28.9,29.09,28.87,28.94,847100
2017-04-28,1493337600,28.72,29.11,28.7,28.79,1179100
2017-05-01,1493596800,28.82,28.82,28.49,28.57,561000
2017-05-02,1493683200,28.64,28.81,28.51,28.6,513400
2017-05-03,1493769600,28.57,28.77,28.38,28.75,1220600
2017-05-04,1493856000,28.25,28.62,27.87,28.41,1551000
2017-05-05,1493942400,28.56,28.58,28.2,28.38,1227500
2017-05-08,1494201600,28.39,28.43,28.09,28.18,1090100
2017-05-09,1494288000,28.14,28.14,27.74,27.82,995700
2017-05-10,1494374400,27.88,28.1,27.73,28.08,1102200
2017-05-11,1494460800,28.05,28.18,27.82,27.98,681000
2017-05-12,1494547200,28.07,28.32,27.92,28.26,937900
2017-05-15,1494806400,28.31,28.53,28.27,28.34,918400
2017-05-16,1494892800,28.34,28.47,28.03,28.04,736100
2017-05-17,1494979200,28.04,28.18,27.79,27.98,812700
2017-05-18,1495065600,27.95,28.12,27.69,28.08,775500
2017-05-19,1495152000,28.14,28.41,27.93,28.32,1135200
2017-05-22,1495411200,28.31,28.75,28.31,28.68,875200
2017-05-23,1495497600,28.79,28.99,28.71,28.79,744400
2017-05-24,1495584000,28.81,29.07,28.8,29.05,807600
2017-05-25,1495670400,29.06,29.35,29.05,29.2,906000
2017-05-26,1495756800,29.22,29.25,29.04,29.09,778500
2017-05-30,1496102400,29.13,29.28,28.91,29.25,637400
2017-05-31,1496188800,29.28,29.62,29.19,29.49,1771200
2017-06-01,1496275200,29.47,29.74,29.31,29.73,901400
2017-06-02,1496361600,29.85,29.87,29.5,29.62,614500
2017-06-05,1496620800,29.64,29.71,29.47,29.57,762500
2017-06-06,1496707200,29.57,29.76,29.47,29.63,846400
2017-06-07,1496793600,29.68,29.68,29.44,29.45,865300
2017-06-08,1496880000,29.35,29.51,29.23,29.44,821300
2017-06-09,1496966400,29.37,29.48,29.18,29.28,1181900
2017-06-12,1497225600,29.31,29.52,29.31,29.41,1217500
2017-06-13,1497312000,29.38,29.42,29.22,29.41,809400
2017-06-14,1497398400,29.58,29.83,29.28,29.5,1288600
2017-06-15,1497484800,29.37,29.85,29.34,29.79,1351700
2017-06-16,1497571200,29.76,30.83,29.76,30.19,2758100
2017-06-19,1497830400,30.21,30.28,29.51,29.64,1523700
2017-06-20,1497916800,29.58,29.66,29.21,29.33,1208900
2017-06-21,1498003200,29.35,29.42,29.06,29.23,1120800
2017-06-22,1498089600,29.28,29.44,29.1,29.37,873200
2017-06-23,1498176000,29.36,29.46,29.25,29.36,1541900
2017-06-26,1498435200,29.41,29.65,29.18,29.63,903800
2017-06-27,1498521600,29.63,29.71,29.28,29.31,1056400
2017-06-28,1498608000,29.45,29.55,29.04,29.05,938700
2017-06-29,1498694400,28.92,29.05,28.7,28.89,813800
2017-06-30,1498780800,28.94,29.04,28.76,28.8,948200
2017-07-03,1499040000,28.84,28.98,28.67,28.83,675400
2017-07-05,1499212800,28.85,28.89,28.43,28.67,939800
2017-07-06,1499299200,28.65,28.65,28.46,28.58,1020500
2017-07-07,1499385600,28.57,28.71,28.53,28.57,680100
2017-07-10,1499644800,28.62,28.77,28.55,28.57,839600
2017-07-11,1499731200,28.67,28.75,28.35,28.51,928500
2017-07-12,1499817600,28.77,28.95,28.77,28.92,1003900
2017-07-13,1499904000,28.91,28.93,28.64,28.76,814600
2017-07-14,1499990400,28.97,29.14,28.83,28.87,912900
2017-07-17,1500249600,28.9,29.0,28.66,28.97,447600
2017-07-18,1500336000,29.06,29.14,28.61,29.07,692900
2017-07-19,1500422400,29.18,29.22,28.96,29.22,998500
2017-07-20,1500508800,29.35,29.53,29.23,29.39,694900
2017-07-21,1500595200,29.29,29.58,29.29,29.58,578800
2017-07-24,1500854400,29.67,29.8,29.5,29.71,938200
2017-07-25,1500940800,29.77,29.93,29.68,29.77,1178200
2017-07-26,1501027200,29.72,29.81,29.63,29.74,571000
2017-07-27,1501113600,29.68,29.92,29.68,29.9,579000
2017-07-28,1501200000,29.89,29.99,29.74,29.89,699900
2017-07-31,1501459200,29.93,29.99,29.79,29.94,681000
2017-08-01,1501545600,30.03,30.14,29.92,29.98,752000
2017-08-02,1501632000,29.85,29.98,29.68,29.84,1031000
2017-08-03,1501718400,29.52,30.09,29.52,30.07,1038500
2017-08-04,1501804800,29.98,30.18,29.88,29.98,796500
2017-08-07,1502064000,29.98,30.29,29.87,30.24,935100
2017-08-08,1502150400,30.19,30.36,30.08,30.26,1148500
2017-08-09,1502236800,30.31,30.39,29.97,30.08,982400
2017-08-10,1502323200,30.08,30.08,29.67,29.81,1002200
2017-08-11,1502409600,29.73,29.83,29.45,29.58,774800
2017-08-14,1502668800,29.68,29.83,29.58,29.62,1217500
2017-08-15,1502755200,29.48,29.73,29.43,29.65,993200
2017-08-16,1502841600,29.65,29.85,29.65,29.77,930700
2017-08-17,1502928000,29.75,29.84,29.53,29.55,556700
2017-08-18,1503014400,29.56,29.74,29.44,29.72,857200
2017-08-21,1503273600,29.73,29.93,29.67,29.86,545400
2017-08-22,1503360000,29.89,30.16,29.83,30.16,468900
2017-08-23,1503446400,30.13,30.3,30.02,30.3,506400
2017-08-24,1503532800,30.3,30.33,30.13,30.28,378400
2017-08-25,1503619200,30.36,30.36,30.23,30.24,611000
2017-08-28,1503878400,30.28,30.4,30.23,30.4,819400
2017-08-29,1503964800,30.41,30.49,30.16,30.21,521300
2017-08-30,1504051200,30.17,30.23,30.05,30.15,531500
2017-08-31,1504137600,30.16,30.24,29.81,29.83,1304900
2017-09-01,1504224000,29.95,30.06,29.78,29.86,603500
2017-09-05,1504569600,29.94,30.0,29.68,29.71,799900
2017-09-06,1504656000,29.79,29.92,29.7,29.81,906600
