Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,8.87,8.88,8.7,8.79,348900
2017-01-04,1483488000,8.81,8.98,8.78,8.94,357000
2017-01-05,1483574400,8.92,8.93,8.82,8.87,212900
2017-01-06,1483660800,8.89,8.89,8.76,8.77,186500
2017-01-09,1483920000,8.75,8.85,8.67,8.75,308100
2017-01-10,1484006400,8.8,9.09,8.77,9.09,486900
2017-01-11,1484092800,9.09,9.09,8.82,8.91,520000
2017-01-12,1484179200,8.87,8.9,8.67,8.75,257600
2017-01-13,1484265600,8.81,8.92,8.71,8.86,242600
2017-01-17,1484611200,8.84,8.84,8.62,8.71,291000
2017-01-18,1484697600,8.76,8.83,8.65,8.73,243800
2017-01-19,1484784000,8.78,8.78,8.5,8.61,292400
2017-01-20,1484870400,8.61,8.69,8.52,8.53,270800
2017-01-23,1485129600,8.52,8.59,8.39,8.48,344900
2017-01-24,1485216000,8.5,8.61,8.43,8.58,250200
2017-01-25,1485302400,8.66,8.73,8.51,8.64,275800
2017-01-26,1485388800,8.58,8.61,8.46,8.55,266700
2017-01-27,1485475200,8.54,8.7,8.54,8.66,273400
2017-01-30,1485734400,8.63,8.68,8.4,8.66,362800
2017-01-31,1485820800,8.61,8.88,8.46,8.82,387400
2017-02-01,1485907200,8.86,8.94,8.8,8.93,365400
2017-02-02,1485993600,8.89,9.0,8.73,8.78,476200
2017-02-03,1486080000,8.82,8.97,8.71,8.94,266600
2017-02-06,1486339200,8.88,9.05,8.85,8.98,292100
2017-02-07,1486425600,8.9,8.93,8.78,8.82,391300
2017-02-08,1486512000,8.83,8.91,8.7,8.85,389300
2017-02-09,1486598400,10.06,11.41,9.92,10.49,4850700
2017-02-10,1486684800,10.5,10.89,10.37,10.51,1728000
2017-02-13,1486944000,10.61,10.72,10.41,10.49,1217100
2017-02-14,1487030400,10.4,10.87,10.28,10.86,1085900
2017-02-15,1487116800,10.93,11.17,10.88,11.12,1201300
2017-02-16,1487203200,11.12,11.2,10.82,11.1,942400
2017-02-17,1487289600,11.06,11.28,10.7,11.23,811500
2017-02-21,1487635200,11.23,11.34,10.97,11.0,769700
2017-02-22,1487721600,10.96,11.17,10.91,11.08,769900
2017-02-23,1487808000,11.09,11.12,10.95,11.08,469400
2017-02-24,1487894400,10.97,11.48,10.89,11.15,1369000
2017-02-27,1488153600,11.27,11.44,11.2,11.22,750900
2017-02-28,1488240000,11.16,11.39,11.06,11.21,1150800
2017-03-01,1488326400,11.39,11.5,11.21,11.38,641200
2017-03-02,1488412800,11.33,12.07,11.33,11.83,1385700
2017-03-03,1488499200,11.9,11.94,11.6,11.8,715100
2017-03-06,1488758400,11.71,11.81,11.54,11.63,964100
2017-03-07,1488844800,11.63,11.75,11.47,11.55,535300
2017-03-08,1488931200,11.56,11.65,11.45,11.5,424500
2017-03-09,1489017600,11.48,11.61,11.43,11.47,345700
2017-03-10,1489104000,11.59,11.62,11.34,11.46,460700
2017-03-13,1489363200,11.46,11.58,11.29,11.43,367800
2017-03-14,1489449600,11.37,11.37,11.06,11.07,449100
2017-03-15,1489536000,11.11,11.36,11.03,11.32,513300
2017-03-16,1489622400,11.34,11.38,11.05,11.13,559700
2017-03-17,1489708800,11.07,11.2,10.85,10.86,859900
2017-03-20,1489968000,10.84,10.99,10.75,10.89,366500
2017-03-21,1490054400,11.76,12.08,11.61,11.8,2663500
2017-03-22,1490140800,11.83,12.06,11.62,12.06,8816300
2017-03-23,1490227200,11.93,12.28,11.91,12.06,1518200
2017-03-24,1490313600,12.07,12.14,11.92,12.13,1528300
2017-03-27,1490572800,12.06,12.5,11.88,12.49,1020600
2017-03-28,1490659200,12.5,12.74,12.32,12.73,1056000
2017-03-29,1490745600,12.72,12.75,12.55,12.57,725000
2017-03-30,1490832000,12.6,12.76,12.47,12.7,902800
2017-03-31,1490918400,12.7,12.97,12.56,12.93,944100
2017-04-03,1491177600,13.0,13.03,12.52,12.52,1135500
2017-04-04,1491264000,12.5,12.64,12.4,12.63,1404700
2017-04-05,1491350400,12.68,12.79,12.33,12.36,1013400
2017-04-06,1491436800,12.34,12.37,12.11,12.3,963000
2017-04-07,1491523200,12.53,12.95,12.5,12.51,1003000
2017-04-10,1491782400,12.6,12.61,12.23,12.25,674800
2017-04-11,1491868800,12.21,12.36,12.03,12.34,1127500
2017-04-12,1491955200,12.31,12.41,12.27,12.33,719000
2017-04-13,1492041600,12.3,12.45,12.2,12.35,805100
2017-04-17,1492387200,12.35,12.56,12.29,12.49,763800
2017-04-18,1492473600,12.46,12.47,12.31,12.41,625900
2017-04-19,1492560000,12.49,12.69,12.41,12.51,743400
2017-04-20,1492646400,12.57,12.71,12.44,12.64,581100
2017-04-21,1492732800,12.6,12.74,12.43,12.67,750500
2017-04-24,1492992000,12.83,12.9,12.61,12.69,604200
2017-04-25,1493078400,12.76,12.89,12.73,12.86,717200
2017-04-26,1493164800,12.86,13.14,12.83,13.13,679000
2017-04-27,1493251200,13.12,13.3,13.01,13.02,567400
2017-04-28,1493337600,13.05,13.23,13.0,13.11,668300
2017-05-01,1493596800,13.2,13.48,13.05,13.28,778100
2017-05-02,1493683200,13.25,13.41,13.1,13.38,820200
2017-05-03,1493769600,13.36,13.41,13.0,13.21,1068100
2017-05-04,1493856000,14.24,15.72,13.73,15.64,3310200
2017-05-05,1493942400,15.32,15.4,14.84,14.99,1984000
2017-05-08,1494201600,14.96,15.25,14.82,14.84,1748200
2017-05-09,1494288000,14.75,15.1,14.66,15.0,1304900
2017-05-10,1494374400,15.0,15.0,14.55,14.9,1023400
2017-05-11,1494460800,14.87,15.09,14.75,14.99,763600
2017-05-12,1494547200,14.92,15.12,14.86,14.96,669200
2017-05-15,1494806400,15.05,15.28,14.98,15.11,795200
2017-05-16,1494892800,15.18,15.32,14.86,14.9,692500
2017-05-17,1494979200,14.8,14.81,14.48,14.5,778000
2017-05-18,1495065600,14.45,14.63,14.09,14.35,1017900
2017-05-19,1495152000,14.38,14.59,14.27,14.52,707500
2017-05-22,1495411200,14.57,14.62,14.47,14.59,493000
2017-05-23,1495497600,14.64,14.64,14.44,14.59,528400
2017-05-24,1495584000,14.61,14.65,14.46,14.65,450400
2017-05-25,1495670400,14.74,14.91,14.68,14.8,500900
2017-05-26,1495756800,14.79,14.9,14.74,14.84,427300
2017-05-30,1496102400,14.8,15.33,14.78,15.12,1287600
2017-05-31,1496188800,15.23,15.29,14.89,15.07,657000
2017-06-01,1496275200,15.1,15.46,15.01,15.4,778500
2017-06-02,1496361600,15.39,15.85,15.39,15.74,601800
2017-06-05,1496620800,15.79,15.86,15.6,15.62,502700
2017-06-06,1496707200,15.6,15.64,15.42,15.43,367100
2017-06-07,1496793600,15.44,15.48,15.26,15.4,469300
2017-06-08,1496880000,15.37,15.73,15.31,15.71,538700
2017-06-09,1496966400,15.75,15.9,14.95,15.17,830400
2017-06-12,1497225600,15.1,15.2,14.69,15.16,704000
2017-06-13,1497312000,15.21,15.39,15.1,15.33,420200
2017-06-14,1497398400,15.35,15.48,15.2,15.33,411500
2017-06-15,1497484800,15.19,15.19,14.89,15.16,522800
2017-06-16,1497571200,15.0,15.22,14.12,14.94,1115100
2017-06-19,1497830400,14.96,15.1,14.91,14.94,531500
2017-06-20,1497916800,14.91,15.02,14.82,14.96,610900
2017-06-21,1498003200,15.01,15.07,14.83,14.87,311800
2017-06-22,1498089600,14.86,15.33,14.84,15.29,399300
2017-06-23,1498176000,15.3,15.58,15.15,15.55,658500
2017-06-26,1498435200,15.56,15.84,15.46,15.72,542600
2017-06-27,1498521600,16.0,17.68,15.86,17.3,3863900
2017-06-28,1498608000,17.34,17.71,17.19,17.71,1663200
2017-06-29,1498694400,17.8,17.96,17.62,17.84,1004200
2017-06-30,1498780800,17.87,17.91,17.25,17.26,886100
2017-07-03,1499040000,17.26,17.54,17.14,17.44,476200
2017-07-05,1499212800,17.52,18.05,17.44,17.92,934000
2017-07-06,1499299200,17.83,17.83,17.31,17.37,1089100
2017-07-07,1499385600,17.51,17.95,17.33,17.89,712800
2017-07-10,1499644800,18.01,18.68,17.91,18.51,1016500
2017-07-11,1499731200,18.57,18.9,18.55,18.68,958100
2017-07-12,1499817600,18.86,18.89,18.56,18.71,888900
2017-07-13,1499904000,18.77,18.81,18.45,18.81,1057600
2017-07-14,1499990400,18.75,19.05,18.67,19.01,423200
2017-07-17,1500249600,19.06,19.28,18.84,19.19,999300
2017-07-18,1500336000,19.18,19.33,18.51,18.59,1387000
2017-07-19,1500422400,18.69,18.71,18.5,18.56,819500
2017-07-20,1500508800,18.58,18.65,18.32,18.36,860100
