Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,20.25,20.48,20.09,20.42,672200
2017-01-04,1483488000,20.47,20.64,20.32,20.62,1396500
2017-01-05,1483574400,20.53,20.6,20.41,20.55,703400
2017-01-06,1483660800,20.56,20.68,20.38,20.64,656500
2017-01-09,1483920000,20.65,20.86,20.51,20.83,744500
2017-01-10,1484006400,20.77,20.97,20.61,20.91,880600
2017-01-11,1484092800,20.95,21.22,20.94,21.21,737200
2017-01-12,1484179200,21.19,21.35,20.98,21.34,614700
2017-01-13,1484265600,21.41,21.62,21.38,21.58,429200
2017-01-17,1484611200,21.25,21.57,20.98,21.52,1076500
2017-01-18,1484697600,21.46,21.72,21.38,21.63,835400
2017-01-19,1484784000,21.68,21.83,21.45,21.56,1139700
2017-01-20,1484870400,21.53,21.62,21.41,21.53,813000
2017-01-23,1485129600,21.55,21.81,21.42,21.8,570200
2017-01-24,1485216000,21.76,21.94,21.66,21.83,742800
2017-01-25,1485302400,21.91,21.95,21.78,21.93,354200
2017-01-26,1485388800,21.98,22.1,21.88,21.96,398300
2017-01-27,1485475200,21.97,22.13,21.83,22.13,343100
2017-01-30,1485734400,22.1,22.21,21.92,22.21,494700
2017-01-31,1485820800,22.28,22.39,22.17,22.22,673500
2017-02-01,1485907200,22.26,22.37,21.82,21.84,669400
2017-02-02,1485993600,21.93,22.05,21.76,21.86,763300
2017-02-03,1486080000,22.02,22.05,21.87,21.9,586500
2017-02-06,1486339200,21.88,21.96,21.74,21.88,283300
2017-02-07,1486425600,21.92,22.12,21.88,21.93,261400
2017-02-08,1486512000,21.94,22.07,21.79,22.07,373700
2017-02-09,1486598400,22.09,22.13,21.79,21.86,597900
2017-02-10,1486684800,21.92,22.18,21.83,22.09,456600
2017-02-13,1486944000,22.17,22.28,22.03,22.23,414300
2017-02-14,1487030400,22.13,22.26,22.05,22.2,407800
2017-02-15,1487116800,22.13,22.45,22.0,22.4,479400
2017-02-16,1487203200,22.4,22.6,21.98,22.04,573600
2017-02-17,1487289600,22.04,22.09,21.74,21.91,760600
2017-02-21,1487635200,21.96,22.18,21.88,22.14,468000
2017-02-22,1487721600,22.21,22.23,21.64,21.79,1122200
2017-02-23,1487808000,20.53,21.06,20.11,20.24,3356300
2017-02-24,1487894400,20.24,20.89,20.14,20.75,1079400
2017-02-27,1488153600,20.76,21.08,20.65,21.08,761000
2017-02-28,1488240000,21.11,21.23,21.02,21.02,1357500
2017-03-01,1488326400,21.05,21.19,20.23,20.51,1127400
2017-03-02,1488412800,20.51,21.72,20.42,21.46,1815300
2017-03-03,1488499200,21.53,21.78,21.26,21.76,1008300
2017-03-06,1488758400,21.87,21.87,21.33,21.75,1061200
2017-03-07,1488844800,21.77,21.81,21.58,21.67,1048500
2017-03-08,1488931200,21.56,21.94,21.51,21.69,1309000
2017-03-09,1489017600,21.65,22.04,21.64,21.81,1038800
2017-03-10,1489104000,21.89,21.99,21.2,21.2,884400
2017-03-13,1489363200,21.29,21.77,21.23,21.75,708100
2017-03-14,1489449600,21.61,21.78,21.51,21.57,898100
2017-03-15,1489536000,21.61,21.67,21.33,21.54,872000
2017-03-16,1489622400,21.53,21.72,21.34,21.66,621600
2017-03-17,1489708800,21.62,21.98,21.53,21.96,1524500
2017-03-20,1489968000,21.95,22.11,21.87,22.04,828000
2017-03-21,1490054400,22.02,22.15,21.96,21.97,1009800
2017-03-22,1490140800,21.98,21.98,21.16,21.4,784300
2017-03-23,1490227200,21.46,21.8,21.35,21.74,722400
2017-03-24,1490313600,21.83,21.88,21.5,21.59,440300
2017-03-27,1490572800,21.54,21.62,21.39,21.59,459800
2017-03-28,1490659200,21.69,21.69,21.44,21.55,456500
2017-03-29,1490745600,21.56,21.57,21.41,21.54,435900
2017-03-30,1490832000,21.48,21.71,21.47,21.7,329100
2017-03-31,1490918400,21.67,21.94,21.52,21.8,1556800
2017-04-03,1491177600,21.8,21.87,21.37,21.42,642500
2017-04-04,1491264000,21.33,21.73,21.27,21.71,664600
2017-04-05,1491350400,21.8,21.86,21.54,21.57,821100
2017-04-06,1491436800,21.58,21.69,21.11,21.46,751600
2017-04-07,1491523200,21.48,21.52,21.26,21.34,868100
2017-04-10,1491782400,21.39,21.46,21.15,21.28,430600
2017-04-11,1491868800,21.28,21.49,21.26,21.48,547600
2017-04-12,1491955200,21.41,21.53,21.3,21.34,562900
2017-04-13,1492041600,21.3,21.36,20.85,20.9,623800
2017-04-17,1492387200,20.93,21.24,20.93,21.23,864300
2017-04-18,1492473600,21.23,21.45,21.04,21.08,1075800
2017-04-19,1492560000,21.15,21.69,20.98,21.57,826100
2017-04-20,1492646400,21.56,21.71,21.34,21.44,701100
2017-04-21,1492732800,21.45,21.56,21.2,21.54,594100
2017-04-24,1492992000,21.66,22.04,21.64,21.84,1967100
2017-04-25,1493078400,21.85,22.07,21.85,21.98,1309500
2017-04-26,1493164800,21.98,22.01,21.8,21.9,426100
2017-04-27,1493251200,21.95,22.06,21.7,21.73,433900
2017-04-28,1493337600,21.7,21.7,21.33,21.48,569600
2017-05-01,1493596800,21.47,21.6,21.29,21.39,804400
2017-05-02,1493683200,21.47,21.53,21.22,21.41,531800
2017-05-03,1493769600,21.46,21.46,20.92,20.94,1032900
2017-05-04,1493856000,20.12,20.3,18.85,19.24,2958300
2017-05-05,1493942400,19.21,19.57,18.95,19.55,2102900
2017-05-08,1494201600,19.55,19.55,19.04,19.31,1551800
2017-05-09,1494288000,19.26,19.32,18.63,18.86,1143400
2017-05-10,1494374400,18.9,19.03,18.75,19.02,935600
2017-05-11,1494460800,18.97,19.09,18.52,19.03,1100600
2017-05-12,1494547200,19.03,19.07,18.82,18.94,708400
2017-05-15,1494806400,18.83,19.27,18.82,19.23,910400
2017-05-16,1494892800,19.27,19.43,18.86,19.18,1399400
2017-05-17,1494979200,19.12,19.41,18.88,18.95,1125200
2017-05-18,1495065600,19.0,19.11,18.51,18.77,1027100
2017-05-19,1495152000,18.78,18.91,18.76,18.87,493800
2017-05-22,1495411200,19.0,19.05,18.82,18.88,402700
2017-05-23,1495497600,18.92,18.95,18.69,18.89,541800
2017-05-24,1495584000,18.88,18.95,18.79,18.91,509900
2017-05-25,1495670400,18.97,18.97,18.58,18.73,711700
2017-05-26,1495756800,18.74,18.82,18.33,18.51,703900
2017-05-30,1496102400,18.51,18.58,18.42,18.47,482900
2017-05-31,1496188800,18.48,18.81,18.26,18.77,762500
2017-06-01,1496275200,18.84,19.02,18.62,18.71,965700
2017-06-02,1496361600,18.81,18.86,18.58,18.77,857500
2017-06-05,1496620800,19.41,19.41,18.58,18.81,1003500
2017-06-06,1496707200,18.78,18.8,18.22,18.27,1127000
2017-06-07,1496793600,18.31,18.78,18.29,18.67,966200
2017-06-08,1496880000,18.66,18.7,18.51,18.64,479600
2017-06-09,1496966400,18.66,19.02,18.51,18.92,918300
2017-06-12,1497225600,18.91,19.14,18.86,18.87,1245400
2017-06-13,1497312000,18.87,18.9,18.58,18.87,713800
2017-06-14,1497398400,18.92,19.61,18.86,19.42,888800
2017-06-15,1497484800,19.34,19.62,19.17,19.32,763200
2017-06-16,1497571200,19.37,19.73,19.27,19.73,775900
2017-06-19,1497830400,19.79,20.04,19.72,19.78,590200
2017-06-20,1497916800,19.72,19.83,19.39,19.52,669700
2017-06-21,1498003200,19.6,19.62,18.99,19.12,758000
2017-06-22,1498089600,19.16,19.16,18.89,18.95,996200
2017-06-23,1498176000,18.95,19.28,18.88,19.18,1268500
2017-06-26,1498435200,19.23,19.65,19.22,19.6,621200
2017-06-27,1498521600,19.58,19.78,19.43,19.44,317000
2017-06-28,1498608000,19.51,19.67,19.42,19.52,461700
2017-06-29,1498694400,19.43,19.45,19.05,19.22,338600
2017-06-30,1498780800,19.28,19.37,19.18,19.3,340800
2017-07-03,1499040000,19.41,19.69,19.2,19.62,311400
2017-07-05,1499212800,19.63,19.64,19.07,19.07,376400
2017-07-06,1499299200,19.02,19.17,18.72,18.77,453400
2017-07-07,1499385600,18.8,18.86,18.61,18.81,283800
2017-07-10,1499644800,18.81,19.01,18.72,18.87,628500
2017-07-11,1499731200,18.9,19.04,18.69,18.77,540300
2017-07-12,1499817600,18.88,19.12,18.7,18.74,405800
2017-07-13,1499904000,18.84,19.17,18.72,19.07,612400
2017-07-14,1499990400,19.15,19.32,19.02,19.05,320800
2017-07-17,1500249600,19.06,19.53,19.0,19.38,529400
2017-07-18,1500336000,19.36,19.36,18.86,18.87,629700
2017-07-19,1500422400,18.89,19.2,18.86,19.07,558500
2017-07-20,1500508800,19.16,19.37,19.11,19.27,825000
2017-07-21,1500595200,19.31,19.31,18.95,19.25,519200
2017-07-24,1500854400,19.24,19.4,19.11,19.34,340900
2017-07-25,1500940800,19.39,19.65,19.25,19.63,516000
2017-07-26,1501027200,19.62,19.8,19.52,19.68,505100
2017-07-27,1501113600,19.7,19.7,19.22,19.24,697100
2017-07-28,1501200000,19.22,19.32,18.85,18.99,611100
2017-07-31,1501459200,19.02,19.09,18.77,19.09,627500
2017-08-01,1501545600,19.14,19.43,18.87,18.92,863500
2017-08-02,1501632000,18.92,18.97,18.46,18.56,527900
