Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,55.45,56.58,54.51,55.02,137500
2017-01-04,1483488000,54.76,56.22,54.76,55.37,118300
2017-01-05,1483574400,54.8,54.8,52.92,54.21,190300
2017-01-06,1483660800,54.31,54.32,52.74,52.98,210100
2017-01-09,1483920000,52.99,53.12,51.84,52.22,202000
2017-01-10,1484006400,52.49,53.13,51.96,53.01,428900
2017-01-11,1484092800,53.25,53.42,51.64,51.68,169700
2017-01-12,1484179200,51.25,51.74,49.85,50.39,227600
2017-01-13,1484265600,50.51,50.98,49.72,49.89,160200
2017-01-17,1484611200,49.92,50.97,49.75,50.58,189700
2017-01-18,1484697600,50.95,50.95,48.3,49.45,197000
2017-01-19,1484784000,49.6,50.23,48.43,48.61,164100
2017-01-20,1484870400,48.58,49.0,47.51,47.85,190400
2017-01-23,1485129600,47.96,48.19,47.44,47.95,176700
2017-01-24,1485216000,48.33,49.55,47.85,49.43,285600
2017-01-25,1485302400,49.66,50.83,49.66,50.33,131700
2017-01-26,1485388800,50.27,50.81,49.54,49.91,157700
2017-01-27,1485475200,49.88,49.88,48.92,49.51,194200
2017-01-30,1485734400,49.06,49.67,48.41,49.16,97400
2017-01-31,1485820800,48.38,50.41,47.6,50.38,119400
2017-02-01,1485907200,50.41,50.48,49.48,49.63,141600
2017-02-02,1485993600,49.08,49.45,48.35,48.48,103600
2017-02-03,1486080000,48.32,48.89,47.2,48.69,105600
2017-02-06,1486339200,48.49,49.34,48.04,48.99,70400
2017-02-07,1486425600,49.25,49.25,47.42,47.71,92400
2017-02-08,1486512000,47.46,48.28,47.02,48.01,139500
2017-02-09,1486598400,48.16,50.15,48.09,49.25,180400
2017-02-10,1486684800,49.63,51.72,49.31,51.54,290500
2017-02-13,1486944000,51.71,51.71,50.62,50.97,108400
2017-02-14,1487030400,50.82,51.56,50.82,51.15,84900
2017-02-15,1487116800,50.66,51.62,50.59,51.43,107900
2017-02-16,1487203200,51.34,51.78,50.56,51.78,157700
2017-02-17,1487289600,51.66,51.86,50.99,51.7,146600
2017-02-21,1487635200,51.81,52.55,51.81,52.24,93900
2017-02-22,1487721600,52.09,53.13,52.05,52.77,114300
2017-02-23,1487808000,53.23,53.23,51.31,51.49,126500
2017-02-24,1487894400,51.24,52.7,49.75,52.45,86800
2017-02-27,1488153600,52.51,52.93,52.16,52.7,77100
2017-02-28,1488240000,52.62,52.69,51.12,51.47,135800
2017-03-01,1488326400,52.06,52.4,50.93,52.25,179000
2017-03-02,1488412800,52.09,52.47,51.67,51.89,93300
2017-03-03,1488499200,51.91,52.1,49.64,50.13,125900
2017-03-06,1488758400,50.21,50.36,49.14,49.45,111700
2017-03-07,1488844800,49.42,49.55,48.82,48.98,141100
2017-03-08,1488931200,49.15,49.62,48.62,49.6,325900
2017-03-09,1489017600,49.42,49.65,47.7,47.86,132200
2017-03-10,1489104000,47.95,48.43,47.44,47.98,109800
2017-03-13,1489363200,48.38,48.74,47.2,48.3,356600
2017-03-14,1489449600,48.1,48.69,47.98,48.69,92700
2017-03-15,1489536000,48.87,49.84,48.42,49.18,208200
2017-03-16,1489622400,49.97,52.43,49.69,51.28,282000
2017-03-17,1489708800,51.31,52.2,50.77,52.07,240100
2017-03-20,1489968000,51.96,51.96,50.05,50.17,268800
2017-03-21,1490054400,50.54,50.54,47.52,48.07,239200
2017-03-22,1490140800,48.2,48.49,47.39,48.06,292000
2017-03-23,1490227200,48.45,49.6,47.95,48.95,560300
2017-03-24,1490313600,45.33,51.85,45.33,51.67,794300
2017-03-27,1490572800,50.77,53.03,50.29,52.33,416300
2017-03-28,1490659200,52.18,53.34,51.68,53.1,194700
2017-03-29,1490745600,52.85,54.32,51.66,54.0,164400
2017-03-30,1490832000,54.07,54.07,52.97,53.25,144500
2017-03-31,1490918400,53.31,53.65,52.25,52.43,238100
2017-04-03,1491177600,52.81,52.86,50.9,50.97,234400
2017-04-04,1491264000,50.91,51.31,49.61,49.72,138000
2017-04-05,1491350400,50.07,50.2,49.17,49.54,206100
2017-04-06,1491436800,49.62,50.77,49.5,49.8,289600
2017-04-07,1491523200,49.48,50.16,49.16,50.07,246000
2017-04-10,1491782400,50.07,50.98,49.84,50.35,236900
2017-04-11,1491868800,50.14,51.35,50.0,51.3,174300
2017-04-12,1491955200,51.06,51.13,50.63,50.76,128800
2017-04-13,1492041600,50.69,51.06,50.22,50.41,144400
2017-04-17,1492387200,50.59,50.68,50.01,50.4,117300
2017-04-18,1492473600,49.85,50.97,48.35,50.77,153800
2017-04-19,1492560000,51.08,52.08,50.9,51.95,158800
2017-04-20,1492646400,52.15,53.07,52.15,52.86,155000
2017-04-21,1492732800,52.77,53.33,51.42,51.51,135700
2017-04-24,1492992000,52.29,53.17,52.1,52.89,154400
2017-04-25,1493078400,53.3,53.8,52.87,53.68,152900
2017-04-26,1493164800,53.94,54.77,53.3,54.4,148000
2017-04-27,1493251200,54.62,54.65,53.93,54.52,128400
2017-04-28,1493337600,54.8,54.8,53.08,53.35,170000
2017-05-01,1493596800,53.21,53.27,51.24,52.15,306500
2017-05-02,1493683200,52.24,53.45,52.15,53.12,136700
2017-05-03,1493769600,52.93,53.06,52.05,52.35,92200
2017-05-04,1493856000,52.63,52.63,51.79,52.53,78900
2017-05-05,1493942400,52.64,53.41,52.34,52.65,161700
2017-05-08,1494201600,52.68,54.24,52.67,53.66,162400
2017-05-09,1494288000,53.71,54.47,53.68,54.39,80300
2017-05-10,1494374400,54.16,55.58,54.16,55.55,189600
2017-05-11,1494460800,55.0,55.0,52.09,53.25,234800
2017-05-12,1494547200,53.46,53.46,51.73,52.25,126300
2017-05-15,1494806400,52.27,52.65,51.47,51.59,73100
2017-05-16,1494892800,51.74,51.74,50.22,50.39,93200
2017-05-17,1494979200,50.39,50.39,48.9,48.91,126200
2017-05-18,1495065600,49.01,49.79,48.98,49.35,153400
2017-05-19,1495152000,49.31,50.3,48.8,50.13,124500
2017-05-22,1495411200,50.23,51.14,50.15,50.41,101000
2017-05-23,1495497600,50.43,50.45,49.73,49.89,78300
2017-05-24,1495584000,49.95,50.0,48.42,49.01,141000
2017-05-25,1495670400,49.42,50.63,49.11,50.5,125500
2017-05-26,1495756800,50.43,50.51,49.12,49.21,158700
2017-05-30,1496102400,49.17,49.91,49.08,49.55,88700
2017-05-31,1496188800,49.62,49.72,48.67,49.45,64100
2017-06-01,1496275200,49.55,51.14,49.27,51.09,148200
2017-06-02,1496361600,51.48,52.26,50.57,51.95,141800
2017-06-05,1496620800,51.62,52.9,51.26,52.56,238800
2017-06-06,1496707200,52.41,54.9,52.41,54.85,416700
2017-06-07,1496793600,53.56,53.82,51.9,53.14,533200
2017-06-08,1496880000,53.19,55.74,52.63,54.75,275300
2017-06-09,1496966400,54.87,57.33,54.74,56.58,288400
2017-06-12,1497225600,56.58,58.46,56.48,57.19,228000
2017-06-13,1497312000,57.48,57.94,56.89,57.61,206400
2017-06-14,1497398400,57.82,58.22,57.16,57.95,199300
2017-06-15,1497484800,57.2,58.03,56.87,57.85,135000
2017-06-16,1497571200,57.27,57.79,56.98,57.66,172000
2017-06-19,1497830400,57.79,58.06,57.24,57.81,116800
2017-06-20,1497916800,57.83,57.83,56.04,56.06,99400
2017-06-21,1498003200,56.27,56.84,55.53,55.65,129100
2017-06-22,1498089600,55.64,56.63,55.37,56.53,123200
2017-06-23,1498176000,56.6,58.01,56.24,57.76,440700
2017-06-26,1498435200,57.95,58.24,57.0,57.1,170300
2017-06-27,1498521600,57.03,57.55,56.65,56.91,270500
2017-06-28,1498608000,57.28,58.01,57.21,57.75,224200
2017-06-29,1498694400,57.9,57.99,56.96,57.56,87000
2017-06-30,1498780800,57.76,58.25,57.38,57.5,116700
2017-07-03,1499040000,57.74,58.57,57.57,58.28,95300
2017-07-05,1499212800,58.05,59.3,56.26,56.78,181300
2017-07-06,1499299200,56.35,56.64,54.58,54.84,116300
2017-07-07,1499385600,55.14,55.62,54.86,55.24,174000
2017-07-10,1499644800,55.01,55.36,53.75,55.11,136400
2017-07-11,1499731200,55.04,55.5,53.92,54.45,98500
2017-07-12,1499817600,55.04,55.47,54.67,54.98,68200
2017-07-13,1499904000,55.1,55.81,54.63,55.7,117800
2017-07-14,1499990400,55.69,56.33,55.36,55.39,130900
2017-07-17,1500249600,55.51,57.42,55.3,56.6,118100
2017-07-18,1500336000,56.41,56.56,55.96,56.26,60100
2017-07-19,1500422400,56.94,58.64,56.94,57.92,180300
2017-07-20,1500508800,57.97,58.65,57.29,58.27,123200
2017-07-21,1500595200,58.42,58.47,57.57,57.95,65800
2017-07-24,1500854400,57.67,58.27,57.2,57.45,60700
2017-07-25,1500940800,57.78,59.01,57.49,58.38,77800
2017-07-26,1501027200,58.47,58.85,57.06,58.24,39000
2017-07-27,1501113600,58.28,58.28,57.28,58.06,61700
2017-07-28,1501200000,57.92,58.28,57.43,58.16,73900
2017-07-31,1501459200,58.33,58.37,57.36,58.36,104200
2017-08-01,1501545600,58.64,58.91,56.93,58.84,81600
2017-08-02,1501632000,58.87,59.16,57.98,58.07,68800
2017-08-03,1501718400,58.08,58.67,56.94,57.6,70600
2017-08-04,1501804800,57.92,58.89,57.24,57.38,106100
2017-08-07,1502064000,57.44,57.96,57.25,57.76,138600
2017-08-08,1502150400,57.95,58.3,57.41,57.75,130000
2017-08-09,1502236800,57.47,57.75,56.68,56.86,81600
2017-08-10,1502323200,56.51,56.67,55.33,55.94,96600
2017-08-11,1502409600,53.88,57.3,53.88,56.8,134600
2017-08-14,1502668800,57.15,57.87,57.02,57.25,71100
2017-08-15,1502755200,57.26,57.26,55.18,55.47,88200
2017-08-16,1502841600,55.59,56.44,55.13,55.35,227500
2017-08-17,1502928000,54.99,55.39,54.09,54.22,135500
2017-08-18,1503014400,53.89,53.89,53.36,53.6,94800
2017-08-21,1503273600,53.51,54.29,53.07,53.67,88400
2017-08-22,1503360000,53.83,55.13,53.16,53.45,116300
2017-08-23,1503446400,53.2,54.22,53.02,53.54,118700
2017-08-24,1503532800,54.08,54.61,53.5,53.8,202600
2017-08-25,1503619200,53.93,55.71,53.43,55.49,150300
2017-08-28,1503878400,55.57,55.87,54.97,55.34,136800
2017-08-29,1503964800,55.14,55.45,54.56,55.18,105400
2017-08-30,1504051200,55.17,55.43,54.0,54.02,251200
2017-08-31,1504137600,54.23,54.73,53.19,53.44,290000
2017-09-01,1504224000,54.26,59.16,53.76,57.99,699200
2017-09-05,1504569600,58.01,59.08,57.95,58.8,281400
2017-09-06,1504656000,58.95,60.18,58.95,59.87,270600
2017-09-07,1504742400,60.15,60.15,59.16,59.36,117700
2017-09-08,1504828800,57.83,58.48,55.29,55.71,217900
2017-09-11,1505088000,56.02,56.58,55.51,55.65,167200
2017-09-12,1505174400,55.71,55.83,54.91,55.14,267500
2017-09-13,1505260800,55.37,56.18,55.14,56.16,137800
2017-09-14,1505347200,56.05,56.12,54.46,55.1,144200
2017-09-15,1505433600,55.42,55.93,54.52,55.76,442100
2017-09-18,1505692800,55.72,55.93,54.75,55.17,117400
2017-09-19,1505779200,55.05,55.55,54.96,55.51,187200
2017-09-20,1505865600,55.2,56.2,55.2,55.58,282800
2017-09-21,1505952000,55.63,55.79,54.9,55.22,87600
2017-09-22,1506038400,55.07,55.65,55.02,55.61,142600
2017-09-25,1506297600,55.38,57.41,55.38,56.51,237800
2017-09-26,1506384000,56.62,57.13,56.13,56.74,158000
2017-09-27,1506470400,56.77,59.11,56.49,59.04,153400
2017-09-28,1506556800,58.98,59.62,57.67,58.2,123400
2017-09-29,1506643200,58.21,59.08,58.21,58.74,94800
2017-10-02,1506902400,58.81,59.99,58.32,59.94,210000
2017-10-03,1506988800,59.99,60.36,59.36,60.34,142600
2017-10-04,1507075200,60.46,60.91,60.17,60.48,254100
2017-10-05,1507161600,60.4,60.85,59.12,59.99,160400
2017-10-06,1507248000,59.87,59.9,59.16,59.53,153400
2017-10-09,1507507200,59.53,59.53,58.09,58.2,119100
2017-10-10,1507593600,58.32,59.31,58.02,58.96,105800
2017-10-11,1507680000,58.89,59.14,58.2,58.51,93600
