Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,59.8,60.37,58.9,59.8,4393600
2017-01-04,1483488000,59.52,59.74,58.81,59.15,4151400
2017-01-05,1483574400,59.01,59.15,58.37,58.43,4769900
2017-01-06,1483660800,58.43,59.07,58.2,58.81,3935600
2017-01-09,1483920000,58.35,58.59,57.84,58.32,5543700
2017-01-10,1484006400,58.33,58.55,57.33,57.38,3993200
2017-01-11,1484092800,57.42,57.87,56.99,57.38,6423200
2017-01-12,1484179200,57.53,57.62,56.65,57.12,5343000
2017-01-13,1484265600,57.04,57.41,56.81,57.16,3739700
2017-01-17,1484611200,57.71,58.05,57.17,57.7,3776400
2017-01-18,1484697600,57.33,57.82,57.14,57.36,3659300
2017-01-19,1484784000,57.57,57.71,56.58,56.87,3901100
2017-01-20,1484870400,57.38,57.42,56.49,56.75,4239100
2017-01-23,1485129600,56.51,56.75,55.98,56.26,3129400
2017-01-24,1485216000,56.63,56.68,55.94,56.16,4946800
2017-01-25,1485302400,56.35,57.3,56.19,56.37,6147400
2017-01-26,1485388800,56.5,56.74,56.14,56.72,3698700
2017-01-27,1485475200,56.57,57.06,56.38,57.05,3836500
2017-01-30,1485734400,56.7,56.97,55.7,56.17,4551000
2017-01-31,1485820800,56.27,56.34,55.71,56.08,5538400
2017-02-01,1485907200,56.21,56.35,55.45,55.94,3975700
2017-02-02,1485993600,55.93,57.18,55.65,56.68,4889000
2017-02-03,1486080000,56.6,57.78,56.36,57.24,4069400
2017-02-06,1486339200,57.05,57.32,56.26,56.42,3799300
2017-02-07,1486425600,56.19,56.22,54.9,55.29,4857200
2017-02-08,1486512000,55.11,55.6,54.3,55.25,5676700
2017-02-09,1486598400,55.25,56.54,54.74,56.42,6777800
2017-02-10,1486684800,56.74,57.84,56.4,56.65,7394500
2017-02-13,1486944000,55.76,56.03,55.34,55.76,6124000
2017-02-14,1487030400,55.85,56.06,54.37,55.57,8697000
2017-02-15,1487116800,55.33,55.98,55.23,55.61,4673900
2017-02-16,1487203200,55.75,55.75,54.91,54.97,4905200
2017-02-17,1487289600,54.74,54.84,54.11,54.83,5259200
2017-02-21,1487635200,55.44,55.65,55.1,55.42,4796100
2017-02-22,1487721600,55.09,55.41,54.51,54.54,5177700
2017-02-23,1487808000,55.03,55.12,53.85,53.99,6441500
2017-02-24,1487894400,53.81,53.89,53.11,53.69,5286600
2017-02-27,1488153600,53.73,54.36,53.5,54.17,5015700
2017-02-28,1488240000,53.97,54.35,53.82,54.24,5309400
2017-03-01,1488326400,54.78,55.26,54.57,54.81,5277000
2017-03-02,1488412800,54.48,54.73,54.09,54.2,5647000
2017-03-03,1488499200,54.1,54.18,53.49,53.67,5070100
2017-03-06,1488758400,53.63,53.82,53.36,53.56,5100800
2017-03-07,1488844800,53.67,53.76,53.37,53.54,5391600
2017-03-08,1488931200,53.36,53.55,51.92,51.96,7226000
2017-03-09,1489017600,51.8,52.4,51.08,52.33,8182500
2017-03-10,1489104000,52.75,52.79,52.07,52.41,6070000
