Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.59,5.59,5.48,5.5,5900
2017-01-04,1483488000,5.5,5.59,5.5,5.56,29700
2017-01-05,1483574400,5.6,5.69,5.6,5.68,12500
2017-01-06,1483660800,5.71,5.73,5.7,5.72,9800
2017-01-09,1483920000,5.75,5.75,5.64,5.68,14400
2017-01-10,1484006400,5.68,5.72,5.55,5.58,35700
2017-01-11,1484092800,5.65,5.76,5.6,5.6,10900
2017-01-12,1484179200,5.63,5.64,5.59,5.64,5200
2017-01-13,1484265600,5.59,5.9,5.59,5.86,34400
2017-01-17,1484611200,5.89,6.05,5.89,6.05,26000
2017-01-18,1484697600,6.03,6.04,5.8,5.95,29400
2017-01-19,1484784000,5.91,6.05,5.81,6.04,12200
2017-01-20,1484870400,5.97,6.03,5.84,6.02,5200
2017-01-23,1485129600,6.06,6.06,5.81,6.01,131200
2017-01-24,1485216000,5.93,6.09,5.93,6.07,18300
2017-01-25,1485302400,6.08,6.15,6.0,6.12,44800
2017-01-26,1485388800,6.13,6.48,6.13,6.29,51400
2017-01-27,1485475200,6.35,6.35,6.2,6.28,5200
2017-01-30,1485734400,6.25,6.29,6.25,6.27,10900
2017-01-31,1485820800,6.28,6.54,6.28,6.51,58900
2017-02-01,1485907200,6.6,6.82,6.31,6.45,28700
2017-02-02,1485993600,6.43,6.45,6.42,6.45,7800
2017-02-03,1486080000,6.44,6.44,6.33,6.34,12200
2017-02-06,1486339200,6.33,6.36,6.26,6.36,18100
2017-02-07,1486425600,6.41,6.49,6.28,6.49,26500
2017-02-08,1486512000,6.45,6.48,6.34,6.41,5500
2017-02-09,1486598400,6.45,6.53,6.38,6.5,17400
2017-02-10,1486684800,6.45,6.64,6.33,6.51,71800
2017-02-13,1486944000,6.51,6.6,6.51,6.57,11400
2017-02-14,1487030400,6.58,6.64,6.57,6.6,11400
2017-02-15,1487116800,6.64,6.74,6.53,6.71,78600
2017-02-16,1487203200,6.74,6.87,6.62,6.78,92100
2017-02-17,1487289600,6.73,7.0,6.73,7.0,41900
2017-02-21,1487635200,6.99,7.0,6.61,6.72,59400
2017-02-22,1487721600,6.77,6.77,6.59,6.66,6000
2017-02-23,1487808000,6.62,6.62,6.46,6.61,71900
2017-02-24,1487894400,6.5,6.62,6.46,6.62,6400
2017-02-27,1488153600,6.69,6.72,6.68,6.72,21200
2017-02-28,1488240000,6.65,6.69,6.39,6.55,30400
2017-03-01,1488326400,6.56,6.59,6.54,6.55,11600
2017-03-02,1488412800,6.51,6.51,6.41,6.44,9400
2017-03-03,1488499200,6.48,6.48,6.32,6.47,24700
2017-03-06,1488758400,6.41,6.46,6.35,6.37,15700
2017-03-07,1488844800,6.4,6.4,6.25,6.26,24400
2017-03-08,1488931200,6.37,6.42,6.28,6.42,37300
2017-03-09,1489017600,6.4,6.51,6.4,6.45,20400
2017-03-10,1489104000,6.51,6.57,6.5,6.52,3600
2017-03-13,1489363200,6.4,6.71,6.35,6.69,65000
2017-03-14,1489449600,6.73,6.81,6.6,6.76,7000
2017-03-15,1489536000,6.8,6.99,6.66,6.98,42100
2017-03-16,1489622400,6.89,6.99,6.81,6.93,55000
2017-03-17,1489708800,6.94,7.25,6.94,7.2,46600
2017-03-20,1489968000,7.14,7.23,7.1,7.1,40200
2017-03-21,1490054400,7.07,7.13,6.91,7.05,25300
2017-03-22,1490140800,7.09,7.09,6.95,7.0,18900
2017-03-23,1490227200,7.06,7.12,7.04,7.08,5900
2017-03-24,1490313600,7.09,7.1,7.02,7.04,25000
2017-03-27,1490572800,7.02,7.12,7.02,7.12,7900
2017-03-28,1490659200,7.06,7.2,7.02,7.14,29300
2017-03-29,1490745600,7.07,7.34,7.07,7.28,30500
2017-03-30,1490832000,7.32,7.32,7.07,7.07,9300
2017-03-31,1490918400,7.18,7.2,7.1,7.17,31100
2017-04-03,1491177600,7.22,7.31,7.08,7.08,30600
2017-04-04,1491264000,7.14,7.31,7.08,7.16,42500
2017-04-05,1491350400,7.18,7.33,7.15,7.18,38300
2017-04-06,1491436800,7.24,7.25,7.22,7.25,10700
2017-04-07,1491523200,7.29,7.34,7.25,7.26,19500
2017-04-10,1491782400,7.26,7.35,7.25,7.32,24800
2017-04-11,1491868800,7.32,7.35,7.32,7.34,8300
2017-04-12,1491955200,7.34,7.38,7.3,7.37,25800
2017-04-13,1492041600,7.2,7.49,7.2,7.42,89000
2017-04-17,1492387200,7.43,7.75,7.43,7.68,109900
2017-04-18,1492473600,7.61,7.92,7.61,7.84,211500
2017-04-19,1492560000,7.89,8.16,7.89,8.16,162000
2017-04-20,1492646400,8.26,8.44,8.21,8.27,142700
2017-04-21,1492732800,8.3,8.32,8.25,8.29,24400
2017-04-24,1492992000,8.37,8.5,8.26,8.34,71600
2017-04-25,1493078400,8.4,8.57,8.25,8.4,70100
2017-04-26,1493164800,8.42,8.42,8.28,8.41,43900
